dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db
collector_low4_cr47,,42,14,6,14,932,932,932,932,932,932,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.03883314945964633,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.9782650448050033,-2.5813755906827263,932|917|900|283|853|447|397|178,0.97826504|0.74460812|0.95595834|0.94465117|0.95203496|0.99247209|0.93630245|0.83566182,0|-7.139491|-7.3582166|-7.9356301|-8.3593642|-8.385181|-8.9640605|-8.9695696
collector_low4_cr47,,42,14,7,15,468,468,468,468,468,468,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.06076253436399148,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.9083122862325573,-0.5395183813617301,468|899|230|337|569|745|749|243,0.90831229|0.97924096|0.97627861|0.73553108|0.98828787|0.99374178|0.56399894|0.98130904,0|-10.422681|-10.486187|-10.601994|-10.94854|-10.981981|-11.367191|-11.444875
collector_low4_cr47,,42,14,8,16,89,89,89,89,89,89,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.08269191926833663,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.9337291830413919,-0.8025922630846759,89|85|845|274|209|797|649|174,0.93372918|0.91855712|0.92240849|0.65624954|0.84581604|0.9423956|0.59408222|0.83997181,0|-10.549025|-10.676391|-10.94905|-10.951198|-11.139685|-11.469988|-11.674701
collector_low4_cr47,,42,14,9,17,713,713,713,713,713,713,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.1046213041726819,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.9267480838309387,-0.7677531353039779,713|588|293|563|675|887|724|171,0.92674808|0.5688741|0.64326513|0.77024926|0.84995748|0.83503409|0.98139758|0.73822033,0|-9.4186509|-9.8041293|-10.178788|-10.328952|-10.476374|-10.481423|-10.627339
collector_low4_cr47,,42,14,10,18,865,865,865,865,865,865,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.12655068907702705,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.9743851072659946,-1.0041391411069596,865|595|843|635|988|441|945|461,0.97438511|0.95639868|0.88745813|0.64817421|0.90791064|0.91879099|0.91953511|0.55776524,0|-7.6332216|-9.9385041|-10.771524|-10.781156|-10.953181|-11.147122|-11.15319
collector_low4_cr47,,42,14,11,19,92,92,92,92,92,92,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.1484800739813722,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.9971791353513628,0.4944951747484402,92|757|576|142|900|160|187|667,0.99717914|0.85881076|0.81371693|0.97189174|0.65969631|0.89383683|0.88219827|0.51397046,0|-10.496003|-10.951921|-11.383331|-11.777259|-12.19036|-12.752141|-12.795759
collector_low4_cr47,,42,14,12,20,645,645,645,645,645,645,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.17040945888571746,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.9487023146831677,-0.5252261435655667,645|364|644|98|169|43|890|685,0.94870231|0.98793408|0.20704757|0.96255147|0.65459545|0.90426038|0.60777855|0.96777953,0|-8.8596282|-10.820713|-11.053981|-11.189349|-12.060091|-12.157604|-12.304824
collector_low4_cr47,,42,14,13,21,426,426,426,426,426,426,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.1923388437900626,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.9444147620749574,-0.4949057364372853,426|422|4|669|584|396|23|889,0.94441476|0.86649028|0.75057043|0.99602302|0.49859136|0.65672539|0.78053279|0.93786386,0|-9.9235445|-10.191057|-10.30969|-10.380078|-10.588596|-10.76678|-10.895507
collector_low4_cr47,,42,14,14,22,765,765,765,765,765,765,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.21426822869440776,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.8778905207162625,-0.9786758845912933,765|632|937|129|262|630|726|488,0.87789052|0.73894498|0.9744324|0.93644263|0.66275042|0.82533826|0.94653339|0.63161022,0|-8.6169258|-8.799954|-8.8109228|-8.8349418|-8.8781222|-9.4477442|-9.9317741
collector_low4_cr47,,42,14,15,23,1023,1023,1023,1023,1023,1023,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.23619761359875302,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.9901462896571744,-2.3916628532952053,1023|858|835|651|559|501|991|595,0.99014629|0.87050974|0.6917973|0.95359933|0.83419375|0.60683104|0.93066328|0.69884318,0|-9.4719173|-9.8516136|-9.8627847|-10.465503|-10.642154|-10.767469|-10.77556
collector_low4_cr47,,42,14,16,24,597,597,597,597,597,597,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.25812699850309817,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.8776988281610121,-0.757489385216617,597|534|1010|622|873|63|701|167,0.87769883|0.90690408|0.93352276|0.96327973|0.99766379|0.72490316|0.54452726|0.98096739,0|-5.8071424|-6.2264906|-6.858583|-6.9051629|-7.1071589|-7.246015|-7.2930125
collector_low4_cr47,,42,14,17,25,562,7,562,562,562,562,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.2800563834074433,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.7329674099668652,-1.0124098724275037,562|561|771|591|565|741|148|44,0.73296741|0.56719208|0.41543047|0.65666391|0.51334302|0.62266143|0.9218098|0.87700812,0|-5.6386356|-7.0301387|-7.1883522|-7.2847961|-7.6344952|-7.8797097|-8.0321994
collector_low4_cr47,,42,14,18,26,827,827,827,827,827,827,1,1,8,0.3609871406845275,0.9764792166801388,0.2929437650040416,0.12,0.30198576831178847,0.005098158941105081,-0.016209476309226922,-0.016209476309226922,0.0,0.9764792166801388,0.20445031207654618,0.09234411399060893,0.8911463738997591,8,0,0.9617444936279554,-0.9599891047327027,827|416|17|637|782|475|412|631,0.96174449|0.81763055|0.99814175|0.93538058|0.90958075|0.8527221|0.87649112|0.96180314,0|-7.7173876|-8.5031566|-9.5979489|-10.021627|-10.22068|-10.373833|-10.510589
