dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db
0_0_0_10_14_8,-22.0,46,0,20,28,860,104,860,860,860,860,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.39263599213681843,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.8828881159632884,0.49393959172300755,860|760|936|592|237|552|740|701,0.88288812|0.7365424|0.95361154|0.72016136|0.85148399|0.88291124|0.85501511|0.99866375,0|-2.7359961|-2.8350548|-2.9068077|-3.1465229|-3.1492083|-3.6328745|-3.7036188
0_0_0_10_14_8,-22.0,46,0,21,29,553,553,553,553,553,553,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.3754386678024486,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.713758184015696,1.0815916012843834,553|494|778|165|793|602|289|189,0.71375818|0.8227168|0.96177224|0.74607847|0.82165569|0.72324635|0.99787614|0.98489663,0|-5.7336616|-6.0786758|-6.1525766|-6.3936883|-6.5680418|-6.8243926|-6.945402
0_0_0_10_14_8,-22.0,46,0,22,30,629,712,629,629,629,629,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.3582413434680788,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9191895807905499,0.5513509134200351,629|599|406|704|176|284|874|157,0.91918958|0.94741387|0.77506976|0.72168296|0.80591531|0.048213941|0.84547087|0.91158835,0|-2.0360611|-3.0092469|-3.7209589|-3.7958743|-4.4899335|-4.5990511|-4.6040591
0_0_0_10_14_8,-22.0,46,0,23,31,759,83,759,759,759,759,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.34104401913370896,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.745315155485476,1.230631984122725,759|641|60|330|537|815|796|733,0.74531516|0.42992776|0.90697718|0.70623724|0.85881202|0.9548655|0.99577577|0.86164189,0|-6.5169909|-6.5581285|-6.5987341|-6.9423103|-6.9941595|-7.0069052|-7.1532384
0_0_0_10_14_8,-22.0,46,0,24,32,874,330,874,874,874,874,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.32384669479933914,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9720856416342811,1.3414460825100847,874|102|478|196|955|579|604|44,0.97208564|0.96402545|0.78773951|0.89873716|0.923455|0.66833193|0.68062439|0.75528425,0|-4.3682363|-4.6366497|-4.8850615|-5.4347988|-5.4368731|-5.4849578|-5.7960678
0_0_0_10_14_8,-22.0,46,0,25,33,720,896,720,720,720,720,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.3066493704649693,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.8354293976592302,1.3001289579519413,720|757|117|27|147|647|702|957,0.8354294|0.96843751|0.79508344|0.85716432|0.93927493|0.90911966|0.86460179|0.84291044,0|-3.4248826|-3.530904|-3.9171465|-4.3300021|-4.3817574|-4.3944856|-4.5533617
0_0_0_10_14_8,-22.0,46,0,26,34,314,314,314,314,314,314,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.2894520461305995,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9654568300812075,0.3683502277734307,314|129|718|539|728|48|72|453,0.96545683|0.94420278|0.86678025|0.67475704|0.97791647|0.5440874|0.90668775|0.85926097,0|-7.1386053|-7.9200026|-8.427775|-8.5737206|-8.7358977|-8.9599476|-9.1632481
0_0_0_10_14_8,-22.0,46,0,27,35,602,542,602,602,602,602,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.27225472179622967,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9894297704346939,0.07571880374195683,602|655|542|855|427|803|920|172,0.98942977|0.85424643|0.84891413|0.88282839|0.51592646|0.56945523|0.60275345|0.73667619,0|-4.52312|-5.6486116|-5.9815782|-6.0704032|-6.0996909|-6.1739595|-6.3410569
0_0_0_10_14_8,-22.0,46,0,28,36,7,40,7,7,7,7,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.25505739746185985,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9933509132877051,1.1647813601626935,7|849|300|327|262|582|786|677,0.99335091|0.48796694|0.91530858|0.97745754|0.75113818|0.69879927|0.84468543|0.96913108,0|-3.0216662|-3.2987865|-3.3836652|-3.8030725|-4.4487353|-4.8587222|-4.9403762
0_0_0_10_14_8,-22.0,46,0,29,37,610,94,610,610,610,610,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.23786007312749002,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.7745037222909542,1.1225906222146342,610|341|15|309|677|117|382|881,0.77450372|0.88916079|0.90308532|0.97000317|0.94034199|0.60511709|0.60491389|0.7721896,0|-6.2858009|-6.941493|-7.7860614|-7.9616116|-7.9818511|-8.3217846|-8.412234
0_0_0_10_14_8,-22.0,46,0,30,38,839,839,839,839,839,839,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.2206627487931202,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.8785464915425427,1.0352544092635587,839|499|448|198|607|302|962|654,0.87854649|0.55538995|0.90231989|0.77440353|0.9553454|0.92346691|0.98288658|0.76098751,0|-5.5180705|-5.5870003|-5.7496433|-6.39769|-6.5272378|-6.7057528|-6.7084856
0_0_0_10_14_8,-22.0,46,0,31,39,913,496,913,913,913,913,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.20346542445875038,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9458087645156374,-2.342020801858283,913|272|158|314|191|107|359|63,0.94580876|0.92970313|0.97274447|0.75489835|0.6541066|0.92047161|0.37212757|0.69028477,0|-3.4211141|-5.0101303|-5.1814059|-5.2121092|-5.246471|-5.302698|-5.3788889
0_0_0_10_14_8,-22.0,46,0,32,40,764,1019,764,764,764,764,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.18626810012438055,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.7706497313592338,2.271318745114319,764|342|150|587|794|448|31|74,0.77064973|0.52951656|0.99182579|0.9408717|0.95742075|0.89051964|0.91503018|0.9831666,0|-4.3275751|-4.5627115|-4.88292|-5.3708041|-5.4931635|-5.8503751|-5.9088832
0_0_0_10_14_8,-22.0,46,0,33,41,577,810,577,577,577,577,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.16907077579001073,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9168742914447869,-0.6051732209256002,577|364|84|22|678|809|251|649,0.91687429|0.82467081|0.7896892|0.97975878|0.64969488|0.5188298|0.92835618|0.78659431,0|-3.6044503|-4.1059389|-4.734495|-4.8841297|-5.356636|-5.4368489|-5.5873538
0_0_0_10_14_8,-22.0,46,0,34,42,936,1021,936,936,936,936,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.1518734514556409,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.947657671362836,1.0128906722982838,936|665|581|958|253|964|488|85,0.94765767|0.9275125|0.63269775|0.90767567|0.84769951|0.74480608|0.88020059|0.79395524,0|-2.5967496|-3.3710489|-3.4359797|-3.9603024|-3.9746307|-3.9988066|-4.0826496
0_0_0_10_14_8,-22.0,46,1,0,8,222,222,222,222,222,222,1,1,8,0.761611962584144,0.9307024139138655,0.27921072417415965,0.12,0.04168906899520053,-0.02417443877992048,-0.0461346633416459,-0.0461346633416459,0.0,0.9307024139138655,0.16046843981090053,0.15514693703483368,0.9424904315473506,-0.808088959184481,222|794|1010|455|907|147|976|666,0.94249043|0.74267578|0.74334844|0.48338739|0.64052248|0.81787746|0.95665402|0.93007113,0|-5.54155|-5.9970878|-6.4472761|-6.4534928|-6.7206259|-6.9300028|-6.9669502
0_0_0_10_14_8,-22.0,46,1,1,9,711,711,711,711,711,711,1,1,8,0.761611962584144,0.9307024139138655,0.27921072417415965,0.12,0.05891623812464186,-0.02417443877992048,-0.0461346633416459,-0.0461346633416459,0.0,0.9307024139138655,0.16046843981090053,0.15514693703483368,0.9944599868635337,-0.19735467923333894,711|389|297|412|739|330|138|702,0.99445999|0.54804772|0.79170293|0.29702886|0.66220899|0.45203555|0.97100835|0.89457608,0|-7.3614243|-7.4684447|-7.7096294|-7.8271417|-8.1665376|-8.1828147|-8.2299123
0_0_0_10_14_8,-22.0,46,1,2,10,871,871,871,871,871,871,1,1,8,0.761611962584144,0.9307024139138655,0.27921072417415965,0.12,0.0761434072540832,-0.02417443877992048,-0.0461346633416459,-0.0461346633416459,0.0,0.9307024139138655,0.16046843981090053,0.15514693703483368,0.9574695723157315,0.9190397990739876,871|276|813|874|825|601|497|209,0.95746957|0.88961067|0.92898304|0.75105502|0.86790487|0.89971776|0.97220683|0.90006057,0|-7.409984|-8.0063213|-8.0497202|-8.1688337|-8.5004133|-8.6366696|-8.7931392
0_0_0_10_14_8,-22.0,46,1,3,11,718,47,718,718,718,718,1,1,8,0.761611962584144,0.9307024139138655,0.27921072417415965,0.12,0.09337057638352453,-0.02417443877992048,-0.0461346633416459,-0.0461346633416459,0.0,0.9307024139138655,0.16046843981090053,0.15514693703483368,0.9839162729382938,0.2907380463093615,718|278|15|41|632|239|963|730,0.98391627|0.81027438|0.96860302|0.79990259|0.78871034|0.70643308|0.91613339|0.96806768,0|-5.6653664|-5.6677037|-5.6772785|-6.6651956|-6.7720472|-6.8207316|-6.8905222
0_0_0_10_14_8,-22.0,46,1,4,12,107,107,107,107,107,107,1,1,8,0.761611962584144,0.9307024139138655,0.27921072417415965,0.12,0.1105977455129658,-0.02417443877992048,-0.0461346633416459,-0.0461346633416459,0.0,0.9307024139138655,0.16046843981090053,0.15514693703483368,0.948470457873263,-0.16904196253830409,107|437|656|490|786|13|98|228,0.94847046|0.8258338|0.59426419|0.76820214|0.92334188|0.97714351|0.90588558|0.94761989,0|-4.9004072|-5.0744744|-5.12073|-5.1742368|-5.4083565|-5.8530379|-5.9771536
0_0_0_10_14_8,-22.0,46,1,5,13,467,467,467,467,467,467,1,1,8,0.761611962584144,0.9307024139138655,0.27921072417415965,0.12,0.12782491464240714,-0.02417443877992048,-0.0461346633416459,-0.0461346633416459,0.0,0.9307024139138655,0.16046843981090053,0.15514693703483368,0.9625679936110727,0.261735425387861,467|722|129|562|169|234|555|716,0.96256799|0.94945365|0.90487103|0.96663976|0.94307417|0.81977829|0.91196416|0.68785668,0|-4.1002845|-5.4501708|-5.4974379|-5.6380124|-6.2501957|-6.260227|-6.3167478
0_0_0_10_14_8,-22.0,46,1,6,14,89,89,89,89,89,89,1,1,8,0.761611962584144,0.9307024139138655,0.27921072417415965,0.12,0.14505208377184847,-0.02417443877992048,-0.0461346633416459,-0.0461346633416459,0.0,0.9307024139138655,0.16046843981090053,0.15514693703483368,0.8946939432213237,1.050869409646833,89|804|645|954|511|51|692|184,0.89469394|0.69132309|0.98211485|0.97074041|0.52109623|0.70165433|0.94837872|0.75410564,0|-7.4367554|-7.5085968|-7.9658162|-8.5248967|-8.5804827|-8.6615397|-8.8185683
0_0_0_10_14_8,-22.0,46,1,7,15,713,1004,713,713,713,713,1,1,8,0.761611962584144,0.9307024139138655,0.27921072417415965,0.12,0.1622792529012898,-0.02417443877992048,-0.0461346633416459,-0.0461346633416459,0.0,0.9307024139138655,0.16046843981090053,0.15514693703483368,0.8970257854829742,0.6001806458123631,713|151|111|350|1014|620|391|255,0.89702579|0.94688952|0.47133945|0.89184869|0.93867696|0.63536408|0.71526374|0.48013313,0|-4.6897174|-6.2988724|-7.1035716|-7.2305584|-7.4658438|-7.5383649|-7.6844822
