packet_index,symbol_index,gt_bin,savaux_bin,nus_null_bin,savaux_correct,nus_null_correct,changed,fix,break,activated,sensed_delta_bin,sensed_stability,alternative_bin,savaux_glrt,alternative_glrt,savaux_nullability,alternative_nullability,dataset,snr_db,seed,echo_delay_samples
2,30,775,775,775,1,1,0,0,0,1,-8,8.270344457389575,783,0.12419577967855927,0.048318370681714115,0.4938041569478063,0.496151650795236,0_0_0_10_14_16,-24.0,43,32
2,31,912,912,912,1,1,0,0,0,1,-8,8.270344457389575,920,0.11673285725714933,0.03244863954090278,0.4966118312497687,0.5013663265676606,0_0_0_10_14_16,-24.0,43,32
2,32,768,768,768,1,1,0,0,0,1,-8,8.270344457389575,776,0.1469507216415985,0.010681730841992945,0.4938832880493049,0.4939594888555145,0_0_0_10_14_16,-24.0,43,32
2,33,581,573,573,0,0,0,0,0,1,-8,8.270344457389575,581,0.07609556676135533,0.05010234177602107,0.5253341609077694,0.5261422763361484,0_0_0_10_14_16,-24.0,43,32
2,34,93,85,93,0,1,1,1,0,1,-8,8.270344457389575,93,0.07448831234884079,0.10218259082853523,0.5209795105112891,0.5156726178258819,0_0_0_10_14_16,-24.0,43,32
3,0,222,214,214,0,0,0,0,0,1,-8,11.105792491480392,222,0.13080370554184995,0.10264468811678712,0.5203942370650404,0.5149264939770448,0_0_0_10_14_16,-24.0,43,32
3,1,711,703,711,0,1,1,1,0,1,-8,11.105792491480392,711,0.09287375990687964,0.11574768347437973,0.525753349225996,0.5259787526905392,0_0_0_10_14_16,-24.0,43,32
3,2,871,871,871,1,1,0,0,0,1,-8,11.105792491480392,879,0.04823648223961265,0.005920558809216014,0.507837446710308,0.5017457707836959,0_0_0_10_14_16,-24.0,43,32
3,3,718,718,718,1,1,0,0,0,1,-8,11.105792491480392,726,0.1966309734492405,0.06166378230534653,0.5242808826762598,0.5203942980100417,0_0_0_10_14_16,-24.0,43,32
3,4,107,107,107,1,1,0,0,0,1,-8,11.105792491480392,115,0.21728249633326419,0.014744448133451295,0.5046992231006099,0.4990999363723785,0_0_0_10_14_16,-24.0,43,32
3,5,468,468,468,1,1,0,0,0,1,-8,11.105792491480392,476,0.11393233394829769,0.006158768784185525,0.5215385937384778,0.5164039914017025,0_0_0_10_14_16,-24.0,43,32
