dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_selected_offset_coherence,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_32,-25.0,7,0.8979591836734694,0.1020408163265306,0.0,0.6489795918367347,0.35102040816326535,0.0,0.4897959183673469,0.5102040816326532,0.0,0.40816326530612246,0.0,0.15918367346938778,0.0,0.061224489795918366,0.0,0.5361003052247292,0.8718376248275118,0.6669130510287714,0.39525991914806513
0_0_0_10_14_32,-26.0,7,0.9346938775510203,0.06530612244897961,0.0,0.763265306122449,0.236734693877551,0.0,0.6326530612244898,0.36734693877551017,0.0,0.30204081632653046,0.0,0.1306122448979592,0.0,0.024489795918367346,0.0,0.42432109207319296,0.8526997521739366,0.6047512089356993,0.4933245871778768
mean_of_datasets,-12.0,28,0.02040816326530612,0.9795918367346937,0.9523809523809524,0.004081632653061224,0.9959183673469388,0.9523809523809524,0.0,1.0,1.0,0.02040816326530612,0.04761904761904764,0.004081632653061224,0.04761904761904764,0.8658256029684601,0.0,0.4653679653679654,0.992710648844414,0.9328149757713896,0.29871980064752895
mean_of_datasets,-13.0,28,0.02585034013605442,0.9741496598639455,0.9523809523809524,0.008163265306122448,0.9918367346938775,0.9523809523809524,0.005442176870748299,0.9945578231292517,0.9523809523809524,0.02040816326530612,0.0,0.00272108843537415,0.0,0.8599752628324057,0.0,0.4971139971139971,0.9901546943877291,0.9324255880498358,0.29937270999528215
mean_of_datasets,-14.0,28,0.034013605442176874,0.9659863945578232,0.9523809523809524,0.012244897959183673,0.9877551020408163,0.9523809523809524,0.006802721088435374,0.9931972789115647,0.9523809523809524,0.0272108843537415,0.0,0.005442176870748299,0.0,0.844687693259122,0.0,0.5683418031244117,0.9882319407699955,0.9291240848699296,0.29733519092281974
mean_of_datasets,-15.0,28,0.043042671614100185,0.9569573283858998,0.9220779220779222,0.017687074829931974,0.982312925170068,0.9523809523809524,0.009523809523809525,0.9904761904761905,0.9523809523809524,0.03351886209029065,0.030303030303030314,0.00816326530612245,0.0,0.8411008039579468,0.0,0.5656343656343656,0.9851348765385545,0.9276098750497734,0.29279886058300914
mean_of_datasets,-16.0,28,0.05407544836116265,0.9459245516388374,0.7917748917748918,0.02585034013605442,0.9741496598639455,0.9523809523809524,0.017687074829931974,0.982312925170068,0.9523809523809524,0.03638837353123068,0.1606060606060606,0.008163265306122448,0.0,0.8400123685837971,0.0,0.5575757575757575,0.98085231955459,0.9163149824537182,0.2984351612942299
mean_of_datasets,-17.0,28,0.0868769325912183,0.9131230674087817,0.5419913419913419,0.031292517006802724,0.9687074829931973,0.9523809523809524,0.027210884353741496,0.9727891156462585,0.9523809523809524,0.05966604823747681,0.41038961038961036,0.0040816326530612275,0.0,0.8336178107606679,0.0,0.5514132925897631,0.9768266161583196,0.8862023924134578,0.30653974861891214
mean_of_datasets,-18.0,28,0.14390847247990102,0.856091527520099,0.16363636363636366,0.03991341991341992,0.9600865800865801,0.8887445887445887,0.029931972789115645,0.9700680272108843,0.9523809523809524,0.11397649969078538,0.7887445887445886,0.009981447124304273,0.06363636363636364,0.83004329004329,0.0,0.6113790970933828,0.9727488116963442,0.8799252601775164,0.3192047296741423
mean_of_datasets,-19.0,28,0.24341372912801482,0.7565862708719852,0.0,0.044131106988249846,0.9558688930117502,0.8554112554112554,0.0363265306122449,0.963673469387755,0.919047619047619,0.20708719851576993,0.919047619047619,0.007804576376004946,0.06363636363636364,0.7879406307977735,0.0,0.8380952380952381,0.9674970883713088,0.830809105796475,0.3312182176534911
mean_of_datasets,-20.0,28,0.3733580705009276,0.6266419294990725,0.0,0.06805194805194804,0.931948051948052,0.6502164502164502,0.04635745207173778,0.9536425479282622,0.8251082251082251,0.3270006184291898,0.8251082251082251,0.021694495980210268,0.1748917748917749,0.709882498453927,0.0,0.9240689951870076,0.9599157347534334,0.8369381092556498,0.3226660557116011
mean_of_datasets,-21.0,28,0.5187012987012988,0.4812987012987013,0.0,0.12024737167594308,0.879752628324057,0.4004329004329004,0.0627581941867656,0.9372418058132345,0.5896103896103896,0.455943104514533,0.5896103896103896,0.057489177489177486,0.1891774891774892,0.5836363636363636,0.0,0.9265244817294507,0.9506782595436447,0.8616078890975417,0.32646301043999065
mean_of_datasets,-22.0,28,0.6463079777365492,0.3536920222634508,0.0,0.2042300556586271,0.795769944341373,0.09999999999999999,0.10763141620284473,0.8923685837971552,0.3974025974025974,0.5386765615337045,0.3974025974025974,0.09659863945578233,0.2974025974025974,0.40056895485466915,0.0016835016835016834,0.8871025980833466,0.9376930620240257,0.843747816051681,0.3326241930241843
