dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,selected_raw_bin,savaux_top1_raw_bin,gt_symbol,selected_symbol,savaux_top1_symbol,selected_energy,gt_energy,delta_energy_selected_minus_gt,selected_coherence,gt_coherence,delta_coherence_selected_minus_gt,selected_rank,gt_rank,delta_rank_selected_minus_gt,selected_phase_local,gt_phase_local,delta_phase_local_selected_minus_gt,selected_local_score,gt_local_score,delta_local_score_selected_minus_gt,selected_transition_penalty,gt_transition_penalty,delta_transition_penalty_selected_minus_gt,top1_margin_db,top1_peak_to_median_db,top1_coherence_score,candidate_count,gt_rank_position,selected_rank_position,hard_anchor,high_confidence,pre_hard_anchor_count,hard_anchor_rmse_pi
0_0_0_10_14_16,-26.0,42,2,2,922,358,358,921,357,357,1.0,0.7998994414589518,0.20010055854104825,0.909016671618155,0.9719425099084659,-0.06292583829031084,1.0,0.9333333333333333,0.06666666666666665,0.7413732522957662,0.3912636678998056,0.3501095843959606,1.0004230546909536,0.8169202978669283,0.18350275682402528,0.004859615014988084,0.014129621134092865,-0.009270006119104782,0.9696460646363405,10.723226551797854,0.909016671618155,16,2,1,0,0,2,4.9977595182166055e-17
0_0_0_10_14_16,-26.0,42,2,8,865,247,247,864,246,246,1.0,0.5910284158852696,0.40897158411473045,0.9302190649733797,0.9428957041272398,-0.012676639153860081,1.0,0.6666666666666667,0.33333333333333326,0.7705410205401608,0.994280012800261,-0.2237389922601002,1.0093303762811017,0.7613838339931784,0.24794654228792323,0.006347536208243518,0.0017189245826265526,0.004628611625616966,2.283916382972559,12.058934526024013,0.9302190649733797,4,2,1,0,1,2,4.9977595182166055e-17
0_0_0_10_14_16,-26.0,42,2,9,492,430,884,491,429,883,0.8428691881028731,0.8467516085166668,-0.003882420413793608,0.8528762829628047,0.7862220745228868,0.06665420843991787,0.7333333333333334,0.8,-0.06666666666666665,0.9132561868348418,0.7759712966723543,0.13728489016248746,0.9067046781581467,0.8741259483338208,0.03257872982432586,0.006296724714567201,0.008759524543277974,-0.0024627998287107735,0.009370409512434622,9.61911900765796,0.8398177790284892,16,4,5,0,0,2,4.9977595182166055e-17
0_0_0_10_14_16,-26.0,42,2,15,267,986,986,266,985,985,1.0,0.8622882066586515,0.13771179334134853,0.8694848997035998,0.7827168981139673,0.08676800158963249,1.0,0.8666666666666667,0.1333333333333333,0.29207391386518106,0.8582970612826202,-0.5662231474174391,0.9206288061591489,0.8974726540890687,0.02315615207008015,0.015102426265437681,0.0035832136223067305,0.01151921264313095,0.498975967888321,10.180390198597946,0.8694848997035998,16,3,1,0,0,2,4.9977595182166055e-17
0_0_0_10_14_16,-26.0,42,2,20,860,739,38,859,738,37,0.817766948670103,0.6586583629352447,0.1591085857348583,0.9990129830764355,0.8600982646500542,0.13891471842638126,0.8,0.4,0.4,0.9851394584559143,0.6486839504946107,0.33645550796130363,0.9298617740373055,0.7368699390638198,0.1929918349734857,0.0023450071901361886,0.006812227592173601,-0.004467220402037412,0.3338539155371175,10.017144646609534,0.8922085390770965,16,10,4,0,0,2,4.9977595182166055e-17
0_0_0_10_14_16,-26.0,42,2,21,553,397,529,552,396,528,0.9904005927321148,0.9583130986241853,0.03208749410792944,0.9380286391088969,0.9772277413443393,-0.03919910223544243,0.9333333333333333,0.8666666666666667,0.06666666666666665,0.9937018162420242,0.9821904676213036,0.011511348620720674,1.0398784333329836,1.0234151921252062,0.016463241207777424,0.006032644089301504,0.005238153366454906,0.0007944907228465978,0.04189108408559714,10.311353542622019,0.9520633674404416,16,3,2,0,0,2,4.9977595182166055e-17
0_0_0_10_14_16,-26.0,42,2,22,629,314,314,628,313,313,1.0,0.7879465602051269,0.21205343979487312,0.9972093247714152,0.9037604848211679,0.09344883995024733,1.0,0.9333333333333333,0.06666666666666665,0.16293892976784602,0.8326458577439022,-0.6697069279760561,0.9255120937171384,0.8655380263468467,0.05997406737029165,0.024898143500357874,0.0035543876983225755,0.021343755802035298,1.0350323605743974,11.229588418784232,0.9972093247714152,16,2,1,0,0,2,4.9977595182166055e-17
0_0_0_10_14_16,-26.0,42,2,23,759,276,276,758,275,275,1.0,0.6029599895762315,0.39704001042376846,0.9657789140823863,0.9556860961668081,0.010092817915578145,1.0,0.6666666666666667,0.33333333333333326,0.9640333622821539,0.9755430846133673,-0.01150972233121339,1.0474011207816218,0.7692961054748624,0.27810501530675946,0.021700851894959634,0.022220106095553638,-0.0005192542005940035,2.1971150524420278,11.842758879640627,0.9657789140823863,4,2,1,0,1,2,4.9977595182166055e-17
0_0_0_10_14_16,-26.0,42,2,24,874,351,931,873,350,930,0.8885301415226871,0.8012061132373112,0.08732402828537589,0.9115006878759605,0.8952042180720122,0.016296469803948277,0.9333333333333333,0.8666666666666667,0.06666666666666665,0.9997110529964666,0.9507768617326197,0.048934191263846905,0.9642250051205077,0.8920094207577394,0.07221558436276831,0.003792945106679324,0.0039109590437876336,-0.0001180139371083095,0.51327835078774,10.948754162008974,0.9199693999444146,16,3,2,0,0,2,4.9977595182166055e-17
0_0_0_10_14_16,-26.0,42,3,0,222,685,685,221,684,684,1.0,0.6160121258027493,0.38398787419725067,0.9736458391838827,0.9132585826948351,0.060387256489047636,1.0,0.6666666666666667,0.33333333333333326,0.0,0.0,0.0,0.8947291678367765,0.6138602046008915,0.28086896323588495,6.192649959791793e-05,0.000296634341483243,-0.00023470784188532506,0.9297142483214672,10.496387068676402,0.9736458391838827,16,6,1,0,0,1,inf
0_0_0_10_14_16,-26.0,42,3,2,871,1004,1004,870,1003,1003,1.0,0.8020390735024053,0.19796092649759467,0.8953702995446343,0.9230401133514082,-0.027669813806773913,1.0,0.9333333333333333,0.06666666666666665,0.0,0.0,0.0,0.8790740599089268,0.7460353741219653,0.13303868578696154,0.06343212281445397,0.035677495720321514,0.027754627094132456,0.9580447337029873,10.815223592471153,0.8953702995446343,16,2,1,0,0,1,inf
0_0_0_10_14_16,-26.0,42,3,3,718,604,604,717,603,603,1.0,0.7443511475138418,0.2556488524861582,0.9706506053742652,0.7749734177709839,0.19567718760328123,1.0,0.8,0.19999999999999996,0.0,0.0,0.0,0.894130121074853,0.676040486813886,0.21808963426096706,0.041332264418158265,0.05474065366846605,-0.013408389250307781,0.5188372276510513,10.98836270548896,0.9706506053742652,16,4,1,0,0,1,inf
