dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,savaux_top1_raw_bin,phase_line_raw_bin,gt_symbol,savaux_top1_symbol,phase_line_symbol,gt_in_topk_raw,topk_size,raw_category,symbol_category
0_0_0_10_14_16,-22.0,42,6,2,871,871,871,870,870,870,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,3,718,718,718,717,717,717,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,4,107,107,107,106,106,106,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,5,468,468,468,467,467,467,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,6,89,89,89,88,88,88,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,7,713,713,713,712,712,712,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,8,865,865,865,864,864,864,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,9,492,492,492,491,491,491,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,10,765,765,765,764,764,764,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,11,1023,1023,1023,1022,1022,1022,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,12,597,597,597,596,596,596,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,13,562,562,562,561,561,561,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,14,478,478,478,477,477,477,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,15,267,267,267,266,266,266,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,16,917,917,917,916,916,916,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,17,656,656,656,655,655,655,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,18,889,725,725,888,724,724,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-22.0,42,6,19,510,510,510,509,509,509,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,20,860,860,860,859,859,859,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,21,553,553,553,552,552,552,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,22,629,629,629,628,628,628,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,23,759,759,759,758,758,758,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,24,874,874,874,873,873,873,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,25,720,720,720,719,719,719,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,26,314,314,314,313,313,313,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,27,602,602,602,601,601,601,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,28,7,7,7,6,6,6,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,29,610,610,610,609,609,609,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,30,791,791,791,790,790,790,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,31,928,928,928,927,927,927,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,32,760,760,760,759,759,759,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,33,584,584,584,583,583,583,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,34,932,932,932,931,931,931,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,0,803,803,803,802,802,802,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,1,711,711,711,710,710,710,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,2,922,922,922,921,921,921,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,3,691,691,691,690,690,690,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,4,86,86,86,85,85,85,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,5,468,468,468,467,467,467,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,6,89,89,89,88,88,88,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,7,713,713,713,712,712,712,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,8,865,865,865,864,864,864,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,9,492,492,492,491,491,491,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,10,765,765,765,764,764,764,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,11,1023,1023,1023,1022,1022,1022,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,12,597,597,597,596,596,596,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,13,562,562,562,561,561,561,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,14,478,478,478,477,477,477,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,15,267,267,267,266,266,266,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,16,917,917,917,916,916,916,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,17,656,656,656,655,655,655,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,18,889,889,889,888,888,888,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,19,510,510,510,509,509,509,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,20,860,860,860,859,859,859,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,21,553,553,553,552,552,552,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,8,22,629,629,629,628,628,628,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
