payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index
33,586,586,586,1,1,0,1,1,1,1,1,0.19727636505803584,tau0_slope0,timing,0_0_0_10_14_8,-25.0,1
34,91,91,91,1,1,0,1,1,1,1,1,0.11776706606281542,tau0_slope0,timing,0_0_0_10_14_8,-25.0,1
0,803,803,803,1,1,0,1,1,1,1,1,0.13901121636265493,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
1,711,711,711,1,1,0,1,1,1,1,1,0.0758330472323048,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,2
2,871,871,871,1,1,0,1,1,1,1,1,0.07292409394875703,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
3,718,718,718,1,1,0,1,1,1,1,1,0.11050276092591194,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
4,86,86,86,1,1,0,1,1,1,1,1,0.069450719092989,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,2
5,467,467,467,1,1,0,1,1,1,1,1,0.09335290150389186,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
6,89,89,89,1,1,0,1,1,1,1,1,0.13797363953539912,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
7,713,713,713,1,1,0,1,1,1,1,1,0.07349957175221129,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,2
8,865,865,865,1,1,0,1,1,1,1,1,0.1573014941565706,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
9,405,405,405,1,1,0,1,1,1,1,1,0.09687354506920756,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
10,765,765,765,1,1,0,1,1,1,1,1,0.0879005201633364,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,2
11,1023,1023,1023,1,1,0,1,1,1,1,1,0.06457858151087223,tau0.5_slope0,timing,0_0_0_10_14_8,-25.0,2
12,597,597,597,1,1,0,1,1,1,1,1,0.13875031238472094,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
13,562,562,562,1,1,0,1,1,1,1,1,0.12542175535847847,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
14,478,478,478,1,1,0,1,1,1,1,1,0.11766149306581597,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
15,267,267,267,1,1,0,1,1,1,1,1,0.13469873046305914,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,2
16,917,917,917,1,1,0,1,1,1,1,1,0.07530233872916782,tau-0.5_slope0,timing,0_0_0_10_14_8,-25.0,2
17,656,656,656,1,1,0,1,1,1,1,1,0.05603034835890408,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,2
18,889,889,889,1,1,0,1,1,1,1,1,0.06672902597924836,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,2
19,510,510,510,1,1,0,1,1,1,1,1,0.0946305363128409,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,2
20,860,860,860,1,1,0,1,1,1,1,1,0.07754007952429623,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,2
21,553,553,553,1,1,0,1,1,1,1,1,0.10335970955286866,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,2
22,629,629,629,1,1,0,1,1,1,1,1,0.0973825240470621,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,2
23,759,759,759,1,1,0,1,1,1,1,1,0.14020223590355055,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,2
24,874,874,874,1,1,0,1,1,1,1,1,0.07746213187868749,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,2
25,720,720,720,1,1,0,1,1,1,1,1,0.0769674880625362,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
26,314,314,314,1,1,0,1,1,1,1,1,0.15578272914753097,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
27,602,602,602,1,1,0,1,1,1,1,1,0.07444134943938924,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,2
28,7,7,7,1,1,0,1,1,1,1,1,0.06852954700531821,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,2
29,610,610,610,1,1,0,1,1,1,1,1,0.07506221800466968,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,2
30,874,874,874,1,1,0,1,1,1,1,1,0.1919746676622114,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
31,913,913,913,1,1,0,1,1,1,1,1,0.10405131324158257,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,2
32,757,757,757,1,1,0,1,1,1,1,1,0.25797012732583546,tau0_slope0,timing,0_0_0_10_14_8,-25.0,2
33,587,587,587,1,1,0,1,1,1,1,1,0.12840274724569803,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,2
34,932,932,932,1,1,0,1,1,1,1,1,0.09739463190564653,tau0_slope0.5,timing,0_0_0_10_14_8,-25.0,2
0,222,222,222,1,1,0,1,1,1,1,1,0.07911622682158152,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,3
1,826,826,826,1,1,0,1,1,1,1,1,0.10170498372973971,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,3
