trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power,role,candidate_symbol,candidate_coordinate,q2_candidate_power,r_q8,theory_q8,dev_q8,abs_dev_q8,primary_amp_q8,secondary_amp_q8,pair_power_q8,strong_power_q8,r_q4,theory_q4,dev_q4,abs_dev_q4,primary_amp_q4,secondary_amp_q4,pair_power_q4,strong_power_q4,r_q2,theory_q2,dev_q2,abs_dev_q2,primary_amp_q2,secondary_amp_q2,pair_power_q2,strong_power_q2,ratio_variance,c_1m,c_multirate
14:20260821:55,14.0,20260821,55,exp0_000002_rxg20_0_fulltrim,2,26,3433,3434,1,2,1,1,1,3.0631302435411055e-08,4.994884052144106e-06,wrong,3434,3433,0.0003075247983369035,0.8472409992433692,0.83837890625,0.008862092993369153,0.008862092993369153,0.006402734667062759,0.03551122546195984,0.001302042145026952,0.0012610471338101448,0.8408635738704655,0.83837890625,0.0024846676204655083,0.0024846676204655083,0.004727576393634081,0.02498011849820614,0.0006463562987420667,0.0006240063201844205,0.8483735506398975,0.83837890625,0.0099946443898975,0.0099946443898975,0.003134208731353283,0.017536384984850883,0.0003173480627085947,0.0003075247983369035,1.0928219792237964e-05,-7.853669222312264e-05,-0.0001955314016800599
14:20260821:61,14.0,20260821,61,exp0_000003_rxg20_0_fulltrim,3,0,3293,3294,1,2,1,1,1,5.121082167596095e-08,8.350677122718321e-06,true,3293,3292,0.00013482692815415618,0.7552549508660485,0.803955078125,-0.04870012725895145,0.04870012725895145,0.007536112796515226,0.023255573585629463,0.0005976146988784274,0.0005408217027966268,0.7511571037432163,0.803955078125,-0.052797974381783686,0.052797974381783686,0.005406801588833332,0.01632096990942955,0.00029560756220551546,0.0002663740587845048,0.7542250183516283,0.803955078125,-0.04973005977337175,0.04973005977337175,0.0037837731651961803,0.01161150075495243,0.0001491438891479196,0.00013482694978226087,3.0294680078746535e-06,-0.0023717023950380663,-0.007635436806928554
14:20260821:61,14.0,20260821,61,exp0_000003_rxg20_0_fulltrim,3,0,3293,3294,1,2,1,1,1,5.121082167596095e-08,8.350677122718321e-06,wrong,3294,3293,0.00019759982974470406,0.826087176115071,0.80419921875,0.021887957365070987,0.021887957365070987,0.005884652491658926,0.02795214205980301,0.000815951380678996,0.0007813222457314084,0.8141146915789379,0.80419921875,0.009915472828937899,0.009915472828937899,0.004479590803384781,0.019619090482592583,0.00040497544512992437,0.00038490871136415486,0.7946616674806402,0.80419921875,-0.009537551269359845,0.009537551269359845,0.003632294712588191,0.014057021588087082,0.0002107934208070424,0.00019759985592794627,0.0001677025694966206,-0.00047908267761516524,-0.0008360667327488592
14:20260821:74,14.0,20260821,74,exp0_000003_rxg20_0_fulltrim,3,13,1385,1386,1,2,1,1,1,5.518114853351036e-08,8.998097268968685e-06,true,1385,1384,0.0001974615017147777,0.43943014824019644,0.338134765625,0.10129538261519644,0.10129538261519644,0.027863655239343643,0.021842291578650475,0.001253468984703788,0.0007763832832970025,0.4362096288540726,0.338134765625,0.0980748632290726,0.0980748632290726,0.019829781726002693,0.015342478640377522,0.0006286118941313508,0.00039322024330091035,0.4330591901444623,0.338134765625,0.09492442451946231,0.09492442451946231,0.014052100479602814,0.01073373295366764,0.0003126745510095043,0.00019746152788885363,6.765124026334509e-06,-0.01026075453915904,-0.02889684483093777
14:20260821:74,14.0,20260821,74,exp0_000003_rxg20_0_fulltrim,3,13,1385,1386,1,2,1,1,1,5.518114853351036e-08,8.998097268968685e-06,wrong,1386,1385,0.00019851016741765596,0.40164073784152765,0.33837890625,0.06326183159152765,0.06326183159152765,0.028221091255545616,0.01894303411245346,0.0011552685330394087,0.0007964299916538332,0.4007943878790556,0.33837890625,0.06241548162905558,0.06241548162905558,0.020213598385453224,0.013520395383238792,0.000591390651007502,0.0004085895596883972,0.4011664010873131,0.33837890625,0.06278749483731311,0.06278749483731311,0.014089362695813179,0.009438646957278252,0.00028759819755831,0.000198510141174172,1.1996638249925796e-07,-0.0040020593363148055,-0.0118401411576299
14:20260821:75,14.0,20260821,75,exp0_000003_rxg20_0_fulltrim,3,14,2485,75,1,2,1,1,1,5.4668958061153547e-08,8.914577084757462e-06,true,2485,2484,0.00015040832919007655,0.5260485931525836,0.606689453125,-0.08064085997241643,0.08064085997241643,0.022087253630161285,0.02451510541141033,0.001088837166255633,0.0006009903933325601,0.5263324529873614,0.606689453125,-0.08035700013763858,0.08035700013763858,0.01565822772681713,0.017399193719029427,0.0005479120376171778,0.00030273194207231305,0.524256084748009,0.606689453125,-0.082433368376991,0.082433368376991,0.011129244230687618,0.012264106422662735,0.000274268383492691,0.00015040830634639735,8.449964279624496e-07,-0.006502948297090875,-0.01975630098661598
14:20260821:75,14.0,20260821,75,exp0_000003_rxg20_0_fulltrim,3,14,2485,75,1,2,1,1,1,5.4668958061153547e-08,8.914577084757462e-06,wrong,75,74,0.00015571230329292866,0.05025744362426237,0.018310546875,0.03194689674926237,0.03194689674926237,0.024603666737675667,0.0013019500765949488,0.0006070354909405535,0.000605340416938608,0.038588587858635164,0.018310546875,0.020278040983635164,0.020278040983635164,0.017416423186659813,0.0006990505498833954,0.00030382046828811385,0.00030333179661682155,0.038160671465142994,0.018310546875,0.019850124590142994,0.019850124590142994,0.012478473596274853,0.0004950794973410666,0.00015595740700161614,0.00015571230329292866,3.140857822094182e-05,-0.0010206042119080307,-0.0018572391825071592
14:20260821:76,14.0,20260821,76,exp0_000003_rxg20_0_fulltrim,3,15,1441,1442,1,2,1,1,1,5.768076175710014e-08,9.405695942037304e-06,true,1441,1440,0.00012968054342615918,0.43870071102977687,0.351806640625,0.08689407040477687,0.08689407040477687,0.022362058982253075,0.01747775450348854,0.0008055335844099794,0.0005000616819257654,0.43358263161117405,0.351806640625,0.08177599098617405,0.08177599098617405,0.01605881191790104,0.012292740866541862,0.00040899691822646883,0.00025788544021452045,0.4314808900457712,0.351806640625,0.07967424942077123,0.07967424942077123,0.011387736536562443,0.008642788976430893,0.00020437834471727454,0.00012968054342615918,9.19309662043954e-06,-0.0075505794715103195,-0.020595071290664842
14:20260821:76,14.0,20260821,76,exp0_000003_rxg20_0_fulltrim,3,15,1441,1442,1,2,1,1,1,5.768076175710014e-08,9.405695942037304e-06,wrong,1442,1441,0.00017120143752458183,0.41008040139774316,0.35205078125,0.058029620147743155,0.058029620147743155,0.026584474369883537,0.018480097874999046,0.001048248294992539,0.0007067342775229947,0.4190857749188837,0.35205078125,0.06703499366888371,0.06703499366888371,0.018509486690163612,0.0133531978353858,0.0005209089899642959,0.0003426010975333439,0.4183055300553471,0.35205078125,0.0662547488053471,0.0662547488053471,0.013084396719932556,0.009409192949533463,0.00025973434948613205,0.00017120143752458183,1.6595363970719154e-05,-0.003367436814491358,-0.012267414293909
14:20260821:80,14.0,20260821,80,exp0_000003_rxg20_0_fulltrim,3,19,3937,245,1,2,1,1,1,6.201544848585949e-08,1.011253032030687e-05,true,3937,3936,0.00013690182639928064,0.9226151233554597,0.961181640625,-0.0385665172695403,0.0385665172695403,0.001995313446968794,0.023788968101143837,0.0005698962790688935,0.000565915003317239,0.9095904914460898,0.961181640625,-0.05159114917891017,0.05159114917891017,0.001676364685408771,0.01686554215848446,0.00028725671085810226,0.0002844465122996166,0.8811938007749772,0.961181640625,-0.07998783985002278,0.07998783985002278,0.0015775106148794293,0.011700505390763283,0.0001393903661393379,0.00013690182639928064,0.00029908211575131304,-0.0014873762543017503,-0.01084615956752652
14:20260821:80,14.0,20260821,80,exp0_000003_rxg20_0_fulltrim,3,19,3937,245,1,2,1,1,1,6.201544848585949e-08,1.011253032030687e-05,wrong,245,244,0.00014761697439670627,0.0932325592441874,0.059814453125,0.0334181061191874,0.0334181061191874,0.02435692586004734,0.002504345029592514,0.0005995315813790876,0.0005932598373518429,0.09081122684770594,0.059814453125,0.030996773722705942,0.030996773722705942,0.017084728926420212,0.0017064500134438276,0.00029479993413764196,0.0002918879624892595,0.09390005176969325,0.059814453125,0.03408559864469325,0.03408559864469325,0.01214977353811264,0.0012590932892635465,0.00014920231293849063,0.00014761699702742215,1.7610262493940808e-06,-0.0011167698165932703,-0.003241158859026412
14:20260821:81,14.0,20260821,81,exp0_000003_rxg20_0_fulltrim,3,20,1881,469,1,3,1,1,1,6.272461308789527e-08,1.0228170031302597e-05,true,1881,1880,0.00016063051496654004,0.47206609211611267,0.459228515625,0.012837576491112668,0.012837576491112668,0.025469781830906868,0.022774480283260345,0.0011673867386866078,0.0006487097865139936,0.46929762038860995,0.459228515625,0.010069104763609948,0.010069104763609948,0.018244439736008644,0.016133472323417664,0.0005931485104913349,0.00033285958128085116,0.4765260732529625,0.459228515625,0.01729755762796248,0.01729755762796248,0.012674009427428246,0.011537338607013226,0.0002937406970994179,0.00016063051496654004,8.867377584356036e-06,-0.00016480337016516863,-0.0005742631183827602
14:20260821:81,14.0,20260821,81,exp0_000003_rxg20_0_fulltrim,3,20,1881,469,1,3,1,1,1,6.272461308789527e-08,1.0228170031302597e-05,wrong,469,468,0.00019276363320927612,0.11255591608229397,0.114501953125,-0.0019460370427060308,0.0019460370427060308,0.02770628221333027,0.003514030948281288,0.0007799864875901799,0.0007676380740847012,0.12377953499155209,0.114501953125,0.009277581866552087,0.009277581866552087,0.019590023905038834,0.00276739033870399,0.00039142748588674514,0.00038376903659999295,0.11564500891228191,0.114501953125,0.0011430557872819103,0.0011430557872819103,0.013883935287594795,0.0018155693542212248,0.00019605995115010724,0.00019276365907011997,2.2409181162985104e-05,-3.787060171584034e-06,-0.00011357634315798392
14:20260821:83,14.0,20260821,83,exp0_000003_rxg20_0_fulltrim,3,22,1329,1330,1,3,1,1,1,6.604347503916389e-08,1.0769359249965901e-05,true,1329,1328,0.00016561486365210612,0.3802696392977861,0.324462890625,0.05580674867278612,0.05580674867278612,0.026592904701828957,0.016317538917064667,0.0009734446567904766,0.0007071825804805566,0.38044048458437707,0.324462890625,0.05597759395937707,0.05597759395937707,0.018636325374245644,0.011443634517490864,0.0004782693944246604,0.00034731262345475203,0.38456514896709487,0.324462890625,0.06010225834209487,0.06010225834209487,0.012869144789874554,0.008041508495807648,0.00023028074651090195,0.00016561488762275537,3.943716411237349e-06,-0.0031143931974275158,-0.009864109397139553
14:20260821:83,14.0,20260821,83,exp0_000003_rxg20_0_fulltrim,3,22,1329,1330,1,3,1,1,1,6.604347503916389e-08,1.0769359249965901e-05,wrong,1330,1329,0.0001926355657322909,0.37220571645288925,0.32470703125,0.047498685202889246,0.047498685202889246,0.026911022141575813,0.015954965725541115,0.0009787640440075754,0.0007242031127043837,0.36723762351370665,0.32470703125,0.042530592263706646,0.042530592263706646,0.01935756392776966,0.011234589852392673,0.0005009312903691736,0.0003747152812176892,0.36230189617406133,0.32470703125,0.03759486492406133,0.03759486492406133,0.013879320584237576,0.007885399274528027,0.000254815061598768,0.00019263553988004087,1.634766754877791e-05,-0.0022561250960031697,-0.005494697910512028
14:20260821:84,14.0,20260821,84,exp0_000003_rxg20_0_fulltrim,3,23,2549,2550,1,10,0,0,1,6.756247987885564e-08,1.1017055313980955e-05,true,2549,2548,0.00011550742994085109,0.6286028554394546,0.622314453125,0.0062884023144546,0.0062884023144546,0.01293889433145523,0.02189953811466694,0.0006470047561563143,0.00047958976963575,0.6274243921427602,0.622314453125,0.0051099390177602455,0.0051099390177602455,0.009174196049571037,0.015449520200490952,0.0003228535475813428,0.00023868767442537797,0.6200514950165666,0.622314453125,-0.002262958108433355,0.002262958108433355,0.00658569997176528,0.010747438296675682,0.0001588788740589603,0.00011550742994085109,1.4319350317469338e-05,-3.954400366843797e-05,-8.509581015166011e-05
14:20260821:84,14.0,20260821,84,exp0_000003_rxg20_0_fulltrim,3,23,2549,2550,1,10,0,0,1,6.756247987885564e-08,1.1017055313980955e-05,wrong,2550,2549,0.0001864465977787777,0.6374016092061604,0.62255859375,0.014843015456160402,0.014843015456160402,0.015492870472371578,0.027234485372900963,0.0009817462290004396,0.0007417171935267565,0.6347474515882767,0.62255859375,0.012188857838276723,0.012188857838276723,0.01105624157935381,0.019213886931538582,0.0004914139288789811,0.0003691734510179491,0.6312092867927149,0.62255859375,0.00865069304271493,0.00865069304271493,0.007977812550961971,0.013654544949531555,0.00025009209087706406,0.0001864465977787777,6.4342244059091066e-06,-0.0002203151078318166,-0.0004501520777587221
14:20260821:91,14.0,20260821,91,exp0_000003_rxg20_0_fulltrim,3,30,1741,584,1,17,0,0,0,7.734548353416439e-08,1.2612317841358153e-05,true,1741,1740,0.00012417634654316237,0.47194813522203927,0.425048828125,0.04689930709703927,0.04689930709703927,0.022275786846876144,0.01990905962884426,0.0008925813349523366,0.0004962106796474602,0.4648147712441214,0.425048828125,0.039765943119121405,0.039765943119121405,0.015951847657561302,0.013854370452463627,0.0004464050243241412,0.000254461443690044,0.4669935960466271,0.425048828125,0.0419447679216271,0.0419447679216271,0.01114344410598278,0.009763329289853573,0.00021949894536527504,0.00012417634654316237,8.908846400240443e-06,-0.0021995450061823977,-0.005549147640734995
14:20260821:91,14.0,20260821,91,exp0_000003_rxg20_0_fulltrim,3,30,1741,584,1,17,0,0,0,7.734548353416439e-08,1.2612317841358153e-05,wrong,584,583,0.00020802036803977634,0.12830862212050756,0.142578125,-0.01426950287949244,0.01426950287949244,0.029150214046239853,0.004290766082704067,0.0008681456525180828,0.0008497349789415992,0.1423189689787336,0.142578125,-0.0002591560212663879,0.0002591560212663879,0.020430313423275948,0.003390096127986908,0.0004288904583302812,0.00041739770657328937,0.13302549683872242,0.142578125,-0.009552628161277582,0.009552628161277582,0.014422912150621414,0.002213000552728772,0.00021291776635092068,0.00020802039490454283,3.387859451247815e-05,-0.00020361871242784307,-0.0003288171735713133
14:20260821:93,14.0,20260821,93,exp0_000004_rxg20_0_fulltrim,4,1,313,26,1,2,1,1,1,8.157081366743916e-08,1.3301320019513654e-05,true,313,312,0.00021349898967338524,0.07934847206657358,0.076416015625,0.002932456441573583,0.002932456441573583,0.02925087884068489,0.0025210543535649776,0.000861969628006056,0.0008556139129524271,0.08841160363839257,0.076416015625,0.011995588013392566,0.011995588013392566,0.02064385451376438,0.0020021714735776186,0.000430177419795078,0.00042616872918547,0.07885558701171014,0.076416015625,0.0024395713867101376,0.0024395713867101376,0.014611604623496532,0.0012508425861597061,0.00021506359684873595,0.00021349898967338524,1.930008259276009e-05,-8.599300781726401e-06,-0.00017774502371238873
14:20260821:93,14.0,20260821,93,exp0_000004_rxg20_0_fulltrim,4,1,313,26,1,2,1,1,1,8.157081366743916e-08,1.3301320019513654e-05,wrong,26,25,0.0002342742815117588,0.026436013448486954,0.00634765625,0.020088357198486954,0.020088357198486954,0.03136996179819107,0.0008518153335899115,0.000984800092582506,0.0009840745032199671,0.028333216354706897,0.00634765625,0.021985560104706897,0.021985560104706897,0.021870845928788185,0.0006377406534738839,0.00047874061478188405,0.00047833390164079073,0.017818474642783053,0.00634765625,0.011470818392783053,0.011470818392783053,0.01530602015554905,0.0002776777255348861,0.00023435135792133197,0.00023427425300207375,2.0935683022628133e-05,-0.0004035420949340026,-0.0010394223056745203
14:20260821:94,14.0,20260821,94,exp0_000004_rxg20_0_fulltrim,4,2,1433,1434,1,5,0,1,1,8.030162244751467e-08,1.3094359737727088e-05,true,1433,1432,0.00015581468214805137,0.446737553143289,0.349853515625,0.096884037518289,0.096884037518289,0.02472594380378723,0.019965222105383873,0.001009982390705353,0.0006113722969880442,0.4449563034975172,0.349853515625,0.09510278787251719,0.09510278787251719,0.017259806394577026,0.013836495578289032,0.0004893495266662939,0.000297900916778282,0.4392027083501046,0.349853515625,0.08934919272510461,0.08934919272510461,0.012482574209570885,0.009776046499609947,0.0002513857440599801,0.0001558146588974442,1.0338954830918862e-05,-0.00938651672584523,-0.026424674182429036
14:20260821:94,14.0,20260821,94,exp0_000004_rxg20_0_fulltrim,4,2,1433,1434,1,5,0,1,1,8.030162244751467e-08,1.3094359737727088e-05,wrong,1434,1433,0.0002321188268089025,0.4030693137670815,0.35009765625,0.052971657517081494,0.052971657517081494,0.030853286385536194,0.02083326131105423,0.001385950057642582,0.000951925280787913,0.40302911773720346,0.35009765625,0.05293146148720346,0.05293146148720346,0.021804139018058777,0.014720488339662552,0.0006921132552769743,0.00047542047831883316,0.4057953253100799,0.35009765625,0.05569766906007989,0.05569766906007989,0.015235446393489838,0.010404618456959724,0.00034037491204380946,0.0002321188268089025,1.6760732210685985e-06,-0.0028059965001069765,-0.00871164252722553
