packet_id,reference_id,payload_index,start_sample,gt_symbol,decision_q8,decision_q4,decision_q2,accepted,signal_power,offpacket_power,native_esn0_db,r_q8,theory_q8,dev_q8,abs_dev_q8,primary_amp_q8,secondary_amp_q8,pair_power_q8,strong_power_q8,r_q4,theory_q4,dev_q4,abs_dev_q4,primary_amp_q4,secondary_amp_q4,pair_power_q4,strong_power_q4,r_q2,theory_q2,dev_q2,abs_dev_q2,primary_amp_q2,secondary_amp_q2,pair_power_q2,strong_power_q2,ratio_variance,c_1m,c_multirate
exp0_000000_rxg20_0_fulltrim,0,10,1263380,713,713,713,713,1,6.285975786989332e-08,9.926245921143361e-08,34.13947621219055,0.21805314173706744,0.174072265625,0.04398087611206744,0.04398087611206744,0.03179354593157768,0.00886592548340559,0.0010894341975806405,0.0010108295629033398,0.21750725514050698,0.174072265625,0.04343498951550698,0.04343498951550698,0.022483432665467262,0.006249655038118362,0.0005445629325180786,0.0005055047444226003,0.22896286018638007,0.174072265625,0.05489059456138007,0.05489059456138007,0.015990564599633217,0.004748468287289143,0.0002782461072904337,0.000255698156215043,2.7838981754067744e-05,-0.0019343174635850244,-0.0068617321308531
exp0_000000_rxg20_0_fulltrim,0,11,1296149,797,797,797,797,1,6.41980468785086e-08,9.926245921143361e-08,34.2309673296172,0.2493844286523224,0.194580078125,0.05480435052732241,0.05480435052732241,0.0294782817363739,0.009793860837817192,0.0009648888042395644,0.0008689690941290351,0.2564541559614083,0.194580078125,0.0618740778364083,0.0618740778364083,0.02068444713950157,0.00713421031832695,0.00047874331033295747,0.00042784635346683475,0.2599705928969868,0.194580078125,0.06539051477198682,0.06539051477198682,0.014686621725559235,0.005159375723451376,0.00024231601556540792,0.0002156968577096685,1.937924959574965e-05,-0.003003516836721624,-0.011127217016568713
exp0_000000_rxg20_0_fulltrim,0,12,1328917,3881,3881,3881,3881,1,6.638878275846576e-08,9.926245921143361e-08,34.376696233070135,0.9782785703722398,0.947509765625,0.030768804747239753,0.030768804747239753,0.0007791150128468871,0.03508938103914261,0.0012318716819133843,0.0012312646617101408,0.9731564015224317,0.947509765625,0.025646635897431658,0.025646635897431658,0.0006814904627390206,0.024705957621335983,0.0006108487712380538,0.0006103843419872496,0.9770182866736163,0.947509765625,0.029508521048616343,0.029508521048616343,0.0004082094819750637,0.017354151234030724,0.00030133320003478446,0.0003011665650536101,4.748787294211227e-06,-0.0009467193455737636,-0.002479970880200039
exp0_000000_rxg20_0_fulltrim,0,13,1361685,693,693,693,693,1,6.707617489640913e-08,9.926245921143361e-08,34.42143205846207,0.20977713188032104,0.169189453125,0.040587678755321044,0.040587678755321044,0.03302917629480362,0.008768116123974323,0.0011678063470767159,0.0010909264867132173,0.2065645056511751,0.169189453125,0.037375052526175095,0.037375052526175095,0.0234004445374012,0.0060921162366867065,0.0005846946847892914,0.0005475808045479896,0.21249093824847468,0.169189453125,0.043301485123474676,0.043301485123474676,0.016639498993754387,0.004489780403673649,0.00029703105483636517,0.00027687292676315325,5.867590624706975e-06,-0.0016473596667451393,-0.004925140422602692
exp0_000000_rxg20_0_fulltrim,0,14,1394453,2437,2437,2437,2437,1,6.669297009117698e-08,9.926245921143361e-08,34.39654976028896,0.6038400188930312,0.594970703125,0.008869315768031183,0.008869315768031183,0.017172589898109436,0.02617502398788929,0.00098002972457523,0.0006851318807665797,0.6009039971768729,0.594970703125,0.005933294051872928,0.005933294051872928,0.012163087725639343,0.018313508480787277,0.000483325295897466,0.0003353845928758675,0.6042907429502231,0.594970703125,0.009320039825223114,0.009320039825223114,0.008452544920146465,0.012907948344945908,0.0002380606461028856,0.0001666151304757918,2.2548247363099746e-06,-7.866476219304657e-05,-0.0002029867075790921
exp0_000000_rxg20_0_fulltrim,0,15,1427222,1117,1117,1117,1117,1,6.649173228138338e-08,9.926245921143361e-08,34.38342564989246,0.3234920327013792,0.272705078125,0.05078695457637922,0.05078695457637922,0.028198949992656708,0.013484151102602482,0.0009770031116461695,0.0007951807806883537,0.3225270790443797,0.272705078125,0.049822000919379716,0.049822000919379716,0.019859476014971733,0.0094545753672719,0.00048378778296466213,0.00039439878758923755,0.317537658861485,0.272705078125,0.044832580736484995,0.044832580736484995,0.01417907141149044,0.00659727118909359,0.00024457005323458986,0.0002010460660921455,6.808890794094508e-06,-0.002579314755143206,-0.007078315717041419
exp0_000000_rxg20_0_fulltrim,0,16,1459990,3705,3705,3705,3705,1,6.725976160509957e-08,9.926245921143361e-08,34.43330241069218,0.9232099460287273,0.904541015625,0.018668930403727302,0.018668930403727302,0.0029088344890624285,0.03497152030467987,0.0012314685505053955,0.0012230072324206365,0.916364192036784,0.904541015625,0.011823176411783987,0.011823176411783987,0.002223952440544963,0.024366959929466248,0.0005986947006620196,0.0005937487362042138,0.9121219060231467,0.904541015625,0.007580890398146689,0.007580890398146689,0.0016542798839509487,0.017170432955026627,0.0002975604097975092,0.0002948237678630644,2.0867329945007397e-05,-0.0003485289624192136,-0.000566653692057099
exp0_000000_rxg20_0_fulltrim,0,17,1492758,3961,3961,3961,3961,1,6.763267734756565e-08,9.926245921143361e-08,34.45731497403797,0.9885162194523063,0.967041015625,0.021475203827306277,0.021475203827306277,0.0004442559729795903,0.03824125975370407,0.0014625913109197947,0.0014623939475502667,0.9955781162106224,0.967041015625,0.02853710058562242,0.02853710058562242,0.00012129008973715827,0.02730821631848812,0.0007457533897832093,0.0007457386784973409,0.99416218011811,0.967041015625,0.027121164493109973,0.027121164493109973,0.00011280486796749756,0.01921031065285206,0.00036904876031731846,0.0003690360353790813,9.30579252033311e-06,-0.0004611843794243502,-0.002020413845240944
exp0_000000_rxg20_0_fulltrim,0,18,1525526,661,661,661,661,1,6.599972254066516e-08,9.926245921143361e-08,34.351170271920964,0.2025476773385019,0.161376953125,0.0411707242135019,0.0411707242135019,0.03386654332280159,0.008601880632340908,0.0012209351070482386,0.001146942756635197,0.20538253143031418,0.161376953125,0.04400557830531418,0.04400557830531418,0.02385135553777218,0.006164792459458113,0.0006068918270574072,0.0005688871609892156,0.2031810323267172,0.161376953125,0.04180407920171719,0.04180407920171719,0.016865482553839684,0.00430053286254406,0.00030293908467569214,0.00028444450177387073,1.4760149517889272e-06,-0.001695028532264232,-0.005380576507104603
exp0_000000_rxg20_0_fulltrim,0,19,1558295,73,73,73,73,1,6.574391180668965e-08,9.926245921143361e-08,34.334304587236936,0.050506043850290325,0.017822265625,0.032683778225290325,0.032683778225290325,0.03588487580418587,0.0019088095286861062,0.0012913678652986473,0.0012877243114818443,0.04986829726949548,0.017822265625,0.03204603164449548,0.03204603164449548,0.025394311174750328,0.0013328373897820711,0.0006466474955476504,0.0006448710400400494,0.04969259007055197,0.017822265625,0.03187032444555197,0.03187032444555197,0.017878971993923187,0.0009349105530418456,0.0003205316973016787,0.00031965763955948967,1.221445303163008e-07,-0.001068229359079962,-0.0031110172280350316
exp0_000000_rxg20_0_fulltrim,0,20,1591063,2989,2989,2989,2989,1,6.626869349066005e-08,9.926245921143361e-08,34.36883325812668,0.7294745530670601,0.729736328125,-0.00026177505793989475,0.00026177505793989475,0.011221107095479965,0.030257826671004295,0.0010414493193007697,0.0009155360748525389,0.7299098734736793,0.729736328125,0.00017354534867930482,0.00017354534867930482,0.007788625080138445,0.02104850858449936,0.0005037023942707048,0.0004430397136317432,0.7383522788299329,0.729736328125,0.008615950704932929,0.008615950704932929,0.005331545136868954,0.015045261941850185,0.0002547852804453566,0.0002263599068988856,1.6697525197388315e-05,-6.852618095943526e-08,-9.10307759162302e-05
exp0_000000_rxg20_0_fulltrim,0,21,1623831,693,693,693,693,1,6.652362307658597e-08,9.926245921143361e-08,34.38550811572628,0.20036288657129572,0.169189453125,0.031173433446295723,0.031173433446295723,0.03411925211548805,0.008549167774617672,0.0012372116345587972,0.001164123364920236,0.19948411480429779,0.169189453125,0.030294661679297785,0.030294661679297785,0.024235393851995468,0.00603932561352849,0.000623827769027561,0.0005873543151613397,0.20355990013253625,0.169189453125,0.03437044700753625,0.03437044700753625,0.017125651240348816,0.0043770973570644855,0.00031244691167928184,0.00029328793040606094,3.0672401745680464e-06,-0.0009717829528306289,-0.0030739443467661678
exp0_000000_rxg20_0_fulltrim,0,22,1656599,3273,3273,3273,3273,1,6.679654523945706e-08,9.926245921143361e-08,34.40328918462139,0.8145235408960858,0.799072265625,0.015451275271085807,0.015451275271085807,0.007837281562387943,0.03441757708787918,0.001245992594888252,0.001184569612600106,0.8124007938379157,0.799072265625,0.013328528212915747,0.013328528212915747,0.005696664098650217,0.024669477716088295,0.0006410351126374272,0.000608583130784577,0.8044266696833626,0.799072265625,0.005354404058362627,0.005354404058362627,0.004210354294627905,0.017317909747362137,0.00031763708130407215,0.0002999099980177805,1.889327993239058e-05,-0.00023874190750286777,-0.00046395449457795957
exp0_000000_rxg20_0_fulltrim,0,23,1689368,3277,3277,3277,3277,1,6.76383617920378e-08,9.926245921143361e-08,34.45767997794186,0.8102895021078362,0.800048828125,0.010240673982836235,0.010240673982836235,0.007558673620223999,0.03228452801704407,0.0010994242961803735,0.0010422907492833033,0.8050220962073571,0.800048828125,0.004973268082357096,0.004973268082357096,0.005540802143514156,0.022876787930727005,0.0005540479144210278,0.0005233474260274568,0.810058324679889,0.800048828125,0.01000949655488903,0.01000949655488903,0.0037727258168160915,0.016089823096990585,0.00027311586738132236,0.0002588824072924517,5.906956127904007e-06,-0.00010487140362273896,-0.00023570177645197015
exp0_000000_rxg20_0_fulltrim,0,24,1722136,893,893,893,893,1,6.80420313290309e-08,9.926245921143361e-08,34.48352187973121,0.2437874184566742,0.218017578125,0.025769840331674204,0.025769840331674204,0.032567959278821945,0.010499241761863232,0.0011709060491610574,0.0010606719715870044,0.2463545079001297,0.218017578125,0.028336929775129693,0.028336929775129693,0.022998306900262833,0.007517774123698473,0.0005854390480536274,0.000528922120278677,0.2593381898877272,0.218017578125,0.04132061176272722,0.04132061176272722,0.016116484999656677,0.0056430883705616,0.00029158553510212626,0.0002597410887441587,4.633249314073553e-05,-0.0006640846707199825,-0.0032207917093873806
exp0_000000_rxg20_0_fulltrim,0,25,1754904,3605,3605,3605,3605,1,6.842685608202886e-08,9.926245921143361e-08,34.50801503899705,0.9005839956090034,0.880126953125,0.020457042484003374,0.020457042484003374,0.004107038490474224,0.03720460459589958,0.001401050368299469,0.0013841826031372323,0.8951574784719414,0.880126953125,0.015030525346941381,0.015030525346941381,0.003063006792217493,0.02615230344235897,0.0006933249859503914,0.0006839429753412209,0.8918820360429589,0.880126953125,0.011755082917958903,0.011755082917958903,0.0022167826537042856,0.018286587670445442,0.0003393134139626515,0.00033439928862888726,1.2877745737053222e-05,-0.00041849058719231895,-0.0007954669995425086
exp0_000000_rxg20_0_fulltrim,0,26,1787673,357,357,357,357,1,6.476401392503328e-08,9.926245921143361e-08,34.26908674888697,0.11167129096277767,0.087158203125,0.02451308783777767,0.02451308783777767,0.03456564620137215,0.004345227498561144,0.0012136648993326846,0.0011947838973184327,0.1209992353900605,0.087158203125,0.033841032265060494,0.033841032265060494,0.024378005415201187,0.0033557650167495012,0.0006055483068712181,0.0005942871480235784,0.10973131275064826,0.087158203125,0.022573109625648263,0.022573109625648263,0.01741822436451912,0.002146907616406679,0.0003080037523261125,0.0003033945400127275,2.4193349256643578e-05,-0.0006008914753426035,-0.002279845567535647
