trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power
10:20260819:37,10.0,20260819,37,exp0_000002_rxg20_0_fulltrim,2,6,3165,187,1,9,0,0,1,2.944709671099476e-08,1.2061530812823453e-05
10:20260819:38,10.0,20260819,38,exp0_000002_rxg20_0_fulltrim,2,8,173,2867,1,26,0,0,0,2.844139065605319e-08,1.1649593612719387e-05
10:20260819:39,10.0,20260819,39,exp0_000002_rxg20_0_fulltrim,2,9,1669,119,1,287,0,0,0,2.8904408243193406e-08,1.1839245616412018e-05
10:20260819:40,10.0,20260819,40,exp0_000002_rxg20_0_fulltrim,2,10,53,454,1,4,1,1,1,3.0146085913362616e-08,1.2347836790113328e-05
10:20260819:41,10.0,20260819,41,exp0_000002_rxg20_0_fulltrim,2,11,541,187,1,380,0,0,0,2.918315687256153e-08,1.1953421055001202e-05
10:20260819:42,10.0,20260819,42,exp0_000002_rxg20_0_fulltrim,2,12,213,3756,1,82,0,0,0,2.973033652740225e-08,1.217754584162396e-05
10:20260819:43,10.0,20260819,43,exp0_000002_rxg20_0_fulltrim,2,13,1301,67,1,55,0,0,0,3.006001965050024e-08,1.23125840488449e-05
10:20260819:44,10.0,20260819,44,exp0_000002_rxg20_0_fulltrim,2,14,2677,3785,1,101,0,0,0,2.8955769661715394e-08,1.1860283253438625e-05
10:20260819:45,10.0,20260819,45,exp0_000002_rxg20_0_fulltrim,2,15,1117,1507,1,363,0,0,0,2.915803053910802e-08,1.1943129308818645e-05
10:20260819:46,10.0,20260819,46,exp0_000002_rxg20_0_fulltrim,2,16,3085,3085,0,1,1,1,1,2.7375284707791176e-08,1.1212916616311265e-05
10:20260819:47,10.0,20260819,47,exp0_000002_rxg20_0_fulltrim,2,17,2501,3979,1,21,0,0,0,2.8294015271034982e-08,1.1589228655015929e-05
10:20260819:48,10.0,20260819,48,exp0_000002_rxg20_0_fulltrim,2,18,1409,1409,0,1,1,1,1,2.9683665142736638e-08,1.2158429242464927e-05
10:20260819:49,10.0,20260819,49,exp0_000002_rxg20_0_fulltrim,2,19,2009,175,1,61,0,0,0,2.877050545110491e-08,1.1784399032772571e-05
10:20260819:50,10.0,20260819,50,exp0_000002_rxg20_0_fulltrim,2,20,153,3709,1,27,0,0,0,2.871050379445332e-08,1.175982235420808e-05
10:20260819:51,10.0,20260819,51,exp0_000002_rxg20_0_fulltrim,2,21,2085,3454,1,7,0,1,1,3.0583522438251264e-08,1.2527010790707717e-05
10:20260819:52,10.0,20260819,52,exp0_000002_rxg20_0_fulltrim,2,23,1589,3994,1,6,0,1,1,3.0654694840829973e-08,1.2556163006803957e-05
10:20260819:53,10.0,20260819,53,exp0_000002_rxg20_0_fulltrim,2,24,169,169,0,1,1,1,1,2.970387430237634e-08,1.216670691425335e-05
10:20260819:54,10.0,20260819,54,exp0_000002_rxg20_0_fulltrim,2,25,2949,3627,1,3,1,1,1,3.068795020769464e-08,1.2569784405071725e-05
10:20260819:55,10.0,20260819,55,exp0_000002_rxg20_0_fulltrim,2,26,3433,3609,1,29,0,0,0,3.0631302435411055e-08,1.2546581477544368e-05
10:20260819:56,10.0,20260819,56,exp0_000002_rxg20_0_fulltrim,2,27,2973,2974,1,3,1,1,1,3.035187150887835e-08,1.2432126570036572e-05
10:20260819:57,10.0,20260819,57,exp0_000002_rxg20_0_fulltrim,2,28,989,3324,1,3,1,1,1,2.9685597820806067e-08,1.2159220867402165e-05
10:20260819:58,10.0,20260819,58,exp0_000002_rxg20_0_fulltrim,2,29,2545,3460,1,32,0,0,0,3.026040489320457e-08,1.2394661844256592e-05
10:20260819:59,10.0,20260819,59,exp0_000002_rxg20_0_fulltrim,2,30,2897,4058,1,19,0,0,0,3.020611617388162e-08,1.2372425184821912e-05
10:20260819:60,10.0,20260819,60,exp0_000002_rxg20_0_fulltrim,2,31,3949,295,1,7,0,1,1,2.9340935267037116e-08,1.2018047085378403e-05
10:20260819:61,10.0,20260819,61,exp0_000003_rxg20_0_fulltrim,3,0,3293,434,1,13,0,0,1,5.121082167596095e-08,2.0975952558473605e-05
10:20260819:62,10.0,20260819,62,exp0_000003_rxg20_0_fulltrim,3,1,313,3964,1,194,0,0,0,5.104155990421327e-08,2.0906622936765755e-05
10:20260819:63,10.0,20260819,63,exp0_000003_rxg20_0_fulltrim,3,2,1433,3892,1,10,0,0,1,5.190583120022059e-08,2.126062845961035e-05
10:20260819:64,10.0,20260819,64,exp0_000003_rxg20_0_fulltrim,3,3,2865,2866,1,245,0,0,0,5.050714270918412e-08,2.0687725653681817e-05
10:20260819:65,10.0,20260819,65,exp0_000003_rxg20_0_fulltrim,3,4,3469,3469,0,1,1,1,1,5.363718742013514e-08,2.1969791967287353e-05
10:20260819:66,10.0,20260819,66,exp0_000003_rxg20_0_fulltrim,3,5,3985,3985,0,1,1,1,1,5.4426619992905013e-08,2.2293143549093895e-05
10:20260819:67,10.0,20260819,67,exp0_000003_rxg20_0_fulltrim,3,6,3165,3165,0,1,1,1,1,5.551768183468996e-08,2.2740042479489008e-05
10:20260819:68,10.0,20260819,68,exp0_000003_rxg20_0_fulltrim,3,7,1669,3864,1,228,0,0,0,5.623764731608835e-08,2.303494034066979e-05
10:20260819:69,10.0,20260819,69,exp0_000003_rxg20_0_fulltrim,3,8,3949,3949,0,1,1,1,1,5.5429028909629816e-08,2.2703730241384372e-05
10:20260819:70,10.0,20260819,70,exp0_000003_rxg20_0_fulltrim,3,9,1669,3538,1,5,0,1,1,5.510321109689072e-08,2.2570275265286438e-05
10:20260819:71,10.0,20260819,71,exp0_000003_rxg20_0_fulltrim,3,10,969,969,0,1,1,1,1,5.236998567475801e-08,2.1450746132380882e-05
10:20260819:72,10.0,20260819,72,exp0_000003_rxg20_0_fulltrim,3,11,541,541,0,1,1,1,1,5.146162982794843e-08,2.1078683577527676e-05
10:20260819:73,10.0,20260819,73,exp0_000003_rxg20_0_fulltrim,3,12,3881,3823,1,59,0,0,0,5.3372025464603164e-08,2.1861181630301456e-05
10:20260819:74,10.0,20260819,74,exp0_000003_rxg20_0_fulltrim,3,13,1385,3748,1,121,0,0,0,5.518114853351036e-08,2.2602198439325845e-05
10:20260819:75,10.0,20260819,75,exp0_000003_rxg20_0_fulltrim,3,14,2485,3612,1,263,0,0,0,5.4668958061153547e-08,2.2392405221848493e-05
10:20260819:76,10.0,20260819,76,exp0_000003_rxg20_0_fulltrim,3,15,1441,3716,1,192,0,0,0,5.768076175710014e-08,2.362604001570822e-05
10:20260819:77,10.0,20260819,77,exp0_000003_rxg20_0_fulltrim,3,16,781,325,1,241,0,0,0,6.088178022130336e-08,2.4937177178645855e-05
10:20260819:78,10.0,20260819,78,exp0_000003_rxg20_0_fulltrim,3,17,1501,3227,1,248,0,0,0,6.054959530028768e-08,2.4801114234997833e-05
10:20260819:79,10.0,20260819,79,exp0_000003_rxg20_0_fulltrim,3,18,3913,3913,0,1,1,1,1,6.12067164916302e-08,2.5070271074971727e-05
10:20260819:80,10.0,20260819,80,exp0_000003_rxg20_0_fulltrim,3,19,3937,3937,0,1,1,1,1,6.201544848585949e-08,2.5401527699808048e-05
10:20260819:81,10.0,20260819,81,exp0_000003_rxg20_0_fulltrim,3,20,1881,173,1,16,0,0,1,6.272461308789527e-08,2.5692001520801904e-05
10:20260819:82,10.0,20260819,82,exp0_000003_rxg20_0_fulltrim,3,21,3693,3973,1,2,1,1,1,6.367111348141865e-08,2.607968808198908e-05
10:20260819:83,10.0,20260819,83,exp0_000003_rxg20_0_fulltrim,3,22,1329,157,1,57,0,0,0,6.604347503916389e-08,2.7051407376041526e-05
10:20260819:84,10.0,20260819,84,exp0_000003_rxg20_0_fulltrim,3,23,2549,4082,1,14,0,0,1,6.756247987885564e-08,2.767359175837927e-05
10:20260819:85,10.0,20260819,85,exp0_000003_rxg20_0_fulltrim,3,24,1289,3936,1,58,0,0,0,6.735450534052649e-08,2.758840538747965e-05
10:20260819:86,10.0,20260819,86,exp0_000003_rxg20_0_fulltrim,3,25,2737,2776,1,6,0,1,1,6.70837727965835e-08,2.7477513337480604e-05
10:20260819:87,10.0,20260819,87,exp0_000003_rxg20_0_fulltrim,3,26,769,3778,1,279,0,0,0,7.144233516283017e-08,2.9262780482695236e-05
10:20260819:88,10.0,20260819,88,exp0_000003_rxg20_0_fulltrim,3,27,125,125,0,1,1,1,1,7.061066522452057e-08,2.8922128475963628e-05
10:20260819:89,10.0,20260819,89,exp0_000003_rxg20_0_fulltrim,3,28,1081,3331,1,45,0,0,0,7.266508263716313e-08,2.976361784818202e-05
10:20260819:90,10.0,20260819,90,exp0_000003_rxg20_0_fulltrim,3,29,3285,3549,1,5,0,1,1,7.51784529148212e-08,3.079309431391077e-05
10:20260819:91,10.0,20260819,91,exp0_000003_rxg20_0_fulltrim,3,30,1741,3285,1,32,0,0,0,7.734548353416439e-08,3.168071005559373e-05
10:20260819:92,10.0,20260819,92,exp0_000003_rxg20_0_fulltrim,3,31,2133,865,1,288,0,0,0,7.826555026098304e-08,3.2057569386898655e-05
10:20260819:93,10.0,20260819,93,exp0_000004_rxg20_0_fulltrim,4,1,313,3196,1,113,0,0,0,8.157081366743916e-08,3.341140527818308e-05
10:20260819:94,10.0,20260819,94,exp0_000004_rxg20_0_fulltrim,4,2,1433,195,1,3,1,1,1,8.030162244751467e-08,3.289154455450201e-05
10:20260819:95,10.0,20260819,95,exp0_000004_rxg20_0_fulltrim,4,4,3469,209,1,39,0,0,0,7.58633036501803e-08,3.1073609175113855e-05
10:20260819:96,10.0,20260819,96,exp0_000004_rxg20_0_fulltrim,4,5,3985,716,1,2,1,1,1,7.015064903730328e-08,2.8733705845679422e-05
10:20260819:97,10.0,20260819,97,exp0_000004_rxg20_0_fulltrim,4,6,3165,3165,0,1,1,1,1,6.721845937988267e-08,2.753268096199994e-05
10:20260819:98,10.0,20260819,98,exp0_000004_rxg20_0_fulltrim,4,7,1669,956,1,363,0,0,0,6.0957886044426e-08,2.4968350123796887e-05
10:20260819:99,10.0,20260819,99,exp0_000004_rxg20_0_fulltrim,4,8,3245,172,1,9,0,0,1,5.7288762375525745e-08,2.3465477069015345e-05
10:20260819:100,10.0,20260819,100,exp0_000004_rxg20_0_fulltrim,4,9,1381,3426,1,284,0,0,0,5.143671891759314e-08,2.106848006864615e-05
10:20260819:101,10.0,20260819,101,exp0_000004_rxg20_0_fulltrim,4,10,709,3898,1,577,0,0,0,4.895049323003227e-08,2.0050122027021218e-05
10:20260819:102,10.0,20260819,102,exp0_000004_rxg20_0_fulltrim,4,11,609,3775,1,14,0,0,1,4.6849944792774036e-08,1.9189737387120245e-05
10:20260819:103,10.0,20260819,103,exp0_000004_rxg20_0_fulltrim,4,12,213,214,1,1596,0,0,0,4.5580639758656736e-08,1.86698300451458e-05
10:20260819:104,10.0,20260819,104,exp0_000004_rxg20_0_fulltrim,4,13,1385,953,1,332,0,0,0,4.4617085211113114e-08,1.827515810247193e-05
10:20260819:105,10.0,20260819,105,exp0_000004_rxg20_0_fulltrim,4,14,2473,981,1,52,0,0,0,4.4256107747480834e-08,1.812730173336815e-05
10:20260819:106,10.0,20260819,106,exp0_000004_rxg20_0_fulltrim,4,15,1449,1450,1,39,0,0,0,4.563515593836338e-08,1.869215987235364e-05
10:20260819:107,10.0,20260819,107,exp0_000004_rxg20_0_fulltrim,4,16,3157,219,1,49,0,0,0,4.70494773734987e-08,1.9271465932185065e-05
10:20260819:108,10.0,20260819,108,exp0_000004_rxg20_0_fulltrim,4,17,1013,4061,1,2,1,1,1,4.915906440463978e-08,2.0135552780140454e-05
10:20260819:109,10.0,20260819,109,exp0_000004_rxg20_0_fulltrim,4,18,2033,180,1,23,0,0,0,5.006619798609439e-08,2.0507114695104263e-05
10:20260819:110,10.0,20260819,110,exp0_000004_rxg20_0_fulltrim,4,19,1361,711,1,139,0,0,0,5.239450365795853e-08,2.1460788698299813e-05
10:20260819:111,10.0,20260819,111,exp0_000004_rxg20_0_fulltrim,4,20,185,185,0,1,1,1,1,5.395148196945539e-08,2.2098527014688926e-05
10:20260819:112,10.0,20260819,112,exp0_000004_rxg20_0_fulltrim,4,21,2965,544,1,4,1,1,1,5.7458506812434e-08,2.3535004390372967e-05
10:20260819:113,10.0,20260819,113,exp0_000004_rxg20_0_fulltrim,4,22,3321,3505,1,21,0,0,0,5.831985063599937e-08,2.388781082050534e-05
10:20260819:114,10.0,20260819,114,exp0_000004_rxg20_0_fulltrim,4,23,2253,3529,1,28,0,0,0,6.212196775232584e-08,2.5445157991352664e-05
10:20260819:115,10.0,20260819,115,exp0_000004_rxg20_0_fulltrim,4,24,3105,3105,0,1,1,1,1,6.49452103014986e-08,2.6601558139493826e-05
10:20260819:116,10.0,20260819,116,exp0_000004_rxg20_0_fulltrim,4,25,2373,2374,1,67,0,0,0,5.8547636028418385e-08,2.398111171724017e-05
10:20260819:117,10.0,20260819,117,exp0_000004_rxg20_0_fulltrim,4,26,3849,3849,0,1,1,1,1,5.850730340253594e-08,2.396459147367872e-05
10:20260819:118,10.0,20260819,118,exp0_000004_rxg20_0_fulltrim,4,27,465,3880,1,234,0,0,0,6.049199774171361e-08,2.4777522275005894e-05
10:20260819:119,10.0,20260819,119,exp0_000004_rxg20_0_fulltrim,4,28,469,469,0,1,1,1,1,5.688932824976974e-08,2.3301868851105685e-05
10:20260819:120,10.0,20260819,120,exp0_000004_rxg20_0_fulltrim,4,29,1277,327,1,46,0,0,0,5.9206405974189554e-08,2.425094388702804e-05
10:20260819:121,10.0,20260819,121,exp0_000004_rxg20_0_fulltrim,4,30,701,3990,1,153,0,0,0,5.894161321915254e-08,2.4142484774564882e-05
10:20260819:122,10.0,20260819,122,exp0_000004_rxg20_0_fulltrim,4,31,2945,2945,0,1,1,1,1,5.84143870995519e-08,2.3926532955976458e-05
10:20260819:123,10.0,20260819,123,exp0_000005_rxg20_0_fulltrim,5,0,3293,3293,0,1,1,1,1,7.249505305370264e-08,2.96939737307966e-05
10:20260819:124,10.0,20260819,124,exp0_000005_rxg20_0_fulltrim,5,1,313,313,0,1,1,1,1,7.13653638782939e-08,2.923125304454918e-05
10:20260819:125,10.0,20260819,125,exp0_000005_rxg20_0_fulltrim,5,2,1433,1434,1,23,0,0,0,7.34177059824057e-08,3.0071892370393377e-05
10:20260819:126,10.0,20260819,126,exp0_000005_rxg20_0_fulltrim,5,3,2865,443,1,8,0,1,1,7.379963170968246e-08,3.0228329148285937e-05
10:20260819:127,10.0,20260819,127,exp0_000005_rxg20_0_fulltrim,5,4,3469,157,1,23,0,0,0,7.13478549320875e-08,2.922408138018304e-05
10:20260819:128,10.0,20260819,128,exp0_000005_rxg20_0_fulltrim,5,5,3985,3985,0,1,1,1,1,7.13836115905981e-08,2.9238727307508978e-05
10:20260819:129,10.0,20260819,129,exp0_000005_rxg20_0_fulltrim,5,6,3165,3759,1,21,0,0,0,7.474616020142153e-08,3.061602721850226e-05
10:20260819:130,10.0,20260819,130,exp0_000005_rxg20_0_fulltrim,5,7,1669,1669,0,1,1,1,1,7.21146055350827e-08,2.953814242716987e-05
10:20260819:131,10.0,20260819,131,exp0_000005_rxg20_0_fulltrim,5,8,1169,4095,1,4,1,1,1,7.319520731070152e-08,2.9980756914463342e-05
10:20260819:132,10.0,20260819,132,exp0_000005_rxg20_0_fulltrim,5,9,665,266,1,30,0,0,0,7.108724047885675e-08,2.9117333700139725e-05
10:20260819:133,10.0,20260819,133,exp0_000005_rxg20_0_fulltrim,5,10,197,197,0,1,1,1,1,7.095845389543231e-08,2.9064582715569074e-05
10:20260819:134,10.0,20260819,134,exp0_000005_rxg20_0_fulltrim,5,11,993,3653,1,23,0,0,0,7.257523556474177e-08,2.9726816487318226e-05
10:20260819:135,10.0,20260819,135,exp0_000005_rxg20_0_fulltrim,5,12,4053,4053,0,1,1,1,1,7.264942060432588e-08,2.975720267953188e-05
10:20260819:136,10.0,20260819,136,exp0_000005_rxg20_0_fulltrim,5,13,1333,24,1,70,0,0,0,7.129279860818548e-08,2.9201530309912774e-05
10:20260819:137,10.0,20260819,137,exp0_000005_rxg20_0_fulltrim,5,14,2681,223,1,220,0,0,0,7.219362232585112e-08,2.957050770466862e-05
10:20260819:138,10.0,20260819,138,exp0_000005_rxg20_0_fulltrim,5,15,1101,1102,1,777,0,0,0,7.42442024293012e-08,3.041042531504177e-05
10:20260819:139,10.0,20260819,139,exp0_000005_rxg20_0_fulltrim,5,16,3589,4058,1,88,0,0,0,7.236800005619763e-08,2.9641932823018553e-05
10:20260819:140,10.0,20260819,140,exp0_000005_rxg20_0_fulltrim,5,17,1489,1489,0,1,1,1,1,7.449941647545796e-08,3.051496098834758e-05
10:20260819:141,10.0,20260819,141,exp0_000005_rxg20_0_fulltrim,5,18,2549,3080,1,15,0,0,1,7.155321407299494e-08,2.930819648429873e-05
10:20260819:142,10.0,20260819,142,exp0_000005_rxg20_0_fulltrim,5,19,697,697,0,1,1,1,1,7.269648988430673e-08,2.9776482256612036e-05
10:20260819:143,10.0,20260819,143,exp0_000005_rxg20_0_fulltrim,5,20,985,3950,1,795,0,0,0,7.351215678369982e-08,3.0110579418603444e-05
10:20260819:144,10.0,20260819,144,exp0_000005_rxg20_0_fulltrim,5,21,2509,4074,1,9,0,0,1,7.270385147654732e-08,2.977949756479378e-05
10:20260819:145,10.0,20260819,145,exp0_000005_rxg20_0_fulltrim,5,22,1597,3595,1,37,0,0,0,7.198547749976708e-08,2.9485251583904598e-05
10:20260819:146,10.0,20260819,146,exp0_000005_rxg20_0_fulltrim,5,23,185,823,1,3,1,1,1,7.44806000905469e-08,3.0507253797088012e-05
10:20260819:147,10.0,20260819,147,exp0_000005_rxg20_0_fulltrim,5,24,1801,537,1,430,0,0,0,7.353438407213862e-08,3.011968371594798e-05
10:20260819:148,10.0,20260819,148,exp0_000005_rxg20_0_fulltrim,5,25,2865,3434,1,9,0,0,1,7.200372553035296e-08,2.9492725977232572e-05
10:20260819:149,10.0,20260819,149,exp0_000005_rxg20_0_fulltrim,5,26,1881,1881,0,1,1,1,1,7.311661664373236e-08,2.9948566177272775e-05
10:20260819:150,10.0,20260819,150,exp0_000005_rxg20_0_fulltrim,5,27,3313,131,1,4,1,1,1,7.324219131919251e-08,3.0000001564341254e-05
10:20260819:151,10.0,20260819,151,exp0_000005_rxg20_0_fulltrim,5,28,705,561,1,4,1,1,1,7.165320786012896e-08,2.934915393950882e-05
10:20260819:152,10.0,20260819,152,exp0_000005_rxg20_0_fulltrim,5,29,3225,217,1,1699,0,0,0,7.328661707209845e-08,3.0018198352731527e-05
10:20260819:153,10.0,20260819,153,exp0_000005_rxg20_0_fulltrim,5,30,3929,277,1,6,0,1,1,7.336083072909742e-08,3.0048596266638306e-05
10:20260819:154,10.0,20260819,154,exp0_000005_rxg20_0_fulltrim,5,31,4025,3416,1,19,0,0,0,7.284002814379635e-08,2.9835275527698985e-05
10:20260819:155,10.0,20260819,155,exp0_000006_rxg20_0_fulltrim,6,0,3293,3,1,32,0,0,0,7.721268182147939e-08,3.162631447407796e-05
10:20260819:156,10.0,20260819,156,exp0_000006_rxg20_0_fulltrim,6,1,313,142,1,157,0,0,0,7.39910849543863e-08,3.030674839731663e-05
10:20260819:157,10.0,20260819,157,exp0_000006_rxg20_0_fulltrim,6,2,1433,958,1,5,0,1,1,7.619259322312635e-08,3.120848618419255e-05
10:20260819:158,10.0,20260819,158,exp0_000006_rxg20_0_fulltrim,6,3,2865,3197,1,11,0,0,1,7.754608874146294e-08,3.176287794850322e-05
10:20260819:159,10.0,20260819,159,exp0_000006_rxg20_0_fulltrim,6,4,3469,3469,0,1,1,1,1,7.49369313530366e-08,3.069416708220379e-05
10:20260819:160,10.0,20260819,160,exp0_000006_rxg20_0_fulltrim,6,5,3985,3778,1,2,1,1,1,7.659248267263495e-08,3.137228090271128e-05
10:20260819:161,10.0,20260819,161,exp0_000006_rxg20_0_fulltrim,6,6,3165,3165,0,1,1,1,1,7.639391653583376e-08,3.129094821307751e-05
10:20260819:162,10.0,20260819,162,exp0_000006_rxg20_0_fulltrim,6,7,1669,3830,1,4,1,1,1,7.495432637858539e-08,3.0701292084668575e-05
10:20260819:163,10.0,20260819,163,exp0_000006_rxg20_0_fulltrim,6,8,3921,3922,1,2,1,1,1,7.478145525579894e-08,3.063048407277525e-05
10:20260819:164,10.0,20260819,164,exp0_000006_rxg20_0_fulltrim,6,9,1669,129,1,49,0,0,0,7.608145762312547e-08,3.1162965042432194e-05
10:20260819:165,10.0,20260819,165,exp0_000006_rxg20_0_fulltrim,6,10,197,182,1,689,0,0,0,7.570743370610979e-08,3.100976484602257e-05
10:20260819:166,10.0,20260819,166,exp0_000006_rxg20_0_fulltrim,6,11,609,3626,1,139,0,0,0,7.549229698214117e-08,3.0921644843885026e-05
10:20260819:167,10.0,20260819,167,exp0_000006_rxg20_0_fulltrim,6,12,4073,51,1,47,0,0,0,7.545443665365099e-08,3.0906137253335445e-05
10:20260819:168,10.0,20260819,168,exp0_000006_rxg20_0_fulltrim,6,13,745,635,1,170,0,0,0,7.385922865413451e-08,3.0252740056733496e-05
10:20260819:169,10.0,20260819,169,exp0_000006_rxg20_0_fulltrim,6,14,2629,3293,1,36,0,0,0,7.413186609765663e-08,3.0364412353600158e-05
10:20260819:170,10.0,20260819,170,exp0_000006_rxg20_0_fulltrim,6,15,1469,3579,1,126,0,0,0,7.64935689551758e-08,3.133176584404001e-05
10:20260819:171,10.0,20260819,171,exp0_000006_rxg20_0_fulltrim,6,16,3937,4045,1,3,1,1,1,7.543974187496847e-08,3.0900118271987085e-05
