trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power,wrong_symbol,c_1m_true,c_1m_wrong,delta_c_1m,c_multirate_true,c_multirate_wrong,delta_c_multirate,ratio_variance_true,ratio_variance_wrong,delta_wrong_minus_true_ratio_variance,c_1m_true_wins,c_multirate_true_wins,true_ratio_variance_is_lower
10:20260821:82,10.0,20260821,82,exp0_000003_rxg20_0_fulltrim,3,21,3693,3910,1,46,0,0,0,6.367111348141865e-08,2.607968808198908e-05,3910,-0.0025403301055175673,-0.00010426108258820964,-0.0024360690229293575,-0.006921951028772339,-0.00015619867813237065,-0.006765752350639968,3.2361559225174164e-06,7.47361767822348e-06,4.237461755706064e-06,0,0,1
10:20260821:83,10.0,20260821,83,exp0_000003_rxg20_0_fulltrim,3,22,1329,112,1,42,0,0,0,6.604347503916389e-08,2.7051407376041526e-05,112,-0.004599567871213472,-0.0026106501054076426,-0.001988917765805829,-0.014252769449022267,-0.0069932602543649365,-0.007259509194657331,1.3839265316936838e-06,9.661213334518909e-06,8.277286802825225e-06,0,0,1
10:20260821:84,10.0,20260821,84,exp0_000003_rxg20_0_fulltrim,3,23,2549,182,1,526,0,0,0,6.756247987885564e-08,2.767359175837927e-05,182,-1.4604108373790135e-05,-0.0010759276376728875,0.0010613235292990975,-0.0001923534173212719,-0.0028650951096169715,0.0026727416922956997,1.4953294217144438e-05,7.099440289542581e-06,-7.853853927601858e-06,1,1,0
10:20260821:85,10.0,20260821,85,exp0_000003_rxg20_0_fulltrim,3,24,1289,3664,1,70,0,0,0,6.735450534052649e-08,2.758840538747965e-05,3664,-0.0018357345984120331,-4.243271930051283e-06,-0.0018314913264819818,-0.00583424894339556,-1.9073740650082523e-05,-0.005815175202745477,7.997714651997949e-07,4.369974040755494e-06,3.5702025755556988e-06,0,0,1
10:20260821:86,10.0,20260821,86,exp0_000003_rxg20_0_fulltrim,3,25,2737,3515,1,37,0,0,0,6.70837727965835e-08,2.7477513337480604e-05,3515,-0.020744567368012504,-0.004360096289992506,-0.016384471078019998,-0.057323774757340094,-0.012040230791786885,-0.04528354396555321,2.010552069033871e-05,4.1514371454094914e-06,-1.5954083544929218e-05,0,0,0
10:20260821:87,10.0,20260821,87,exp0_000003_rxg20_0_fulltrim,3,26,769,3722,1,5,0,1,1,7.144233516283017e-08,2.9262780482695236e-05,3722,-0.025077060096137204,-0.0004888398460405555,-0.02458822025009665,-0.08035936390569993,-0.0013513021598703919,-0.07900806174582954,1.4325928230100745e-05,1.9395897343395974e-06,-1.2386338495761148e-05,0,0,0
10:20260821:89,10.0,20260821,89,exp0_000003_rxg20_0_fulltrim,3,28,1081,3503,1,156,0,0,0,7.266508263716313e-08,2.976361784818202e-05,3503,-0.016698921359803255,-0.002255898462888586,-0.014443022896914669,-0.050521245669271596,-0.007099240792975221,-0.043422004876296376,5.9228749105465695e-06,6.570282536105369e-06,6.474076255587995e-07,0,0,1
10:20260821:90,10.0,20260821,90,exp0_000003_rxg20_0_fulltrim,3,29,3285,1019,1,3,1,1,1,7.51784529148212e-08,3.079309431391077e-05,1019,-0.004466006082877521,-0.03355581134719686,0.02908980526431934,-0.01217644920950816,-0.10508730079826066,0.09291085158875251,5.487030532241462e-06,8.684730025175092e-06,3.1976994929336295e-06,1,1,1
10:20260821:91,10.0,20260821,91,exp0_000003_rxg20_0_fulltrim,3,30,1741,584,1,455,0,0,0,7.734548353416439e-08,3.168071005559373e-05,584,-0.0030498644440101175,-0.00039662974213963394,-0.0026532347018704836,-0.007866069166719225,-0.0008262718224143354,-0.00703979734430489,9.61271499168138e-06,1.4046764046891136e-05,4.434049055209756e-06,0,0,1
10:20260821:92,10.0,20260821,92,exp0_000003_rxg20_0_fulltrim,3,31,2133,3816,1,46,0,0,0,7.826555026098304e-08,3.2057569386898655e-05,3816,-0.014105498910672112,-5.900364602973678e-05,-0.014046495264642375,-0.04407685788028541,-0.0002195066636363195,-0.04385735121664909,5.841304812299285e-06,1.8615125928926806e-05,1.277382111662752e-05,0,0,1
