energy_weight,coherence_weight,phase_local_weight,rank_weight,adaptive,low_energy_weight,low_coherence_weight,low_phase_local_weight,low_rank_weight,symbol_count,phase_line_ser,savaux_ser,stage1_top40_recall,actual_viterbi_candidate_recall,ser_-26,savaux_ser_-26,ser_-25,savaux_ser_-25,ser_-24,savaux_ser_-24,ser_-23,savaux_ser_-23,ser_-22,savaux_ser_-22,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok_rate,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue_rate,C_savaux_ok_phase_break,C_savaux_ok_phase_break_rate,D_stage1_top40_miss,D_stage1_top40_miss_rate,E0_gt_in_top40_but_not_actual_candidates,E0_gt_in_top40_but_not_actual_candidates_rate,E1_gt_in_candidates_local_score_loss,E1_gt_in_candidates_local_score_loss_rate,E2_gt_in_candidates_transition_loss,E2_gt_in_candidates_transition_loss_rate,E3_lock_or_high_conf_removed_gt,E3_lock_or_high_conf_removed_gt_rate,Z_other,Z_other_rate,variant
0.65,0.15,0.15,0.0,1,0.45,0.2,0.2,0.0,9625,0.1308051948051948,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3625974025974025,0.4077922077922077,0.19064935064935054,0.24727272727272723,0.07688311688311687,0.1231168831168831,0.019740259740259735,0.03896103896103895,0.004155844155844156,0.010909090909090908,7865,0.8171428571428572,501,0.05205194805194805,166,0.017246753246753246,171,0.017766233766233767,124,0.012883116883116883,727,0.07553246753246753,7,0.0007272727272727272,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.45_c0.20_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.6,0.25,0.25,0.0,9625,0.13090909090909092,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.363116883116883,0.4077922077922077,0.1916883116883116,0.24727272727272723,0.07636363636363636,0.1231168831168831,0.019220779220779218,0.03896103896103895,0.004155844155844156,0.010909090909090908,7876,0.8182857142857143,489,0.050805194805194805,155,0.016103896103896103,171,0.017766233766233767,124,0.012883116883116883,739,0.07677922077922078,7,0.0007272727272727272,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.60_c0.25_p0.25_r0.00
0.65,0.15,0.15,0.0,1,0.45,0.15,0.2,0.0,9625,0.13090909090909092,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3625974025974025,0.4077922077922077,0.19116883116883113,0.24727272727272723,0.07636363636363636,0.1231168831168831,0.020259740259740255,0.03896103896103895,0.004155844155844156,0.010909090909090908,7868,0.8174545454545454,497,0.05163636363636363,163,0.016935064935064935,171,0.017766233766233767,124,0.012883116883116883,730,0.07584415584415584,8,0.0008311688311688312,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.45_c0.15_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.5,0.25,0.2,0.0,9625,0.13101298701298703,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3625974025974025,0.4077922077922077,0.1927272727272727,0.24727272727272723,0.07688311688311687,0.1231168831168831,0.018701298701298698,0.03896103896103895,0.004155844155844156,0.010909090909090908,7875,0.8181818181818182,489,0.050805194805194805,156,0.01620779220779221,171,0.017766233766233767,124,0.012883116883116883,739,0.07677922077922078,7,0.0007272727272727272,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.50_c0.25_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.6,0.3,0.25,0.0,9625,0.13101298701298703,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.36467532467532454,0.4077922077922077,0.1916883116883116,0.24727272727272723,0.07584415584415584,0.1231168831168831,0.018701298701298698,0.03896103896103895,0.004155844155844156,0.010909090909090908,7875,0.8181818181818182,489,0.050805194805194805,156,0.01620779220779221,171,0.017766233766233767,124,0.012883116883116883,739,0.07677922077922078,7,0.0007272727272727272,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.60_c0.30_p0.25_r0.00
0.65,0.15,0.15,0.0,1,0.45,0.25,0.2,0.0,9625,0.13101298701298703,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3636363636363635,0.4077922077922077,0.19116883116883113,0.24727272727272723,0.07688311688311687,0.1231168831168831,0.019220779220779218,0.03896103896103895,0.004155844155844156,0.010909090909090908,7863,0.816935064935065,501,0.05205194805194805,168,0.017454545454545455,171,0.017766233766233767,124,0.012883116883116883,728,0.07563636363636364,6,0.0006233766233766234,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.45_c0.25_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.55,0.3,0.25,0.0,9625,0.13101298701298703,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3657142857142856,0.4077922077922077,0.1896103896103895,0.24727272727272723,0.07636363636363636,0.1231168831168831,0.019220779220779218,0.03896103896103895,0.004155844155844156,0.010909090909090908,7863,0.816935064935065,501,0.05205194805194805,168,0.017454545454545455,171,0.017766233766233767,124,0.012883116883116883,730,0.07584415584415584,4,0.0004155844155844156,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.55_c0.30_p0.25_r0.00
0.65,0.15,0.15,0.0,1,0.6,0.15,0.25,0.0,9625,0.1311168831168831,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3625974025974025,0.4077922077922077,0.19116883116883113,0.24727272727272723,0.07740259740259739,0.1231168831168831,0.020259740259740255,0.03896103896103895,0.004155844155844156,0.010909090909090908,7879,0.8185974025974025,484,0.05028571428571429,152,0.01579220779220779,171,0.017766233766233767,124,0.012883116883116883,747,0.07761038961038962,4,0.0004155844155844156,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.60_c0.15_p0.25_r0.00
0.65,0.15,0.15,0.0,1,0.5,0.3,0.2,0.0,9625,0.1311168831168831,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.36207792207792194,0.4077922077922077,0.1932467532467532,0.24727272727272723,0.07740259740259739,0.1231168831168831,0.018701298701298698,0.03896103896103895,0.004155844155844156,0.010909090909090908,7876,0.8182857142857143,487,0.0505974025974026,155,0.016103896103896103,171,0.017766233766233767,124,0.012883116883116883,742,0.07709090909090908,6,0.0006233766233766234,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.50_c0.30_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.55,0.15,0.25,0.0,9625,0.1311168831168831,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3625974025974025,0.4077922077922077,0.19220779220779216,0.24727272727272723,0.07636363636363636,0.1231168831168831,0.020259740259740255,0.03896103896103895,0.004155844155844156,0.010909090909090908,7866,0.8172467532467532,497,0.05163636363636363,165,0.017142857142857144,171,0.017766233766233767,124,0.012883116883116883,735,0.07636363636363637,3,0.0003116883116883117,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.55_c0.15_p0.25_r0.00
