packet_index,frame_index,frame_symbol_index,payload_symbol_index,start_sample,gt_bin,ordinary_fft_bin,savaux_bin,gls_crossfit_bin,gls_offpacket_bin,dechirp_pnr_db,dechirp_gt_bin_power,dechirp_total_fft_energy,dechirp_residual_fft_energy,dechirp_gt_symbol_snr_db,savaux_margin_db,branch_color_mismatch,ordinary_fft_correct,savaux_correct,gls_crossfit_correct,gls_offpacket_correct
7,0,21,13,30469556,426,426,426,426,426,19.22241349546261,8.737195011445395e-06,0.00016604158549433435,0.00015730439048288895,-12.553688151392093,11.201872589706777,0.144733237066867,1,1,1,1
7,0,22,14,30473652,765,765,765,765,765,18.212213123652546,6.345570243218633e-06,0.0001500460833062681,0.00014370051306304948,-13.54987662767378,12.549700954608616,0.1860474113728298,1,1,1,1
7,0,23,15,30477748,1023,1023,1023,1023,1023,18.918674469220754,7.865763818553674e-06,0.00015682932079759437,0.0001489635569790407,-12.77339132002772,13.69456882038711,0.15027835248723204,1,1,1,1
7,0,24,16,30481844,597,597,597,597,597,18.949833354003236,7.547334072528485e-06,0.0001495925005268,0.00014204516645427152,-12.746328861631138,11.189679733833946,0.16437761741421092,1,1,1,1
7,0,25,17,30485940,562,562,562,562,562,18.669388792890086,7.2920612147654045e-06,0.000155963134899116,0.0001486710736843506,-13.09376172084794,12.697192615187413,0.14128361859424082,1,1,1,1
7,0,26,18,30490036,827,827,827,827,827,18.748552710197373,7.4374765779083255e-06,0.00015412366692336613,0.0001466861903454578,-12.94963618400584,13.299708174120962,0.1469118486468201,1,1,1,1
7,0,27,19,30494132,890,890,890,890,890,18.589985395507078,6.8821051493538434e-06,0.00014538174658092489,0.00013849964143157104,-13.037273452619962,11.842783867867983,0.1585893633735603,1,1,1,1
7,0,28,20,30498228,174,174,174,174,174,17.05102571071459,5.348846364151198e-06,0.00015526179785927538,0.00014991295149512418,-14.475790309041955,12.15947955942478,0.14838926548796139,1,1,1,1
7,0,29,21,30502324,267,267,267,267,267,11.886928829725134,5.511369816579468e-06,0.0005099681633415666,0.0005044567935249872,-19.61564421606353,8.882222659491699,0.15619640320460984,1,1,1,1
7,0,30,22,30506420,917,909,917,917,917,10.96875400445166,3.7045430864636486e-06,0.0005152500297955766,0.0005115454867091129,-21.401496070015703,7.516065753830827,0.13120411207180566,0,1,1,1
7,0,31,23,30510516,656,656,656,656,656,16.540091657083,4.698466432731009e-06,0.0001557526370219972,0.0001510541705892662,-15.071765921274016,11.29172059442148,0.17978810434741405,1,1,1,1
7,0,32,24,30514612,889,889,889,889,889,17.073064404487976,4.81437239286108e-06,0.00014692690102376587,0.0001421125286309048,-14.7009268696662,12.057587685183584,0.14465414288766282,1,1,1,1
7,0,33,25,30518708,66,66,66,66,66,15.995239390123315,4.086611557465247e-06,0.000152637178655299,0.00014855056709783376,-15.60510955170831,13.588881013216632,0.1428175664971159,1,1,1,1
7,0,34,26,30522804,586,586,586,586,586,18.369638600307848,6.186837163704717e-06,0.00013993968707083743,0.0001337528499071327,-13.348343587905143,12.108318614352262,0.15860189852612555,1,1,1,1
7,0,35,27,30526900,425,425,425,425,425,16.64929193071857,4.740782006704711e-06,0.00015633940864019825,0.00015159862663349354,-15.048452811353703,12.256403152555501,0.1441204009915661,1,1,1,1
7,0,36,28,30530996,860,860,860,860,860,18.494352961685625,6.109595928137422e-06,0.00013877733080103357,0.00013266773487289615,-13.367528260443713,11.529290647087029,0.15526757548187795,1,1,1,1
7,0,37,29,30535093,553,553,553,553,553,18.631216042588417,7.426980426132471e-06,0.0001536793928895715,0.00014625241246343904,-12.942907592591016,10.987608285750222,0.1354319002484947,1,1,1,1
7,0,38,30,30539189,629,629,629,629,629,17.54913715780774,5.486211248850357e-06,0.0001448489920544489,0.00013936278080559853,-14.048742772590945,11.997218359200252,0.12167585783452232,1,1,1,1
