packet_index,frame_index,event_index,payload_len,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,center_symbol_accuracy,multi_raw_ser,multi_symbol_ser,multi_symbol_accuracy,selected_raw_ser,selected_symbol_ser,selected_symbol_accuracy,locked_symbol_count,uncertain_symbol_count,locked_ratio,false_lock_count,locked_with_gt_count,false_lock_rate,uncertain_candidate_hits,uncertain_candidate_total,uncertain_candidate_recall,mean_selected_offset_coherence,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,center_crc_valid,center_payload_hex,center_decode_error,multi_crc_valid,multi_payload_hex,multi_decode_error,selected_crc_valid,selected_payload_hex,selected_decode_error,dataset,target_snr_db
8,8,8,33,35,35,0.8285714285714286,0.8285714285714286,0.17142857142857137,0.3142857142857143,0.3142857142857143,0.6857142857142857,0.22857142857142856,0.22857142857142856,0.7714285714285715,6,29,0.17142857142857143,0,6,0.0,29,29,1.0,0.9264607319138768,0.9380028971896519,0.3645367084188792,26,0,4034888de5631301681301f37730f93227382a2a2b9ff7465dc110b51f511b6a39,,0,40c43baa11000b11483030f37730f9323738393a3b1c3d1e3f4061e043faf6b612,,0,4044332211000b1148303033f3fcb5323f38393a3b3c3d3e3f4061e0c172dc3612,,0_0_0_10_14_8,-22.0
9,9,9,33,35,35,0.7428571428571429,0.7428571428571429,0.2571428571428571,0.2,0.2,0.8,0.11428571428571428,0.11428571428571428,0.8857142857142857,6,29,0.17142857142857143,0,6,0.0,28,29,0.9655172413793104,0.9413430580516626,0.014459245299049517,0.4052195536544411,26,0,4074723164476c633e9d883526643562261a2b1a0a9e3d363fe2090a6d7ef87413,,0,4044332211001c10c838b97333303136331a1b18193e3d3e3f4041424378563412,,0,4044332211009c00d03039727770317637183b3a393e3d3e3f4041424378563412,,0_0_0_10_14_8,-22.0
0,0,0,33,35,35,0.6285714285714286,0.6285714285714286,0.37142857142857144,0.2,0.2,0.8,0.02857142857142857,0.02857142857142857,0.9714285714285714,18,17,0.5142857142857142,0,18,0.0,17,17,1.0,0.9472540925160812,0.9022524621755444,0.1603652381372938,26,0,4064577113250010193471a37a2979663f30a13bb304bf3c26f34257426817b4da,,0,400477665500130058303162777470779312b1b83b3e35beb7c841424378563412,,0,404433221100130058303172777471763338393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-23.0
1,1,1,33,35,35,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.11428571428571428,0.11428571428571428,0.8857142857142857,0.02857142857142857,0.02857142857142857,0.9714285714285714,15,20,0.42857142857142855,0,15,0.0,20,20,1.0,0.9645105616159236,0.8676064265776839,0.13609434383528762,26,0,40943bafd149013259333343209c8ffcb632133011767df49baec920ed1074f68d,,0,404433221100140158303132777471763738393a3b3c3d3e3f4041424378563412,,0,404433221100040049213133333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-23.0
2,2,2,33,35,35,0.6285714285714286,0.6285714285714286,0.37142857142857144,0.08571428571428572,0.08571428571428572,0.9142857142857143,0.0,0.0,1.0,20,15,0.5714285714285714,0,20,0.0,15,15,1.0,0.9564586722719051,0.8797518645782691,0.15368088109516734,26,0,40b47fa87fde0ac4d12821a6845f1b9e7635697f23103d387b22c74a4bf85e2403,,0,404433221100050049302132337475723338393a3b7c797a7f4045424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-23.0
3,3,3,33,35,35,0.6571428571428571,0.6571428571428571,0.34285714285714286,0.08571428571428572,0.08571428571428572,0.9142857142857143,0.05714285714285714,0.05714285714285714,0.9428571428571428,22,13,0.6285714285714286,1,22,0.045454545454545456,13,13,1.0,0.9361034427751781,0.8872932208752051,0.15517407824485724,26,0,40045d64f54614ecd210fb3433150406f53a73404b0b0d0e3c621076106d461353,,0,40443322110016007830313233343536b7383132333c3d3e3f4041424378563412,,0,40443322110016005830313233343536b7383132333c3d3e3f4041424378563412,,0_0_0_10_14_8,-23.0
4,4,4,33,35,35,0.8285714285714286,0.8285714285714286,0.17142857142857137,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.02857142857142857,0.02857142857142857,0.9714285714285714,12,23,0.34285714285714286,0,12,0.0,23,23,1.0,0.9396236982318174,0.9130345888887598,0.126331079614266,26,0,40d4eab6d84d0b0a861bc022f681a18450721d1e530ea55bc5fe870545f4837292,,0,40442222000057601c501132333435363738393a3b0c2d1d1e7040424378563412,,0,404433221100170058303132333435363738393a3b3c1f1c3d4243424378563412,,0_0_0_10_14_8,-23.0
5,5,5,33,35,35,0.9142857142857143,0.9142857142857143,0.08571428571428574,0.7714285714285715,0.7714285714285715,0.22857142857142854,0.5428571428571428,0.5428571428571428,0.4571428571428572,1,34,0.02857142857142857,0,1,0.0,30,34,0.8823529411764706,0.92654251931857,0.6615719251310955,0.2889298164223998,26,0,401439d904eb56db8a5c56bd32ce29518f8488f8ed8d52767289041645d59d3038,,0,401419cab46becaa8ec433e53a983b091e18193839b49fbc3fca438f9b3ccfbd1c,,0,4064398831aa7018a4f599953bbe591cffda7dde5b303d3e3f400147df3083a193,,0_0_0_10_14_8,-23.0
6,6,6,33,35,35,0.9428571428571428,0.9428571428571428,0.05714285714285716,0.5428571428571428,0.5428571428571428,0.4571428571428572,0.34285714285714286,0.34285714285714286,0.6571428571428571,4,31,0.11428571428571428,0,4,0.0,30,31,0.967741935483871,0.9297401533517045,0.9425888069259266,0.4714237748043836,26,0,40f439eecfdc6cba5b096105e62662e9943089711736287bb3c8393cf2d6b0b5e8,,0,4054622605401988d830396a3efd37bd3638292b3abcb5afb7d86046015c347087,,0,4044776615401900d0b0b11abb2e27a42d28382b2bbc2cb73fc80942037812f01a,,0_0_0_10_14_8,-23.0
7,7,7,33,35,35,0.8857142857142857,0.8857142857142857,0.11428571428571432,0.45714285714285713,0.45714285714285713,0.5428571428571429,0.22857142857142856,0.22857142857142856,0.7714285714285715,7,28,0.2,0,7,0.0,27,28,0.9642857142857143,0.915743534623583,0.16825926402444746,0.6487579501520712,26,0,40b47cf730631a01d9b1a9ab8d5675603425783e6af97aa42536c8f8f95aecc79b,,0,4064312231228a0048b0213333343536573b1b5a7b3e3e2f0e413102812b077752,,0,404433001300080158313032333435362739283b3b1c3c2d2c632364417c123212,,0_0_0_10_14_8,-23.0
