file_name,lab_name,experiment_id,corridor_id,position_id,tx_power_dbm,filename_sf,filename_tx_power_dbm,filename_preamble_len,header_packet_counter,packet_avg_power_db,preamble_peak_to_residual_db,preamble_peak_width_3db_bins_avg,preamble_peak_mag_bin_-8,preamble_peak_mag_bin_-7,preamble_peak_mag_bin_-6,preamble_peak_mag_bin_-5,preamble_peak_mag_bin_-4,preamble_peak_mag_bin_-3,preamble_peak_mag_bin_-2,preamble_peak_mag_bin_-1,preamble_peak_mag_bin_+0,preamble_peak_mag_bin_+1,preamble_peak_mag_bin_+2,preamble_peak_mag_bin_+3,preamble_peak_mag_bin_+4,preamble_peak_mag_bin_+5,preamble_peak_mag_bin_+6,preamble_peak_mag_bin_+7,preamble_peak_mag_bin_+8
1_0_11_12_14_16.bin,lab1-SF12-TP14,1,0,11,14,12,14,16,,-33.4376369,4.16679955,0.877423942,0.0181350708,0.0543511175,0.0282437857,0.0700553954,0.0488992184,0.102533571,0.107878648,0.240807742,1,0.40178591,0.165280953,0.105272382,0.0769306794,0.0612540133,0.0506119803,0.0426586494,0.0369270667
1_0_11_12_14_16.bin,lab1-SF12-TP14,1,0,11,14,12,14,16,,-33.1649403,3.74844885,0.915901721,0.019106349,0.0582953058,0.02904208,0.0738545284,0.0505910218,0.111230195,0.112367928,0.254301786,1,0.436400026,0.180103928,0.111204103,0.0832458735,0.0625472516,0.0544505902,0.0445559099,0.0408523157
1_0_11_12_14_16.bin,lab1-SF12-TP14,1,0,11,14,12,14,16,,-33.1980216,8.27830124,0.720653296,0.00662234053,0.0382147804,0.0117423441,0.0495716296,0.0222133286,0.0708574876,0.0605499893,0.165986568,1,0.208598197,0.0976539403,0.0603874624,0.0476540178,0.0336786844,0.0311506316,0.0254713539,0.0237128343
1_0_11_12_14_16.bin,lab1-SF12-TP14,1,0,11,14,12,14,16,,-32.6003571,11.3175983,0.665821731,0.0043357187,0.0302091166,0.00522604166,0.0365404971,0.0118069928,0.0501655489,0.0355492197,0.115009591,1,0.127756715,0.0595036298,0.0384347737,0.0297967512,0.0220565777,0.0194916595,0.0164336078,0.0146413445
1_0_11_12_14_16.bin,lab1-SF12-TP14,1,0,11,14,12,14,16,,-33.0814834,13.5257416,0.612639844,0.0134496996,0.0165471174,0.0110032763,0.0190556422,0.0133518269,0.0238247234,0.0147926817,0.0483959988,1,0.0438160188,0.020598961,0.0152649535,0.0102429353,0.00953986775,0.00696699787,0.00716702128,0.00573913055
1_0_11_12_14_16.bin,lab1-SF12-TP14,1,0,11,14,12,14,16,,-32.7495811,12.1372595,0.635656595,0.0262561105,0.00570505066,0.030893039,0.0070584123,0.0406838022,0.0145731168,0.0642048642,0.0803004056,1,0.0792001933,0.0386446416,0.029628545,0.018897865,0.017456241,0.0126248002,0.0131446775,0.00887397211
1_0_11_12_14_16.bin,lab1-SF12-TP14,1,0,11,14,12,14,16,,-32.0443567,11.1921854,0.658740044,0.0302935373,0.00543248514,0.036163941,0.00939645711,0.0482108556,0.0265149232,0.0801806599,0.122180596,1,0.10135857,0.0535494089,0.0384068452,0.0275980718,0.0231754482,0.0178835951,0.0168070346,0.0140680447
1_0_11_12_14_16.bin,lab1-SF12-TP14,1,0,11,14,12,14,16,,-33.6508485,13.4670467,0.62513262,0.0238578264,0.0064482931,0.0277555659,0.00708834501,0.0347503461,0.012736612,0.0546579249,0.0653944165,1,0.0636765659,0.0337147415,0.0230832826,0.0180387236,0.0139028616,0.0117649455,0.00982409995,0.00933678821
1_0_11_12_14_16.bin,lab1-SF12-TP14,1,0,11,14,12,14,16,,-32.9374566,9.60002327,0.680088758,0.0336880684,0.00858366303,0.0406020209,0.0154177099,0.0546651557,0.0352992602,0.0985193029,0.153471217,1,0.124580398,0.0636228919,0.0452515148,0.0328013822,0.0290308166,0.0227633007,0.0209086165,0.0168063175
1_0_11_12_14_16.bin,lab1-SF12-TP14,1,0,11,14,12,14,16,,-34.2318967,5.67869377,0.791125417,0.0461995862,0.0211232826,0.0591663793,0.03540067,0.0821331218,0.0734842718,0.158745736,0.313280255,1,0.192456007,0.106184594,0.0751393735,0.0572768524,0.0477984436,0.0391437747,0.0326716863,0.0295691285
