target_snr_db,packet_index,event_index,frame_index,payload_symbol_count,argmax_correct_rate,gt_bin_amp_mean,gt_bin_amp_std,gt_peak_energy_ratio_mean,gt_peak_energy_ratio_std,phase_slope_pi_per_symbol,phase_linear_r2,phase_linear_rmse_pi,phase_residual_std_pi,phase_residual_peak_to_peak_pi,phase_residual_quad_r2,mean_gt_bin_rank,gt_top8_recall,gt_top16_recall,gt_top32_recall
-25.0,0,0,0,35,0.08571428571428572,11.338235065129476,3.064902926710865,0.004229111897612595,0.002052743128927019,-0.05007825949024485,0.8342837411785968,0.22541093590576977,0.22541093590576977,0.9877394011904704,0.6780359014936939,68.91428571428571,0.4,0.5428571428571428,0.6571428571428571
-25.0,1,1,1,35,0.14285714285714285,11.851279765836297,3.5498930488569336,0.004628219278430777,0.002767161758520226,-0.045047646950555936,0.824733789833781,0.20973185613154435,0.20973185613154435,0.7786681657895917,0.806279971235212,60.68571428571428,0.3142857142857143,0.5142857142857142,0.7428571428571429
-25.0,2,2,2,35,0.14285714285714285,10.967457950185404,3.9777798529411403,0.004174039044780804,0.002485776186582782,-0.042465802551534204,0.7650179967535871,0.23769546561640123,0.23769546561640123,0.951569753749197,0.5606278155379607,113.11428571428571,0.37142857142857144,0.45714285714285713,0.5714285714285714
-25.0,3,3,3,35,0.2857142857142857,13.13124487293213,3.981277877276068,0.0057004466885779695,0.0032906952190833055,-0.046794021823256995,0.8529166861428459,0.19625415346624492,0.19625415346624492,0.7374512959080314,0.7504688321197123,39.22857142857143,0.5428571428571428,0.6,0.6857142857142857
-25.0,4,4,4,35,0.22857142857142856,11.731451845322658,3.9931961278026207,0.004695082356930287,0.002705225982431926,-0.04422506106201673,0.7635675521211468,0.24854116750348607,0.24854116750348604,1.1010659023435654,0.70946122753042,92.85714285714286,0.45714285714285713,0.6285714285714286,0.6857142857142857
-25.0,5,5,5,35,0.02857142857142857,8.129573697327116,3.5785934859316653,0.002415336554229234,0.0017349858036942846,0.023360292312703937,0.07518624337167401,0.8274396087871128,0.6102138932402567,1.941455583591229,0.04492146890212567,249.74285714285713,0.05714285714285714,0.2,0.2857142857142857
-25.0,6,6,6,35,0.08571428571428572,10.388970464927928,3.4991723402949564,0.003672784436555241,0.0023379363823388434,-0.030693680864795486,0.056151387842948375,1.2709251751889692,0.42598623161916765,1.5214953871277317,0.2144410304640264,110.57142857142857,0.34285714285714286,0.37142857142857144,0.4
-25.0,7,7,7,35,0.05714285714285714,8.02337297502007,3.176820821397749,0.0022627457400671075,0.0016770614909254584,-0.05024263690108939,0.21926203786988296,0.9575102587622973,0.7123988518301907,1.9709750374065473,0.013218515746399984,236.4,0.11428571428571428,0.2,0.22857142857142856
-25.0,8,8,8,35,0.05714285714285714,9.427975820618501,3.6950802946393217,0.003134517142302023,0.0024958243616155476,-0.043908624272354015,0.1999522420413571,0.8870431228546097,0.7144085332350921,1.9880012150850999,0.0022265957954310522,154.74285714285713,0.2,0.2571428571428571,0.2857142857142857
-25.0,9,9,9,35,0.0,9.369022361946788,2.964755284555372,0.0029446024176145286,0.0017596247796614582,-0.05596948530971448,0.42228638702999854,0.6611563278406101,0.4635132547067439,1.8362561337408758,0.01625492590328459,139.8,0.14285714285714285,0.22857142857142856,0.42857142857142855
