dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_32,-21.0,7,0.5428571428571428,0.4571428571428572,0.0,0.15918367346938772,0.8408163265306123,0.42857142857142855,0.15510204081632648,0.8448979591836735,0.42857142857142855,0.3877551020408163,0.42857142857142855,0.004081632653061246,0.0,0.5510204081632654,0.0,0.8578231292517007,0.7909523644383977,0.4137919985935538
0_0_0_10_14_32,-22.0,7,0.673469387755102,0.32653061224489793,0.0,0.24489795918367346,0.7551020408163266,0.0,0.24489795918367346,0.7551020408163266,0.0,0.42857142857142855,0.0,0.0,0.0,0.40408163265306124,0.0,0.842795299938157,0.8520247064514114,0.38987538127757804
0_0_0_10_14_32,-23.0,7,0.7755102040816327,0.22448979591836737,0.0,0.34285714285714286,0.6571428571428573,0.0,0.35102040816326535,0.6489795918367347,0.0,0.4244897959183674,0.0,-0.008163265306122491,0.0,0.26530612244897955,0.0,0.7603392639106925,0.8426166551394019,0.3809855402568851
0_0_0_10_14_32,-24.0,7,0.8530612244897959,0.14693877551020407,0.0,0.5142857142857143,0.48571428571428577,0.0,0.5061224489795919,0.4938775510204082,0.0,0.346938775510204,0.0,0.008163265306122436,0.0,0.1387755102040816,0.0,0.6819938893671613,0.7111632963535774,0.4093606145621234
0_0_0_10_14_32,-25.0,7,0.8979591836734694,0.1020408163265306,0.0,0.6489795918367347,0.35102040816326535,0.0,0.6530612244897959,0.34693877551020413,0.0,0.24489795918367352,0.0,-0.004081632653061162,0.0,0.061224489795918366,0.0,0.5361003052247292,0.685108430682896,0.4417833550008136
0_0_0_10_14_32,-26.0,7,0.9346938775510203,0.06530612244897961,0.0,0.763265306122449,0.236734693877551,0.0,0.7755102040816327,0.22448979591836737,0.0,0.15918367346938755,0.0,-0.01224489795918371,0.0,0.024489795918367346,0.0,0.42432109207319296,0.7136853559780015,0.43201228921376195
mean_of_datasets,-12.0,28,0.02040816326530612,0.9795918367346937,0.9523809523809524,0.004081632653061224,0.9959183673469388,0.9523809523809524,0.0027210884353741495,0.9972789115646258,0.9523809523809524,0.01768707482993197,0.0,0.001360544217687075,0.0,0.8314285714285714,0.0,0.41774891774891776,0.9618296029437917,0.20656840570064536
mean_of_datasets,-13.0,28,0.02585034013605442,0.9741496598639455,0.9523809523809524,0.008163265306122448,0.9918367346938775,0.9523809523809524,0.005442176870748299,0.9945578231292517,0.9523809523809524,0.02040816326530612,0.0,0.00272108843537415,0.0,0.8277179962894249,0.0,0.40187590187590194,0.961209314675013,0.2131731223171163
mean_of_datasets,-14.0,28,0.034013605442176874,0.9659863945578232,0.9523809523809524,0.012244897959183673,0.9877551020408163,0.9523809523809524,0.012244897959183673,0.9877551020408163,0.9523809523809524,0.0217687074829932,0.0,0.0,0.0,0.8175510204081632,0.0,0.47231498660070087,0.953751834423974,0.2195022288472898
mean_of_datasets,-15.0,28,0.043042671614100185,0.9569573283858998,0.9220779220779222,0.017687074829931974,0.982312925170068,0.9523809523809524,0.017687074829931974,0.982312925170068,0.9523809523809524,0.02535559678416821,0.030303030303030314,0.0,0.0,0.8186641929499072,0.0,0.46995670995670996,0.9522567643135417,0.22184105263238196
