phase_index,phase_sample,copy_count,peak_bin,signed_peak_bin,peak_power,median_power,peak_to_median,selected
154,630784,8,31567,-1201,576551.7876462516,1.176618718185087,490007.32245325175,False
155,634880,8,31567,-1201,574361.8472594847,1.2205009575065113,470595.16318029637,False
156,638976,8,31408,-1360,575684.0030054651,1.148700308677253,501161.18073335825,False
157,643072,8,31408,-1360,627152.6029764002,1.3767949030576423,455516.36019540316,False
158,647168,8,31408,-1360,616956.6225337114,2.1221211050846507,290726.396837329,False
159,651264,8,31408,-1360,614996.8359593673,1.5955537163479319,385444.1437214885,False
160,655360,8,31408,-1360,614740.5044367767,1.3007902212140434,472590.04135427147,False
161,659456,8,31431,-1337,602155.2354065328,1.5151141753177937,397432.24980403297,False
162,663552,8,31431,-1337,530677.0380360511,1.316516066719362,403091.95721283514,False
163,667648,8,31431,-1337,531332.0107767864,1.2746541762240098,416844.0512632104,False
164,671744,8,1336,1336,473903.9556956256,1.3516953638975657,350599.67530637997,False
165,675840,8,1336,1336,474899.47512251744,0.9311584079757553,510009.32929865405,False
166,679936,8,32088,-680,574178.3568742946,4.060715589052569,141398.318666356,False
167,684032,8,64,64,596530.8501247689,3.988604949090744,149558.76998065607,False
168,688128,8,64,64,595991.5843106242,3.9991269067520063,149030.42544220586,False
169,692224,8,64,64,596693.5527549478,3.2731130225567706,182301.54248961576,False
170,696320,8,64,64,594314.597844057,2.7119827108738175,219143.9478803186,False
171,700416,8,64,64,592430.7844934328,4.0719511466909,145490.6415011575,False
172,704512,8,64,64,592767.9598595446,5.468060793192803,108405.51747293708,False
173,708608,8,64,64,593269.3265418964,5.760529029956354,102988.68792375333,False
174,712704,8,31223,-1545,481213.2225242972,1.109043440262238,433899.3451965347,False
175,716800,8,31223,-1545,480763.3821295981,1.1337351762902728,424052.6290299272,False
176,720896,8,31223,-1545,479240.6243140718,1.1032423293561364,434392.8904484308,False
177,724992,8,31223,-1545,477033.0991374315,1.2438215931693124,383522.1238778546,False
178,729088,8,1329,1329,438618.34552921116,2.0727083298550486,211616.0480523978,False
179,733184,8,352,352,497522.1259119132,1.1545017747633715,430940.97972598276,False
180,737280,8,352,352,497117.9668956286,1.3472649316209617,368983.0821154984,False
181,741376,8,352,352,518718.6274328117,1.8022163074240665,287822.6244519026,False
182,745472,8,352,352,512440.13895552536,1.5466549112027987,331321.5735739087,False
183,749568,8,352,352,512269.0576621932,1.6188504312815757,316440.0167942948,False
184,753664,8,352,352,512483.8445201729,2.232486183258639,229557.4540900979,False
185,757760,8,352,352,514214.9278561571,2.191548914931866,234635.38703271144,False
186,761856,8,441,441,472020.86737691757,1.7048133785898847,276875.3890043635,False
187,765952,8,440,440,470408.4027454353,4.660387680289299,100937.61185040172,False
188,770048,8,440,440,470897.1674691266,4.220851232601655,111564.50239988066,False
189,774144,8,30749,-2019,462187.8214044375,1.9860014748432357,232722.798678143,False
190,778240,8,30749,-2019,460196.6324873631,2.132864087163095,215764.63088159868,False
191,782336,8,32256,-512,457418.66026216204,3.2654248815678715,140079.37002137853,False
192,786432,8,32256,-512,458780.47734659375,3.8708610869584072,118521.55555059922,False
193,790528,8,32256,-512,457373.7437991787,4.197765184074317,108956.48606891713,False
194,794624,8,64,64,427329.9839601834,3.861497207015314,110664.32553255209,False
