packet_index,frame_index,event_index,source_header_valid,header_symbols,payload_symbols,crc_valid,header_mismatches,known_prefix_symbols,known_prefix_mismatches,padding_suffix_symbols,padding_suffix_mismatches,payload_hex,crc_hex,eligible,selected,selected_symbols,exclusion_reason,gt_provenance,decoded_payload_len,decoded_cr,decoded_has_crc,decoded_ldro,dataset,iq_path,symbol_csv_path
0,0,0,1,8,35,1,0,30,0,5,5,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,6413,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_8,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_8_header_first_symbols.csv
2,1,2,1,8,35,1,0,30,0,5,5,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,a008,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_16_header_first_symbols.csv
3,2,3,1,8,35,1,0,30,0,5,5,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,8dc0,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_16_header_first_symbols.csv
5,3,5,1,8,35,1,0,30,0,5,5,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,e54b,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_16_header_first_symbols.csv
6,4,6,1,8,35,1,0,30,0,5,5,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,510e,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_16_header_first_symbols.csv
8,5,8,1,8,35,1,0,30,0,5,5,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,2a8e,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_16_header_first_symbols.csv
9,6,9,1,8,35,1,0,30,0,5,5,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,f640,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_16_header_first_symbols.csv
10,7,10,1,8,35,1,0,30,0,5,5,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,4205,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_16_header_first_symbols.csv
11,8,11,1,8,35,1,0,30,0,5,5,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,6fcd,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_16_header_first_symbols.csv
12,9,12,1,8,35,1,0,30,0,5,5,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,db88,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_16_header_first_symbols.csv
13,10,13,1,8,35,1,0,30,0,5,5,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,0746,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_16_header_first_symbols.csv
0,0,0,1,8,35,1,0,30,0,5,5,404433221100010058303132333435363738393a3b3c3d3e3f4041424378563412,c883,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_32,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_32_header_first_symbols.csv
2,1,2,1,8,35,1,0,30,0,5,5,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,a008,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_32,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_32_header_first_symbols.csv
3,2,3,1,8,35,1,0,30,0,5,5,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,8dc0,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_32,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_32_header_first_symbols.csv
4,3,4,1,8,35,1,0,30,0,5,5,404433221100050058303132333435363738393a3b3c3d3e3f4041424378563412,3985,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_32,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_32_header_first_symbols.csv
5,4,5,1,8,35,1,0,30,0,5,5,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,e54b,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_32,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_32_header_first_symbols.csv
6,5,6,1,8,35,1,0,30,0,5,5,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,510e,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_32,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_32_header_first_symbols.csv
7,6,7,1,8,35,1,0,30,0,5,5,404433221100080058303132333435363738393a3b3c3d3e3f4041424378563412,9ecb,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_32,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_32_header_first_symbols.csv
