dataset,noise_model,added_snr_db,run_count,symbol_count,savaux_equal_errors,savaux_equal_ser,savaux_gls_errors,savaux_gls_ser,savaux_nus_joint_gls_errors,savaux_nus_joint_gls_ser,segmented_savaux_gls_errors,segmented_savaux_gls_ser,segmented_savaux_nus_gls_errors,segmented_savaux_nus_gls_ser,savaux_gls_vs_equal_fixes,savaux_gls_vs_equal_breaks,savaux_gls_vs_equal_exact_p,full_nus_vs_savaux_gls_fixes,full_nus_vs_savaux_gls_breaks,full_nus_vs_savaux_gls_exact_p,segmented_savaux_vs_savaux_gls_fixes,segmented_savaux_vs_savaux_gls_breaks,segmented_savaux_vs_savaux_gls_exact_p,segmented_nus_vs_segmented_savaux_fixes,segmented_nus_vs_segmented_savaux_breaks,segmented_nus_vs_segmented_savaux_exact_p,full_nus_run_wins,full_nus_run_ties,full_nus_run_losses,segmented_savaux_run_wins,segmented_savaux_run_ties,segmented_savaux_run_losses,segmented_nus_run_wins,segmented_nus_run_ties,segmented_nus_run_losses
0_0_0_10_14_32,ar1_rho0.8,-28.0,3,630,602,0.9555555555555556,602,0.9555555555555556,602,0.9555555555555556,572,0.9079365079365079,571,0.9063492063492063,0,0,1.0,0,0,1.0,41,11,3.5887916129517805e-05,2,1,1.0,0,3,0,3,0,0,1,1,1
0_0_0_10_14_32,ar1_rho0.8,-26.0,3,630,580,0.9206349206349206,580,0.9206349206349206,580,0.9206349206349206,493,0.7825396825396825,493,0.7825396825396825,0,0,1.0,0,0,1.0,94,7,1.4633698424991997e-20,1,1,1.0,0,3,0,3,0,0,0,3,0
0_0_0_10_14_32,ar1_rho0.8,-24.0,3,630,504,0.8,504,0.8,504,0.8,356,0.5650793650793651,356,0.5650793650793651,0,0,1.0,0,0,1.0,161,13,1.2337025060340168e-33,1,1,1.0,0,3,0,3,0,0,1,1,1
0_0_0_10_14_32,ar1_rho0.8,-22.0,3,630,374,0.5936507936507937,374,0.5936507936507937,375,0.5952380952380952,185,0.29365079365079366,183,0.2904761904761905,0,0,1.0,0,1,1.0,200,11,4.558551636785988e-46,2,0,0.5,0,2,1,3,0,0,1,2,0
0_0_0_10_14_32,ar1_rho0.8,-20.0,3,630,204,0.3238095238095238,204,0.3238095238095238,204,0.3238095238095238,93,0.14761904761904762,93,0.14761904761904762,0,0,1.0,0,0,1.0,111,0,7.703719777548943e-34,0,0,1.0,0,3,0,3,0,0,0,3,0
0_0_0_10_14_32,awgn,-28.0,3,630,436,0.692063492063492,436,0.692063492063492,436,0.692063492063492,436,0.692063492063492,436,0.692063492063492,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_32,awgn,-26.0,3,630,288,0.45714285714285713,288,0.45714285714285713,288,0.45714285714285713,288,0.45714285714285713,288,0.45714285714285713,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_32,awgn,-24.0,3,630,134,0.2126984126984127,134,0.2126984126984127,134,0.2126984126984127,134,0.2126984126984127,134,0.2126984126984127,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_32,awgn,-22.0,3,630,82,0.13015873015873017,82,0.13015873015873017,82,0.13015873015873017,82,0.13015873015873017,82,0.13015873015873017,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_32,awgn,-20.0,3,630,63,0.1,63,0.1,63,0.1,63,0.1,63,0.1,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_8,ar1_rho0.8,-28.0,3,900,866,0.9622222222222222,866,0.9622222222222222,866,0.9622222222222222,813,0.9033333333333333,814,0.9044444444444445,0,0,1.0,0,0,1.0,65,12,5.917714592428801e-10,0,1,1.0,0,3,0,3,0,0,0,2,1
0_0_0_10_14_8,ar1_rho0.8,-26.0,3,900,815,0.9055555555555556,815,0.9055555555555556,815,0.9055555555555556,698,0.7755555555555556,699,0.7766666666666666,0,0,1.0,0,0,1.0,139,22,5.691305713073813e-22,1,2,1.0,0,3,0,3,0,0,0,2,1
0_0_0_10_14_8,ar1_rho0.8,-24.0,3,900,710,0.7888888888888889,710,0.7888888888888889,710,0.7888888888888889,514,0.5711111111111111,514,0.5711111111111111,0,0,1.0,0,0,1.0,217,21,3.1966685754937075e-42,0,0,1.0,0,3,0,3,0,0,0,3,0
0_0_0_10_14_8,ar1_rho0.8,-22.0,3,900,510,0.5666666666666667,508,0.5644444444444444,508,0.5644444444444444,270,0.3,272,0.3022222222222222,2,0,0.5,0,0,1.0,256,18,4.737284010096494e-55,0,2,0.5,0,3,0,3,0,0,0,2,1
0_0_0_10_14_8,ar1_rho0.8,-20.0,3,900,276,0.30666666666666664,276,0.30666666666666664,276,0.30666666666666664,84,0.09333333333333334,83,0.09222222222222222,0,0,1.0,0,0,1.0,197,5,8.51009441145322e-52,1,0,1.0,0,3,0,3,0,0,1,2,0
0_0_0_10_14_8,awgn,-28.0,3,900,607,0.6744444444444444,607,0.6744444444444444,607,0.6744444444444444,607,0.6744444444444444,607,0.6744444444444444,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_8,awgn,-26.0,3,900,345,0.38333333333333336,345,0.38333333333333336,345,0.38333333333333336,345,0.38333333333333336,345,0.38333333333333336,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_8,awgn,-24.0,3,900,118,0.13111111111111112,118,0.13111111111111112,118,0.13111111111111112,118,0.13111111111111112,118,0.13111111111111112,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_8,awgn,-22.0,3,900,13,0.014444444444444444,13,0.014444444444444444,13,0.014444444444444444,13,0.014444444444444444,13,0.014444444444444444,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_8,awgn,-20.0,3,900,1,0.0011111111111111111,1,0.0011111111111111111,1,0.0011111111111111111,1,0.0011111111111111111,1,0.0011111111111111111,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
