trial_id,packet_id,reference_id,esn0_db,seed,sync_status,estimate_available,strict_gate,decoder_aware_gate,extra_decoder_candidate,gate_failure_reasons,strict_crc_accept,decoder_aware_crc_accept,strict_packet_delivered,decoder_aware_packet_delivered,oracle_packet_delivered,strict_crc_false_delivery,decoder_aware_crc_false_delivery,extra_candidate_crc_rescue,extra_candidate_crc_reject,extra_candidate_crc_false_accept,fec_corrected_packet,current_all_symbol_errors,sync_ms,current_decode_ms,oracle_decode_ms,strict_modeled_decode_ms,decoder_aware_modeled_decode_ms,extra_modeled_decode_ms,signal_power,added_noise_power,current_decode_status,current_header_valid,current_crc_valid,current_payload_exact,current_payload_hex,current_header_symbols_decoded,current_payload_symbols_decoded,current_header_symbol_errors,current_payload_symbol_errors,oracle_decode_status,oracle_header_valid,oracle_crc_valid,oracle_payload_exact,oracle_payload_hex,oracle_header_symbols_decoded,oracle_payload_symbols_decoded,oracle_header_symbol_errors,oracle_payload_symbol_errors,frame_sync_valid,netid_valid,noisy_cfo_total_bins,noisy_payload_start_sample
exp0_000005_rxg20_0_fulltrim:13:20260821,exp0_000005_rxg20_0_fulltrim,5,13.0,20260821,ok,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,8,11461.513999998715,212.00790000148118,209.53889999873354,212.00790000148118,212.00790000148118,0.0,7.242874646077204e-08,1.4868628715014318e-05,ok,1,1,1,4044332211000100580500696c1cdf732c76fbd40d64a24146908274c978563412,8,56,0,8,ok,1,1,1,4044332211000100580500696c1cdf732c76fbd40d64a24146908274c978563412,8,56,0,8,1,1,-128.7420781833635,673551
exp0_000006_rxg20_0_fulltrim:13:20260821,exp0_000006_rxg20_0_fulltrim,6,13.0,20260821,sync_invalid,1,0,0,0,locator_sfd,0,0,0,0,1,0,0,0,0,0,0,61,11748.202800001309,32.22810000079335,253.52769999881275,0.0,0.0,0.0,7.561376789538686e-08,1.5522469951743422e-05,header_invalid,0,0,0,,8,0,5,56,ok,1,1,1,404433221100010058060050b704e1aeae8c5d1c65e040aec124ce72a478563412,8,56,0,9,1,1,651.2184400439528,679793
exp0_000007_rxg20_0_fulltrim:13:20260821,exp0_000007_rxg20_0_fulltrim,7,13.0,20260821,sync_invalid,1,0,1,1,framesync_preamble_all_bin0,0,1,0,1,1,0,0,1,0,0,1,8,11674.641800000245,310.9006999984558,421.3920000001963,0.0,310.9006999984558,310.9006999984558,7.449895515307498e-08,1.529361417883315e-05,ok,1,1,1,40443322110001005807003d9b8e75346b7dde1ef9483e616e436db67278563412,8,56,0,8,ok,1,1,1,40443322110001005807003d9b8e75346b7dde1ef9483e616e436db67278563412,8,56,0,8,0,1,-128.75638545654266,673552
exp0_000008_rxg20_0_fulltrim:13:20260821,exp0_000008_rxg20_0_fulltrim,8,13.0,20260821,ok,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,10,13421.362900000531,499.3328999989899,403.68820000003325,499.3328999989899,499.3328999989899,0.0,6.982488910305618e-08,1.4334092496032479e-05,ok,1,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412,8,56,0,10,ok,1,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412,8,56,0,10,1,1,-128.72664163031928,673552
exp0_000000_rxg20_0_fulltrim:13:20260822,exp0_000000_rxg20_0_fulltrim,0,13.0,20260822,sync_invalid,1,0,0,0,framesync_preamble_all_bin0|framesync_netid,0,0,0,0,0,0,0,0,0,0,0,62,12338.009400002193,36.35829999984708,286.7052000001422,0.0,0.0,0.0,6.153250447488309e-08,1.2631779613050637e-05,header_invalid,0,0,0,,8,0,6,56,ok,1,0,0,4044332211000100580000b9883a2d118aa87066a99f804226edf223af78563412,8,56,2,12,0,0,652.2785187354781,679799
exp0_000002_rxg20_0_fulltrim:13:20260822,exp0_000002_rxg20_0_fulltrim,2,13.0,20260822,ok,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,10,11023.894799996924,258.22859999971115,280.49280000050203,258.22859999971115,258.22859999971115,0.0,2.9434755784562603e-08,6.042551838375642e-06,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412,8,56,1,9,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412,8,56,1,9,1,1,-129.93319145013018,673544
exp0_000003_rxg20_0_fulltrim:13:20260822,exp0_000003_rxg20_0_fulltrim,3,13.0,20260822,sync_invalid,1,0,0,0,framesync_preamble_all_bin0|framesync_netid,0,0,0,0,1,0,0,0,0,0,1,8,9836.910699999862,231.6484999973909,262.2889000012947,0.0,0.0,0.0,5.3735255547964695e-08,1.1031111301668438e-05,ok,1,1,1,40443322110001005803005cb3bdd7ae69bf3b145befd6bdb97c37853778563412,8,56,0,8,ok,1,1,1,40443322110001005803005cb3bdd7ae69bf3b145befd6bdb97c37853778563412,8,56,0,8,0,0,-128.8718088034104,673552
exp0_000004_rxg20_0_fulltrim:13:20260822,exp0_000004_rxg20_0_fulltrim,4,13.0,20260822,sync_invalid,1,0,1,1,framesync_preamble_all_bin0,0,1,0,1,1,0,0,1,0,0,1,8,10548.594500000036,308.5333000017272,335.6899999998859,0.0,308.5333000017272,308.5333000017272,6.126035586516529e-08,1.2575911234389784e-05,ok,1,1,1,4044332211000100580400316343646b6fa44c91c2d78b3aac4af4c55b78563412,8,56,0,8,ok,1,1,1,4044332211000100580400316343646b6fa44c91c2d78b3aac4af4c55b78563412,8,56,0,8,0,1,-128.8570670065149,673552
exp0_000005_rxg20_0_fulltrim:13:20260822,exp0_000005_rxg20_0_fulltrim,5,13.0,20260822,ok,1,1,1,0,,0,0,0,0,1,0,0,0,0,0,0,62,10833.588999998028,32.60420000151498,252.77790000109235,32.60420000151498,32.60420000151498,0.0,7.242874646077204e-08,1.4868628715014318e-05,header_invalid,0,0,0,,8,0,6,56,ok,1,1,1,4044332211000100580500696c1cdf732c76fbd40d64a24146908274c978563412,8,56,0,9,1,1,-233.71902931534927,672707
exp0_000006_rxg20_0_fulltrim:13:20260822,exp0_000006_rxg20_0_fulltrim,6,13.0,20260822,sync_invalid,1,0,1,1,framesync_preamble_all_bin0,0,1,0,1,1,0,0,1,0,0,1,10,11423.74589999963,201.206200003071,178.9162999994005,0.0,201.206200003071,201.206200003071,7.561376789538686e-08,1.5522469951743422e-05,ok,1,1,1,404433221100010058060050b704e1aeae8c5d1c65e040aec124ce72a478563412,8,56,0,10,ok,1,1,1,404433221100010058060050b704e1aeae8c5d1c65e040aec124ce72a478563412,8,56,0,10,0,1,-128.7811977782806,673552
