source_dataset,source_csv,target_snr_db,packet_index,event_index,frame_index,payload_symbol_index,sf,n_bins,gt_raw_fft_bin,noisy_argmax_bin,argmax_to_gt_signed_delta,argmax_to_gt_abs_distance,is_argmax_correct,gt_bin_rank,gt_peak_energy_ratio,gt_to_argmax_power_db,gt_within_pm0_bins,gt_within_pm1_bins,gt_within_pm2_bins,gt_within_pm4_bins,gt_within_pm8_bins,gt_within_pm16_bins,gt_within_pm32_bins,gt_within_pm64_bins,gt_within_pm128_bins,gt_within_pm256_bins
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,34,10,1024,934,934,0,0,1,1,0.01563031498120649,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,0,10,1024,803,803,0,0,1,1,0.009458844011088994,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,1,10,1024,826,826,0,0,1,1,0.014969315455948299,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,2,10,1024,922,48,-150,150,0,2,0.010024325526435627,-1.071519070206818,0,0,0,0,0,0,0,0,0,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,3,10,1024,718,718,0,0,1,1,0.009458310073140441,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,4,10,1024,86,820,290,290,0,119,0.0020751357180538764,-5.145050952399629,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,5,10,1024,468,75,393,393,0,6,0.005103048725270711,-1.6238613537341637,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,6,10,1024,89,503,-414,414,0,3,0.006443880521101353,-1.1557350949496918,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,7,10,1024,713,376,337,337,0,23,0.0036542833775925726,-3.817570803031032,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,8,10,1024,865,865,0,0,1,1,0.006992256475548605,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,9,10,1024,492,1000,-508,508,0,164,0.001787029592499506,-6.617217980535331,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,10,10,1024,765,985,-220,220,0,57,0.002850332040793169,-5.287900606656453,0,0,0,0,0,0,0,0,0,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,11,10,1024,1023,1023,0,0,1,1,0.011169947909836555,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,12,10,1024,597,894,-297,297,0,26,0.0037132048858109497,-2.43050259472198,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,13,10,1024,562,562,0,0,1,1,0.01159915899465997,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,14,10,1024,478,478,0,0,1,1,0.011732614354682584,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,15,10,1024,267,906,385,385,0,3,0.006367446767668449,-0.592454048898685,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,16,10,1024,917,917,0,0,1,1,0.012862931555361135,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,17,10,1024,656,154,502,502,0,22,0.0038590303924657164,-1.9199784797453243,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,18,10,1024,889,889,0,0,1,1,0.01497807525051041,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,19,10,1024,510,235,275,275,0,4,0.004642594231972247,-0.7336315758856502,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,20,10,1024,860,860,0,0,1,1,0.007685467727791434,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,21,10,1024,553,553,0,0,1,1,0.01049801427536022,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,22,10,1024,629,752,-123,123,0,32,0.0033780693942061023,-2.722038127354746,0,0,0,0,0,0,0,0,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,23,10,1024,759,980,-221,221,0,4,0.006927876635263812,-0.8665830602968244,0,0,0,0,0,0,0,0,0,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,24,10,1024,874,874,0,0,1,1,0.010388152539727684,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,25,10,1024,720,720,0,0,1,1,0.00798436669056024,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,26,10,1024,314,166,148,148,0,33,0.003404170718199092,-2.852258374081959,0,0,0,0,0,0,0,0,0,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,27,10,1024,602,602,0,0,1,1,0.008664398351927068,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,28,10,1024,7,676,355,355,0,33,0.0032661064410919568,-4.702948762769796,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,29,10,1024,610,885,-275,275,0,3,0.00591269629900799,-0.5354581455291889,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,30,10,1024,775,259,-508,508,0,203,0.0015586725437159831,-6.145665321442157,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,31,10,1024,912,912,0,0,1,1,0.007463178958131184,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,32,10,1024,768,768,0,0,1,1,0.011844771378203698,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,33,10,1024,581,581,0,0,1,1,0.008993371763300173,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,2,2,1,34,10,1024,93,93,0,0,1,1,0.011831782173840077,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,3,3,2,0,10,1024,222,258,-36,36,0,21,0.004105275574925333,-2.8640168698772324,0,0,0,0,0,0,0,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,3,3,2,1,10,1024,711,306,405,405,0,82,0.0024866210121500844,-4.243666147272717,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,3,3,2,2,10,1024,871,65,-218,218,0,42,0.0030060343148818496,-2.851600360413106,0,0,0,0,0,0,0,0,0,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,3,3,2,3,10,1024,718,718,0,0,1,1,0.007263166245210861,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,3,3,2,4,10,1024,107,834,297,297,0,5,0.005267493577173638,-1.5149272094862563,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,3,3,2,5,10,1024,468,468,0,0,1,1,0.008785186692506105,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,3,3,2,6,10,1024,89,89,0,0,1,1,0.011649848474819752,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,3,3,2,7,10,1024,713,713,0,0,1,1,0.009798702930526933,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,3,3,2,8,10,1024,865,865,0,0,1,1,0.007147425290139288,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,3,3,2,9,10,1024,492,492,0,0,1,1,0.008219078672581353,0.0,1,1,1,1,1,1,1,1,1,1
