source_dataset,target_snr_db,symbol_count,packet_count,n_bins,argmax_correct_rate,mean_abs_distance_bins,median_abs_distance_bins,p75_abs_distance_bins,p90_abs_distance_bins,p95_abs_distance_bins,p99_abs_distance_bins,mean_distance_fraction_of_half_band,gt_rank_mean,gt_rank_median,gt_top8_recall,gt_top16_recall,gt_top32_recall,wrong_argmax_symbol_count,wrong_argmax_mean_abs_distance_bins,wrong_argmax_median_abs_distance_bins,wrong_argmax_p90_abs_distance_bins,gt_within_pm0_bins_rate,wrong_argmax_gt_within_pm0_bins_rate,random_within_pm0_bins_rate,gt_within_pm1_bins_rate,wrong_argmax_gt_within_pm1_bins_rate,random_within_pm1_bins_rate,gt_within_pm2_bins_rate,wrong_argmax_gt_within_pm2_bins_rate,random_within_pm2_bins_rate,gt_within_pm4_bins_rate,wrong_argmax_gt_within_pm4_bins_rate,random_within_pm4_bins_rate,gt_within_pm8_bins_rate,wrong_argmax_gt_within_pm8_bins_rate,random_within_pm8_bins_rate,gt_within_pm16_bins_rate,wrong_argmax_gt_within_pm16_bins_rate,random_within_pm16_bins_rate,gt_within_pm32_bins_rate,wrong_argmax_gt_within_pm32_bins_rate,random_within_pm32_bins_rate,gt_within_pm64_bins_rate,wrong_argmax_gt_within_pm64_bins_rate,random_within_pm64_bins_rate,gt_within_pm128_bins_rate,wrong_argmax_gt_within_pm128_bins_rate,random_within_pm128_bins_rate,gt_within_pm256_bins_rate,wrong_argmax_gt_within_pm256_bins_rate,random_within_pm256_bins_rate,packet_index,event_index,frame_index
0_0_0_10_14_16,-15.0,35,1,1024,0.9714285714285714,5.428571428571429,0.0,0.0,0.0,0.0,125.39999999999935,0.010602678571428572,1.0285714285714285,1.0,1.0,1.0,1.0,1,190.0,190.0,190.0,0.9714285714285714,0.0,0.0009765625,0.9714285714285714,0.0,0.0029296875,0.9714285714285714,0.0,0.0048828125,0.9714285714285714,0.0,0.0087890625,0.9714285714285714,0.0,0.0166015625,0.9714285714285714,0.0,0.0322265625,0.9714285714285714,0.0,0.0634765625,0.9714285714285714,0.0,0.1259765625,0.9714285714285714,0.0,0.2509765625,1.0,1.0,0.5009765625,6,6,4
0_0_0_10_14_16,-15.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,8,8,5
0_0_0_10_14_16,-15.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,9,9,6
0_0_0_10_14_16,-15.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,10,10,7
0_0_0_10_14_16,-15.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,11,11,8
0_0_0_10_14_16,-15.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,12,12,9
0_0_0_10_14_16,-15.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,13,13,10
0_0_0_10_14_16,-10.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,1,1,0
0_0_0_10_14_16,-10.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,2,2,1
0_0_0_10_14_16,-10.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,3,3,2
0_0_0_10_14_16,-10.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,5,5,3
0_0_0_10_14_16,-10.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,6,6,4
0_0_0_10_14_16,-10.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,8,8,5
0_0_0_10_14_16,-10.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,9,9,6
0_0_0_10_14_16,-10.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,10,10,7
0_0_0_10_14_16,-10.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,11,11,8
0_0_0_10_14_16,-10.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,12,12,9
0_0_0_10_14_16,-10.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,13,13,10
0_0_0_10_14_16_extreme_snr,-27.0,35,1,1024,0.02857142857142857,213.68571428571428,190.0,287.5,416.2,474.0999999999999,500.65999999999997,0.4173549107142857,288.0857142857143,184.0,0.14285714285714285,0.2571428571428571,0.3142857142857143,34,219.97058823529412,191.0,416.9,0.02857142857142857,0.0,0.0009765625,0.02857142857142857,0.0,0.0029296875,0.02857142857142857,0.0,0.0048828125,0.02857142857142857,0.0,0.0087890625,0.05714285714285714,0.029411764705882353,0.0166015625,0.05714285714285714,0.029411764705882353,0.0322265625,0.05714285714285714,0.029411764705882353,0.0634765625,0.17142857142857143,0.14705882352941177,0.1259765625,0.34285714285714286,0.3235294117647059,0.2509765625,0.6285714285714286,0.6176470588235294,0.5009765625,1,1,0
0_0_0_10_14_16_extreme_snr,-27.0,35,1,1024,0.0,262.8857142857143,230.0,396.0,480.0,503.79999999999995,508.0,0.5134486607142857,318.8285714285714,179.0,0.11428571428571428,0.11428571428571428,0.2857142857142857,35,262.8857142857143,230.0,480.0,0.0,0.0,0.0009765625,0.0,0.0,0.0029296875,0.0,0.0,0.0048828125,0.0,0.0,0.0087890625,0.0,0.0,0.0166015625,0.0,0.0,0.0322265625,0.0,0.0,0.0634765625,0.11428571428571428,0.11428571428571428,0.1259765625,0.2857142857142857,0.2857142857142857,0.2509765625,0.5142857142857142,0.5142857142857142,0.5009765625,2,2,1
0_0_0_10_14_16_extreme_snr,-27.0,35,1,1024,0.02857142857142857,288.85714285714283,299.0,399.0,463.2,475.79999999999995,491.87999999999994,0.5641741071428571,174.82857142857142,58.0,0.14285714285714285,0.2571428571428571,0.42857142857142855,34,297.3529411764706,302.5,463.9,0.02857142857142857,0.0,0.0009765625,0.02857142857142857,0.0,0.0029296875,0.02857142857142857,0.0,0.0048828125,0.02857142857142857,0.0,0.0087890625,0.02857142857142857,0.0,0.0166015625,0.05714285714285714,0.029411764705882353,0.0322265625,0.05714285714285714,0.029411764705882353,0.0634765625,0.08571428571428572,0.058823529411764705,0.1259765625,0.14285714285714285,0.11764705882352941,0.2509765625,0.34285714285714286,0.3235294117647059,0.5009765625,3,3,2
0_0_0_10_14_16_extreme_snr,-27.0,35,1,1024,0.0,241.37142857142857,264.0,383.0,424.80000000000007,439.79999999999995,451.91999999999996,0.4714285714285714,225.0857142857143,106.0,0.11428571428571428,0.2,0.37142857142857144,35,241.37142857142857,264.0,424.80000000000007,0.0,0.0,0.0009765625,0.0,0.0,0.0029296875,0.0,0.0,0.0048828125,0.0,0.0,0.0087890625,0.0,0.0,0.0166015625,0.0,0.0,0.0322265625,0.05714285714285714,0.05714285714285714,0.0634765625,0.2,0.2,0.1259765625,0.2857142857142857,0.2857142857142857,0.2509765625,0.4857142857142857,0.4857142857142857,0.5009765625,5,5,3
0_0_0_10_14_16_extreme_snr,-27.0,35,1,1024,0.02857142857142857,236.0857142857143,191.0,349.5,472.20000000000005,498.2,506.28,0.4611049107142857,190.62857142857143,68.0,0.2,0.2571428571428571,0.34285714285714286,34,243.02941176470588,203.0,473.9,0.02857142857142857,0.0,0.0009765625,0.02857142857142857,0.0,0.0029296875,0.02857142857142857,0.0,0.0048828125,0.02857142857142857,0.0,0.0087890625,0.05714285714285714,0.029411764705882353,0.0166015625,0.05714285714285714,0.029411764705882353,0.0322265625,0.05714285714285714,0.029411764705882353,0.0634765625,0.11428571428571428,0.08823529411764706,0.1259765625,0.3142857142857143,0.29411764705882354,0.2509765625,0.5714285714285714,0.5588235294117647,0.5009765625,6,6,4
0_0_0_10_14_16_extreme_snr,-27.0,35,1,1024,0.02857142857142857,219.28571428571428,182.0,354.0,463.8,491.9,501.65999999999997,0.4282924107142857,190.68571428571428,135.0,0.17142857142857143,0.22857142857142856,0.4,34,225.73529411764707,186.5,466.09999999999997,0.02857142857142857,0.0,0.0009765625,0.02857142857142857,0.0,0.0029296875,0.02857142857142857,0.0,0.0048828125,0.02857142857142857,0.0,0.0087890625,0.08571428571428572,0.058823529411764705,0.0166015625,0.08571428571428572,0.058823529411764705,0.0322265625,0.11428571428571428,0.08823529411764706,0.0634765625,0.2571428571428571,0.23529411764705882,0.1259765625,0.37142857142857144,0.35294117647058826,0.2509765625,0.6571428571428571,0.6470588235294118,0.5009765625,8,8,5
0_0_0_10_14_16_extreme_snr,-27.0,35,1,1024,0.02857142857142857,263.45714285714286,260.0,377.0,453.20000000000005,469.9,493.1199999999999,0.5145647321428571,307.1714285714286,213.0,0.14285714285714285,0.14285714285714285,0.22857142857142856,34,271.20588235294116,262.0,456.4,0.02857142857142857,0.0,0.0009765625,0.02857142857142857,0.0,0.0029296875,0.02857142857142857,0.0,0.0048828125,0.02857142857142857,0.0,0.0087890625,0.02857142857142857,0.0,0.0166015625,0.02857142857142857,0.0,0.0322265625,0.05714285714285714,0.029411764705882353,0.0634765625,0.08571428571428572,0.058823529411764705,0.1259765625,0.22857142857142856,0.20588235294117646,0.2509765625,0.4857142857142857,0.47058823529411764,0.5009765625,9,9,6
0_0_0_10_14_16_extreme_snr,-27.0,35,1,1024,0.05714285714285714,239.22857142857143,250.0,363.5,471.0,483.29999999999995,500.23999999999995,0.46724330357142857,267.51428571428573,103.0,0.17142857142857143,0.2,0.2857142857142857,33,253.72727272727272,251.0,472.0,0.05714285714285714,0.0,0.0009765625,0.05714285714285714,0.0,0.0029296875,0.05714285714285714,0.0,0.0048828125,0.08571428571428572,0.030303030303030304,0.0087890625,0.11428571428571428,0.06060606060606061,0.0166015625,0.11428571428571428,0.06060606060606061,0.0322265625,0.14285714285714285,0.09090909090909091,0.0634765625,0.2,0.15151515151515152,0.1259765625,0.2857142857142857,0.24242424242424243,0.2509765625,0.6,0.5757575757575758,0.5009765625,10,10,7
0_0_0_10_14_16_extreme_snr,-27.0,35,1,1024,0.05714285714285714,260.48571428571427,233.0,419.0,462.0,475.79999999999995,493.19999999999993,0.5087611607142857,126.91428571428571,54.0,0.2571428571428571,0.37142857142857144,0.4,33,276.27272727272725,243.0,463.0,0.05714285714285714,0.0,0.0009765625,0.05714285714285714,0.0,0.0029296875,0.05714285714285714,0.0,0.0048828125,0.05714285714285714,0.0,0.0087890625,0.05714285714285714,0.0,0.0166015625,0.05714285714285714,0.0,0.0322265625,0.05714285714285714,0.0,0.0634765625,0.2,0.15151515151515152,0.1259765625,0.2571428571428571,0.21212121212121213,0.2509765625,0.5428571428571428,0.5151515151515151,0.5009765625,11,11,8
