dataset,target_snr_db,packet_count,center_argmax_symbol_ser,multi_offset_argmax_symbol_ser,legacy_phase_line_symbol_ser,savaux_hard_symbol_ser,savaux_phase_symbol_ser,savaux_guarded_symbol_ser,savaux_phase_gain_vs_savaux,savaux_guarded_gain_vs_savaux,savaux_phase_gain_vs_legacy,savaux_guarded_gain_vs_legacy,stage1_candidate_recall,legacy_candidate_recall,viterbi_candidate_recall,mean_hard_anchor_count,mean_hard_anchor_error_rate,savaux_phase_crc_valid_rate,savaux_guarded_crc_valid_rate,guard_accept_phase_rate,mean_selected_branch_agreement,noise_seed,wins_vs_savaux,ties_vs_savaux,losses_vs_savaux,guarded_wins_vs_savaux,guarded_ties_vs_savaux,guarded_losses_vs_savaux,packet_win_rate_vs_savaux,guarded_packet_win_rate_vs_savaux
0_0_0_10_14_16,-25.5,11,0.9376623376623378,0.7454545454545456,0.5168831168831168,0.3454545454545454,0.27012987012987016,0.3454545454545454,0.07532467532467531,0.0,0.24675324675324672,0.17142857142857143,0.9558441558441558,0.7116883116883117,0.9558441558441558,6.181818181818182,0.0,0.0,0.0,0.0,0.9266553327086886,43,9,0,2,0,11,0,0.8181818181818182,0.0
0_0_0_10_14_16,-25.0,11,0.9090909090909091,0.664935064935065,0.41298701298701296,0.27272727272727276,0.1948051948051948,0.27272727272727276,0.07792207792207793,0.0,0.21818181818181817,0.14025974025974025,0.9792207792207793,0.7636363636363637,0.9792207792207793,8.454545454545455,0.0,0.09090909090909091,0.0,0.0,0.9298711490098678,43,8,2,1,0,11,0,0.7272727272727273,0.0
0_0_0_10_14_16,-24.5,11,0.8831168831168832,0.5896103896103896,0.35324675324675325,0.19220779220779216,0.12727272727272726,0.19220779220779216,0.06493506493506493,0.0,0.22597402597402597,0.16103896103896104,0.9948051948051948,0.8311688311688313,0.9948051948051948,10.818181818181818,0.0,0.09090909090909091,0.09090909090909091,0.0,0.9353610141916749,43,9,2,0,0,11,0,0.8181818181818182,0.0
0_0_0_10_14_16,-24.0,11,0.8493506493506492,0.5142857142857143,0.2831168831168831,0.14545454545454545,0.09090909090909091,0.14545454545454545,0.05454545454545454,0.0,0.19220779220779216,0.13766233766233765,0.9974025974025974,0.8727272727272729,0.9974025974025974,14.636363636363637,0.0,0.18181818181818182,0.09090909090909091,0.0,0.9399685539675295,43,7,4,0,0,11,0,0.6363636363636364,0.0
0_0_0_10_14_16,-23.5,11,0.8129870129870128,0.4233766233766234,0.19220779220779222,0.1012987012987013,0.05194805194805196,0.09610389610389611,0.049350649350649346,0.005194805194805196,0.14025974025974022,0.09610389610389608,1.0,0.9272727272727272,1.0,18.636363636363637,0.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.9448542401555401,43,7,4,0,1,10,0,0.6363636363636364,0.09090909090909091
0_0_0_10_14_16,-23.0,11,0.7688311688311689,0.33766233766233766,0.14285714285714282,0.049350649350649346,0.015584415584415584,0.03896103896103897,0.03376623376623377,0.01038961038961039,0.12727272727272726,0.10389610389610388,1.0,0.9376623376623378,1.0,22.09090909090909,0.0,0.7272727272727273,0.45454545454545453,0.2727272727272727,0.9488969120804438,43,6,5,0,3,8,0,0.5454545454545454,0.2727272727272727
0_0_0_10_14_16,-22.5,11,0.7246753246753247,0.2571428571428571,0.09610389610389608,0.018181818181818184,0.0,0.012987012987012986,0.018181818181818184,0.005194805194805195,0.09610389610389608,0.08311688311688312,1.0,0.9584415584415584,1.0,25.818181818181817,0.0,1.0,0.7272727272727273,0.18181818181818182,0.9531865069264942,43,5,6,0,2,9,0,0.45454545454545453,0.18181818181818182
0_0_0_10_14_16,-22.0,11,0.6883116883116883,0.20519480519480515,0.05714285714285714,0.005194805194805195,0.0,0.0,0.005194805194805195,0.005194805194805195,0.05714285714285714,0.05714285714285714,1.0,0.9766233766233767,1.0,28.0,0.0,1.0,1.0,0.18181818181818182,0.958404332044696,43,2,9,0,2,9,0,0.18181818181818182,0.18181818181818182
0_0_0_10_14_16,-26.0,11,0.9402597402597404,0.8155844155844156,0.6077922077922078,0.4597402597402597,0.39740259740259737,0.4597402597402597,0.06233766233766234,0.0,0.21038961038961038,0.14805194805194805,0.9454545454545454,0.612987012987013,0.9454545454545454,4.181818181818182,0.028282828282828285,0.0,0.0,0.0,0.9212809613518473,44,10,1,0,0,11,0,0.9090909090909091,0.0
0_0_0_10_14_16,-25.5,11,0.9272727272727274,0.7688311688311689,0.5584415584415583,0.3714285714285714,0.30649350649350643,0.3714285714285714,0.06493506493506494,0.0,0.2519480519480519,0.187012987012987,0.9688311688311688,0.7038961038961037,0.9688311688311688,5.636363636363637,0.018181818181818184,0.09090909090909091,0.0,0.0,0.9229251273024218,44,7,2,2,0,11,0,0.6363636363636364,0.0
0_0_0_10_14_16,-25.0,11,0.916883116883117,0.6987012987012986,0.45194805194805193,0.2519480519480519,0.20259740259740255,0.24935064935064932,0.049350649350649346,0.0025974025974025974,0.24935064935064935,0.2025974025974026,0.9844155844155845,0.7688311688311689,0.9844155844155845,8.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.9273586857921188,44,7,3,1,1,10,0,0.6363636363636364,0.09090909090909091
0_0_0_10_14_16,-24.5,11,0.8987012987012989,0.6000000000000001,0.34805194805194806,0.15844155844155844,0.13506493506493508,0.15584415584415584,0.023376623376623374,0.0025974025974025983,0.21298701298701295,0.19220779220779222,0.9896103896103896,0.8103896103896102,0.9896103896103896,10.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.9337966096401346,44,6,3,2,1,10,0,0.5454545454545454,0.09090909090909091
0_0_0_10_14_16,-24.0,11,0.8805194805194805,0.5142857142857143,0.2415584415584415,0.11688311688311687,0.07272727272727272,0.11688311688311687,0.04415584415584416,0.0,0.16883116883116883,0.12467532467532468,0.9948051948051948,0.8701298701298701,0.9948051948051948,13.363636363636363,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.9384347495447958,44,6,5,0,0,11,0,0.5454545454545454,0.0
0_0_0_10_14_16,-23.5,11,0.838961038961039,0.4467532467532468,0.19999999999999998,0.06753246753246754,0.03376623376623377,0.05974025974025974,0.03376623376623376,0.007792207792207792,0.16623376623376623,0.14025974025974022,0.9948051948051948,0.922077922077922,0.9948051948051948,17.727272727272727,0.0,0.45454545454545453,0.45454545454545453,0.18181818181818182,0.9421220312964157,44,8,1,2,2,9,0,0.7272727272727273,0.18181818181818182
0_0_0_10_14_16,-23.0,11,0.7896103896103895,0.35584415584415585,0.12467532467532466,0.02857142857142857,0.015584415584415584,0.012987012987012986,0.012987012987012986,0.015584415584415584,0.10909090909090909,0.11168831168831167,0.9948051948051948,0.961038961038961,0.9948051948051948,21.636363636363637,0.0,0.6363636363636364,0.7272727272727273,0.5454545454545454,0.947437935745187,44,5,5,1,5,6,0,0.45454545454545453,0.45454545454545453
0_0_0_10_14_16,-22.5,11,0.7558441558441559,0.27792207792207796,0.08311688311688312,0.01818181818181818,0.01038961038961039,0.01038961038961039,0.007792207792207792,0.007792207792207792,0.07272727272727274,0.07272727272727272,1.0,0.9792207792207793,1.0,26.09090909090909,0.0,0.8181818181818182,0.8181818181818182,0.36363636363636365,0.9528839126392754,44,4,6,1,3,8,0,0.36363636363636365,0.2727272727272727
0_0_0_10_14_16,-22.0,11,0.6935064935064935,0.19740259740259739,0.03896103896103897,0.01038961038961039,0.005194805194805195,0.007792207792207792,0.005194805194805195,0.0025974025974025974,0.03376623376623377,0.03116883116883117,1.0,0.9896103896103896,1.0,29.636363636363637,0.0,0.9090909090909091,0.8181818181818182,0.18181818181818182,0.9578846932755717,44,2,9,0,1,10,0,0.18181818181818182,0.09090909090909091
0_0_0_10_14_16,-26.0,11,0.9272727272727274,0.7870129870129869,0.6337662337662338,0.42337662337662335,0.3532467532467532,0.42337662337662335,0.07012987012987013,0.0,0.28051948051948056,0.21038961038961038,0.9402597402597404,0.6415584415584416,0.9402597402597404,5.181818181818182,0.0,0.0,0.0,0.0,0.9251282422625554,45,10,0,1,0,11,0,0.9090909090909091,0.0
0_0_0_10_14_16,-25.5,11,0.9116883116883117,0.7350649350649351,0.5272727272727272,0.34285714285714286,0.2701298701298701,0.34025974025974026,0.07272727272727274,0.0025974025974025983,0.2571428571428571,0.187012987012987,0.961038961038961,0.7194805194805196,0.961038961038961,7.2727272727272725,0.0,0.0,0.0,0.09090909090909091,0.925448452260227,45,9,1,1,1,10,0,0.8181818181818182,0.09090909090909091
0_0_0_10_14_16,-25.0,11,0.9012987012987014,0.6883116883116883,0.4493506493506494,0.27532467532467536,0.20259740259740255,0.27532467532467536,0.07272727272727274,0.0,0.24675324675324675,0.174025974025974,0.9766233766233767,0.7688311688311689,0.9766233766233767,9.909090909090908,0.0,0.0,0.0,0.0,0.9304585351179635,45,9,2,0,0,11,0,0.8181818181818182,0.0
0_0_0_10_14_16,-24.5,11,0.8831168831168831,0.6129870129870131,0.3714285714285714,0.21818181818181817,0.14025974025974025,0.21558441558441557,0.07792207792207792,0.0025974025974025974,0.23116883116883116,0.15584415584415584,0.9844155844155845,0.8155844155844156,0.9844155844155845,13.545454545454545,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.9340366572060357,45,9,1,1,1,10,0,0.8181818181818182,0.09090909090909091
0_0_0_10_14_16,-24.0,11,0.8597402597402598,0.548051948051948,0.2857142857142857,0.12987012987012986,0.08051948051948053,0.12987012987012986,0.04935064935064936,0.0,0.20519480519480518,0.15584415584415584,0.9896103896103896,0.8753246753246754,0.9896103896103896,16.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.9391285626601932,45,7,2,2,0,11,0,0.6363636363636364,0.0
0_0_0_10_14_16,-23.5,11,0.8337662337662337,0.438961038961039,0.19740259740259739,0.08051948051948052,0.04155844155844156,0.07012987012987013,0.03896103896103896,0.010389610389610391,0.15584415584415584,0.12727272727272726,0.9948051948051948,0.9194805194805195,0.9948051948051948,18.545454545454547,0.0,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.9442948642233385,45,6,5,0,2,9,0,0.5454545454545454,0.18181818181818182
0_0_0_10_14_16,-23.0,11,0.7792207792207791,0.38701298701298703,0.12207792207792206,0.03636363636363637,0.023376623376623374,0.023376623376623374,0.012987012987012986,0.012987012987012986,0.09870129870129869,0.09870129870129869,0.9974025974025974,0.9532467532467532,0.9974025974025974,22.181818181818183,0.0,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.950132889325133,45,5,6,0,5,6,0,0.45454545454545453,0.45454545454545453
0_0_0_10_14_16,-22.5,11,0.7376623376623376,0.2831168831168831,0.08051948051948053,0.025974025974025972,0.02077922077922078,0.02077922077922078,0.005194805194805196,0.005194805194805196,0.05974025974025975,0.05974025974025975,1.0,0.9714285714285714,1.0,24.636363636363637,0.0,0.45454545454545453,0.45454545454545453,0.2727272727272727,0.9550067266277081,45,2,9,0,2,9,0,0.18181818181818182,0.18181818181818182
0_0_0_10_14_16,-22.0,11,0.6675324675324675,0.20779220779220775,0.049350649350649346,0.015584415584415584,0.005194805194805195,0.01038961038961039,0.01038961038961039,0.005194805194805196,0.044155844155844164,0.03896103896103897,1.0,0.9844155844155845,1.0,27.454545454545453,0.0,0.9090909090909091,0.7272727272727273,0.18181818181818182,0.9597585192507222,45,4,7,0,2,9,0,0.36363636363636365,0.18181818181818182
0_0_0_10_14_16,-26.0,11,0.9454545454545454,0.7584415584415585,0.5506493506493506,0.3636363636363636,0.27792207792207796,0.3636363636363636,0.08571428571428572,0.0,0.2727272727272727,0.187012987012987,0.9636363636363636,0.6883116883116883,0.9636363636363636,7.636363636363637,0.0,0.0,0.0,0.0,0.9272107624262158,46,8,1,2,0,11,0,0.7272727272727273,0.0
0_0_0_10_14_16,-25.5,11,0.9324675324675326,0.6831168831168831,0.4987012987012987,0.27532467532467525,0.20519480519480515,0.27532467532467525,0.0701298701298701,0.0,0.2935064935064935,0.2233766233766234,0.9740259740259739,0.7532467532467533,0.9740259740259739,9.636363636363637,0.0,0.0,0.0,0.0,0.9312250708413354,46,9,0,2,0,11,0,0.8181818181818182,0.0
0_0_0_10_14_16,-25.0,11,0.9194805194805195,0.6129870129870129,0.3896103896103897,0.19740259740259744,0.14285714285714285,0.1896103896103896,0.05454545454545456,0.007792207792207792,0.24675324675324672,0.19999999999999998,0.9844155844155845,0.7948051948051947,0.9844155844155845,11.909090909090908,0.0,0.0,0.0,0.18181818181818182,0.9326754093579794,46,9,0,2,2,9,0,0.8181818181818182,0.18181818181818182
0_0_0_10_14_16,-24.5,11,0.877922077922078,0.5350649350649349,0.27272727272727276,0.12467532467532466,0.1012987012987013,0.10909090909090907,0.023376623376623374,0.015584415584415583,0.17142857142857143,0.16363636363636366,0.9974025974025974,0.8753246753246753,0.9974025974025974,14.272727272727273,0.0,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.9352439517765206,46,8,1,2,5,6,0,0.7272727272727273,0.45454545454545453
0_0_0_10_14_16,-24.0,11,0.8441558441558444,0.45714285714285713,0.21298701298701295,0.08051948051948053,0.05454545454545454,0.06493506493506494,0.025974025974025972,0.015584415584415584,0.1584415584415584,0.14805194805194802,0.9974025974025974,0.9168831168831169,0.9974025974025974,17.181818181818183,0.0,0.18181818181818182,0.18181818181818182,0.6363636363636364,0.9413726787736095,46,5,6,0,4,7,0,0.45454545454545453,0.36363636363636365
0_0_0_10_14_16,-23.5,11,0.7948051948051947,0.36883116883116873,0.14545454545454548,0.05454545454545454,0.03636363636363637,0.049350649350649346,0.01818181818181818,0.005194805194805195,0.10909090909090909,0.09610389610389611,0.9974025974025974,0.9454545454545454,0.9974025974025974,20.181818181818183,0.0,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.946273950144858,46,5,6,0,2,9,0,0.45454545454545453,0.18181818181818182
0_0_0_10_14_16,-23.0,11,0.7506493506493507,0.2883116883116883,0.09610389610389608,0.02857142857142857,0.015584415584415584,0.023376623376623374,0.01298701298701299,0.005194805194805196,0.08051948051948053,0.07272727272727272,1.0,0.9714285714285714,1.0,24.545454545454547,0.0,0.9090909090909091,0.8181818181818182,0.18181818181818182,0.9515556158282092,46,3,8,0,2,9,0,0.2727272727272727,0.18181818181818182
0_0_0_10_14_16,-22.5,11,0.7116883116883117,0.21038961038961038,0.08051948051948053,0.012987012987012986,0.007792207792207792,0.007792207792207792,0.005194805194805195,0.005194805194805195,0.07272727272727274,0.07272727272727274,1.0,0.9818181818181819,1.0,27.272727272727273,0.0,1.0,1.0,0.2727272727272727,0.9564525950651191,46,2,9,0,2,9,0,0.18181818181818182,0.18181818181818182
0_0_0_10_14_16,-22.0,11,0.6545454545454545,0.14025974025974025,0.04155844155844156,0.007792207792207792,0.0025974025974025974,0.0025974025974025974,0.005194805194805195,0.005194805194805195,0.03896103896103897,0.03896103896103897,1.0,0.9948051948051948,1.0,30.363636363636363,0.0,1.0,1.0,0.18181818181818182,0.9606400003369828,46,2,9,0,2,9,0,0.18181818181818182,0.18181818181818182
