dataset,packet_index,frame_index,payload_symbol_index,frame_symbol_index,gt_bin,case_index,noise_model,snr_db,seed,savaux_bin,cfr_nus_glrt_bin,cfr_whitened_ml_bin,savaux_correct,cfr_nus_glrt_correct,cfr_whitened_ml_correct,savaux_margin_db,cfr_nus_glrt_margin_db,cfr_whitened_ml_margin_db
0_0_0_10_14_32,0,0,30,38,826,30,awgn,-24.0,101,826,826,826,1,1,1,3.3863744422105118,3.386375219092872,3.3863750936382147
0_0_0_10_14_32,0,0,31,39,928,31,awgn,-24.0,101,928,928,928,1,1,1,3.0252892567394207,3.0252882984874754,3.0252883790330385
0_0_0_10_14_32,0,0,32,40,761,32,awgn,-24.0,101,761,761,761,1,1,1,5.535641067413643,5.535641387866103,5.535641364123731
0_0_0_10_14_32,0,0,33,41,590,33,awgn,-24.0,101,590,590,590,1,1,1,3.2582450866662978,3.25824535603712,3.258245299445858
0_0_0_10_14_32,0,0,34,42,936,34,awgn,-24.0,101,936,936,936,1,1,1,4.402317181563456,4.402316969031278,4.40231676507705
0_0_0_10_14_32,2,1,0,8,803,35,awgn,-24.0,101,803,803,803,1,1,1,3.132625696110038,3.132625597544907,3.1326255469961763
0_0_0_10_14_32,2,1,1,9,826,36,awgn,-24.0,101,826,826,826,1,1,1,5.298860037208066,5.29885808189686,5.298858094561111
0_0_0_10_14_32,2,1,2,10,922,37,awgn,-24.0,101,922,922,922,1,1,1,3.382547289723284,3.3825479557862224,3.3825479636269433
0_0_0_10_14_32,2,1,3,11,718,38,awgn,-24.0,101,718,718,718,1,1,1,4.046013721585201,4.046013556489264,4.046013321722693
0_0_0_10_14_32,2,1,4,12,86,39,awgn,-24.0,101,86,86,86,1,1,1,3.1786267362975296,3.1786285215464005,3.178628641586521
0_0_0_10_14_32,2,1,5,13,468,40,awgn,-24.0,101,468,468,468,1,1,1,2.688041155862151,2.688040106375901,2.6880402971139707
0_0_0_10_14_32,2,1,6,14,89,41,awgn,-24.0,101,89,89,89,1,1,1,3.0941428764434304,3.094145409931997,3.094145328681212
0_0_0_10_14_32,2,1,7,15,713,42,awgn,-24.0,101,713,713,713,1,1,1,3.6854674650091783,3.68546654165278,3.6854665122511623
0_0_0_10_14_32,2,1,8,16,865,43,awgn,-24.0,101,865,865,865,1,1,1,3.1891529344847824,3.189153621219166,3.189153782958987
0_0_0_10_14_32,2,1,9,17,492,44,awgn,-24.0,101,492,492,492,1,1,1,3.2250968988813105,3.225095736791484,3.2250957914775213
0_0_0_10_14_32,2,1,10,18,765,45,awgn,-24.0,101,765,765,765,1,1,1,3.4263865654586896,3.4263875522132468,3.42638747945836
0_0_0_10_14_32,2,1,11,19,1023,46,awgn,-24.0,101,1023,1023,1023,1,1,1,5.266178524560105,5.266178943104105,5.266178737553276
0_0_0_10_14_32,2,1,12,20,597,47,awgn,-24.0,101,597,597,597,1,1,1,0.7865595565486129,0.7865615770923955,0.7865613661720865
0_0_0_10_14_32,2,1,13,21,562,48,awgn,-24.0,101,562,562,562,1,1,1,3.9819656841782196,3.9819658006077163,3.9819660044850105
0_0_0_10_14_32,2,1,14,22,478,49,awgn,-24.0,101,478,478,478,1,1,1,1.1774514670949272,1.1774514124230144,1.1774513924962826
0_0_0_10_14_32,2,1,15,23,267,50,awgn,-24.0,101,267,267,267,1,1,1,5.800897095964796,5.800897788194773,5.80089762143034
0_0_0_10_14_32,2,1,16,24,917,51,awgn,-24.0,101,917,917,917,1,1,1,5.822790713804432,5.822790064521737,5.822790023510143
0_0_0_10_14_32,2,1,17,25,656,52,awgn,-24.0,101,656,656,656,1,1,1,1.8467674988646006,1.8467684517900058,1.8467682864535016
0_0_0_10_14_32,2,1,18,26,889,53,awgn,-24.0,101,889,889,889,1,1,1,4.03461641818578,4.034617458895854,4.034617611593857
0_0_0_10_14_32,2,1,19,27,510,54,awgn,-24.0,101,510,510,510,1,1,1,3.1618811948377257,3.1618821330739015,3.161882041274878
0_0_0_10_14_32,2,1,20,28,860,55,awgn,-24.0,101,860,860,860,1,1,1,1.444847300699596,1.4448475860146515,1.4448475870244293
0_0_0_10_14_32,2,1,21,29,553,56,awgn,-24.0,101,553,553,553,1,1,1,4.278217577802369,4.278215038626339,4.278215235088362
0_0_0_10_14_32,2,1,22,30,629,57,awgn,-24.0,101,629,629,629,1,1,1,2.605440528293366,2.605441084409134,2.6054412520372527
0_0_0_10_14_32,2,1,23,31,759,58,awgn,-24.0,101,518,518,518,0,0,0,0.1472757918281731,0.14727655606691997,0.14727673882029338
0_0_0_10_14_32,2,1,24,32,874,59,awgn,-24.0,101,874,874,874,1,1,1,6.032777533365946,6.032777316255572,6.032777182167463
0_0_0_10_14_32,2,1,25,33,720,60,awgn,-24.0,101,720,720,720,1,1,1,5.944033432496433,5.944031161705277,5.944031095948392
0_0_0_10_14_32,2,1,26,34,314,61,awgn,-24.0,101,314,314,314,1,1,1,4.133989393655014,4.1339887364475905,4.133988646375226
0_0_0_10_14_32,2,1,27,35,602,62,awgn,-24.0,101,602,602,602,1,1,1,0.7606903506024126,0.7606901537574079,0.7606902205462698
0_0_0_10_14_32,2,1,28,36,7,63,awgn,-24.0,101,7,7,7,1,1,1,3.493734640342716,3.4937350630303374,3.4937350536432406
0_0_0_10_14_32,0,0,0,8,803,0,awgn,-26.0,101,803,803,803,1,1,1,0.992942912400991,0.9929429570833604,0.992943158793324
0_0_0_10_14_32,0,0,1,9,711,1,awgn,-26.0,101,711,711,711,1,1,1,1.859804260481066,1.8598049049707788,1.8598047979771895
0_0_0_10_14_32,0,0,2,10,922,2,awgn,-26.0,101,922,922,922,1,1,1,0.8817562621341828,0.8817576485641193,0.8817578412463685
0_0_0_10_14_32,0,0,3,11,718,3,awgn,-26.0,101,718,718,718,1,1,1,1.1069519496675626,1.1069522011695778,1.1069519977771904
0_0_0_10_14_32,0,0,4,12,107,4,awgn,-26.0,101,474,474,474,0,0,0,0.6460964811789505,0.6460969753374618,0.6460969158817681
0_0_0_10_14_32,0,0,5,13,468,5,awgn,-26.0,101,468,468,468,1,1,1,1.9149445372164795,1.91494562616731,1.9149454962455745
0_0_0_10_14_32,0,0,6,14,89,6,awgn,-26.0,101,89,89,89,1,1,1,1.4037765079676876,1.40377565780325,1.4037758789736574
0_0_0_10_14_32,0,0,7,15,713,7,awgn,-26.0,101,258,258,258,0,0,0,0.34499956153231154,0.34499892962717554,0.34499914953035477
0_0_0_10_14_32,0,0,8,16,865,8,awgn,-26.0,101,349,349,349,0,0,0,0.6771311326966728,0.6771305126499314,0.677130557748678
0_0_0_10_14_32,0,0,9,17,492,9,awgn,-26.0,101,492,492,492,1,1,1,2.2682996163983695,2.268299081781521,2.2682990700006602
0_0_0_10_14_32,0,0,10,18,765,10,awgn,-26.0,101,765,765,765,1,1,1,3.716906465417869,3.7169057026102417,3.7169056468317594
0_0_0_10_14_32,0,0,11,19,1023,11,awgn,-26.0,101,1023,1023,1023,1,1,1,2.1727935989075773,2.172793275439819,2.1727932452015475
0_0_0_10_14_32,0,0,12,20,597,12,awgn,-26.0,101,597,597,597,1,1,1,3.703384789411785,3.7033860367790226,3.703385971334935
0_0_0_10_14_32,0,0,13,21,562,13,awgn,-26.0,101,562,562,562,1,1,1,2.7737129577378603,2.7737118587692406,2.7737119410233824
0_0_0_10_14_32,0,0,14,22,478,14,awgn,-26.0,101,133,133,133,0,0,0,1.6164532384600565,1.616453186188608,1.6164533024292047
0_0_0_10_14_32,0,0,15,23,267,15,awgn,-26.0,101,267,267,267,1,1,1,1.3238837482838586,1.323883076505965,1.3238831764379344
0_0_0_10_14_32,0,0,16,24,917,16,awgn,-26.0,101,917,917,917,1,1,1,5.719333590823343,5.719331910073015,5.7193319378983585
0_0_0_10_14_32,0,0,17,25,656,17,awgn,-26.0,101,656,656,656,1,1,1,1.777027400695005,1.777028725962041,1.7770285535871868
0_0_0_10_14_32,0,0,18,26,889,18,awgn,-26.0,101,889,889,889,1,1,1,4.834466575727267,4.834466455278993,4.834466174010461
0_0_0_10_14_32,0,0,19,27,510,19,awgn,-26.0,101,510,510,510,1,1,1,1.0945687928427315,1.094569519131825,1.094569343242528
0_0_0_10_14_32,0,0,20,28,860,20,awgn,-26.0,101,860,860,860,1,1,1,1.7942308699379217,1.7942313455471472,1.7942313081908754
0_0_0_10_14_32,0,0,21,29,553,21,awgn,-26.0,101,553,553,553,1,1,1,2.9782493436667368,2.9782483422215007,2.9782483413101053
0_0_0_10_14_32,0,0,22,30,629,22,awgn,-26.0,101,629,629,629,1,1,1,4.3358250276384345,4.335824538869621,4.335824623110362
0_0_0_10_14_32,0,0,23,31,759,23,awgn,-26.0,101,759,759,759,1,1,1,3.054945683454192,3.0549465822165986,3.054946702019628
0_0_0_10_14_32,0,0,24,32,874,24,awgn,-26.0,101,874,874,874,1,1,1,1.7534485058281593,1.7534497957169952,1.7534498656378017
0_0_0_10_14_32,0,0,25,33,720,25,awgn,-26.0,101,720,720,720,1,1,1,3.370484529698274,3.3704870482970155,3.3704869625227394
0_0_0_10_14_32,0,0,26,34,314,26,awgn,-26.0,101,314,314,314,1,1,1,2.2045256854451782,2.204525335903974,2.204525492151745
0_0_0_10_14_32,0,0,27,35,602,27,awgn,-26.0,101,602,602,602,1,1,1,3.3129096777367746,3.3129093483817633,3.3129094509321937
0_0_0_10_14_32,0,0,28,36,7,28,awgn,-26.0,101,7,7,7,1,1,1,1.0699097020776218,1.0699095702668169,1.069909684821364
0_0_0_10_14_32,0,0,29,37,610,29,awgn,-26.0,101,610,610,610,1,1,1,1.2986120205053107,1.2986117336383094,1.2986118934320832
0_0_0_10_14_32,0,0,30,38,826,30,awgn,-26.0,101,826,826,826,1,1,1,1.3113580504013902,1.3113592764931012,1.3113592971401382
0_0_0_10_14_32,0,0,31,39,928,31,awgn,-26.0,101,928,928,928,1,1,1,0.7284442974765273,0.7284436362534128,0.7284435928989558
0_0_0_10_14_32,0,0,32,40,761,32,awgn,-26.0,101,761,761,761,1,1,1,3.988216674331469,3.9882155059747157,3.9882153654071635
0_0_0_10_14_32,0,0,33,41,590,33,awgn,-26.0,101,590,590,590,1,1,1,1.0235903204034715,1.0235912345846778,1.0235912961577773
0_0_0_10_14_32,0,0,34,42,936,34,awgn,-26.0,101,936,936,936,1,1,1,2.6492002313707053,2.649198976330747,2.649199023528386
0_0_0_10_14_32,2,1,0,8,803,35,awgn,-26.0,101,803,803,803,1,1,1,1.2319980602247629,1.231997244657565,1.2319971956447597
0_0_0_10_14_32,2,1,1,9,826,36,awgn,-26.0,101,826,826,826,1,1,1,3.7572848645475205,3.7572845075853323,3.757284488916971
0_0_0_10_14_32,2,1,2,10,922,37,awgn,-26.0,101,922,922,922,1,1,1,1.4564669982152862,1.456466322145015,1.456466415985892
0_0_0_10_14_32,2,1,3,11,718,38,awgn,-26.0,101,718,718,718,1,1,1,2.440063719665405,2.4400641755701002,2.4400640881739424
0_0_0_10_14_32,2,1,4,12,86,39,awgn,-26.0,101,86,86,86,1,1,1,1.1662609495048983,1.16626100131731,1.166261125112415
0_0_0_10_14_32,2,1,5,13,468,40,awgn,-26.0,101,468,468,468,1,1,1,0.5145706289766357,0.514570120431728,0.5145702862516484
0_0_0_10_14_32,2,1,6,14,89,41,awgn,-26.0,101,89,89,89,1,1,1,1.143267522387146,1.1432704857678135,1.143270413621152
0_0_0_10_14_32,2,1,7,15,713,42,awgn,-26.0,101,713,713,713,1,1,1,1.933300158907966,1.9333009472840212,1.933300878248467
0_0_0_10_14_32,2,1,8,16,865,43,awgn,-26.0,101,865,865,865,1,1,1,1.4298191562918736,1.4298195892627925,1.4298195148111827
0_0_0_10_14_32,2,1,9,17,492,44,awgn,-26.0,101,492,492,492,1,1,1,1.2482652844137792,1.2482650582328467,1.2482651389906128
0_0_0_10_14_32,2,1,10,18,765,45,awgn,-26.0,101,765,765,765,1,1,1,1.6180129622191577,1.6180141072789367,1.6180140310809357
0_0_0_10_14_32,2,1,11,19,1023,46,awgn,-26.0,101,1023,1023,1023,1,1,1,3.752516654021866,3.752517910380093,3.7525178531321
0_0_0_10_14_32,2,1,12,20,597,47,awgn,-26.0,101,92,92,92,0,0,0,0.27249400601528995,0.27249206036003887,0.27249218448596413
0_0_0_10_14_32,2,1,13,21,562,48,awgn,-26.0,101,562,562,562,1,1,1,2.2277990437692026,2.227798496088898,2.2277984849194348
0_0_0_10_14_32,2,1,14,22,478,49,awgn,-26.0,101,365,365,365,0,0,0,1.1171527610026504,1.117154147072417,1.1171541922038883
0_0_0_10_14_32,2,1,15,23,267,50,awgn,-26.0,101,267,267,267,1,1,1,4.220765323620953,4.220765991275494,4.220765780115848
0_0_0_10_14_32,2,1,16,24,917,51,awgn,-26.0,101,917,917,917,1,1,1,4.363689423749381,4.363690022592197,4.3636900771275435
0_0_0_10_14_32,2,1,17,25,656,52,awgn,-26.0,101,865,865,865,0,0,0,0.5525890447297037,0.5525891646430025,0.5525892685271969
0_0_0_10_14_32,2,1,18,26,889,53,awgn,-26.0,101,889,889,889,1,1,1,2.049199459689952,2.0491983644154628,2.0491983980766215
0_0_0_10_14_32,2,1,19,27,510,54,awgn,-26.0,101,510,510,510,1,1,1,1.1820703093506721,1.1820707287438093,1.1820706661055407
0_0_0_10_14_32,2,1,20,28,860,55,awgn,-26.0,101,140,140,140,0,0,0,0.8776401363263469,0.8776390518918831,0.8776390238075076
0_0_0_10_14_32,2,1,21,29,553,56,awgn,-26.0,101,553,553,553,1,1,1,2.3701233143465172,2.370123645474245,2.370123677074412
0_0_0_10_14_32,2,1,22,30,629,57,awgn,-26.0,101,629,629,629,1,1,1,0.636284677319028,0.6362829097327647,0.6362830315637784
0_0_0_10_14_32,2,1,23,31,759,58,awgn,-26.0,101,518,518,518,0,0,0,0.16071451907049744,0.16071605691448929,0.16071595414449694
0_0_0_10_14_32,2,1,24,32,874,59,awgn,-26.0,101,874,874,874,1,1,1,4.515935233689717,4.5159342081790745,4.5159342500564525
0_0_0_10_14_32,2,1,25,33,720,60,awgn,-26.0,101,720,720,720,1,1,1,4.204539902078566,4.2045394644018845,4.204539255844995
0_0_0_10_14_32,2,1,26,34,314,61,awgn,-26.0,101,314,314,314,1,1,1,2.240405301424611,2.240405516644893,2.240405374823081
0_0_0_10_14_32,2,1,27,35,602,62,awgn,-26.0,101,899,899,899,0,0,0,1.027718683117749,1.0277195937615224,1.0277197005134329
0_0_0_10_14_32,2,1,28,36,7,63,awgn,-26.0,101,7,7,7,1,1,1,1.5959855253238047,1.5959851860008443,1.5959851615241702
0_0_0_10_14_32,0,0,0,8,803,0,awgn,-24.0,202,803,803,803,1,1,1,5.855730355049648,5.855729957006744,5.855729725753555
0_0_0_10_14_32,0,0,1,9,711,1,awgn,-24.0,202,711,711,711,1,1,1,4.751971898939661,4.751972183943224,4.751972219394311
0_0_0_10_14_32,0,0,2,10,922,2,awgn,-24.0,202,922,922,922,1,1,1,4.746432862471953,4.746433057832689,4.746433091070197
0_0_0_10_14_32,0,0,3,11,718,3,awgn,-24.0,202,718,718,718,1,1,1,0.9675218532545772,0.9675200131178646,0.9675199236870229
0_0_0_10_14_32,0,0,4,12,107,4,awgn,-24.0,202,107,107,107,1,1,1,2.688076381503942,2.6880774335241227,2.688077542796629
0_0_0_10_14_32,0,0,5,13,468,5,awgn,-24.0,202,468,468,468,1,1,1,5.036458646257636,5.036460172731926,5.03646012762506
0_0_0_10_14_32,0,0,6,14,89,6,awgn,-24.0,202,89,89,89,1,1,1,3.0150374885394875,3.01503589521045,3.015036044111365
0_0_0_10_14_32,0,0,7,15,713,7,awgn,-24.0,202,713,713,713,1,1,1,2.879434359310584,2.8794340660958415,2.879434043818441
0_0_0_10_14_32,0,0,8,16,865,8,awgn,-24.0,202,865,865,865,1,1,1,2.6504866107537377,2.6504863208045526,2.6504862670665434
0_0_0_10_14_32,0,0,9,17,492,9,awgn,-24.0,202,492,492,492,1,1,1,2.409082307367811,2.409081734246185,2.4090819208287355
0_0_0_10_14_32,0,0,10,18,765,10,awgn,-24.0,202,765,765,765,1,1,1,2.709400791975614,2.709401674968256,2.709401592160427
0_0_0_10_14_32,0,0,11,19,1023,11,awgn,-24.0,202,1023,1023,1023,1,1,1,4.728799522175597,4.7287998390117645,4.728799940226206
0_0_0_10_14_32,0,0,12,20,597,12,awgn,-24.0,202,597,597,597,1,1,1,3.366873194118801,3.3668718666820867,3.3668717128600827
0_0_0_10_14_32,0,0,13,21,562,13,awgn,-24.0,202,562,562,562,1,1,1,5.448143462781767,5.448142875975122,5.4481427019863435
0_0_0_10_14_32,0,0,14,22,478,14,awgn,-24.0,202,478,478,478,1,1,1,4.4420845359633985,4.442084283701485,4.442084249564734
0_0_0_10_14_32,0,0,15,23,267,15,awgn,-24.0,202,267,267,267,1,1,1,3.242530120938309,3.242531232809101,3.2425312728973594
0_0_0_10_14_32,0,0,16,24,917,16,awgn,-24.0,202,880,880,880,0,0,0,0.03734457020998326,0.03734626064266689,0.037346173156920105
0_0_0_10_14_32,0,0,17,25,656,17,awgn,-24.0,202,656,656,656,1,1,1,4.387178173158654,4.387176793262638,4.387176697960694
0_0_0_10_14_32,0,0,18,26,889,18,awgn,-24.0,202,889,889,889,1,1,1,3.9179327920361646,3.9179319525633076,3.9179320348696023
0_0_0_10_14_32,0,0,19,27,510,19,awgn,-24.0,202,510,510,510,1,1,1,3.6186224458901686,3.6186219409861033,3.618621636612817
0_0_0_10_14_32,0,0,20,28,860,20,awgn,-24.0,202,860,860,860,1,1,1,1.086470095852666,1.0864698556197798,1.086469793339822
0_0_0_10_14_32,0,0,21,29,553,21,awgn,-24.0,202,553,553,553,1,1,1,6.0274411915719295,6.027441400534035,6.027441537660212
0_0_0_10_14_32,0,0,22,30,629,22,awgn,-24.0,202,629,629,629,1,1,1,2.9294980152907604,2.929497055359127,2.9294970474565503
0_0_0_10_14_32,0,0,23,31,759,23,awgn,-24.0,202,759,759,759,1,1,1,0.9374244362141437,0.9374255714532238,0.9374256375425422
0_0_0_10_14_32,0,0,24,32,874,24,awgn,-24.0,202,874,874,874,1,1,1,3.8018926701117377,3.8018915478795554,3.801891513571181
0_0_0_10_14_32,0,0,25,33,720,25,awgn,-24.0,202,720,720,720,1,1,1,2.8699844176832134,2.869985035881353,2.869985016066762
0_0_0_10_14_32,0,0,26,34,314,26,awgn,-24.0,202,314,314,314,1,1,1,5.666528225141772,5.666528197129747,5.666528058143426
0_0_0_10_14_32,0,0,27,35,602,27,awgn,-24.0,202,602,602,602,1,1,1,4.115178109321639,4.115177824381765,4.115177778491024
0_0_0_10_14_32,0,0,28,36,7,28,awgn,-24.0,202,7,7,7,1,1,1,4.757755993913743,4.757757136555765,4.757757089902393
0_0_0_10_14_32,0,0,29,37,610,29,awgn,-24.0,202,610,610,610,1,1,1,4.125820875322451,4.125822491359937,4.125822484193947
0_0_0_10_14_32,0,0,30,38,826,30,awgn,-24.0,202,826,826,826,1,1,1,2.5687009987276705,2.5687007522535836,2.568700673914624
0_0_0_10_14_32,0,0,31,39,928,31,awgn,-24.0,202,928,928,928,1,1,1,4.104540043490256,4.104540420645709,4.104540343732099
0_0_0_10_14_32,0,0,32,40,761,32,awgn,-24.0,202,761,761,761,1,1,1,3.1905984135183605,3.190597795329715,3.190597979305042
0_0_0_10_14_32,0,0,33,41,590,33,awgn,-24.0,202,590,590,590,1,1,1,2.36415744756966,2.364158455522896,2.3641582708455804
0_0_0_10_14_32,0,0,34,42,936,34,awgn,-24.0,202,936,936,936,1,1,1,5.743127817724741,5.743127564983688,5.7431276154866895
0_0_0_10_14_32,2,1,0,8,803,35,awgn,-24.0,202,803,803,803,1,1,1,2.1878842697289236,2.1878834876030946,2.187883506773349
0_0_0_10_14_32,2,1,1,9,826,36,awgn,-24.0,202,826,826,826,1,1,1,5.516319603268435,5.516319475453853,5.516319441384908
0_0_0_10_14_32,2,1,2,10,922,37,awgn,-24.0,202,922,922,922,1,1,1,5.910603465761076,5.910604348050925,5.910604224955328
0_0_0_10_14_32,2,1,3,11,718,38,awgn,-24.0,202,718,718,718,1,1,1,3.9220359221543473,3.9220353011149744,3.922035273934037
0_0_0_10_14_32,2,1,4,12,86,39,awgn,-24.0,202,86,86,86,1,1,1,1.247252422871044,1.2472517053558745,1.2472515963130961
0_0_0_10_14_32,2,1,5,13,468,40,awgn,-24.0,202,468,468,468,1,1,1,3.2241946352902544,3.2241956221058903,3.224195726435683
0_0_0_10_14_32,2,1,6,14,89,41,awgn,-24.0,202,89,89,89,1,1,1,2.4386278328664517,2.438626849463695,2.4386268260483432
0_0_0_10_14_32,2,1,7,15,713,42,awgn,-24.0,202,713,713,713,1,1,1,1.6770704586755838,1.6770713709759624,1.677071209349821
0_0_0_10_14_32,2,1,8,16,865,43,awgn,-24.0,202,266,266,266,0,0,0,0.9465177858102387,0.9465185243138068,0.9465184079552005
0_0_0_10_14_32,2,1,9,17,492,44,awgn,-24.0,202,492,492,492,1,1,1,3.107293379327528,3.1072936488425693,3.1072936211832
0_0_0_10_14_32,2,1,10,18,765,45,awgn,-24.0,202,765,765,765,1,1,1,3.407484059085583,3.4074843407489634,3.407484209798413
0_0_0_10_14_32,2,1,11,19,1023,46,awgn,-24.0,202,1023,1023,1023,1,1,1,4.823016260559902,4.823017709041054,4.823017552845534
0_0_0_10_14_32,2,1,12,20,597,47,awgn,-24.0,202,597,597,597,1,1,1,3.1278633954194763,3.1278636917361364,3.1278637726465153
0_0_0_10_14_32,2,1,13,21,562,48,awgn,-24.0,202,562,562,562,1,1,1,3.769449813761823,3.769450401308223,3.7694503300045716
0_0_0_10_14_32,2,1,14,22,478,49,awgn,-24.0,202,478,478,478,1,1,1,4.523345282297676,4.5233460260810805,4.523346190127
0_0_0_10_14_32,2,1,15,23,267,50,awgn,-24.0,202,267,267,267,1,1,1,6.374563978225284,6.374562646878166,6.374562469298719
0_0_0_10_14_32,2,1,16,24,917,51,awgn,-24.0,202,917,917,917,1,1,1,3.3020415806030945,3.3020413738420036,3.302041570003536
0_0_0_10_14_32,2,1,17,25,656,52,awgn,-24.0,202,656,656,656,1,1,1,3.0886798461522122,3.088681454156146,3.088681758416796
0_0_0_10_14_32,2,1,18,26,889,53,awgn,-24.0,202,889,889,889,1,1,1,3.660605316027459,3.6606045958296614,3.6606046092925313
0_0_0_10_14_32,2,1,19,27,510,54,awgn,-24.0,202,510,510,510,1,1,1,0.6580686822056593,0.6580689928980608,0.6580688994311765
0_0_0_10_14_32,2,1,20,28,860,55,awgn,-24.0,202,860,860,860,1,1,1,4.058567397863675,4.058565813843453,4.058565925354643
0_0_0_10_14_32,2,1,21,29,553,56,awgn,-24.0,202,553,553,553,1,1,1,2.3791218401681595,2.379121679583662,2.379121659220636
0_0_0_10_14_32,2,1,22,30,629,57,awgn,-24.0,202,629,629,629,1,1,1,3.2251369905658627,3.225136079805674,3.225136277910675
0_0_0_10_14_32,2,1,23,31,759,58,awgn,-24.0,202,759,759,759,1,1,1,3.3391788534317945,3.3391799214219957,3.3391799685174406
0_0_0_10_14_32,2,1,24,32,874,59,awgn,-24.0,202,874,874,874,1,1,1,2.7052428400130784,2.705243119236081,2.705243049522375
