snr_db,snr_index,trial,groundtruth,common_phase_rad,multirate_equal_sum_gt_margin_db,multirate_awgn_glrt_gt_margin_db,coherent_ml_gt_margin_db,gt_ratio_consistency_q8,gt_ratio_consistency_q4,gt_ratio_consistency_q2,gt_ratio_consistency_q1,fft_argmax_q8_bin,fft_argmax_q8_error,fft_argmax_q4_bin,fft_argmax_q4_error,fft_argmax_q2_bin,fft_argmax_q2_error,fft_argmax_q1_bin,fft_argmax_q1_error,pair_energy_q8_bin,pair_energy_q8_error,fold_profile_q8_bin,fold_profile_q8_error,multirate_equal_sum_bin,multirate_equal_sum_error,multirate_awgn_glrt_bin,multirate_awgn_glrt_error,coherent_ml_q8_bin,coherent_ml_q8_error
-22.0,0,10,103,2.5577779537591034,-3.5199470409869598,-2.3171608909478056,1.942351235464557,0.9916759603382316,0.9715634236744146,0.6987291556308511,1.0,30,1,52,1,57,1,121,1,30,1,60,1,81,1,60,1,103,0
-22.0,0,11,16,-1.7157791583597684,0.33373727191102454,-2.5422797709807092,1.1372315835947613,0.902237418302923,0.8141016839861516,0.6049008363238073,1.0,93,1,46,1,4,1,61,1,93,1,93,1,16,0,93,1,16,0
-22.0,0,12,17,-0.7082032505986455,-0.7644689112648105,0.4281062867278487,2.994580421911151,0.6564792380403015,0.5697784286876421,0.49952107938420853,1.0,117,1,110,1,110,1,16,1,17,0,17,0,16,1,17,0,17,0
-22.0,0,13,44,-3.0305466409967328,-2.4188621364680394,-3.558748390060785,0.46032208107012085,0.9937288600406798,0.9889912304517239,0.9007749363319287,1.0,20,1,65,1,112,1,79,1,20,1,20,1,79,1,20,1,44,0
-22.0,0,14,120,0.8812491946910406,3.382996387617214,5.415146642293979,3.6272395261788954,0.9879411963430771,0.9400539001537687,0.6263325370939478,1.0,120,0,120,0,4,1,111,1,120,0,120,0,120,0,120,0,120,0
-22.0,0,15,58,-0.6196335723682629,1.2365460262442758,1.9586869099272584,5.6760917769594315,0.9373196570185678,0.8087142717783088,0.9980627011881524,1.0,58,0,52,1,125,1,112,1,57,1,58,0,58,0,58,0,58,0
-22.0,0,16,115,1.9131738590156715,-0.5256777889794924,-0.387323361925166,2.1842248617669346,0.9869235053335692,0.990513029082742,0.7579018997567153,1.0,35,1,119,1,102,1,51,1,28,1,45,1,102,1,45,1,115,0
-22.0,0,17,101,1.1688433467959882,-3.4035221164166356,-1.3896638697157926,1.19350712784855,0.9883276335403237,0.7983310560594745,0.934242064442662,1.0,110,1,8,1,71,1,34,1,110,1,72,1,93,1,72,1,101,0
-22.0,0,18,15,-0.24950604256906583,-3.8016122642105667,-2.7296945639153507,1.3182277837961462,0.9615958213717354,0.6877625167507014,0.5753472539656281,1.0,61,1,122,1,59,1,122,1,61,1,61,1,122,1,61,1,15,0
-22.0,0,19,39,2.453639533863133,-8.099150728986523,-14.620264455343593,-4.371101006982609,0.8020120600433951,0.7834416049193392,0.998139347876937,1.0,66,1,119,1,125,1,31,1,32,1,32,1,31,1,32,1,47,1
-22.0,0,20,1,1.9020286827582256,-2.825143290108365,-2.9498007018732944,-0.35052591496218743,0.9320800930700442,0.8481734424063788,0.65729402602879,1.0,48,1,102,1,34,1,34,1,48,1,48,1,94,1,48,1,32,1
-22.0,0,21,8,-2.597995099688621,-5.2047145502706185,-1.057715727406034,0.4156818602849318,0.9777798623974934,0.66539971896648,0.7627266887017644,1.0,71,1,93,1,119,1,44,1,71,1,44,1,93,1,44,1,8,0
-22.0,0,22,123,-0.5839347125545769,-0.8941983362695388,-0.1349655133689972,-0.8768588417618843,0.82117524965594,0.8274493371719028,0.3905858840134033,1.0,123,0,50,1,99,1,99,1,56,1,23,1,23,1,23,1,68,1
-22.0,0,23,100,0.22158394311770513,-0.7377729734842384,0.6631109495080629,-0.7256276361279919,0.9999953956683544,0.9093115551651875,0.9929786678653653,1.0,100,0,57,1,39,1,41,1,85,1,100,0,59,1,100,0,84,1
-22.0,0,24,95,-1.2663672472245402,-0.6356769783204052,-0.47175831978507266,1.4147530557188386,0.9999998026171074,0.9396435609736875,0.9925604134775584,1.0,2,1,2,1,95,0,118,1,2,1,2,1,118,1,2,1,95,0
-22.0,0,25,71,-1.4616182508412745,-3.3009748029965094,-0.3771333058598175,0.29128467020809284,0.931471146639514,0.9040249979065555,0.822341920333914,1.0,68,1,68,1,59,1,102,1,65,1,110,1,93,1,110,1,71,0
-22.0,0,26,29,0.4008617868082691,-3.8306958463539442,0.4445879831932472,1.4350356842202914,0.7173396932861706,0.29757895430421005,0.5298911719606438,1.0,11,1,5,1,57,1,78,1,11,1,29,0,78,1,29,0,29,0
-22.0,0,27,10,2.0666691122316134,-4.6934642862777745,-4.8928713454286985,-3.5191477116296657,0.721238891941952,0.9534173490142841,0.39358416003061863,1.0,31,1,31,1,84,1,110,1,31,1,31,1,31,1,31,1,31,1
-22.0,0,28,101,0.09425516090347807,-9.8686606671134,-6.72910538854996,-4.790401459573322,0.903166426723751,0.558641639503842,0.4132749847798869,1.0,127,1,90,1,102,1,90,1,127,1,127,1,127,1,127,1,127,1
-22.0,0,29,57,-3.041675158234045,0.33069076361912286,-2.350073413257024,0.8461647521589286,0.9891736193885978,0.9951705669953299,0.9813540529569735,1.0,0,1,72,1,99,1,57,0,0,1,70,1,57,0,70,1,57,0
-22.0,0,30,29,-2.6566096099316314,-2.6505961531238205,-1.9985721841476354,-1.4823898978381156,0.9289066622120051,0.9856121147354115,0.971275460747471,1.0,34,1,34,1,18,1,82,1,99,1,99,1,82,1,99,1,124,1
-22.0,0,31,90,-1.9892368033467556,-3.5168912152982563,-3.4818724627671758,-0.3726953672908283,0.9628267592498965,0.9889656905960399,0.6547479140585635,1.0,59,1,79,1,95,1,95,1,59,1,29,1,43,1,29,1,74,1
-22.0,0,32,45,0.483782287470107,-5.222482656706297,-3.6117935055970225,-1.4359136060628608,0.9911798821072227,0.7763041878542891,0.5811553378689412,1.0,75,1,64,1,43,1,28,1,107,1,97,1,64,1,97,1,64,1
-22.0,0,33,56,-2.2999405992469995,-1.836265567470238,-5.614812273136033,0.536020703527687,0.9998993280044596,0.9571779418170921,0.9111114528805287,1.0,32,1,89,1,70,1,13,1,32,1,32,1,13,1,32,1,56,0
-22.0,0,34,10,1.541629183864499,-2.8433625547035946,0.9924097203787867,1.956387699159961,0.9465034668358068,0.6851680111310151,0.6459787238336179,1.0,10,0,107,1,66,1,124,1,10,0,10,0,2,1,10,0,10,0
-22.0,0,35,52,-2.253983867212408,-7.8436991460050525,-4.6306906516140085,2.1314387693091126,0.841851929346482,0.994263212887678,0.995206171132906,1.0,100,1,65,1,56,1,108,1,100,1,58,1,26,1,58,1,52,0
-22.0,0,36,13,-3.0059513428334736,-6.9622505600069875,-10.896606269739344,-24.302934611136045,0.7512457689745121,0.35517903698025743,0.872833426581593,1.0,22,1,118,1,65,1,115,1,22,1,7,1,31,1,7,1,7,1
-22.0,0,37,63,1.6317753949990506,1.1823182416893296,-0.9178252154051856,1.358121877937474,0.9983771315885241,0.9565481211551161,0.9774832965714199,1.0,72,1,63,0,37,1,6,1,72,1,72,1,63,0,72,1,63,0
-22.0,0,38,70,-1.1259525714391132,-0.23610517420052862,0.1388346724244424,2.0753033540634847,0.9999104061726674,0.9781234173381688,0.6160549583495274,1.0,112,1,83,1,78,1,78,1,54,1,70,0,83,1,70,0,70,0
-22.0,0,39,121,-2.700469707868586,0.10886468361442773,3.9267591937414337,1.8060070329658529,0.9558325184008026,0.9064197857201811,0.7688197969299655,1.0,121,0,20,1,74,1,74,1,86,1,121,0,121,0,121,0,121,0
-22.0,0,40,72,3.034835811412571,-6.405077711258407,-3.5422045265498348,-5.605867526902392,0.9943075017903107,0.9647344448679007,0.9971412483578269,1.0,62,1,121,1,51,1,112,1,62,1,115,1,115,1,115,1,102,1
-22.0,0,41,40,0.7141851280012186,-12.533480763556604,-9.932823878494446,-1.250739266075934,0.7708817831219256,0.35559228473255483,0.8203784133876756,1.0,111,1,122,1,71,1,13,1,23,1,111,1,111,1,111,1,111,1
-22.0,0,42,9,-2.5082510513857628,2.4178479903450296,5.800757620254942,5.8983886130226635,0.9902123280294698,0.9830293744573988,0.9983834239154813,1.0,9,0,9,0,117,1,55,1,9,0,9,0,9,0,9,0,9,0
-22.0,0,43,38,-2.758152977101566,-0.06889700375238528,0.44323597982872787,-1.3440581049406244,0.9997243119059787,0.9503567725123152,0.9797259101652454,1.0,125,1,87,1,119,1,124,1,125,1,38,0,88,1,38,0,39,1
-22.0,0,44,115,-1.1774584144975568,-2.647164767946869,-2.401549138424165,-2.050349517684107,0.9981658567585854,0.8029899118453859,0.5828425889354605,1.0,81,1,36,1,61,1,80,1,81,1,85,1,61,1,85,1,85,1
-22.0,0,45,113,-0.9782195946235039,-4.94861299800086,-0.3201561389194343,1.6914772046920536,0.9191413182767787,0.9975134768425017,0.9412095268501127,1.0,99,1,78,1,78,1,78,1,99,1,78,1,78,1,78,1,113,0
-22.0,0,46,79,-2.468350497021427,-9.046865778585103,-11.415757042719818,-5.0190568327653775,0.5206560252523076,0.9966278507484404,0.9997304902831007,1.0,1,1,88,1,109,1,34,1,0,1,1,1,1,1,1,1,1,1
-22.0,0,47,12,2.762820231297721,1.378478819957847,1.3360995438952243,2.1666592790898562,0.9902110619182245,0.9998234041533637,0.806348370694368,1.0,31,1,39,1,113,1,44,1,31,1,12,0,12,0,12,0,12,0
-22.0,0,48,35,0.9749091369680603,1.0879444770882132,2.0612526384000427,2.893315687699616,0.9577261021957588,0.9898113227224693,0.9072650456622801,1.0,35,0,35,0,96,1,23,1,35,0,35,0,35,0,35,0,35,0
-22.0,0,49,66,-1.2272279714446404,0.5627745705490501,2.554113336820838,0.34455998124951914,0.9988058978136994,0.9477168881201488,0.9017479173012533,1.0,14,1,14,1,60,1,60,1,66,0,66,0,66,0,66,0,66,0
