method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,screened_symbols,screen_rate,accepted_proposals,rejected_proposals,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,branch_color_threshold,lora_guard_margin_db,lora_guard_segments
information_8_wrap_gated,8,70,23,0.32857142857142857,3,1,0.12056610000217916,1.722372857173988,18,0.2571428571428571,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,23,0.32857142857142857,3,1,0.1098550000024261,1.5693571428918014,16,0.22857142857142856,18,0.2571428571428571,12,1,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,29,0.4142857142857143,0,0,0.10455860000001849,1.4936942857145499,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,24,0.34285714285714286,5,0,0.4245969999865338,6.065671428379054,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,25,0.35714285714285715,4,0,0.43824029998722835,6.260575714103262,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,25,0.35714285714285715,4,0,0.4806264999715495,6.8660928567364214,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,25,0.35714285714285715,4,0,0.12650089998351177,1.8071557140501682,19,0.2714285714285714,0,0.0,0,0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,25,0.35714285714285715,4,0,0.11626549997890834,1.6609357139844048,17,0.24285714285714285,19,0.2714285714285714,14,1,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,17,0.24285714285714285,0,0,0.10613100000409759,1.5161571429156797,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,16,0.22857142857142856,1,0,0.40381040000283974,5.768720000040568,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,15,0.21428571428571427,2,0,0.3956821000283526,5.652601428976466,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,15,0.21428571428571427,2,0,0.4373702000193589,6.24814571456227,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,15,0.21428571428571427,2,0,0.10143790000438457,1.4491128572054939,16,0.22857142857142856,0,0.0,0,0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,15,0.21428571428571427,2,0,0.10412940001333482,1.4875628573333546,16,0.22857142857142856,16,0.22857142857142856,8,0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,21,0.3,0,0,0.1042276000007405,1.4889657142962929,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,18,0.2571428571428571,3,0,0.38295679997099796,5.470811428157114,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,17,0.24285714285714285,5,1,0.3944606000150088,5.63515142878584,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,16,0.22857142857142856,5,0,0.4339894999975513,6.199849999965019,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,16,0.22857142857142856,5,0,0.11316370000713505,1.616624285816215,18,0.2571428571428571,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,16,0.22857142857142856,5,0,0.11601770000197575,1.6573957143139393,18,0.2571428571428571,18,0.2571428571428571,11,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,22,0.3142857142857143,0,0,0.10264409999217605,1.466344285602515,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,20,0.2857142857142857,3,1,0.3775430999994569,5.393472857135099,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,21,0.3,3,2,0.382404799995129,5.462925714216128,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,21,0.3,3,2,0.42242959999930463,6.034708571418638,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,21,0.3,3,2,0.12271860000328161,1.7531228571897373,20,0.2857142857142857,0,0.0,0,0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,20,0.2857142857142857,3,1,0.11965000000054715,1.7092857142935307,19,0.2714285714285714,20,0.2857142857142857,13,1,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,21,0.3,0,0,0.10285480000675307,1.469354285810758,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,17,0.24285714285714285,4,0,0.39139339999019285,5.591334285574184,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,17,0.24285714285714285,4,0,0.40483120000499184,5.783302857214169,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,17,0.24285714285714285,4,0,0.4457709000016621,6.3681557143094585,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,18,0.2571428571428571,3,0,0.10196729999734089,1.456675714247727,16,0.22857142857142856,0,0.0,0,0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,18,0.2571428571428571,3,0,0.09258189998581656,1.322598571225951,14,0.2,16,0.22857142857142856,8,1,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,23,0.32857142857142857,0,0,0.11047029999826918,1.578147142832417,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,20,0.2857142857142857,3,0,0.40411869998206384,5.773124285458055,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,19,0.2714285714285714,4,0,0.42177140000785585,6.02530571439794,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,19,0.2714285714285714,4,0,0.46328989999892656,6.618427142841808,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,20,0.2857142857142857,3,0,0.0937512999989849,1.3393042856997843,14,0.2,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,20,0.2857142857142857,3,0,0.08932499999718857,1.2760714285312653,13,0.18571428571428572,14,0.2,8,1,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,24,0.34285714285714286,0,0,0.10245139998369268,1.4635914283384668,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,21,0.3,3,0,0.3984500000042317,5.69214285720331,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,20,0.2857142857142857,4,0,0.4011401999887312,5.730574285553303,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,20,0.2857142857142857,5,1,0.44206259999918984,6.315179999988426,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,20,0.2857142857142857,4,0,0.09923340001114411,1.4176200001592016,16,0.22857142857142856,0,0.0,0,0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,20,0.2857142857142857,4,0,0.10157710001294618,1.451101428756374,16,0.22857142857142856,16,0.22857142857142856,10,0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
