packet_index,event_index,anchor_symbol_index,absolute_symbol_index,anchor_grid,anchor_start_sample,anchor_cfo_common_phase_rad,anchor_bin_mode,anchor_bin,anchor_signed_bin,argmax_bin,argmax_signed_bin,is_anchor_bin_argmax,anchor_real,anchor_imag,anchor_amp,anchor_power,anchor_phase,anchor_energy_ratio,peak_margin_db,total_fft_energy,anchor_phase_unwrap,phase_line_fit,phase_line_residual,file_name,sf,bw,samp_rate,cfo_int,cfo_frac,sfo_hat,anchor_line_slope_pi_per_symbol,anchor_line_r2
2,2,0,0.0,payload_backtrack,3935613,3089.031919682304,bin0,0,0,791,-233,0,-0.265583336353302,2.8905599117279053,2.9027351087960103,8.425870895385742,1.6624186313926685,0.0005413226016162884,0.6027955276721629,15565.341018881649,1.6624186313926685,1.5867278922955228,0.07569073909714574,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,-0.007982090961093055,0.10200917151908362
2,2,1,1.0,payload_backtrack,3939709,2936.4871335251532,bin0,0,0,984,-40,0,3.5385186672210693,5.935983657836914,6.910645146755756,47.757015228271484,1.0332396125888976,0.0032020894398974986,0.42597738797235174,14914.328948225826,1.0332396125888976,1.5616514139718674,-0.5284118013829696,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,-0.007982090961093055,0.10200917151908362
2,2,2,2.0,payload_backtrack,3943805,2783.942347368002,bin0,0,0,71,71,0,-1.2085708379745483,2.3742501735687256,2.664152277384614,7.097707748413086,2.0416439103948094,0.0004655053379565645,0.39814057385395096,15247.317634573206,2.0416439103948094,1.536574935648212,0.5050689747465975,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,-0.007982090961093055,0.10200917151908362
2,2,3,3.0,payload_backtrack,3947901,2631.3975612108516,bin0,0,0,646,-378,0,1.7218308448791504,8.000776290893555,8.183955199981344,66.97711944580078,1.358821391444135,0.004275114197072329,0.5576234920764802,15666.743941405788,1.358821391444135,1.5114984573245565,-0.15267706588042151,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,-0.007982090961093055,0.10200917151908362
2,2,4,4.0,payload_backtrack,3951997,2478.8527750537005,bin0,0,0,0,0,1,6.068860054016113,9.882894515991211,11.597528459522813,134.502685546875,1.0200902048545384,0.008662897072514206,1.4341168883936692,15526.29385077511,1.0200902048545384,1.486421979000901,-0.46633177414636257,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,-0.007982090961093055,0.10200917151908362
2,2,5,5.0,payload_backtrack,3956093,2326.30798889655,bin0,0,0,52,52,0,0.023980392143130302,6.484592437744141,6.48463677802048,42.050506591796875,1.5670982867008378,0.0028261981224268133,1.0807063451229797,14878.824756874703,1.5670982867008378,1.4613455006772456,0.10575278602359227,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,-0.007982090961093055,0.10200917151908362
2,2,6,6.0,payload_backtrack,3960189,2173.763202739399,bin0,0,0,902,-122,0,1.015773892402649,7.9933552742004395,8.057637689799337,64.9255142211914,1.4443965303622874,0.004276359460378184,0.18195933628918193,15182.42674002191,1.4443965303622874,1.4362690223535903,0.008127508008697102,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,-0.007982090961093055,0.10200917151908362
2,2,7,7.0,payload_backtrack,3964285,2021.2184165822482,bin0,0,0,806,-218,0,-1.474375605583191,7.787993907928467,7.926325285797304,62.82664108276367,1.7578960084128352,0.004252502285147039,0.12788678675362447,14774.040522494703,1.7578960084128352,1.4111925440299347,0.34670346438290056,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,-0.007982090961093055,0.10200917151908362
2,2,8,8.0,payload_backtrack,3968381,1868.6736304250974,bin0,0,0,531,-493,0,1.8334554433822632,7.454494476318359,7.676655962092412,58.93104553222656,1.3296301961617107,0.0038596156481304606,0.8550394905614609,15268.630585216917,1.3296301961617107,1.3861160657062794,-0.05648586954456869,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,-0.007982090961093055,0.10200917151908362
2,2,9,9.0,payload_backtrack,3972477,1716.1288442679465,bin0,0,0,71,71,0,1.0058711767196655,9.077754020690918,9.133312371988902,83.41737365722656,1.4604403356729072,0.0056666605122639635,1.1749493524199164,14720.728986091912,1.4604403356729072,1.361039587382624,0.09940074829028323,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,-0.007982090961093055,0.10200917151908362
