dataset,target_snr_db,top_l,symbol_count,multi_top1_correct_count,multi_top1_error_count,already_correct_count,repairable_count,unrecoverable_count,selected_error_count,selected_repair_count,selected_damage_count,selected_changed_top1_count,multi_top1_accuracy,multi_top1_SER,gt_recall@L,gt_recall_at_L,repairable_error_rate,unrecoverable_error_rate,repairable_fraction_of_multi_errors,unrecoverable_fraction_of_multi_errors,oracle_topL_SER,selected_SER,selected_accuracy,phase_repair_rate,phase_damage_rate,selected_SER_on_repairable,selected_SER_on_already_correct,selected_vs_multi_gain,selected_vs_multi_gain_on_repairable,net_selected_gain_count,net_selected_gain_rate,selected_changed_top1_rate,mean_gt_energy_rank,mean_gt_energy_drop_db,mean_selected_energy_rank,mean_top1_margin_db,mean_top1_peak_to_median_db
0_0_0_10_14_8,-22.0,24,350,284,66,284,50,16,34,33,1,61,0.8114285714285714,0.18857142857142858,0.9542857142857143,0.9542857142857143,0.14285714285714285,0.045714285714285714,0.7575757575757576,0.24242424242424243,0.045714285714285714,0.09714285714285714,0.9028571428571428,0.66,0.0035211267605633804,0.34,0.0035211267605633804,0.09142857142857144,0.66,32,0.09142857142857143,0.1742857142857143,5.668571428571428,-0.2562512669065958,1.977142857142857,1.5614405393421502,7.216917925985638
0_0_0_10_14_8,-22.0,32,350,284,66,284,52,14,35,32,1,61,0.8114285714285714,0.18857142857142858,0.96,0.96,0.14857142857142858,0.04,0.7878787878787878,0.21212121212121213,0.04,0.1,0.9,0.6153846153846154,0.0035211267605633804,0.38461538461538464,0.0035211267605633804,0.08857142857142858,0.6153846153846154,31,0.08857142857142856,0.1742857142857143,5.668571428571428,-0.2562512669065958,2.302857142857143,1.5614405393421502,7.216917925985638
0_0_0_10_14_8,-23.0,8,350,233,117,233,63,54,67,52,2,102,0.6657142857142857,0.3342857142857143,0.8457142857142858,0.8457142857142858,0.18,0.15428571428571428,0.5384615384615384,0.46153846153846156,0.15428571428571428,0.19142857142857142,0.8085714285714286,0.8253968253968254,0.008583690987124463,0.1746031746031746,0.008583690987124463,0.14285714285714288,0.8253968253968254,50,0.14285714285714285,0.2914285714285714,13.705714285714286,-0.48607557614212094,1.9285714285714286,1.1051485567707955,6.681098709747276
0_0_0_10_14_8,-23.0,16,350,233,117,233,75,42,65,55,3,106,0.6657142857142857,0.3342857142857143,0.88,0.88,0.21428571428571427,0.12,0.6410256410256411,0.358974358974359,0.12,0.18571428571428572,0.8142857142857143,0.7333333333333333,0.012875536480686695,0.26666666666666666,0.012875536480686695,0.14857142857142858,0.7333333333333333,52,0.14857142857142858,0.3028571428571429,13.705714285714286,-0.48607557614212094,2.3514285714285714,1.1051485567707955,6.681098709747276
0_0_0_10_14_8,-23.0,24,350,233,117,233,81,36,62,58,3,109,0.6657142857142857,0.3342857142857143,0.8971428571428571,0.8971428571428571,0.23142857142857143,0.10285714285714286,0.6923076923076923,0.3076923076923077,0.10285714285714286,0.17714285714285713,0.8228571428571428,0.7160493827160493,0.012875536480686695,0.2839506172839506,0.012875536480686695,0.15714285714285717,0.7160493827160493,55,0.15714285714285714,0.31142857142857144,13.705714285714286,-0.48607557614212094,2.874285714285714,1.1051485567707955,6.681098709747276
0_0_0_10_14_8,-23.0,32,350,233,117,233,85,32,61,59,3,109,0.6657142857142857,0.3342857142857143,0.9085714285714286,0.9085714285714286,0.24285714285714285,0.09142857142857143,0.7264957264957265,0.27350427350427353,0.09142857142857143,0.1742857142857143,0.8257142857142857,0.6941176470588235,0.012875536480686695,0.3058823529411765,0.012875536480686695,0.16,0.6941176470588235,56,0.16,0.31142857142857144,13.705714285714286,-0.48607557614212094,3.1342857142857143,1.1051485567707955,6.681098709747276
0_0_0_10_14_8,-24.0,8,350,177,173,177,79,94,118,58,3,149,0.5057142857142857,0.4942857142857143,0.7314285714285714,0.7314285714285714,0.2257142857142857,0.26857142857142857,0.45664739884393063,0.5433526011560693,0.26857142857142857,0.33714285714285713,0.6628571428571428,0.7341772151898734,0.01694915254237288,0.26582278481012656,0.01694915254237288,0.15714285714285714,0.7341772151898734,55,0.15714285714285714,0.4257142857142857,28.125714285714285,-0.822768166581925,2.2314285714285713,0.7847571358335224,6.281790679271053
0_0_0_10_14_8,-24.0,16,350,177,173,177,96,77,112,64,3,153,0.5057142857142857,0.4942857142857143,0.78,0.78,0.2742857142857143,0.22,0.5549132947976878,0.44508670520231214,0.22,0.32,0.6799999999999999,0.6666666666666666,0.01694915254237288,0.3333333333333333,0.01694915254237288,0.17428571428571427,0.6666666666666666,61,0.1742857142857143,0.43714285714285717,28.125714285714285,-0.822768166581925,2.9457142857142857,0.7847571358335224,6.281790679271053
0_0_0_10_14_8,-24.0,24,350,177,173,177,109,64,107,69,3,156,0.5057142857142857,0.4942857142857143,0.8171428571428572,0.8171428571428572,0.31142857142857144,0.18285714285714286,0.630057803468208,0.3699421965317919,0.18285714285714286,0.3057142857142857,0.6942857142857143,0.6330275229357798,0.01694915254237288,0.3669724770642202,0.01694915254237288,0.18857142857142856,0.6330275229357798,66,0.18857142857142858,0.44571428571428573,28.125714285714285,-0.822768166581925,3.8085714285714287,0.7847571358335224,6.281790679271053
0_0_0_10_14_8,-24.0,32,350,177,173,177,114,59,109,67,3,156,0.5057142857142857,0.4942857142857143,0.8314285714285714,0.8314285714285714,0.32571428571428573,0.16857142857142857,0.6589595375722543,0.34104046242774566,0.16857142857142857,0.31142857142857144,0.6885714285714286,0.5877192982456141,0.01694915254237288,0.41228070175438597,0.01694915254237288,0.18285714285714283,0.5877192982456141,64,0.18285714285714286,0.44571428571428573,28.125714285714285,-0.822768166581925,4.3914285714285715,0.7847571358335224,6.281790679271053
0_0_0_10_14_8,-25.0,8,350,121,229,121,89,140,168,65,4,192,0.3457142857142857,0.6542857142857142,0.6,0.6,0.2542857142857143,0.4,0.388646288209607,0.611353711790393,0.4,0.48,0.52,0.7303370786516854,0.03305785123966942,0.2696629213483146,0.03305785123966942,0.17428571428571427,0.7303370786516854,61,0.1742857142857143,0.5485714285714286,50.145714285714284,-1.2609600350023689,2.7485714285714287,0.5959032288605389,6.019774886326039
0_0_0_10_14_8,-25.0,16,350,121,229,121,112,117,163,72,6,200,0.3457142857142857,0.6542857142857142,0.6657142857142857,0.6657142857142857,0.32,0.3342857142857143,0.4890829694323144,0.5109170305676856,0.3342857142857143,0.4657142857142857,0.5342857142857143,0.6428571428571429,0.049586776859504134,0.35714285714285715,0.049586776859504134,0.18857142857142856,0.6428571428571429,66,0.18857142857142858,0.5714285714285714,50.145714285714284,-1.2609600350023689,3.8514285714285714,0.5959032288605389,6.019774886326039
0_0_0_10_14_8,-25.0,24,350,121,229,121,132,97,161,74,6,204,0.3457142857142857,0.6542857142857142,0.7228571428571429,0.7228571428571429,0.37714285714285717,0.27714285714285714,0.5764192139737991,0.42358078602620086,0.27714285714285714,0.46,0.54,0.5606060606060606,0.049586776859504134,0.4393939393939394,0.049586776859504134,0.19428571428571423,0.5606060606060606,68,0.19428571428571428,0.5828571428571429,50.145714285714284,-1.2609600350023689,4.942857142857143,0.5959032288605389,6.019774886326039
0_0_0_10_14_8,-25.0,32,350,121,229,121,140,89,165,71,7,205,0.3457142857142857,0.6542857142857142,0.7457142857142857,0.7457142857142857,0.4,0.2542857142857143,0.611353711790393,0.388646288209607,0.2542857142857143,0.4714285714285714,0.5285714285714286,0.5071428571428571,0.05785123966942149,0.4928571428571429,0.05785123966942149,0.18285714285714283,0.5071428571428571,64,0.18285714285714286,0.5857142857142857,50.145714285714284,-1.2609600350023689,5.7371428571428575,0.5959032288605389,6.019774886326039
0_0_0_10_14_16,-20.0,8,385,379,6,379,6,0,2,4,0,4,0.9844155844155844,0.015584415584415584,1.0,1.0,0.015584415584415584,0.0,1.0,0.0,0.0,0.005194805194805195,0.9948051948051948,0.6666666666666666,0.0,0.3333333333333333,0.0,0.01038961038961039,0.6666666666666666,4,0.01038961038961039,0.01038961038961039,1.025974025974026,-0.011595542341542241,1.0129870129870129,2.6232039018138282,8.526337965261954
0_0_0_10_14_16,-20.0,16,385,379,6,379,6,0,2,4,0,4,0.9844155844155844,0.015584415584415584,1.0,1.0,0.015584415584415584,0.0,1.0,0.0,0.0,0.005194805194805195,0.9948051948051948,0.6666666666666666,0.0,0.3333333333333333,0.0,0.01038961038961039,0.6666666666666666,4,0.01038961038961039,0.01038961038961039,1.025974025974026,-0.011595542341542241,1.0129870129870129,2.6232039018138282,8.526337965261954
0_0_0_10_14_16,-20.0,24,385,379,6,379,6,0,2,4,0,4,0.9844155844155844,0.015584415584415584,1.0,1.0,0.015584415584415584,0.0,1.0,0.0,0.0,0.005194805194805195,0.9948051948051948,0.6666666666666666,0.0,0.3333333333333333,0.0,0.01038961038961039,0.6666666666666666,4,0.01038961038961039,0.01038961038961039,1.025974025974026,-0.011595542341542241,1.0129870129870129,2.6232039018138282,8.526337965261954
0_0_0_10_14_16,-20.0,32,385,379,6,379,6,0,2,4,0,4,0.9844155844155844,0.015584415584415584,1.0,1.0,0.015584415584415584,0.0,1.0,0.0,0.0,0.005194805194805195,0.9948051948051948,0.6666666666666666,0.0,0.3333333333333333,0.0,0.01038961038961039,0.6666666666666666,4,0.01038961038961039,0.01038961038961039,1.025974025974026,-0.011595542341542241,1.0129870129870129,2.6232039018138282,8.526337965261954
0_0_0_10_14_16,-21.0,8,385,358,27,358,21,6,9,21,3,27,0.9298701298701298,0.07012987012987013,0.9844155844155844,0.9844155844155844,0.05454545454545454,0.015584415584415584,0.7777777777777778,0.2222222222222222,0.015584415584415584,0.023376623376623377,0.9766233766233766,1.0,0.008379888268156424,0.0,0.008379888268156424,0.04675324675324675,1.0,18,0.046753246753246755,0.07012987012987013,1.4181818181818182,-0.05759375560199366,1.1246753246753247,2.015273528685381,7.787346268143911
0_0_0_10_14_16,-21.0,16,385,358,27,358,23,4,9,21,3,27,0.9298701298701298,0.07012987012987013,0.9896103896103896,0.9896103896103896,0.05974025974025974,0.01038961038961039,0.8518518518518519,0.14814814814814814,0.01038961038961039,0.023376623376623377,0.9766233766233766,0.9130434782608695,0.008379888268156424,0.08695652173913043,0.008379888268156424,0.04675324675324675,0.9130434782608695,18,0.046753246753246755,0.07012987012987013,1.4181818181818182,-0.05759375560199366,1.1532467532467532,2.015273528685381,7.787346268143911
0_0_0_10_14_16,-21.0,24,385,358,27,358,26,1,7,23,3,27,0.9298701298701298,0.07012987012987013,0.9974025974025974,0.9974025974025974,0.06753246753246753,0.0025974025974025974,0.9629629629629629,0.037037037037037035,0.0025974025974025974,0.01818181818181818,0.9818181818181818,0.8846153846153846,0.008379888268156424,0.11538461538461539,0.008379888268156424,0.051948051948051945,0.8846153846153846,20,0.05194805194805195,0.07012987012987013,1.4181818181818182,-0.05759375560199366,1.238961038961039,2.015273528685381,7.787346268143911
0_0_0_10_14_16,-21.0,32,385,358,27,358,26,1,7,23,3,27,0.9298701298701298,0.07012987012987013,0.9974025974025974,0.9974025974025974,0.06753246753246753,0.0025974025974025974,0.9629629629629629,0.037037037037037035,0.0025974025974025974,0.01818181818181818,0.9818181818181818,0.8846153846153846,0.008379888268156424,0.11538461538461539,0.008379888268156424,0.051948051948051945,0.8846153846153846,20,0.05194805194805195,0.07012987012987013,1.4181818181818182,-0.05759375560199366,1.238961038961039,2.015273528685381,7.787346268143911
0_0_0_10_14_16,-22.0,8,385,316,69,316,51,18,25,46,2,63,0.8207792207792208,0.17922077922077922,0.9532467532467532,0.9532467532467532,0.13246753246753246,0.046753246753246755,0.7391304347826086,0.2608695652173913,0.046753246753246755,0.06493506493506493,0.935064935064935,0.9019607843137255,0.006329113924050633,0.09803921568627451,0.006329113924050633,0.1142857142857143,0.9019607843137255,44,0.11428571428571428,0.16363636363636364,3.18961038961039,-0.1780551043300155,1.4623376623376623,1.473464407236833,7.143749163871557
0_0_0_10_14_16,-22.0,16,385,316,69,316,57,12,23,48,2,63,0.8207792207792208,0.17922077922077922,0.9688311688311688,0.9688311688311688,0.14805194805194805,0.03116883116883117,0.8260869565217391,0.17391304347826086,0.03116883116883117,0.05974025974025974,0.9402597402597402,0.8421052631578947,0.006329113924050633,0.15789473684210525,0.006329113924050633,0.11948051948051949,0.8421052631578947,46,0.11948051948051948,0.16363636363636364,3.18961038961039,-0.1780551043300155,1.5532467532467533,1.473464407236833,7.143749163871557
0_0_0_10_14_16,-22.0,24,385,316,69,316,57,12,23,48,2,64,0.8207792207792208,0.17922077922077922,0.9688311688311688,0.9688311688311688,0.14805194805194805,0.03116883116883117,0.8260869565217391,0.17391304347826086,0.03116883116883117,0.05974025974025974,0.9402597402597402,0.8421052631578947,0.006329113924050633,0.15789473684210525,0.006329113924050633,0.11948051948051949,0.8421052631578947,46,0.11948051948051948,0.16623376623376623,3.18961038961039,-0.1780551043300155,1.612987012987013,1.473464407236833,7.143749163871557
0_0_0_10_14_16,-22.0,32,385,316,69,316,61,8,22,49,2,65,0.8207792207792208,0.17922077922077922,0.9792207792207792,0.9792207792207792,0.15844155844155844,0.02077922077922078,0.8840579710144928,0.11594202898550725,0.02077922077922078,0.05714285714285714,0.9428571428571428,0.8032786885245902,0.006329113924050633,0.19672131147540983,0.006329113924050633,0.12207792207792209,0.8032786885245902,47,0.12207792207792208,0.16883116883116883,3.18961038961039,-0.1780551043300155,1.7428571428571429,1.473464407236833,7.143749163871557
0_0_0_10_14_16,-23.0,8,385,262,123,262,68,55,75,52,4,109,0.6805194805194805,0.3194805194805195,0.8571428571428571,0.8571428571428571,0.17662337662337663,0.14285714285714285,0.5528455284552846,0.44715447154471544,0.14285714285714285,0.19480519480519481,0.8051948051948052,0.7647058823529411,0.015267175572519083,0.23529411764705882,0.015267175572519083,0.12467532467532466,0.7647058823529411,48,0.12467532467532468,0.2831168831168831,8.550649350649351,-0.3985561680554159,1.8051948051948052,1.0310646225961027,6.62034794233539
0_0_0_10_14_16,-23.0,16,385,262,123,262,90,33,66,61,4,111,0.6805194805194805,0.3194805194805195,0.9142857142857143,0.9142857142857143,0.23376623376623376,0.08571428571428572,0.7317073170731707,0.2682926829268293,0.08571428571428572,0.17142857142857143,0.8285714285714285,0.6777777777777778,0.015267175572519083,0.32222222222222224,0.015267175572519083,0.14805194805194805,0.6777777777777778,57,0.14805194805194805,0.2883116883116883,8.550649350649351,-0.3985561680554159,2.2545454545454544,1.0310646225961027,6.62034794233539
0_0_0_10_14_16,-23.0,24,385,262,123,262,94,29,64,63,4,112,0.6805194805194805,0.3194805194805195,0.9246753246753247,0.9246753246753247,0.24415584415584415,0.07532467532467532,0.7642276422764228,0.23577235772357724,0.07532467532467532,0.16623376623376623,0.8337662337662337,0.6702127659574468,0.015267175572519083,0.32978723404255317,0.015267175572519083,0.15324675324675324,0.6702127659574468,59,0.15324675324675324,0.2909090909090909,8.550649350649351,-0.3985561680554159,2.5142857142857142,1.0310646225961027,6.62034794233539
0_0_0_10_14_16,-23.0,32,385,262,123,262,101,22,64,64,5,113,0.6805194805194805,0.3194805194805195,0.9428571428571428,0.9428571428571428,0.2623376623376623,0.05714285714285714,0.8211382113821138,0.17886178861788618,0.05714285714285714,0.16623376623376623,0.8337662337662337,0.6336633663366337,0.019083969465648856,0.36633663366336633,0.019083969465648856,0.15324675324675324,0.6336633663366337,59,0.15324675324675324,0.2935064935064935,8.550649350649351,-0.3985561680554159,2.9922077922077923,1.0310646225961027,6.62034794233539
0_0_0_10_14_16,-24.0,8,385,189,196,189,96,100,125,75,4,174,0.4909090909090909,0.509090909090909,0.7402597402597403,0.7402597402597403,0.24935064935064935,0.2597402597402597,0.4897959183673469,0.5102040816326531,0.2597402597402597,0.3246753246753247,0.6753246753246753,0.78125,0.021164021164021163,0.21875,0.021164021164021163,0.18441558441558437,0.78125,71,0.18441558441558442,0.45194805194805193,20.88831168831169,-0.7497841791005099,2.342857142857143,0.7419811606921963,6.245836567983886
0_0_0_10_14_16,-24.0,16,385,189,196,189,123,73,119,82,5,177,0.4909090909090909,0.509090909090909,0.8103896103896104,0.8103896103896104,0.3194805194805195,0.18961038961038962,0.6275510204081632,0.37244897959183676,0.18961038961038962,0.3090909090909091,0.6909090909090909,0.6666666666666666,0.026455026455026454,0.3333333333333333,0.026455026455026454,0.19999999999999996,0.6666666666666666,77,0.2,0.4597402597402597,20.88831168831169,-0.7497841791005099,3.031168831168831,0.7419811606921963,6.245836567983886
0_0_0_10_14_16,-24.0,24,385,189,196,189,140,56,114,87,5,181,0.4909090909090909,0.509090909090909,0.8545454545454545,0.8545454545454545,0.36363636363636365,0.14545454545454545,0.7142857142857143,0.2857142857142857,0.14545454545454545,0.2961038961038961,0.7038961038961039,0.6214285714285714,0.026455026455026454,0.37857142857142856,0.026455026455026454,0.21298701298701295,0.6214285714285714,82,0.21298701298701297,0.4701298701298701,20.88831168831169,-0.7497841791005099,3.4623376623376623,0.7419811606921963,6.245836567983886
0_0_0_10_14_16,-24.0,32,385,189,196,189,146,50,114,88,6,182,0.4909090909090909,0.509090909090909,0.8701298701298701,0.8701298701298701,0.37922077922077924,0.12987012987012986,0.7448979591836735,0.25510204081632654,0.12987012987012986,0.2961038961038961,0.7038961038961039,0.6027397260273972,0.031746031746031744,0.3972602739726027,0.031746031746031744,0.21298701298701295,0.6027397260273972,82,0.21298701298701297,0.4727272727272727,20.88831168831169,-0.7497841791005099,3.9506493506493507,0.7419811606921963,6.245836567983886
0_0_0_10_14_16,-25.0,8,385,137,248,137,95,153,182,70,4,214,0.35584415584415585,0.6441558441558441,0.6025974025974026,0.6025974025974026,0.24675324675324675,0.3974025974025974,0.38306451612903225,0.6169354838709677,0.3974025974025974,0.4727272727272727,0.5272727272727273,0.7368421052631579,0.029197080291970802,0.2631578947368421,0.029197080291970802,0.17142857142857143,0.7368421052631579,66,0.17142857142857143,0.5558441558441558,41.955844155844154,-1.1868471888480543,2.787012987012987,0.5450314847545257,5.985763909123915
0_0_0_10_14_16,-25.0,16,385,137,248,137,125,123,169,83,4,219,0.35584415584415585,0.6441558441558441,0.6805194805194805,0.6805194805194805,0.3246753246753247,0.3194805194805195,0.5040322580645161,0.4959677419354839,0.3194805194805195,0.43896103896103894,0.561038961038961,0.664,0.029197080291970802,0.336,0.029197080291970802,0.2051948051948052,0.664,79,0.2051948051948052,0.5688311688311688,41.955844155844154,-1.1868471888480543,3.8935064935064934,0.5450314847545257,5.985763909123915
0_0_0_10_14_16,-25.0,24,385,137,248,137,144,104,168,84,4,222,0.35584415584415585,0.6441558441558441,0.7298701298701299,0.7298701298701299,0.37402597402597404,0.2701298701298701,0.5806451612903226,0.41935483870967744,0.2701298701298701,0.43636363636363634,0.5636363636363637,0.5833333333333334,0.029197080291970802,0.4166666666666667,0.029197080291970802,0.2077922077922078,0.5833333333333334,80,0.2077922077922078,0.5766233766233766,41.955844155844154,-1.1868471888480543,4.509090909090909,0.5450314847545257,5.985763909123915
0_0_0_10_14_16,-25.0,32,385,137,248,137,158,90,169,84,5,224,0.35584415584415585,0.6441558441558441,0.7662337662337663,0.7662337662337663,0.4103896103896104,0.23376623376623376,0.6370967741935484,0.3629032258064516,0.23376623376623376,0.43896103896103894,0.561038961038961,0.5316455696202531,0.0364963503649635,0.46835443037974683,0.0364963503649635,0.2051948051948052,0.5316455696202531,79,0.2051948051948052,0.5818181818181818,41.955844155844154,-1.1868471888480543,5.238961038961039,0.5450314847545257,5.985763909123915
0_0_0_10_14_32,-20.0,8,245,210,35,210,8,27,30,5,0,29,0.8571428571428571,0.14285714285714285,0.889795918367347,0.889795918367347,0.0326530612244898,0.11020408163265306,0.22857142857142856,0.7714285714285715,0.11020408163265306,0.12244897959183673,0.8775510204081632,0.625,0.0,0.375,0.0,0.020408163265306117,0.625,5,0.02040816326530612,0.11836734693877551,27.914285714285715,-0.41791906299736414,1.383673469387755,2.5963481449653676,8.40936233978613
0_0_0_10_14_32,-20.0,16,245,210,35,210,13,22,30,5,0,31,0.8571428571428571,0.14285714285714285,0.9102040816326531,0.9102040816326531,0.053061224489795916,0.08979591836734693,0.37142857142857144,0.6285714285714286,0.08979591836734693,0.12244897959183673,0.8775510204081632,0.38461538461538464,0.0,0.6153846153846154,0.0,0.020408163265306117,0.38461538461538464,5,0.02040816326530612,0.12653061224489795,27.914285714285715,-0.41791906299736414,1.763265306122449,2.5963481449653676,8.40936233978613
0_0_0_10_14_32,-20.0,24,245,210,35,210,15,20,30,5,0,31,0.8571428571428571,0.14285714285714285,0.9183673469387755,0.9183673469387755,0.061224489795918366,0.08163265306122448,0.42857142857142855,0.5714285714285714,0.08163265306122448,0.12244897959183673,0.8775510204081632,0.3333333333333333,0.0,0.6666666666666666,0.0,0.020408163265306117,0.3333333333333333,5,0.02040816326530612,0.12653061224489795,27.914285714285715,-0.41791906299736414,1.9918367346938775,2.5963481449653676,8.40936233978613
0_0_0_10_14_32,-20.0,32,245,210,35,210,15,20,30,5,0,31,0.8571428571428571,0.14285714285714285,0.9183673469387755,0.9183673469387755,0.061224489795918366,0.08163265306122448,0.42857142857142855,0.5714285714285714,0.08163265306122448,0.12244897959183673,0.8775510204081632,0.3333333333333333,0.0,0.6666666666666666,0.0,0.020408163265306117,0.3333333333333333,5,0.02040816326530612,0.12653061224489795,27.914285714285715,-0.41791906299736414,2.093877551020408,2.5963481449653676,8.40936233978613
0_0_0_10_14_32,-21.0,8,245,206,39,206,9,30,32,7,0,33,0.8408163265306122,0.15918367346938775,0.8775510204081632,0.8775510204081632,0.036734693877551024,0.12244897959183673,0.23076923076923078,0.7692307692307693,0.12244897959183673,0.1306122448979592,0.8693877551020408,0.7777777777777778,0.0,0.2222222222222222,0.0,0.028571428571428553,0.7777777777777778,7,0.02857142857142857,0.1346938775510204,34.28163265306122,-0.4998615326588244,1.4244897959183673,2.0377678176045086,7.736204534247492
0_0_0_10_14_32,-21.0,16,245,206,39,206,12,27,33,6,0,35,0.8408163265306122,0.15918367346938775,0.889795918367347,0.889795918367347,0.04897959183673469,0.11020408163265306,0.3076923076923077,0.6923076923076923,0.11020408163265306,0.1346938775510204,0.8653061224489795,0.5,0.0,0.5,0.0,0.024489795918367335,0.5,6,0.024489795918367346,0.14285714285714285,34.28163265306122,-0.4998615326588244,1.7877551020408162,2.0377678176045086,7.736204534247492
