snr_label,added_snr_db,seed,method,decisions,errors,ser,wrong_group_errors,wrong_alias_bin_errors,wrong_group_fraction_of_errors,wrong_alias_bin_fraction_of_errors,oracle_group_fixed_ser,maximum_group_fix_ser_gain,alias_bin_accuracy,group_error_rate_given_correct_alias_bin,far_alias_bin_errors_abs_gt8,far_fraction_of_wrong_alias_bin_errors,fixes_vs_savaux,breaks_vs_savaux,paired_sign_p,mean_gt_margin_db,physical_samples,sample_fraction_vs_savaux,branch_phases,downsample_phases,uses_phase_fingerprint
-18,-18.0,,litenap_savaux_k1,2499,334,0.13365346138455383,59,275,0.17664670658682635,0.8233532934131736,0.11004401760704281,0.023609443777511004,0.8899559823929571,0.026528776978417268,242,0.88,0,334,5.71493695641139e-101,1.7319411370922384,1024,0.25,0|1|2|3,0,0
-18,-18.0,,litenap_savaux_k2,2499,14,0.0056022408963585435,2,12,0.14285714285714285,0.8571428571428571,0.004801920768307323,0.0008003201280512205,0.9951980792316927,0.0008041817450743868,9,0.75,0,14,0.00012207031250000005,4.741686818763512,2048,0.5,0|1|2|3,0|1,0
-18,-18.0,,litenap_single,2499,2407,0.9631852741096438,683,1724,0.2837557125051932,0.7162442874948068,0.689875950380152,0.2733093237294918,0.31012404961984796,0.8812903225806452,1622,0.9408352668213457,0,2407,0.0,-2.574961155161877,256,0.0625,0,0,0
-18,-18.0,,savaux,2499,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,1.0,8.76634258467555,4096,1.0,0|1|2|3,0|1|2|3,0
-17,-17.0,,litenap_savaux_k1,2499,174,0.06962785114045618,33,141,0.1896551724137931,0.8103448275862069,0.056422569027611044,0.013205282112845138,0.943577430972389,0.013994910941475827,119,0.8439716312056738,0,174,8.352389719038132e-53,2.20179468016394,1024,0.25,0|1|2|3,0,0
-17,-17.0,,litenap_savaux_k2,2499,3,0.0012004801920768306,0,3,0.0,1.0,0.0012004801920768306,0.0,0.9987995198079231,0.0,3,1.0,0,3,0.25000000000000006,5.201850671897742,2048,0.5,0|1|2|3,0|1,0
-17,-17.0,,litenap_single,2499,2339,0.9359743897559024,914,1425,0.390765284309534,0.609234715690466,0.5702280912364946,0.36574629851940776,0.42977190876350535,0.851024208566108,1332,0.9347368421052632,0,2339,0.0,-1.8205112299144093,256,0.0625,0,0,0
-17,-17.0,,savaux,2499,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,1.0,9.763782498605705,4096,1.0,0|1|2|3,0|1|2|3,0
-16,-16.0,,litenap_savaux_k1,2499,66,0.026410564225690276,17,49,0.25757575757575757,0.7424242424242424,0.0196078431372549,0.006802721088435374,0.9803921568627451,0.0069387755102040816,41,0.8367346938775511,0,66,2.7105054312137743e-20,2.59081744654145,1024,0.25,0|1|2|3,0,0
-16,-16.0,,litenap_savaux_k2,2499,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,1.0,5.582304480260389,2048,0.5,0|1|2|3,0|1,0
-16,-16.0,,litenap_single,2499,2307,0.9231692677070829,1180,1127,0.5114867793671435,0.4885132206328565,0.45098039215686275,0.4721888755502201,0.5490196078431373,0.8600583090379009,1057,0.937888198757764,0,2307,0.0,-1.2001404599192849,256,0.0625,0,0,0
-16,-16.0,,savaux,2499,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,1.0,10.708053762272637,4096,1.0,0|1|2|3,0|1|2|3,0
