packet_index,frame_index,event_index,symbol_count,gt_topk_recall,mean_gt_savaux_rank,pattern_count,bank_kind,mode_best_pattern_on_savaux,mean_best_pattern_gain_vs_savaux,mean_coherent_gain_vs_savaux,mean_whitened_gain_vs_savaux,mean_stable_gain_vs_savaux,mean_hybrid_gain_vs_savaux,savaux_err,savaux_ser,best_pattern_err,best_pattern_ser,best_pattern_changes_vs_savaux,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,mean_pattern_err,mean_pattern_ser,mean_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,coherent_pattern_err,coherent_pattern_ser,coherent_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,whitened_pattern_err,whitened_pattern_ser,whitened_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,stable_pattern_err,stable_pattern_ser,stable_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,hybrid_mean_pattern_err,hybrid_mean_pattern_ser,hybrid_mean_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,gated_mean_pattern_err,gated_mean_pattern_ser,gated_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_stable_pattern_err,gated_stable_pattern_ser,gated_stable_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_consensus_pattern_err,gated_consensus_pattern_ser,gated_consensus_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_hybrid_pattern_err,gated_hybrid_pattern_ser,gated_hybrid_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,dataset,snr_db,seed
0,0,0,35,0.8571428571428571,8.485714285714286,32,random_only,random_031,0.22305254567651425,0.06306347470084438,0.2303625730850254,0.7600189726385688,0.15494142350515838,14,0.4,28,0.8,24,0,14,13,0.37142857142857144,4,1,0,14,0.4,3,1,1,14,0.4,3,1,1,15,0.42857142857142855,2,0,1,13,0.37142857142857144,3,1,0,13,0.37142857142857144,2,1,0,14,0.4,1,0,0,14,0.4,0,0,0,14,0.4,0,0,0,0_0_0_10_14_8,-26.0,42
1,1,1,35,1.0,2.1142857142857143,32,random_only,random_017,0.20566916204055816,0.06277347259570477,0.23022703809235756,0.7792906872562656,0.15136567704566284,8,0.22857142857142856,25,0.7142857142857143,25,1,18,9,0.2571428571428571,6,1,2,9,0.2571428571428571,6,1,2,9,0.2571428571428571,6,1,2,7,0.2,2,1,0,9,0.2571428571428571,5,1,2,8,0.22857142857142856,4,1,1,8,0.22857142857142856,0,0,0,8,0.22857142857142856,0,0,0,8,0.22857142857142856,1,0,0,0_0_0_10_14_8,-26.0,42
1,0,1,35,1.0,1.1714285714285715,32,random_only,random_018,0.19822916497617973,0.06518121087628562,0.23933912954210568,0.7964351631590797,0.1533828052648257,4,0.11428571428571428,20,0.5714285714285714,20,1,17,8,0.22857142857142856,5,0,4,9,0.2571428571428571,6,0,5,9,0.2571428571428571,6,0,5,5,0.14285714285714285,1,0,1,6,0.17142857142857143,3,0,2,4,0.11428571428571428,0,0,0,4,0.11428571428571428,0,0,0,4,0.11428571428571428,0,0,0,4,0.11428571428571428,0,0,0,0_0_0_10_14_16,-25.0,1
2,1,2,35,0.9428571428571428,3.8,32,random_only,random_008,0.2345125009382394,0.06445756610781812,0.2362974344986673,0.7589151295663921,0.1571416038143054,12,0.34285714285714286,26,0.7428571428571429,25,1,15,14,0.4,11,2,4,16,0.45714285714285713,10,1,5,17,0.4857142857142857,11,1,6,11,0.3142857142857143,4,1,0,14,0.4,7,2,4,14,0.4,3,0,2,12,0.34285714285714286,0,0,0,12,0.34285714285714286,0,0,0,12,0.34285714285714286,1,0,0,0_0_0_10_14_16,-25.0,1
1,0,1,35,1.0,2.2,32,random_only,random_014,0.2143173719642568,0.06556705060161351,0.24045365278387365,0.7772061776192102,0.1566989759017712,13,0.37142857142857144,26,0.7428571428571429,23,0,13,14,0.4,8,1,2,12,0.34285714285714286,7,2,1,12,0.34285714285714286,7,2,1,12,0.34285714285714286,3,1,0,13,0.37142857142857144,6,1,1,15,0.42857142857142855,6,0,2,13,0.37142857142857144,0,0,0,13,0.37142857142857144,0,0,0,13,0.37142857142857144,2,0,0,0_0_0_10_14_16,-26.0,1
2,1,2,35,0.8571428571428571,10.542857142857143,32,random_only,random_010,0.24310942275034111,0.06317474272154924,0.23149747400272916,0.733931921115285,0.15865912084584588,21,0.6,27,0.7714285714285715,28,4,10,21,0.6,14,3,3,20,0.5714285714285714,11,3,2,20,0.5714285714285714,12,3,2,22,0.6285714285714286,6,1,2,20,0.5714285714285714,7,3,2,21,0.6,6,2,2,22,0.6285714285714286,3,1,2,20,0.5714285714285714,1,1,0,21,0.6,3,1,1,0_0_0_10_14_16,-26.0,1
1,0,1,35,0.9428571428571428,2.6,32,random_only,random_000,0.21420158446244722,0.06119410438486333,0.22513967568403823,0.7679943901479791,0.14995048705942335,9,0.2571428571428571,23,0.6571428571428571,20,0,14,13,0.37142857142857144,11,2,6,13,0.37142857142857144,10,1,5,12,0.34285714285714286,9,1,4,9,0.2571428571428571,2,0,0,9,0.2571428571428571,7,2,2,12,0.34285714285714286,10,2,5,9,0.2571428571428571,1,0,0,9,0.2571428571428571,0,0,0,7,0.2,5,2,0,0_0_0_10_14_16,-25.0,2
2,1,2,35,1.0,2.342857142857143,32,random_only,random_004,0.1970033445837694,0.062053847800324684,0.22823704254678528,0.7831883018626069,0.14936249903382676,8,0.22857142857142856,21,0.6,20,0,13,9,0.2571428571428571,7,1,2,9,0.2571428571428571,7,1,2,9,0.2571428571428571,7,1,2,6,0.17142857142857143,3,2,0,8,0.22857142857142856,5,1,1,8,0.22857142857142856,5,1,1,7,0.2,1,1,0,8,0.22857142857142856,0,0,0,8,0.22857142857142856,2,0,0,0_0_0_10_14_16,-25.0,2
1,0,1,35,0.9142857142857143,6.371428571428571,32,random_only,random_004,0.23208860733773362,0.05953285472276253,0.2186246394222805,0.7408505453755801,0.1509726754509028,16,0.45714285714285713,27,0.7714285714285715,24,0,11,19,0.5428571428571428,16,1,4,17,0.4857142857142857,15,2,3,17,0.4857142857142857,15,2,3,17,0.4857142857142857,6,0,1,18,0.5142857142857142,15,1,3,18,0.5142857142857142,15,1,3,16,0.45714285714285713,2,0,0,16,0.45714285714285713,0,0,0,18,0.5142857142857142,8,0,2,0_0_0_10_14_16,-26.0,2
2,1,2,35,0.8285714285714286,7.142857142857143,32,random_only,random_004,0.20363247371270188,0.06170696797893339,0.22686091978859496,0.7591774045629341,0.15210372396104183,13,0.37142857142857144,28,0.8,29,2,17,18,0.5142857142857142,13,0,5,15,0.42857142857142855,10,1,3,16,0.45714285714285713,11,1,4,14,0.4,6,1,2,16,0.45714285714285713,8,0,3,15,0.42857142857142855,7,0,2,13,0.37142857142857144,2,0,0,13,0.37142857142857144,1,0,0,13,0.37142857142857144,4,0,0,0_0_0_10_14_16,-26.0,2
