dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_in_candidates,candidate_count,gt_abs_tau_residual_rank,gt_tau_gain_rank,gt_corrected_coherence_rank,gt_abs_tau_residual_rank_pct,gt_tau_gain_rank_pct,gt_corrected_coherence_rank_pct,selected_abs_tau_residual_rank,selected_tau_gain_rank,selected_corrected_coherence_rank
0_0_0_10_14_16,-25.0,42,5,26,1,4,3,2,3,0.33333333333333337,0.6666666666666667,0.33333333333333337,3,2,3
0_0_0_10_14_16,-25.0,42,5,27,1,4,2,4,2,0.6666666666666667,0.0,0.6666666666666667,2,4,2
0_0_0_10_14_16,-25.0,42,5,28,1,40,23,22,27,0.4358974358974359,0.46153846153846156,0.33333333333333337,23,22,27
0_0_0_10_14_16,-25.0,42,5,29,1,4,2,3,4,0.6666666666666667,0.33333333333333337,0.0,1,4,1
0_0_0_10_14_16,-25.0,42,5,30,1,40,1,7,18,1.0,0.8461538461538461,0.5641025641025641,27,8,8
0_0_0_10_14_16,-25.0,42,5,31,1,40,9,40,6,0.7948717948717949,0.0,0.8717948717948718,9,40,6
0_0_0_10_14_16,-25.0,42,5,32,1,40,33,11,21,0.17948717948717952,0.7435897435897436,0.4871794871794872,1,19,30
0_0_0_10_14_16,-25.0,42,5,33,1,40,28,19,18,0.3076923076923077,0.5384615384615384,0.5641025641025641,11,40,1
0_0_0_10_14_16,-25.0,42,5,34,0,40,0,0,0,0.0,0.0,0.0,20,21,1
0_0_0_10_14_16,-25.0,42,6,0,1,4,1,4,3,1.0,0.0,0.33333333333333337,1,4,3
0_0_0_10_14_16,-25.0,42,6,1,1,28,16,19,1,0.4444444444444444,0.33333333333333337,1.0,16,19,1
0_0_0_10_14_16,-25.0,42,6,2,1,28,26,5,15,0.07407407407407407,0.8518518518518519,0.4814814814814815,2,27,1
0_0_0_10_14_16,-25.0,42,6,3,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,6,4,0,28,0,0,0,0.0,0.0,0.0,13,12,3
0_0_0_10_14_16,-25.0,42,6,5,1,4,4,1,1,0.0,1.0,1.0,4,1,1
0_0_0_10_14_16,-25.0,42,6,6,1,28,1,28,6,1.0,0.0,0.8148148148148149,1,28,6
0_0_0_10_14_16,-25.0,42,6,7,1,4,3,3,2,0.33333333333333337,0.33333333333333337,0.6666666666666667,3,3,2
0_0_0_10_14_16,-25.0,42,6,8,0,4,0,0,0,0.0,0.0,0.0,3,1,4
0_0_0_10_14_16,-25.0,42,6,9,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,6,10,1,28,7,28,1,0.7777777777777778,0.0,1.0,7,28,1
0_0_0_10_14_16,-25.0,42,6,11,1,28,17,20,21,0.40740740740740744,0.2962962962962963,0.2592592592592593,17,20,21
