payload_symbol_index,frame_count,mode_raw_fft_bin,mode_signed_fft_bin,mode_symbol_value,mode_raw_count,mode_symbol_count,raw_mismatch_count,raw_unique_count,symbol_unique_count,unique_raw_fft_bins,unique_symbol_values,mismatch_frame_indices,mismatch_packet_indices,mismatch_event_indices
13,17,426,426,425,12,12,5,6,6,138 285 426 502 689 732,137 284 425 501 688 731,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
14,17,765,-259,764,13,13,4,5,5,348 398 625 765 847,347 397 624 764 846,0 1 2 6,0 1 2 7,0 1 2 7
15,17,1023,-1,1022,13,13,4,5,5,281 364 788 1005 1023,280 363 787 1004 1022,0 1 2 3,0 1 2 3,0 1 2 3
16,17,597,-427,596,12,12,5,6,6,77 474 585 597 739 919,76 473 584 596 738 918,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
17,17,562,-462,561,14,14,3,4,4,232 419 511 562,231 418 510 561,0 1 6,0 1 7,0 1 7
18,17,827,-197,826,14,14,3,4,4,645 797 826 827,644 796 825 826,0 1 6,0 1 7,0 1 7
19,17,890,-134,889,13,13,4,5,5,263 398 889 890 944,262 397 888 889 943,0 1 3 6,0 1 3 7,0 1 3 7
20,17,174,174,173,13,13,4,5,5,173 174 625 875 951,172 173 624 874 950,0 2 3 6,0 2 3 7,0 2 3 7
21,17,267,267,266,14,14,3,4,4,267 292 391 911,266 291 390 910,0 1 6,0 1 7,0 1 7
22,17,917,-107,916,12,12,5,6,6,704 707 783 916 917 1023,703 706 782 915 916 1022,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
23,17,656,-368,655,12,12,5,6,6,190 593 655 656 811 952,189 592 654 655 810 951,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
24,17,889,-135,888,13,13,4,5,5,148 280 334 888 889,147 279 333 887 888,0 1 3 6,0 1 3 7,0 1 3 7
25,17,66,66,65,13,13,4,5,5,65 66 362 433 567,64 65 361 432 566,0 1 2 6,0 1 2 7,0 1 2 7
26,17,586,-438,585,13,13,4,5,5,254 476 585 586 930,253 475 584 585 929,0 1 2 6,0 1 2 7,0 1 2 7
27,17,425,425,424,12,12,5,6,6,99 247 252 425 508 1016,98 246 251 424 507 1015,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
28,17,860,-164,859,12,12,5,6,6,478 518 587 736 860 879,477 517 586 735 859 878,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
29,17,553,-471,552,12,12,5,6,6,552 553 727 775 893 929,551 552 726 774 892 928,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
30,17,629,-395,628,12,12,5,6,6,361 542 629 674 699 1010,360 541 628 673 698 1009,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
31,17,759,-265,758,12,12,5,5,5,299 511 758 759 778,298 510 757 758 777,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
32,17,494,494,493,12,12,5,5,5,479 493 494 723 743,478 492 493 722 742,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
33,17,303,303,302,13,13,4,5,5,303 370 469 534 854,302 369 468 533 853,0 1 3 6,0 1 3 7,0 1 3 7
34,17,1022,-2,1021,13,13,4,5,5,62 350 703 859 1022,61 349 702 858 1021,0 1 3 6,0 1 3 7,0 1 3 7
35,17,720,-304,719,12,12,5,6,6,77 144 415 719 720 844,76 143 414 718 719 843,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
36,17,314,314,313,13,13,4,5,5,314 348 437 447 799,313 347 436 446 798,0 1 3 6,0 1 3 7,0 1 3 7
37,17,602,-422,601,13,13,4,5,5,229 494 602 730 863,228 493 601 729 862,0 1 3 6,0 1 3 7,0 1 3 7
38,17,7,7,6,13,13,4,4,4,6 7 352 834,5 6 351 833,0 1 3 6,0 1 3 7,0 1 3 7
39,17,414,414,413,13,13,4,5,5,233 268 411 414 509,232 267 410 413 508,0 1 2 6,0 1 2 7,0 1 2 7
40,17,807,-217,806,12,12,5,6,6,266 591 600 806 807 859,265 590 599 805 806 858,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
41,17,195,195,194,13,13,4,5,5,193 195 581 663 766,192 194 580 662 765,0 1 3 6,0 1 3 7,0 1 3 7
42,17,826,-198,825,12,12,5,6,6,249 331 429 770 825 826,248 330 428 769 824 825,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
43,17,928,-96,927,13,13,4,5,5,426 520 778 927 928,425 519 777 926 927,0 1 3 6,0 1 3 7,0 1 3 7
44,17,761,-263,760,12,12,5,6,6,488 534 734 761 828 831,487 533 733 760 827 830,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
45,17,590,-434,589,12,12,5,6,6,21 445 588 589 590 868,20 444 587 588 589 867,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
46,17,383,383,382,13,13,4,5,5,303 381 383 802 995,302 380 382 801 994,0 1 3 6,0 1 3 7,0 1 3 7
47,17,267,267,266,12,12,5,6,6,92 190 251 264 267 950,91 189 250 263 266 949,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
48,17,314,314,313,12,12,5,5,5,142 162 244 312 314,141 161 243 311 313,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
