packet_index,event_index,stage,symbol_index,start_sample,peak_bin,signed_peak_bin,expected_signed_bin,distance_to_expected,peak_power,second_power,confidence_db,peak_share
6,6,preamble,10,10180919,0,0,0,0,0.11215205386775602,0.008739806841494833,11.08305396935538,0.027699324871470653
6,6,preamble,11,10185015,0,0,0,0,0.10677101287263176,0.010051103705921171,10.262396086320747,0.025162762583035573
6,6,preamble,12,10189111,0,0,0,0,0.09354957415047616,0.01274827350570551,8.65590442476877,0.019829789970345707
6,6,preamble,13,10193207,0,0,0,0,0.07309565361694809,0.007624586892762525,9.816752357138427,0.01984750753785984
6,6,preamble,14,10197303,0,0,0,0,0.10241460635631491,0.006817513283571841,11.767359072583465,0.03401192523452617
6,6,preamble,15,10201399,0,0,0,0,0.10181170084495493,0.009623939691608841,10.244447999040956,0.02228609495441129
6,6,preamble,16,10205495,0,0,0,0,0.08214115009422544,0.004435240358546602,12.676436188236451,0.038283200430448285
6,6,preamble,17,10209591,0,0,0,0,0.09961116430828976,0.008063176968643103,10.918018246997871,0.023861946895135693
6,6,preamble,18,10213687,0,0,0,0,0.11628612751244062,0.01001784626339912,10.647535455548905,0.02445192255355804
6,6,preamble,19,10217783,0,0,0,0,0.08693212183540036,0.01070650502644957,9.095325547691917,0.01844444378194763
6,6,preamble,20,10221879,0,0,0,0,0.12110055562257623,0.0065918936047138455,12.641359466453462,0.04609504725083762
6,6,preamble,21,10225975,0,0,0,0,0.11905067703513382,0.01206415137486723,9.942350916912087,0.026040271101463106
6,6,preamble,22,10230071,0,0,0,0,0.08970674175815112,0.008651057571099805,10.157558807643298,0.023611775169876045
6,6,preamble,23,10234167,0,0,0,0,0.10326064972084738,0.009645526946396142,10.296088946785265,0.02669078006658344
6,6,preamble,24,10238263,0,0,0,0,0.0943668334102519,0.013739883777700586,8.368363228836571,0.020883983260076424
