packet_index,event_index,symbol_index,selected_bin,signed_bin,symbol_value,phase_at_bin,phase_predicted,phase_residual_rad,phase_score,margin,confidence,amplitude,energy_ratio,argmax_bin,argmax_is_selected,rank_by_amp,gt_bin,is_correct
1,1,17,784,-240,783,2.941236,1.785594,1.155643,0.403331,-0.576802,0.1736,13.930586,0.008157,784,1,0,656,0
1,1,18,811,-213,810,-2.811626,5.803543,-2.331983,1.000000,0.297851,0.7093,13.613420,0.007632,811,1,0,889,0
1,1,19,34,34,33,-0.239056,0.050680,-0.289736,0.958319,0.093977,0.4883,13.189411,0.007302,34,1,0,510,0
1,1,20,544,-480,543,2.334593,2.333514,0.001078,0.999999,0.085562,0.4964,13.283131,0.007236,544,1,0,860,0
1,1,21,594,-430,593,2.717484,4.907163,-2.189679,1.000000,0.006874,0.4156,11.777723,0.005829,594,1,0,553,0
1,1,22,751,-273,750,-0.088283,5.290055,0.904848,0.617805,-0.197638,0.2581,13.398932,0.007338,751,1,0,629,0
1,1,23,949,-75,948,0.976068,0.294609,0.681459,0.776655,-0.113476,0.3220,13.489918,0.007544,949,1,0,759,0
1,1,24,125,125,124,1.710497,1.358959,0.351538,0.938844,0.045911,0.4343,14.612342,0.008591,125,1,0,874,0
1,1,25,196,196,195,1.966552,2.444927,-0.478375,0.887744,-0.109202,0.3649,12.913733,0.006547,196,1,0,720,0
1,1,26,404,404,403,2.132093,2.700981,-0.568888,0.842501,-0.060851,0.3469,12.837087,0.006610,404,1,0,314,0
1,1,27,879,-145,878,1.483671,2.388148,-0.904476,0.618097,-0.258670,0.2585,13.272671,0.007497,879,1,0,602,0
1,1,28,13,13,12,1.710579,1.649213,0.061366,0.998118,0.102317,0.5131,13.727705,0.007695,13,1,0,7,0
1,1,29,547,-477,546,1.985338,1.876121,0.109217,0.994042,0.163411,0.5738,14.430310,0.008530,547,1,0,610,0
1,1,30,600,-424,599,-1.401654,2.212246,2.669286,1.000000,0.029279,0.4385,12.385625,0.006131,600,1,0,807,0
1,1,31,668,-356,667,-1.757191,-1.126895,-0.630296,0.807853,-0.109719,0.3351,14.114656,0.007987,668,1,0,897,0
1,1,32,568,-456,567,-1.587200,-1.482432,-0.104768,0.994517,0.071091,0.4770,11.655825,0.005432,568,1,0,749,0
1,1,33,429,429,428,-1.662504,-1.417209,-0.245295,0.970066,0.017196,0.4171,13.710111,0.007921,429,1,0,584,0
1,1,34,934,-90,933,0.106455,-1.737807,1.844263,1.000000,0.045668,0.4573,13.286850,0.007740,934,1,0,934,1
2,2,0,961,-63,960,-3.020106,-3.803180,0.783074,0.708749,-0.231964,0.2945,13.461981,0.007315,961,1,0,803,0
2,2,1,826,-198,825,3.126875,-3.241470,0.085160,0.996376,0.051029,0.4607,13.538803,0.007430,826,1,0,826,1
2,2,2,48,48,47,-1.335581,2.990671,1.956933,1.000000,0.371532,0.7192,17.561022,0.012820,48,1,0,922,0
2,2,3,650,-374,649,1.187524,0.111585,1.075939,0.474907,-0.504299,0.1993,12.306086,0.006241,650,1,0,718,0
2,2,4,724,-300,723,2.822262,3.008253,-0.185991,0.982753,-0.001250,0.4034,12.905338,0.006866,724,1,0,86,0
2,2,5,75,75,74,-0.069895,4.642991,1.570300,1.000000,0.107613,0.5189,13.302513,0.007557,75,1,0,468,0
2,2,6,503,503,502,2.354950,1.564843,0.790107,0.703769,-0.107745,0.2941,14.245355,0.008404,503,1,0,89,0
2,2,7,376,376,375,0.072031,3.989688,2.365528,1.000000,0.024252,0.4376,14.859892,0.008877,376,1,0,713,0
2,2,8,946,-78,945,2.406845,-2.210888,-1.665452,1.000000,0.197000,0.6072,12.650963,0.006783,946,1,0,865,0
2,2,9,1000,-24,999,-2.780314,4.741659,-1.238788,0.325943,-0.442943,0.1425,13.852496,0.008112,1000,1,0,492,0
2,2,10,985,-39,984,-0.384416,-1.684287,1.299871,1.000000,0.201313,0.6159,15.012213,0.009702,985,1,0,765,0
2,2,11,61,61,60,-1.181190,1.950398,-3.131588,1.000000,0.118388,0.5288,12.974524,0.006916,61,1,0,1023,0
2,2,12,499,499,498,-0.882283,-0.085163,-0.797120,0.698770,-0.290711,0.2892,12.433642,0.006442,499,1,0,597,0
2,2,13,699,-325,698,-0.207291,-0.583377,0.376086,0.930109,0.043587,0.4256,12.732764,0.006664,699,1,0,562,0
2,2,14,248,248,247,0.190095,0.091616,0.098479,0.995155,0.020490,0.4329,15.796561,0.009592,248,1,0,478,0
2,2,15,906,-118,905,1.036972,0.587481,0.449491,0.900668,0.030232,0.4017,13.515248,0.007440,906,1,0,267,0
2,2,16,377,377,376,1.040501,1.711964,-0.671463,0.782912,-0.016853,0.3269,15.368444,0.009144,377,1,0,917,0
2,2,17,29,29,28,1.704792,1.437886,0.266906,0.964592,-0.034085,0.3964,13.315489,0.007056,29,1,0,656,0
2,2,18,382,382,381,-0.457535,2.369084,-2.826618,1.000000,0.275616,0.6885,14.176039,0.008573,382,1,0,889,0
2,2,19,671,-353,670,-2.489699,-0.454005,-2.035693,1.000000,0.087657,0.4980,12.753776,0.006890,671,1,0,510,0
2,2,20,940,-84,939,-1.679737,-4.521863,2.842126,1.000000,0.090623,0.5013,13.368814,0.007140,940,1,0,860,0
2,2,21,232,232,231,2.606939,-3.711901,0.035655,0.999364,0.292885,0.7069,15.322969,0.009524,232,1,0,553,0
2,2,22,752,-272,751,2.702502,0.610430,2.092072,1.000000,0.047940,0.4575,12.526217,0.006350,752,1,0,629,0
2,2,23,980,-44,979,0.134748,2.798064,-2.663316,1.000000,0.062936,0.4756,13.949139,0.008466,980,1,0,759,0
2,2,24,443,443,442,0.769831,-1.861761,2.631592,1.000000,0.096654,0.5062,12.322608,0.006333,443,1,0,874,0
2,2,25,321,321,320,0.861194,0.865393,-0.004199,0.999991,0.066396,0.4784,13.952437,0.008002,321,1,0,720,0
