dataset,snr_db,seed,packet_index,block_index,hard_errors,gt_fixed_coherence,hard_fixed_coherence,gt_beats_hard_fixed,gt_best_coherence,hard_best_coherence,gt_beats_hard_own_best,random_trials,gt_beats_random_fixed_fraction,gt_beats_random_own_best_fraction,random_fixed_max,random_own_best_max
real_low4,,53,14,1,0,0.9801529621437879,0.9801529621437879,0,0.9801529621437877,0.9801529621437877,0,64,1.0,1.0,0.547490820611031,0.7464906157297162
real_low4,,53,14,2,0,0.9883142971391469,0.9883142971391469,0,0.9883142971391471,0.9883142971391471,0,64,1.0,1.0,0.7619123500586917,0.8309803134486073
real_low4,,53,14,3,0,0.9948454763450661,0.9948454763450661,0,0.9948454763450666,0.9948454763450666,0,64,1.0,1.0,0.5689098611287142,0.7495907122426916
real_low4,,53,14,4,0,0.9925109021678771,0.9925109021678771,0,0.9925109021678767,0.9925109021678767,0,64,1.0,1.0,0.5966593724933443,0.7173195599512842
real_low4,,53,14,5,0,0.9844792603375317,0.9844792603375317,0,0.9844792603375317,0.9844792603375317,0,64,1.0,1.0,0.4422452014708331,0.7693572757155465
real_low4,,53,14,6,0,0.988620635596537,0.988620635596537,0,0.9886206355965372,0.9886206355965372,0,64,1.0,1.0,0.4024071012748963,0.6087700772746619
real_low4,,53,16,0,0,0.9924504667473836,0.9924504667473836,0,0.9924504667473836,0.9924504667473836,0,64,1.0,1.0,0.6270817882973374,0.7801700297001717
real_low4,,53,16,1,0,0.9942483222823844,0.9942483222823844,0,0.9942483222823844,0.9942483222823844,0,64,1.0,1.0,0.5479396284048689,0.7822267348707055
real_low4,,53,16,2,0,0.9915471602148818,0.9915471602148818,0,0.9915471602148818,0.9915471602148818,0,64,1.0,1.0,0.6817142656133275,0.7326085796781291
real_low4,,53,16,3,0,0.9960403746792248,0.9960403746792248,0,0.9960403746792245,0.9960403746792245,0,64,1.0,1.0,0.5804028015021087,0.7528157291860734
real_low4,,53,16,4,0,0.9895817511543489,0.9895817511543489,0,0.9895817511543489,0.9895817511543489,0,64,1.0,1.0,0.5455692522366612,0.6879757496735485
real_low4,,53,16,5,0,0.9933273562658373,0.9933273562658373,0,0.9933273562658373,0.9933273562658373,0,64,1.0,1.0,0.4026990348737038,0.9128861615594642
real_low4,,53,16,6,0,0.9892646335746592,0.9892646335746592,0,0.9892646335746595,0.9892646335746595,0,64,1.0,1.0,0.572128738490847,0.681655153605284
real_low4,,53,17,0,0,0.9847234507347091,0.9847234507347091,0,0.9847234507347088,0.9847234507347088,0,64,1.0,1.0,0.5421914844774016,0.6573297846633533
real_low4,,53,17,1,0,0.9938232212144684,0.9938232212144684,0,0.9938232212144681,0.9938232212144681,0,64,1.0,1.0,0.53032310203693,0.684560833065046
real_low4,,53,17,2,0,0.9918420334971444,0.9918420334971444,0,0.9918420334971442,0.9918420334971442,0,64,1.0,1.0,0.45490076221566283,0.7405583271912645
real_low4,,53,17,3,0,0.9939785472261871,0.9939785472261871,0,0.9939785472261871,0.9939785472261871,0,64,1.0,1.0,0.5445320196427186,0.7498430348083692
real_low4,,53,17,4,0,0.9922574829800124,0.9922574829800124,0,0.992257482980012,0.992257482980012,0,64,1.0,1.0,0.558208644965786,0.7275020535601114
real_low4,,53,17,5,0,0.9946716030218552,0.9946716030218552,0,0.9946716030218552,0.9946716030218552,0,64,1.0,1.0,0.496405634340618,0.6590734546572017
real_low4,,53,17,6,0,0.9604592073238584,0.9604592073238584,0,0.9604592073238584,0.9604592073238584,0,64,1.0,1.0,0.4400937126772211,0.735003823516316
real_low4,,53,18,0,0,0.9893408100999516,0.9893408100999516,0,0.9893408100999516,0.9893408100999516,0,64,1.0,1.0,0.3745266649296456,0.760810183839253
real_low4,,53,18,1,0,0.9879090197933575,0.9879090197933575,0,0.9879090197933578,0.9879090197933578,0,64,1.0,1.0,0.4815511524922589,0.7218976480329964
real_low4,,53,18,2,0,0.9841837599689055,0.9841837599689055,0,0.984183759968905,0.984183759968905,0,64,1.0,1.0,0.3810489543666879,0.888944482690147
real_low4,,53,18,3,0,0.9867245675074364,0.9867245675074364,0,0.9867245675074362,0.9867245675074362,0,64,1.0,1.0,0.7147171072380218,0.716256935478227
real_low4,,53,18,4,0,0.9933533386646923,0.9933533386646923,0,0.9933533386646923,0.9933533386646923,0,64,1.0,1.0,0.6364990438266939,0.7413009675935492
real_low4,,53,18,5,0,0.9947375846420978,0.9947375846420978,0,0.9947375846420978,0.9947375846420978,0,64,1.0,1.0,0.7534729796712836,0.7652039726273976
real_low4,,53,18,6,0,0.9946419734654863,0.9946419734654863,0,0.9946419734654864,0.9946419734654864,0,64,1.0,1.0,0.5213946807379957,0.6856920849178636
