packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser,selected_raw_ser,selected_symbol_ser,ser_gain_vs_center,ser_gain_vs_multi_offset,locked_symbol_count,uncertain_symbol_count,locked_ratio,false_lock_count,locked_with_gt_count,false_lock_rate,uncertain_candidate_hits,uncertain_candidate_total,uncertain_candidate_recall,trajectory_score,line_score,mean_phase_score,mean_amp_score,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,beam_final_size,error,payload_hex,crc_valid,crc_computed,crc_received,decoded_payload_len,decode_error,dataset,target_snr_db
6,6,6,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.48571428571428577,0.0,7,28,0.2,0,7,0.0,20,28,0.7142857142857143,0.8762936075504539,0.0001331283609322834,0.3814680377522692,1.0,-0.19896397967111984,0.8295614987678736,0.8962018242472855,26,1,,4044332211001988d830396a3efd37bd3638292b3abcb5afb7d84046037c167007,0,0x04e1,0xc5fb,33,,0_0_0_10_14_8,-22.0
7,7,7,33,1,1,0,35,35,0.8,0.8,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.4571428571428572,0.0,7,28,0.2,0,7,0.0,24,28,0.8571428571428571,0.9138889845625722,0.1277549525577959,0.5694449228128607,1.0,0.0067844312309948375,0.030317974810501913,0.4303344228349224,26,1,,4064312231229a0058b03132333435367739397a7b3c3e2f0e416142c17a567652,0,0xb540,0x1b32,33,,0_0_0_10_14_8,-22.0
8,8,8,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.5142857142857143,0.0,6,29,0.17142857142857143,0,6,0.0,23,29,0.7931034482758621,0.8907372105489609,0.08376435873835426,0.45368605274480456,1.0,-0.18479719056796773,0.940791917826419,0.47241643788243187,26,1,,40c43baa11000b11483030f37730f9323738393a3b1c3d1e3f4061e043faf6b612,0,0xb3c3,0x1e06,33,,0_0_0_10_14_8,-22.0
9,9,9,33,1,1,0,35,35,0.7428571428571429,0.7428571428571429,0.2,0.2,0.2,0.2,0.5428571428571429,0.0,6,29,0.17142857142857143,0,6,0.0,27,29,0.9310344827586207,0.9120244472824665,0.1994142705378469,0.5601222364123322,1.0,-0.12382912623513612,0.9193312433665006,0.3809374976241421,26,1,,4044332211001c10c838b97333303136331a1b18193e3d3e3f4041424378563412,0,0x42cf,0xc6bb,33,,0_0_0_10_14_8,-22.0
0,0,0,33,1,1,0,35,35,0.6285714285714286,0.6285714285714286,0.2,0.2,0.17142857142857143,0.17142857142857143,0.45714285714285713,0.02857142857142858,18,17,0.5142857142857142,0,18,0.0,17,17,1.0,0.9424121656733562,0.5224029407925498,0.7521634540035625,0.9899743435908045,-0.1409939593968792,0.9741827266112554,0.24174045265171057,26,12,,400477665500130058303162777470773330b13ab33435beb7c841424378563412,0,0x022a,0x1364,33,,0_0_0_10_14_8,-23.0
1,1,1,33,1,1,0,35,35,0.7142857142857143,0.7142857142857143,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.6,0.0,15,20,0.42857142857142855,0,15,0.0,20,20,1.0,0.9468681518061057,0.6468502370678558,0.7343407590305283,1.0,0.019370654536017218,0.5071982845788372,0.1980092007231426,26,1,,404433221100140158303132777471763738393a3b3c3d3e3f4041424378563412,0,0x291a,0xdb49,33,,0_0_0_10_14_8,-23.0
2,2,2,33,1,1,0,35,35,0.6285714285714286,0.6285714285714286,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.5428571428571428,0.0,20,15,0.5714285714285714,0,20,0.0,15,15,1.0,0.961488583035227,0.7580804374972727,0.8273624172551902,0.9950201244802361,-0.05102794058425647,0.891303249797692,0.15788261551217347,26,4,,406431201302050049302132333435363738393a3b7c797a7f4045424378563412,0,0xabd9,0x9efd,33,,0_0_0_10_14_8,-23.0
3,3,3,33,1,1,0,35,35,0.6571428571428571,0.6571428571428571,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.5714285714285714,0.0,22,13,0.6285714285714286,1,22,0.045454545454545456,12,13,0.9230769230769231,0.972969730482463,0.7474402164435227,0.8648486524123148,1.0,-0.04780076062787538,0.8756862647613662,0.1618613170049949,26,1,,40443322110016007830313233343536b7383132333c3d3e3f4041424378563412,0,0xd6a3,0x5021,33,,0_0_0_10_14_8,-23.0
4,4,4,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6857142857142857,0.0,12,23,0.34285714285714286,0,12,0.0,22,23,0.9565217391304348,0.9656628434263647,0.8404227056788698,0.8759110539468833,0.9881007907962349,-0.04553610835144311,0.9216115321356276,0.12508607572570912,26,24,,40442262404453603c701130333435363738393a3b1c1d3c3f6041424378563412,0,0xa293,0x1595,33,,0_0_0_10_14_8,-23.0
5,5,5,33,1,1,0,35,35,0.9142857142857143,0.9142857142857143,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.1428571428571428,0.0,1,34,0.02857142857142857,0,1,0.0,18,34,0.5294117647058824,0.8852477703216967,0.0005688402798131316,0.42623885160848324,1.0,0.11481939301844754,0.6393786130334369,0.8200438878439827,26,1,,401419cab46becaa8ec433e53a983b091e18193839b49fbc3fca438f9b3ccfbd1c,0,0x42fb,0xb613,33,,0_0_0_10_14_8,-23.0
6,6,6,33,1,1,0,35,35,0.9428571428571428,0.9428571428571428,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.4,0.0,4,31,0.11428571428571428,0,4,0.0,20,31,0.6451612903225806,0.9005900852470752,0.038996028722259254,0.5029504262353759,1.0,-0.13732124464667755,0.8658921893144331,0.5403578369103652,26,1,,4054622605401988d830396a3efd37bd3638292b3abcb5afb7d86046015c347087,0,0x3c75,0xcdf3,33,,0_0_0_10_14_8,-23.0
7,7,7,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.42857142857142855,0.0,7,28,0.2,0,7,0.0,20,28,0.7142857142857143,0.9058933770436486,0.1788132921439847,0.5294668852182429,1.0,0.07968229386616792,0.8180650749696774,0.39360789757577996,26,1,,4064312231228a0048b0213333343536573b1b5a7b3e3e2f0e413102812b077752,0,0x4987,0x1b32,33,,0_0_0_10_14_8,-23.0
8,8,8,33,1,1,0,35,35,0.9428571428571428,0.9428571428571428,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.4285714285714286,0.0,2,33,0.05714285714285714,0,2,0.0,22,33,0.6666666666666666,0.906249867290822,0.021672781308186992,0.53124933645411,1.0,-0.06486380485256764,0.5701889562147205,0.5872417143741565,26,1,,40c43ba833020b51c8b43cfb7730f9323738393a3b1c2d1e3e4161e043faf6b612,0,0x3025,0x1e26,33,,0_0_0_10_14_8,-23.0
9,9,9,33,1,1,0,35,35,0.8,0.8,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.3714285714285715,0.0,4,31,0.11428571428571428,0,4,0.0,25,31,0.8064516129032258,0.8973150082218041,0.01643236800435829,0.48657504110902017,1.0,-0.2231637393272383,0.9298578882643669,0.6080832185983888,26,1,,4044336615441810c838b97322203126321a1b18192e3c2f0f5263c04bdafe3430,0,0xed9a,0xc6b9,33,,0_0_0_10_14_8,-23.0
0,0,0,33,1,1,0,35,35,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.4285714285714286,0.0,9,26,0.2571428571428571,0,9,0.0,22,26,0.8461538461538461,0.9375517595104164,0.3635209427338619,0.6877587975520816,1.0,-0.13398137652425454,0.9606990866746032,0.3017824601580249,26,1,,400477665500130058303162777470779312b1b83b1e179eb5e841464778163092,0,0x9fef,0x9b64,33,,0_0_0_10_14_8,-24.0
1,1,1,33,1,1,0,35,35,0.7714285714285715,0.7714285714285715,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.5142857142857143,0.0,9,26,0.2571428571428571,0,9,0.0,25,26,0.9615384615384616,0.9336513806202801,0.5134098858494864,0.6682569031014002,1.0,0.03171034724777353,0.6567932142479531,0.24495156247196734,26,1,,404477225144140158303132777471763730b1ba337c793a7f0045424378563412,0,0xdc11,0xdb49,33,,0_0_0_10_14_8,-24.0
2,2,2,33,1,1,0,35,35,0.7428571428571429,0.7428571428571429,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.4285714285714286,0.0,10,25,0.2857142857142857,0,10,0.0,23,25,0.92,0.9326142536552927,0.11605191674098629,0.6630712682764635,1.0,-0.07392496296875287,0.6515219511030277,0.4402664950798859,26,1,,406431201302050049302132337475723338393a3b7c797a7f409582972dda3c12,0,0x2b56,0x9efd,33,,0_0_0_10_14_8,-24.0
3,3,3,33,1,1,0,35,35,0.8,0.8,0.17142857142857143,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.6571428571428573,0.02857142857142858,18,17,0.5142857142857142,0,18,0.0,15,17,0.8823529411764706,0.9666288635486204,0.7500494865239091,0.8747545352978161,0.9895974456113216,-0.047911047226284885,0.8862617316079272,0.16088955321491777,26,36,,40443322110016007830313232352526b6383132333c3d3e3f4041424378562403,0,0x7b6b,0x5021,33,,0_0_0_10_14_8,-24.0
4,4,4,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.4,0.4,0.4,0.4,0.4571428571428571,0.0,8,27,0.22857142857142856,1,8,0.125,24,27,0.8888888888888888,0.9599999427469044,0.7773050264603953,0.7999997137345216,1.0,-0.0452010296897732,0.8891834153316794,0.15057562637503943,26,1,,40442a6ac044d3e8945011ba3b3cb5be1f32191a130e695d5e704062615a763612,0,0xeb09,0x1595,33,,0_0_0_10_14_8,-24.0
5,5,5,33,1,1,0,35,35,0.9428571428571428,0.9428571428571428,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.11428571428571421,0.0,0,35,0.0,0,0,0.0,11,35,0.3142857142857143,0.8959470529846646,0.0009349346458899689,0.47973526492332264,1.0,0.12927969545563048,0.6838479499922285,0.792308685785166,26,1,,401419cab46becaa8ec433e53a983b095e1c1d387db09fbc3fca438f9b3ccfbd1c,0,0x285d,0xb613,33,,0_0_0_10_14_8,-24.0
6,6,6,33,1,1,0,35,35,0.9714285714285714,0.9714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2571428571428571,0.0,2,33,0.05714285714285714,0,2,0.0,18,33,0.5454545454545454,0.9088910231669272,0.008168848113658414,0.5444551158346356,1.0,-0.10524060258048624,0.7252401858755511,0.657775389690847,26,1,,40d46a260d401198d820286b3efd37bdb67821eb7eb4b5afb7d8e04e81dcbc7887,0,0xf277,0xcdf3,33,,0_0_0_10_14_8,-24.0
7,7,7,33,1,1,0,35,35,0.9428571428571428,0.9428571428571428,0.6,0.6,0.6,0.6,0.34285714285714286,0.0,4,31,0.11428571428571428,1,4,0.25,17,31,0.5483870967741935,0.9185994318418745,0.030444853309104108,0.5929971592093725,1.0,-0.05792751762080978,0.49766259258908485,0.5605938358690223,26,1,,406431223122ca040cb461f7fb707176472a1b4b6a3f3e2f0e413102812b076752,0,0x4834,0x1b33,33,,0_0_0_10_14_8,-24.0
8,8,8,33,1,1,0,35,35,0.9714285714285714,0.9714285714285714,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.22857142857142854,0.0,1,34,0.02857142857142857,0,1,0.0,18,34,0.5294117647058824,0.9121824695145778,0.21293066857894347,0.5609123475728889,1.0,-0.034562222141701224,0.46450732774696146,0.37310987648409005,26,1,,40847fec37020f51c8b43ceb4403fa002539382b3b1d2d1e3e4161f043fae6b610,0,0x2a01,0x0d51,33,,0_0_0_10_14_8,-24.0
9,9,9,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.2571428571428571,0.0,2,33,0.05714285714285714,0,2,0.0,20,33,0.6060606060606061,0.8879585766239293,0.0011140524091402993,0.43979288311964615,1.0,-0.1856761845647324,0.8447018443732223,0.7822899707531141,26,1,,4054335737773a32ca38bb7322203126321a1b18192e3c2f0f5223c00f9afa3438,0,0xb604,0xc639,33,,0_0_0_10_14_8,-24.0
0,0,0,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,6,29,0.17142857142857143,0,6,0.0,20,29,0.6896551724137931,0.917544386530432,0.01992925291556936,0.5877219326521596,1.0,-0.15481132453914231,0.848662540264414,0.5936337227442928,26,1,,4004776655009380da183b60777470779312b1b83b1e179eb5e8414647781650f2,0,0x7121,0xfb04,33,,0_0_0_10_14_8,-25.0
1,1,1,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.37142857142857144,0.0,3,32,0.08571428571428572,0,3,0.0,28,32,0.875,0.9328581901750151,0.45427862116599516,0.6953048378407362,0.9922465282585848,0.02821712027995176,0.5172784274065085,0.26648454168180236,26,18,,40447722514414050d246437556473753730b1ba336c69ab7f90cd4acb78de1c11,0,0xb884,0xfa6b,33,,0_0_0_10_14_8,-25.0
2,2,2,33,1,1,0,35,35,0.7714285714285715,0.7714285714285715,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.3428571428571429,0.0,4,31,0.11428571428571428,0,4,0.0,25,31,0.8064516129032258,0.8820710249861615,0.02563009714265453,0.4103551249308072,1.0,-0.14170359188512116,0.8516923234641022,0.5742463890681444,26,1,,406428a80a030404497025363374757233b0b132bb7c797a7f409582972dda3c12,0,0xa614,0x9efd,33,,0_0_0_10_14_8,-25.0
3,3,3,33,1,1,0,35,35,0.9142857142857143,0.9142857142857143,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4857142857142857,0.0,6,29,0.17142857142857143,0,6,0.0,25,29,0.8620689655172413,0.9509122932207437,0.5637054003090097,0.7545614661037183,1.0,-0.02251030694029749,0.42916270653061706,0.22713457540538518,26,1,,40c4772e11c05e003c7031363335242677f4bda6271d1d1e3d62414242685794a2,0,0x17f8,0xdaa9,33,,0_0_0_10_14_8,-25.0
