scenario,target_tx_dbm,trial,symbol_index,gt_bin,branch0_bin,savaux_bin,equal8_bin,equal8_wrap_bin,gls8_direct_bin,gls8_cg_bin,gls8_cg_wrap_bin,conditional_gls_bin,savaux_margin_db,branch_color_mismatch,conditional_backend_ran
one_interferer,-63.0,0,66,182,182,182,182,182,182,182,182,182,2.2358278857776286,1.258381488655518,0
one_interferer,-63.0,0,67,736,736,736,736,736,736,736,736,736,3.4455889187770583,1.287574592215856,0
one_interferer,-63.0,0,68,776,776,776,776,776,776,776,776,776,2.6524733459622896,1.2712165233014878,0
one_interferer,-63.0,0,69,578,578,578,578,578,578,578,578,578,3.8290171929823775,1.2816017322078848,0
one_interferer,-63.0,0,70,557,557,557,557,557,557,557,557,557,4.33789106621972,1.2716530948711844,0
one_interferer,-63.0,0,71,375,375,375,375,375,375,375,375,375,2.8572094695153165,1.2733597412956508,0
one_interferer,-63.0,0,72,437,437,437,437,437,437,437,437,437,3.053898129079297,1.2791867974393176,0
one_interferer,-63.0,0,73,1012,1012,1012,1012,1012,1012,1012,1012,1012,2.389426920757926,1.272346347607415,0
one_interferer,-63.0,0,74,921,921,921,921,921,921,921,921,921,5.868090781103488,1.268868558187515,0
one_interferer,-63.0,0,75,61,61,61,61,61,61,61,61,61,3.3403714314749515,1.302225441470814,0
one_interferer,-63.0,0,76,714,714,714,714,714,714,714,714,714,0.5492239980659406,1.2818102764272066,0
one_interferer,-63.0,0,77,3,3,3,3,3,3,3,3,3,1.0492795453199022,1.2917010920323617,0
one_interferer,-63.0,0,78,957,957,957,957,957,957,957,957,957,3.7588419749579276,1.281249549204451,0
one_interferer,-63.0,0,79,578,578,578,578,578,578,578,578,578,2.696101794800075,1.2831788929530061,0
one_interferer,-63.0,0,80,491,491,491,491,491,491,491,491,491,4.08127284958184,1.2791904215629073,0
one_interferer,-63.0,0,81,404,404,404,404,404,404,404,404,404,1.6622079217729304,1.2856782655429144,0
one_interferer,-63.0,0,82,361,361,361,361,361,361,361,361,361,3.141308235008635,1.2805511463851509,0
one_interferer,-63.0,0,83,37,37,37,37,37,37,37,37,37,3.374299230574235,1.28945977190504,0
one_interferer,-63.0,0,84,185,185,185,185,185,185,185,185,185,2.7944085804922074,1.2838175667790863,0
one_interferer,-63.0,0,85,198,198,198,198,198,198,198,198,198,2.297683681308604,1.2927060602085891,0
one_interferer,-63.0,0,86,692,692,692,692,692,692,692,692,692,3.0471667251151855,1.2709167498963994,0
one_interferer,-63.0,0,87,51,51,51,51,51,51,51,51,51,1.3690548059341863,1.2825064229666394,0
one_interferer,-63.0,0,88,398,398,398,398,398,398,398,398,398,2.2199991611741616,1.2672132748547102,0
one_interferer,-63.0,0,89,741,741,741,741,741,741,741,741,741,2.679941962647008,1.2809281287346561,0
one_interferer,-63.0,0,90,929,929,929,929,929,929,929,929,929,1.3533996466293412,1.2866576955063824,0
one_interferer,-63.0,0,91,57,57,154,57,57,154,154,57,57,0.10956371791012556,1.2855417540334015,1
one_interferer,-63.0,0,92,546,546,546,546,546,546,546,546,546,0.8707479306556,1.2907384005775102,0
one_interferer,-63.0,0,93,268,268,268,268,268,268,268,268,268,5.19139836347306,1.2914595228643058,0
one_interferer,-63.0,0,94,148,148,148,148,148,148,148,148,148,5.302348044408659,1.2818321060716866,0
one_interferer,-63.0,0,95,291,291,291,291,291,291,291,291,291,2.2439569957244827,1.298523279369415,0
one_interferer,-63.0,0,96,916,916,916,916,916,916,916,916,916,1.0032241148987044,1.2835077672188144,0
one_interferer,-63.0,0,97,651,651,651,651,651,651,651,651,651,1.7361299167415554,1.2749850523209652,0
one_interferer,-63.0,0,98,760,760,760,760,760,760,760,760,760,1.747292518848572,1.302872558564504,0
one_interferer,-63.0,0,99,467,467,467,467,467,467,467,467,467,4.960747451939609,1.2772210479959836,0
one_interferer,-63.0,0,100,872,578,578,578,578,578,578,578,578,1.9414951969216445,1.2814183817311788,0
one_interferer,-63.0,0,101,590,590,590,590,590,590,590,590,590,1.414760176151997,1.2824203127629605,0
one_interferer,-63.0,0,102,569,569,569,569,569,569,569,569,569,3.5215525188668884,1.2699268878314454,0
one_interferer,-63.0,0,103,315,315,315,315,315,315,315,315,315,2.396684589030618,1.2775647540185788,0
one_interferer,-63.0,0,104,498,498,498,498,498,498,498,498,498,2.459994823818114,1.2924697537538938,0
one_interferer,-63.0,0,105,23,23,23,23,23,23,23,23,23,4.474715038228634,1.2969408593994898,0
one_interferer,-63.0,0,106,716,716,716,716,716,716,716,716,716,3.3211801124623337,1.2732842736840624,0
one_interferer,-63.0,0,107,748,748,748,748,748,748,748,748,748,1.7565519153652347,1.2723133781199254,0
one_interferer,-63.0,0,108,767,767,767,767,767,767,767,767,767,2.7726698097265907,1.2754876287262509,0
one_interferer,-63.0,0,109,994,994,994,994,994,994,994,994,994,2.672452638341858,1.2966977224473146,0
one_interferer,-63.0,0,110,509,509,509,509,509,509,509,509,509,5.1175425429523695,1.273490958888787,0
one_interferer,-63.0,0,111,74,74,74,74,74,74,74,74,74,1.0990883615071152,1.284252721442044,0
one_interferer,-63.0,0,112,512,512,512,512,512,512,512,512,512,4.692377951052984,1.2591793945743777,0
one_interferer,-63.0,0,113,7,7,7,7,7,7,7,7,7,3.6044980894657286,1.2881321591438082,0
one_interferer,-63.0,0,114,728,728,728,728,728,728,728,728,728,0.824080101270708,1.2793580607448964,0
one_interferer,-63.0,0,115,605,605,605,605,605,605,605,605,605,0.8067100569250246,1.2820657321176514,0
one_interferer,-63.0,0,116,912,912,912,912,912,912,912,912,912,1.782905372705016,1.274081585479204,0
one_interferer,-63.0,0,117,699,699,699,699,699,699,699,699,699,4.352832088184923,1.2783623692479709,0
one_interferer,-63.0,0,118,747,589,589,589,589,589,589,589,589,0.7784623724337656,1.2736031327704735,0
one_interferer,-63.0,0,119,929,929,929,929,929,929,929,929,929,4.222129887277582,1.2905038705352772,0
one_interferer,-63.0,0,120,583,583,583,583,583,583,583,583,583,3.736482857219268,1.2727653093172444,0
one_interferer,-63.0,0,121,917,917,917,917,917,917,917,917,917,3.5404811240385725,1.2833612280830056,0
