snr_label,added_snr_db,noise_power_db_relative,seed,packet_index,payload_symbol_index,frame_symbol_index,start_sample,gt_bin,savaux_bin,savaux_correct,savaux_gt_rank,savaux_gt_margin_db,litenap_single_bin,litenap_single_correct,litenap_single_gt_rank,litenap_single_gt_margin_db,litenap_savaux_k1_bin,litenap_savaux_k1_correct,litenap_savaux_k1_gt_rank,litenap_savaux_k1_gt_margin_db,litenap_savaux_k2_bin,litenap_savaux_k2_correct,litenap_savaux_k2_gt_rank,litenap_savaux_k2_gt_margin_db,litenap_single_phase_bin,litenap_single_phase_correct,litenap_single_phase_gt_rank,litenap_single_phase_gt_margin_db,litenap_single_phase_alias_bin,litenap_single_phase_candidate_bins,litenap_single_phase_phase_jump_scores,litenap_savaux_k1_phase_bin,litenap_savaux_k1_phase_correct,litenap_savaux_k1_phase_gt_rank,litenap_savaux_k1_phase_gt_margin_db,litenap_savaux_k1_phase_alias_bin,litenap_savaux_k1_phase_candidate_bins,litenap_savaux_k1_phase_phase_jump_scores,litenap_savaux_k2_phase_bin,litenap_savaux_k2_phase_correct,litenap_savaux_k2_phase_gt_rank,litenap_savaux_k2_phase_gt_margin_db,litenap_savaux_k2_phase_alias_bin,litenap_savaux_k2_phase_candidate_bins,litenap_savaux_k2_phase_phase_jump_scores
clean,,,0,0,10,18,664488,865,865,1,1,22.006078174087037,97,0,1,0.0,865,1,1,3.372145537082361,865,1,1,6.427855106148409,353,0,1,0.0,97,97|353|609|865,43.6543029|83.6812106|74.2663409|1.03717542,865,1,1,3.372145537082361,97,97|353|609|865,159.661742|271.952448|280.789001|55.111538,865,1,1,6.427855106148409,97,97|353|609|865,104.090165|0.0146415026|185.768606|98.6684533
clean,,,0,0,11,19,668584,92,92,1,1,20.74402869189641,92,1,1,0.0,92,1,1,3.6110852883260836,92,1,1,6.642330787637837,604,0,1,0.0,92,92|348|604|860,1.94874995|69.5368224|78.795467|49.1147059,860,0,1,3.6110852883260836,92,92|348|604|860,0.145476523|286.980645|310.643627|256.122891,92,1,1,6.642330787637837,92,92|348|604|860,0.74393264|187.563463|0.000111044158|166.052122
clean,,,0,0,12,20,672680,645,645,1,1,24.376024692620845,133,0,1,0.0,645,1,1,4.102920178131528,645,1,1,7.11971581006035,389,0,1,0.0,133,133|389|645|901,26.9898616|43.0479578|0.214538774|14.9945456,645,1,1,4.102920178131528,133,133|389|645|901,59.3809336|96.9532545|15.5599415|3.71923828,645,1,1,7.11971581006035,133,133|389|645|901,0.00200509173|70.8743841|28.0063848|3.30707931
clean,,,0,0,13,21,676776,426,426,1,1,21.945336884201797,170,0,1,0.0,426,1,1,4.002211287485623,426,1,1,7.010034691310877,682,0,1,0.0,170,170|426|682|938,14.0670299|4.76450211|37.6240844|8.89790074,426,1,1,4.002211287485623,170,170|426|682|938,33.4982001|19.3474618|42.47801|19.6548667,426,1,1,7.010034691310877,170,170|426|682|938,25.5314476|39.3111175|32.4793444|0.014609728
clean,,,0,0,14,22,680872,765,765,1,1,21.56936273282764,253,0,1,0.0,765,1,1,3.5104228019897343,765,1,1,6.56611332077356,253,0,1,0.0,253,253|509|765|1021,71.3184737|53.4751877|5.22590709|0,765,1,1,3.5104228019897343,253,253|509|765|1021,146.160548|166.850162|28.9386024|0,765,1,1,6.56611332077356,253,253|509|765|1021,0.00622912659|116.885257|54.2127264|1.39770533
clean,,,0,0,15,23,684968,1023,1023,1,1,17.688182575697844,255,0,1,0.0,1023,1,1,3.4947304780860695,1023,1,1,6.526892844125811,511,0,1,0.0,255,255|511|767|1023,230.460241|304.976414|214.640054|0,767,0,1,3.4947304780860695,255,255|511|767|1023,512.078121|502.402928|555.81771|0,1023,1,1,6.526892844125811,255,255|511|767|1023,299.024049|4.77750884e-05|309.212491|0
clean,,,0,0,16,24,689064,597,597,1,1,20.83704937047718,85,0,1,0.0,597,1,1,4.0106800365539925,597,1,1,7.02799605286439,341,0,1,0.0,85,85|341|597|853,18.1231643|20.8090872|19.3027028|7.8235616,597,1,1,4.0106800365539925,85,85|341|597|853,32.5707217|75.5276041|30.2007376|11.4811331,597,1,1,7.02799605286439,85,85|341|597|853,0.00255551634|55.6659605|60.6579515|9.59489602
clean,,,0,0,17,25,693160,562,562,1,1,19.45973510996841,50,0,1,0.0,562,1,1,3.9889025793898565,562,1,1,7.002707864469623,50,0,1,0.0,50,50|306|562|818,39.0460897|25.5831732|22.4662824|12.4212961,562,1,1,3.9889025793898565,50,50|306|562|818,13.0076237|60.8687545|35.0678613|18.17842,562,1,1,7.002707864469623,50,50|306|562|818,0.00112264666|44.8034733|72.8900523|14.7536172
clean,,,0,0,18,26,697256,827,827,1,1,17.74262891214661,59,0,1,0.0,827,1,1,3.2557514041903524,827,1,1,6.321034794779309,315,0,1,0.0,59,59|315|571|827,30.9047399|97.814485|56.2271816|11.3256761,827,1,1,3.2557514041903524,59,59|315|571|827,75.9948118|202.295083|222.083849|50.5524679,827,1,1,6.321034794779309,59,59|315|571|827,53.1985986|0.00919869674|152.881257|90.7434731
clean,,,0,0,19,27,701352,890,890,1,1,16.280146556376174,122,0,1,0.0,890,1,1,3.1942110043310197,890,1,1,6.230449994675765,378,0,1,0.0,122,122|378|634|890,85.5555568|171.195816|88.8295396|11.140628,890,1,1,3.1942110043310197,122,122|378|634|890,190.387331|280.730737|295.371584|58.3741981,890,1,1,6.230449994675765,122,122|378|634|890,121.861962|0.00658889974|190.084012|111.005643
clean,,,0,0,20,28,705448,174,174,1,1,17.06099988222586,174,1,1,0.0,174,1,1,3.545322925602559,174,1,1,6.552147949347413,686,0,1,0.0,174,174|430|686|942,20.0402091|64.7124995|122.517124|44.091199,174,1,1,3.545322925602559,174,174|430|686|942,44.8766271|170.291698|181.417547|86.0483274,174,1,1,6.552147949347413,174,174|430|686|942,92.8241572|117.665576|0.00116376277|62.0747102
clean,,,0,0,21,29,709544,267,267,1,1,18.668479490864517,11,0,1,0.0,267,1,1,3.679871265731144,267,1,1,6.709915394391851,779,0,1,0.0,11,11|267|523|779,0|40.8607447|32.0478786|66.3720645,267,1,1,3.679871265731144,11,11|267|523|779,1.45135765|83.2843692|112.020176|105.458831,267,1,1,6.709915394391851,11,11|267|523|779,2.29920673|152.072907|82.2314478|0.00388848277
clean,,,0,0,22,30,713640,917,917,1,1,14.734112734967466,149,0,1,0.0,917,1,1,3.067558781272966,917,1,1,6.120803972955521,405,0,1,0.0,149,149|405|661|917,112.696992|200.244237|97.0263761|9.9974022,917,1,1,3.067558781272966,149,149|405|661|917,246.226128|315.906081|336.313587|68.3115674,917,1,1,6.120803972955521,149,149|405|661|917,151.963727|0.0122867636|212.015897|126.687578
clean,,,0,0,23,31,717736,656,656,1,1,20.668557264218528,144,0,1,0.0,656,1,1,3.817862884373546,656,1,1,6.819603737015905,656,1,1,0.0,144,144|400|656|912,22.4767156|11.6526914|40.4323155|0.605402553,656,1,1,3.817862884373546,144,144|400|656|912,63.6531132|106.232399|92.5883372|3.19515755,656,1,1,6.819603737015905,144,144|400|656|912,0.00156012563|75.2921149|199.828389|3.00614591
clean,,,0,0,24,32,721832,889,889,1,1,14.117523996818775,121,0,1,0.0,889,1,1,3.0774443258350197,889,1,1,6.126700466557028,377,0,1,0.0,121,121|377|633|889,83.9289616|167.4873|77.9019914|17.6625231,889,1,1,3.0774443258350197,121,121|377|633|889,177.436484|266.531426|287.199562|66.6308677,889,1,1,6.126700466557028,121,121|377|633|889,114.229174|0.012302242|184.808291|128.073112
clean,,,0,0,25,33,725928,66,66,1,1,13.18466922528263,66,1,1,0.0,66,1,1,3.222965041202708,66,1,1,6.226350762367678,578,0,1,0.0,66,66|322|578|834,9.27048064|143.503135|267.439541|148.484646,66,1,1,3.222965041202708,66,66|322|578|834,27.937891|280.549214|296.165303|268.834273,66,1,1,6.226350762367678,66,66|322|578|834,58.2406067|181.10964|0.00128081698|172.258403
clean,,,0,0,26,34,730024,586,586,1,1,17.39204749819715,74,0,1,0.0,586,1,1,3.724828283043756,586,1,1,6.7243641976959605,586,1,1,0.0,74,74|330|586|842,13.2254568|6.22366657|81.8956148|2.10484086,586,1,1,3.724828283043756,74,74|330|586|842,24.855093|74.2609609|162.981748|16.9213012,586,1,1,6.7243641976959605,74,74|330|586|842,0.000965126456|53.7755916|338.422827|13.8824284
clean,,,0,0,27,35,734121,425,425,1,1,14.05491593706033,169,0,1,0.0,425,1,1,4.41628634202376,425,1,1,7.430426811158746,425,1,1,0.0,169,169|425|681|937,49.797558|1015.98212|54.3655712|2.35650871,425,1,1,4.41628634202376,169,169|425|681|937,54.1016439|976.202934|77.1357459|22.6662509,425,1,1,7.430426811158746,169,169|425|681|937,43.4124418|2073.4759|59.8726811|0.0299693603
clean,,,0,0,28,36,738217,860,860,1,1,19.855667090117638,92,0,1,0.0,860,1,1,3.5277601029423145,860,1,1,6.581418785974017,860,1,1,0.0,92,92|348|604|860,0.695463226|0.453083495|13.742896|401.635099,860,1,1,3.5277601029423145,92,92|348|604|860,153.320241|281.42313|302.731931|496.04861,860,1,1,6.581418785974017,92,92|348|604|860,105.650601|3.64653306e-05|206.451142|1080.24912
clean,,,0,0,29,37,742313,553,553,1,1,14.222979795610444,41,0,1,0.0,553,1,1,4.377629071383563,553,1,1,7.392603707805218,553,1,1,0.0,41,41|297|553|809,11.0964006|92.7564935|4096.71732|88.6548002,553,1,1,4.377629071383563,41,41|297|553|809,12.3698408|93.008823|1162.04465|46.8874703,553,1,1,7.392603707805218,41,41|297|553|809,0.00202129549|72.6838103|2507.55382|36.4777478
clean,,,0,0,30,38,746409,629,629,1,1,15.131009073300987,117,0,1,0.0,629,1,1,4.3548825005055285,629,1,1,7.372365078589738,629,1,1,0.0,117,117|373|629|885,5.19540717|71.2752518|1012.77625|54.8016782,629,1,1,4.3548825005055285,117,117|373|629|885,51.8383271|118.409901|816.61412|23.8239764,629,1,1,7.372365078589738,117,117|373|629|885,0.00282160616|90.4849674|1724.13159|18.2222579
clean,,,0,0,31,39,750505,759,759,1,1,17.989430073500657,247,0,1,0.0,759,1,1,3.8714961968511212,759,1,1,6.901358193322721,759,1,1,0.0,247,247|503|759|1015,5.42521955|56.866404|1048.94904|0,759,1,1,3.8714961968511212,247,247|503|759|1015,147.42869|184.184129|612.628072|6.70956,759,1,1,6.901358193322721,247,247|503|759|1015,0.0199377003|137.401392|1275.81009|4.63129995
clean,,,0,0,32,40,754601,494,494,1,1,14.783137635250007,238,0,1,0.0,494,1,1,4.399298375972388,494,1,1,7.389914080441532,494,1,1,0.0,238,238|494|750|1006,92.9372415|1733.77526|91.4215068|0,494,1,1,4.399298375972388,238,238|494|750|1006,70.525253|879.478209|54.0044243|0.557009644,494,1,1,7.389914080441532,238,238|494|750|1006,54.7272661|1834.38492|41.9596386|3.36302033e-05
clean,,,0,0,33,41,758697,303,303,1,1,16.975277618199602,47,0,1,0.0,303,1,1,4.3231120834214005,303,1,1,7.365203824960615,303,1,1,0.0,47,47|303|559|815,23.6741908|1097.91435|81.3797885|10.7915263,303,1,1,4.3231120834214005,47,47|303|559|815,11.7051093|562.241219|114.256491|90.438932,303,1,1,7.365203824960615,47,47|303|559|815,9.0969384|1192.24463|89.461172|0.00311358789
clean,,,0,0,34,42,762793,1022,1022,1,1,27.560398932070683,254,0,1,0.0,1022,1,1,3.826979313392509,1022,1,1,6.858920305128019,510,0,1,0.0,254,254|510|766|1022,0.915973431|7.22546211|0.124175901|0,766,0,1,3.826979313392509,254,254|510|766|1022,606.427193|608.250051|664.366563|0,1022,1,1,6.858920305128019,254,254|510|766|1022,344.621624|0.00159664792|359.924837|106.581248
clean,,,0,0,35,43,766889,720,720,1,1,17.403231077487952,208,0,1,0.0,720,1,1,4.314435448175814,720,1,1,7.293412703344805,720,1,1,0.0,208,208|464|720|976,13.1151541|78.956619|510.101595|20.5539844,720,1,1,4.314435448175814,208,208|464|720|976,112.346255|158.290268|518.580654|6.5266746,720,1,1,7.293412703344805,208,208|464|720|976,0.000571807718|115.895842|1138.83449|3.94708431
clean,,,0,0,36,44,770985,314,314,1,1,17.48459131789031,58,0,1,0.0,314,1,1,4.304064008493894,314,1,1,7.2935851226208035,314,1,1,0.0,58,58|314|570|826,32.4953428|891.829254|108.307111|17.7416232,314,1,1,4.304064008493894,58,58|314|570|826,14.260159|486.003815|103.282719|80.2567629,314,1,1,7.2935851226208035,58,58|314|570|826,11.2705545|1006.80061|77.3741164|0.00585451956
clean,,,0,0,37,45,775081,602,602,1,1,16.375717383840318,90,0,1,0.0,602,1,1,4.369752647789909,602,1,1,7.359948149704857,602,1,1,0.0,90,90|346|602|858,15.697275|141.474647|1180.59251|99.7314844,602,1,1,4.369752647789909,90,90|346|602|858,33.9040912|90.5652823|529.103592|23.8456033,602,1,1,7.359948149704857,90,90|346|602|858,0.00100677557|68.6737434|1100.23829|18.62972
clean,,,0,0,38,46,779177,7,7,1,1,24.710265846777588,7,1,1,0.0,7,1,1,3.717585180319674,7,1,1,6.784814950078624,775,0,1,0.0,7,7|263|519|775,0|35.4553705|28.4391405|37.3254811,775,0,1,3.717585180319674,7,7|263|519|775,0|572.835933|566.209822|611.434393,7,1,1,6.784814950078624,7,7|263|519|775,80.9715669|333.868123|0.0108020207|329.200553
clean,,,0,0,39,47,783273,414,414,1,1,16.90919403041108,158,0,1,0.0,414,1,1,4.323808719624579,414,1,1,7.3135781255556465,414,1,1,0.0,158,158|414|670|926,93.4555803|713.412165|155.71604|18.295211,414,1,1,4.323808719624579,158,158|414|670|926,38.2672908|418.761068|60.4383243|24.332869,414,1,1,7.3135781255556465,158,158|414|670|926,29.8828433|871.997185|46.5870941|0.0158132624
clean,,,0,0,40,48,787369,807,807,1,1,19.6685571945009,39,0,1,0.0,807,1,1,3.5092296937790572,807,1,1,6.5839483085825155,807,1,1,0.0,39,39|295|551|807,9.63772507|60.9301161|187.798026|459.381554,807,1,1,3.5092296937790572,39,39|295|551|807,49.8705294|187.720328|213.394195|290.331618,807,1,1,6.5839483085825155,39,39|295|551|807,36.5044362|0.0114206469|151.818085|595.523841
clean,,,0,0,41,49,791465,195,195,1,1,20.20978347669445,195,1,1,0.0,195,1,1,3.8596477118965926,195,1,1,6.930657653543668,195,1,1,0.0,195,195|451|707|963,271.129131|206.506794|75.9707997|14.2893987,195,1,1,3.8596477118965926,195,195|451|707|963,185.07511|165.324055|173.555286|64.2806707,195,1,1,6.930657653543668,195,195|451|707|963,403.89191|122.841321|0.0102258735|46.3676136
clean,,,0,0,42,50,795561,826,826,1,1,20.388819301278826,58,0,1,0.0,826,1,1,3.5261099924147965,826,1,1,6.576593275848898,826,1,1,0.0,58,58|314|570|826,21.0380802|95.6359989|218.839126|262.90215,826,1,1,3.5261099924147965,58,58|314|570|826,79.8836928|207.521135|226.777555|218.697989,826,1,1,6.576593275848898,58,58|314|570|826,56.0169539|0.0047427762|156.075622|439.709009
clean,,,0,0,43,51,799657,928,928,1,1,21.245572124826243,160,0,1,0.0,928,1,1,3.3561606735539473,928,1,1,6.400731929928273,672,0,1,0.0,160,160|416|672|928,51.7256759|80.0877437|103.126109|63.8624854,928,1,1,3.3561606735539473,160,160|416|672|928,313.01852|376.330705|393.482583|161.953261,928,1,1,6.400731929928273,160,160|416|672|928,192.929692|0.00314485395|245.397717|325.473947
clean,,,0,0,44,52,803753,761,761,1,1,19.218054030916022,249,0,1,0.0,761,1,1,3.777809107038104,761,1,1,6.8494962871920375,505,0,1,0.0,249,249|505|761|1017,96.0619618|235.871025|211.047984|0,761,1,1,3.777809107038104,249,249|505|761|1017,136.360326|163.448177|183.03198|3.75192822,761,1,1,6.8494962871920375,249,249|505|761|1017,0.00679281669|117.385599|380.981496|2.8089456
clean,,,0,0,45,53,807849,590,590,1,1,18.27694304713982,78,0,1,0.0,590,1,1,4.298429115809514,590,1,1,7.290149435670571,590,1,1,0.0,78,78|334|590|846,38.7691024|265.747703|310.453263|140.23208,590,1,1,4.298429115809514,78,78|334|590|846,25.8840391|77.2668551|219.355737|19.2031289,590,1,1,7.290149435670571,78,78|334|590|846,0.000802176662|58.1481055|452.89271|15.1517735
clean,,,0,0,46,54,811945,383,383,1,1,19.431102641295727,127,0,1,0.0,383,1,1,4.148696965028479,383,1,1,7.1888339131019565,639,0,1,0.0,127,127|383|639|895,68.9309472|162.568311|230.086326|50.8873607,383,1,1,4.148696965028479,127,127|383|639|895,25.7352928|144.562078|60.1950038|36.6947106,383,1,1,7.1888339131019565,127,127|383|639|895,20.4031853|309.357511|48.166031|2.49621026e-05
clean,,,0,0,47,55,816041,267,267,1,1,19.505528698558095,11,0,1,0.0,267,1,1,4.041077081171326,267,1,1,7.081220533738164,523,0,1,0.0,11,11|267|523|779,0|101.545977|337.021726|145.555671,267,1,1,4.041077081171326,11,11|267|523|779,1.55263197|97.9934581|105.077594|101.446125,267,1,1,7.081220533738164,11,11|267|523|779,1.53603682|211.620747|80.4676364|0.00392626269
clean,,,0,0,48,56,820137,314,314,1,1,19.75640670422405,58,0,1,0.0,314,1,1,4.081536429477934,314,1,1,7.079414901633577,570,0,1,0.0,58,58|314|570|826,28.135435|92.4743929|301.86211|123.941334,314,1,1,4.081536429477934,58,58|314|570|826,10.6397798|90.5313491|85.4027189|71.6898935,314,1,1,7.079414901633577,58,58|314|570|826,8.37650701|186.930986|63.7400011|0.00578524735
clean,,,0,1,0,8,2123893,803,803,1,1,19.482493701723737,35,0,1,0.0,803,1,1,3.251747790547141,803,1,1,6.309605310310623,803,1,1,0.0,35,35|291|547|803,13.3250994|50.4229625|20.0613199|53.9074443,803,1,1,3.251747790547141,35,35|291|547|803,43.3479657|186.311997|209.603814|103.693188,803,1,1,6.309605310310623,35,35|291|547|803,31.1088736|0.00737366899|144.511266|191.858501
clean,,,0,1,1,9,2127989,711,711,1,1,21.17493694520009,199,0,1,0.0,711,1,1,3.898041612509737,711,1,1,6.937517221432774,711,1,1,0.0,199,199|455|711|967,20.2697802|5.85692385|93.7471703|1.00541747,711,1,1,3.898041612509737,199,199|455|711|967,104.512343|140.733328|131.177241|0.585397613,711,1,1,6.937517221432774,199,199|455|711|967,0.012314312|100.854414|250.792779|0.331548525
clean,,,0,1,2,10,2132085,922,922,1,1,16.681042634428376,154,0,1,0.0,922,1,1,3.1460541106791577,922,1,1,6.184793371819737,410,0,1,0.0,154,154|410|666|922,91.3989866|139.521701|71.1090219|24.3834752,922,1,1,3.1460541106791577,154,154|410|666|922,277.153276|347.706402|369.797593|105.494093,922,1,1,6.184793371819737,154,154|410|666|922,168.762475|0.00516663289|229.45964|204.549267
clean,,,0,1,3,11,2136181,718,718,1,1,19.562141620753103,206,0,1,0.0,718,1,1,3.843701969823838,718,1,1,6.828536796829628,718,1,1,0.0,206,206|462|718|974,23.549268|6.81883945|100.170072|1.61616961,718,1,1,3.843701969823838,206,206|462|718|974,110.6227|149.109636|152.104071|1.12372127,718,1,1,6.828536796829628,206,206|462|718|974,0.00295566092|103.73529|315.89412|0.975040512
clean,,,0,1,4,12,2140277,756,756,1,1,18.214481393917797,244,0,1,0.0,756,1,1,3.504344450214543,756,1,1,6.517450919611854,756,1,1,0.0,244,244|500|756|1012,24.8995064|6.37907957|71.3348951|0,756,1,1,3.504344450214543,244,244|500|756|1012,139.593052|172.939462|143.831588|4.36004196,756,1,1,6.517450919611854,244,244|500|756|1012,0.00607906505|117.682058|312.356311|3.26960635
clean,,,0,1,5,13,2144373,109,109,1,1,15.486161143305434,109,1,1,0.0,109,1,1,3.3864540421129243,109,1,1,6.391531175151398,621,0,1,0.0,109,109|365|621|877,28.7637431|67.3850561|138.610622|80.7776978,109,1,1,3.3864540421129243,109,109|365|621|877,71.7347753|243.76142|258.425704|194.516901,109,1,1,6.391531175151398,109,109|365|621|877,155.340917|162.300508|0.00656507522|131.190293
clean,,,0,1,6,14,2148469,932,932,1,1,14.539146829900993,164,0,1,0.0,932,1,1,3.0136095048567975,932,1,1,6.0355420475892245,420,0,1,0.0,164,164|420|676|932,88.3481196|133.503457|64.2012488|18.539376,932,1,1,3.0136095048567975,164,164|420|676|932,286.753393|346.326294|372.878215|92.8750934,932,1,1,6.0355420475892245,164,164|420|676|932,176.664114|0.00833805379|229.147212|183.22587
clean,,,0,1,7,15,2152565,468,468,1,1,17.517077638838106,212,0,1,0.0,468,1,1,3.6602005894654006,468,1,1,6.65169164399188,468,1,1,0.0,212,212|468|724|980,2.49352608|127.067279|0.095458995|0.405308049,468,1,1,3.6602005894654006,212,212|468|724|980,56.6551484|254.35594|42.8695496|4.53631959,468,1,1,6.65169164399188,212,212|468|724|980,41.5959292|557.807216|32.6713774|0.0358430798
clean,,,0,1,8,16,2156661,89,89,1,1,13.772448310776323,89,1,1,0.0,89,1,1,3.2486307035228608,89,1,1,6.253957364328345,601,0,1,0.0,89,89|345|601|857,23.4241735|89.1822051|183.157294|109.599651,89,1,1,3.2486307035228608,89,89|345|601|857,69.0620883|258.66437|271.544448|223.154702,89,1,1,6.253957364328345,89,89|345|601|857,148.766488|170.398432|0.00709172962|147.585491
clean,,,0,1,9,17,2160758,713,713,1,1,17.111661875678458,201,0,1,0.0,713,1,1,4.322879033626138,713,1,1,7.339383356516116,713,1,1,0.0,201,201|457|713|969,0.0367071566|24.1357116|669.405741|20.4362792,713,1,1,4.322879033626138,201,201|457|713|969,113.619387|157.155866|621.790544|6.36746859,713,1,1,7.339383356516116,201,201|457|713|969,0.00520597358|117.40124|1321.54083|3.87909641
clean,,,0,1,10,18,2164854,865,865,1,1,19.270169947217944,97,0,1,0.0,865,1,1,3.5661376954689987,865,1,1,6.638210197279833,865,1,1,0.0,97,97|353|609|865,6.15551881|10.4267835|1.89429936|316.206741,865,1,1,3.5661376954689987,97,97|353|609|865,168.968843|299.338817|306.006038|359.595712,865,1,1,6.638210197279833,97,97|353|609|865,113.508313|0.0129719911|208.945309|751.397367
clean,,,0,1,11,19,2168950,92,92,1,1,19.92039506304547,92,1,1,0.0,92,1,1,3.8834731788762067,92,1,1,6.922874093520921,92,1,1,0.0,92,92|348|604|860,131.235681|4.16472678|29.7409013|17.9565486,92,1,1,3.8834731788762067,92,92|348|604|860,193.600256|328.857274|362.355184|285.595639,92,1,1,6.922874093520921,92,92|348|604|860,406.2181|217.430315|0.000223374228|188.563874
