trial_id,packet_id,reference_id,esn0_db,seed,sync_status,strict_sync_success,estimate_available,local_sync_estimate,event_count,signal_power,added_noise_power,gate_failure_reasons,locator_valid,locator_score,locator_preamble_stable_count,locator_sync1_distance,locator_sync2_distance,locator_sfd_distance,locator_mean_preamble_confidence_db,locator_mean_sfd_confidence_db,clean_cfo_total_bins,noisy_cfo_total_bins,cfo_error_bins,cfo_error_hz,abs_cfo_error_bins,clean_payload_start_sample,noisy_payload_start_sample,payload_sto_error_samples_1m,payload_sto_error_chips,cfo_sto_coupled_residual_bins,abs_cfo_sto_coupled_residual_bins,preamble_sto_error_samples_1m,clean_sfo_hat,noisy_sfo_hat,sfo_error,fine_preamble_peak_max_abs_bin,fine_preamble_bin0_count,fine_preamble_peak_count,coarse_preamble_peak_max_abs_bin,coarse_preamble_bin0_count,coarse_preamble_peak_count,netid1_est,netid2_est,netid_offset,netid_valid,branch_valid_count,branch_netid_valid_count,branch_down_val_valid_count,branch_valid_phases,frame_sync_valid,payload_correct_symbols,payload_total_symbols,payload_ser,payload_packet_decodable,gate_class,decoder_aware_accept
exp0_000005_rxg20_0_fulltrim:13:20260821,exp0_000005_rxg20_0_fulltrim,5,13.0,20260821,ok,1,1,1,1,7.242874646077204e-08,1.4868628715014318e-05,,1,285.5133449391615,16,0,0,0,4.835312735369517,5.355876126294753,-128.73133173018064,-128.7420781833635,-0.01074645318286116,-0.32795572457462036,0.01074645318286116,673551,673551,0,0.0,-0.01074645318286116,0.01074645318286116,-8,-0.03299449757283695,-0.032997251943654785,-2.7543708178354165e-06,0,12,12,0,16,16,8,16,0,1,5,8,8,0|1|2|3|4,1,16,16,0.0,1,strict_valid,1
exp0_000006_rxg20_0_fulltrim:13:20260821,exp0_000006_rxg20_0_fulltrim,6,13.0,20260821,sync_invalid,0,1,0,1,7.561376789538686e-08,1.5522469951743422e-05,locator_sfd,0,-142.20258263152127,16,0,0,189,3.894802110190242,1.0923635501123619,-128.78823406390384,651.2184400439528,780.0066741078566,23803.91461510793,780.0066741078566,673552,679793,6241,780.125,-0.11832589214338896,0.11832589214338896,1,-0.03300908193149063,0.16691061104263707,0.1999196929741277,927,2,12,0,16,16,8,16,0,1,0,5,8,,1,0,16,1.0,0,strict_invalid_nondecode,0
exp0_000007_rxg20_0_fulltrim:13:20260821,exp0_000007_rxg20_0_fulltrim,7,13.0,20260821,sync_invalid,0,1,1,1,7.449895515307498e-08,1.529361417883315e-05,framesync_preamble_all_bin0,1,270.8886215957093,16,0,0,0,4.114107360703155,3.1685358591535104,-128.76227301106474,-128.75638545654266,0.0058875545220757886,0.17967390509264491,0.0058875545220757886,673551,673552,1,0.125,-0.11911244547792421,0.11911244547792421,0,-0.03300242798110128,-0.033000918970817784,1.5090102834930397e-06,1937,11,12,74,15,16,8,16,0,1,0,8,8,,0,16,16,0.0,1,strict_invalid_decodable,1
exp0_000008_rxg20_0_fulltrim:13:20260821,exp0_000008_rxg20_0_fulltrim,8,13.0,20260821,ok,1,1,1,1,6.982488910305618e-08,1.4334092496032479e-05,,1,284.19094738916186,16,0,0,0,4.470888532148402,5.756144086428062,-128.7286519200897,-128.72664163031928,0.0020102897704248335,0.06134917512282817,0.0020102897704248335,673552,673552,0,0.0,0.0020102897704248335,0.0020102897704248335,-1,-0.032993810723828614,-0.03299329547629672,5.152475318903615e-07,859,11,12,0,16,16,8,16,0,1,0,8,8,,1,15,16,0.0625,0,strict_valid,1
exp0_000000_rxg20_0_fulltrim:13:20260822,exp0_000000_rxg20_0_fulltrim,0,13.0,20260822,sync_invalid,0,1,0,1,6.153250447488309e-08,1.2631779613050637e-05,framesync_preamble_all_bin0|framesync_netid,1,237.130294731732,14,0,0,0,2.068824221772917,1.9695231696101165,-128.71322618720285,652.2785187354781,780.9917449226809,23833.97659065799,780.9917449226809,673552,679799,6247,780.875,0.11674492268093672,0.11674492268093672,0,-0.032989857029732124,0.16718231462361033,0.20017217165334245,1942,3,12,788,14,16,8,3525,0,0,0,0,8,,0,0,16,1.0,0,strict_invalid_nondecode,0
exp0_000002_rxg20_0_fulltrim:13:20260822,exp0_000002_rxg20_0_fulltrim,2,13.0,20260822,ok,1,1,1,1,2.9434755784562603e-08,6.042551838375642e-06,,1,262.5514944171281,16,0,0,0,3.156894465713777,3.00649822463105,-129.9365825693268,-129.93319145013018,0.003391119196606951,0.10348874501363986,0.003391119196606951,673544,673544,0,0.0,0.003391119196606951,0.003391119196606951,0,-0.033303409516436025,-0.03330254035527224,8.691611637842711e-07,1,0,12,0,16,16,8,16,0,1,1,8,8,0,1,16,16,0.0,1,strict_valid,1
exp0_000003_rxg20_0_fulltrim:13:20260822,exp0_000003_rxg20_0_fulltrim,3,13.0,20260822,sync_invalid,0,1,1,1,5.3735255547964695e-08,1.1031111301668438e-05,framesync_preamble_all_bin0|framesync_netid,1,282.3709961980723,16,0,0,0,4.818791919549977,4.607083209071787,-128.8702234183035,-128.8718088034104,-0.001585385106892545,-0.04838211385780472,0.001585385106892545,673552,673552,0,0.0,-0.001585385106892545,0.001585385106892545,-1,-0.033030096221627926,-0.03303050256392516,-4.063422972336306e-07,1122,11,12,1,15,16,1565,16,1557,0,0,0,8,,0,16,16,0.0,1,strict_invalid_decodable,0
exp0_000004_rxg20_0_fulltrim:13:20260822,exp0_000004_rxg20_0_fulltrim,4,13.0,20260822,sync_invalid,0,1,1,1,6.126035586516529e-08,1.2575911234389784e-05,framesync_preamble_all_bin0,1,275.52978737518936,16,0,1,0,4.540735709352071,6.93149450073782,-128.86059867151772,-128.8570670065149,0.0035316650028107688,0.10777786263460598,0.0035316650028107688,673552,673552,0,0.0,0.0035316650028107688,0.0035316650028107688,-1,-0.03302762934988664,-0.03302672416611516,9.051837714865729e-07,0,12,12,551,14,16,8,16,0,1,5,8,8,0|1|2|3|4,0,16,16,0.0,1,strict_invalid_decodable,1
exp0_000005_rxg20_0_fulltrim:13:20260822,exp0_000005_rxg20_0_fulltrim,5,13.0,20260822,ok,1,1,0,1,7.242874646077204e-08,1.4868628715014318e-05,,1,267.99867035014023,16,0,0,0,4.481920209312541,1.7171456868287827,-128.73133173018064,-233.71902931534927,-104.98769758516863,-3203.9702632192575,104.98769758516863,673551,672707,-844,-105.5,0.5123024148313675,0.5123024148313675,-1,-0.03299449757283695,-0.05990338048886336,-0.02690888291602641,2,0,12,0,16,16,8,16,0,1,0,8,8,,1,14,16,0.125,0,strict_valid,1
exp0_000006_rxg20_0_fulltrim:13:20260822,exp0_000006_rxg20_0_fulltrim,6,13.0,20260822,sync_invalid,0,1,1,1,7.561376789538686e-08,1.5522469951743422e-05,framesync_preamble_all_bin0,1,265.5333868261744,16,0,0,0,3.1126661453445026,3.8372282014281094,-128.78823406390384,-128.7811977782806,0.0070362856232293325,0.21473039621671547,0.0070362856232293325,673552,673552,0,0.0,0.0070362856232293325,0.0070362856232293325,0,-0.03300908193149063,-0.033007278495560954,1.8034359296759117e-06,0,12,12,737,13,16,8,16,0,1,5,8,8,0|1|2|3|4,0,15,16,0.0625,0,strict_invalid_nondecode,1
exp0_000007_rxg20_0_fulltrim:13:20260822,exp0_000007_rxg20_0_fulltrim,7,13.0,20260822,ok,1,1,1,1,7.449895515307498e-08,1.529361417883315e-05,,1,276.6453678042033,16,0,0,0,3.5728774157458645,5.669632182884147,-128.76227301106474,-128.77325520103778,-0.010982189973049117,-0.33514984048611807,0.010982189973049117,673551,673551,0,0.0,-0.010982189973049117,0.010982189973049117,8,-0.03300242798110128,-0.03300524277246201,-2.8147913607307062e-06,1,0,12,0,16,16,8,16,0,1,4,8,8,0|1|2|3,1,16,16,0.0,1,strict_valid,1
exp0_000008_rxg20_0_fulltrim:13:20260822,exp0_000008_rxg20_0_fulltrim,8,13.0,20260822,ok,1,1,1,1,6.982488910305618e-08,1.4334092496032479e-05,,1,267.2561595135322,16,0,0,0,3.651414709846925,3.1871725498724337,-128.7286519200897,-128.73510058610086,-0.006448666011152682,-0.19679766879738408,0.006448666011152682,673552,673552,0,0.0,-0.006448666011152682,0.006448666011152682,8,-0.032993810723828614,-0.03299546354985156,-1.6528260229492497e-06,2,0,12,0,16,16,8,16,0,1,1,7,8,1,1,16,16,0.0,1,strict_valid,1
exp0_000000_rxg20_0_fulltrim:14:20260821,exp0_000000_rxg20_0_fulltrim,0,14.0,20260821,sync_invalid,0,1,1,1,6.153250447488309e-08,1.0033779201460684e-05,framesync_preamble_all_bin0,1,252.40471040528317,16,0,0,0,2.195559431813107,2.401283162483775,-128.71322618720285,-129.70837431354542,-0.9951481263425705,-30.369510691606767,0.9951481263425705,673552,673544,-8,-1.0,0.004851873657429451,0.004851873657429451,8,-0.032989857029732124,-0.03324491857533971,-0.00025506154560758776,693,0,12,1059,12,16,8,16,0,1,0,8,8,,0,16,16,0.0,1,strict_invalid_decodable,1
exp0_000002_rxg20_0_fulltrim:14:20260821,exp0_000002_rxg20_0_fulltrim,2,14.0,20260821,sync_invalid,0,1,1,1,2.9434755784562603e-08,4.799769535006887e-06,framesync_preamble_all_bin0,1,276.08951266425925,16,0,0,0,3.8481955317853704,4.983462057227606,-129.9365825693268,-129.93462662174102,0.0019559475857704456,0.05969078325715471,0.0019559475857704456,673544,673544,0,0.0,0.0019559475857704456,0.0019559475857704456,0,-0.033303409516436025,-0.03330290819708351,5.013193525166271e-07,1,0,12,1200,14,16,8,16,0,1,1,8,8,0,0,16,16,0.0,1,strict_invalid_decodable,1
exp0_000003_rxg20_0_fulltrim:14:20260821,exp0_000003_rxg20_0_fulltrim,3,14.0,20260821,sync_invalid,0,1,0,1,5.3735255547964695e-08,8.762323167301364e-06,framesync_netid,1,272.83206713746165,16,0,1,0,5.601606923628781,4.152965197916844,-128.8702234183035,-1000.8703255075226,-872.0001020892191,-26611.33124051572,872.0001020892191,673552,666575,-6977,-872.125,0.12489791078087364,0.12489791078087364,2,-0.033030096221627926,-0.25652817446881343,-0.2234980782471855,4,2,12,0,16,16,8,1669,0,0,0,0,8,,0,0,16,1.0,0,strict_invalid_nondecode,0
exp0_000004_rxg20_0_fulltrim:14:20260821,exp0_000004_rxg20_0_fulltrim,4,14.0,20260821,ok,1,1,1,1,6.126035586516529e-08,9.9894013708621e-06,,1,299.77653293511196,16,0,0,0,6.1197663527086705,6.326953377129168,-128.86059867151772,-128.85645832925255,0.004140342265174013,0.1263532185416874,0.004140342265174013,673552,673552,0,0.0,0.004140342265174013,0.004140342265174013,-1,-0.03302762934988664,-0.03302656815902515,1.0611908614899246e-06,0,12,12,0,16,16,8,16,0,1,5,8,8,0|1|2|3|4,1,16,16,0.0,1,strict_valid,1
exp0_000005_rxg20_0_fulltrim:14:20260821,exp0_000005_rxg20_0_fulltrim,5,14.0,20260821,ok,1,1,1,1,7.242874646077204e-08,1.181057159996809e-05,,1,296.38501801799686,16,0,0,0,5.7602169738191,6.201664270415218,-128.73133173018064,-128.7409067705098,-0.00957504032916745,-0.2922070412953934,0.00957504032916745,673551,673551,0,0.0,-0.00957504032916745,0.00957504032916745,-8,-0.03299449757283695,-0.032996951704559616,-2.4541317226664527e-06,0,12,12,0,16,16,8,16,0,1,5,8,8,0|1|2|3|4,1,16,16,0.0,1,strict_valid,1
exp0_000006_rxg20_0_fulltrim:14:20260821,exp0_000006_rxg20_0_fulltrim,6,14.0,20260821,ok,1,1,0,1,7.561376789538686e-08,1.232993615532906e-05,,1,270.67632018914094,16,0,0,0,4.362537120490529,2.6085387015984467,-128.78823406390384,31.222172258376368,160.0104063222802,4883.13007575318,160.0104063222802,673552,674828,1276,159.5,0.510406322280204,0.510406322280204,2,-0.03300908193149063,0.008002402157672844,0.041011484089163476,0,12,12,0,16,16,8,16,0,1,2,7,8,3|4,1,0,16,1.0,0,strict_valid,1
exp0_000007_rxg20_0_fulltrim:14:20260821,exp0_000007_rxg20_0_fulltrim,7,14.0,20260821,ok,1,1,1,1,7.449895515307498e-08,1.2148149553226781e-05,,1,283.4063540368269,16,0,0,0,5.076090005880124,4.355159429732041,-128.76227301106474,-128.75727834908727,0.004994661977463011,0.15242498710519442,0.004994661977463011,673551,673552,1,0.125,-0.12000533802253699,0.12000533802253699,0,-0.03300242798110128,-0.03300114782373571,1.2801573655643605e-06,0,12,12,0,16,16,8,16,0,1,5,8,8,0|1|2|3|4,1,16,16,0.0,1,strict_valid,1
exp0_000008_rxg20_0_fulltrim:14:20260821,exp0_000008_rxg20_0_fulltrim,8,14.0,20260821,ok,1,1,1,1,6.982488910305618e-08,1.1385974388748053e-05,,1,295.5219978196507,16,0,0,0,5.4637828908934924,6.580980991096872,-128.7286519200897,-128.72657483236375,0.0020770877259508325,0.06338768694918312,0.0020770877259508325,673552,673552,0,0.0,0.0020770877259508325,0.0020770877259508325,-1,-0.032993810723828614,-0.03299327835563967,5.32368188942145e-07,0,12,12,0,16,16,8,16,0,1,5,8,8,0|1|2|3|4,1,16,16,0.0,1,strict_valid,1
