packet_index,event_index,anchor_symbol_index,absolute_symbol_index,anchor_bin_mode,anchor_bin,anchor_signed_bin,argmax_bin,argmax_signed_bin,is_anchor_bin_argmax,anchor_real,anchor_imag,anchor_amp,anchor_power,anchor_phase,anchor_energy_ratio,peak_margin_db,total_fft_energy,anchor_phase_unwrap,phase_line_fit,phase_line_residual,file_name,sf,bw,samp_rate,cfo_int,cfo_frac,sfo_hat,anchor_line_slope_pi_per_symbol,anchor_line_r2
3,3,13,13.0,modal_argmax,1,1,1,1,1,4.778522491455078,-5.38748025894165,7.201334650037314,51.85922622680664,-0.8452280687188279,0.7856982249614975,20.26969803169948,66.00400074640356,-19.694783990257587,-18.91160743530448,-0.7831765549531085,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.22814255140766385,-0.006209796635074755,-0.42438510324506706,0.9784996381503336
3,3,14,14.0,modal_argmax,1,1,1,1,1,-4.9181928634643555,-5.394991874694824,7.300312210464351,53.29456329345703,-2.3099954008264345,0.7887708496095212,18.737424751191888,67.56659848654442,-21.159551322365193,-20.24485255795213,-0.914698764413064,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.22814255140766385,-0.006209796635074755,-0.42438510324506706,0.9784996381503336
3,3,15,15.0,modal_argmax,1,1,1,1,1,6.317078590393066,3.217367649078369,7.089212685943237,50.25693130493164,0.47106989477056016,0.7621443653894439,22.593919857358568,65.9414850876069,-18.378486026768197,-21.578097680599775,-3.0835736533480085,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.22814255140766385,-0.006209796635074755,-0.42438510324506706,0.9784996381503336
5,5,0,0.0,modal_argmax,1,1,1,1,1,-6.703185081481934,-2.7173848152160645,7.233040195558766,52.316871643066406,-2.7564508618911736,0.7547513371648445,26.830100722954793,69.31669951005324,-2.7564508618911736,-2.6499316581820227,-0.1065192037091509,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,-0.49316059315964006,0.999913133169512
5,5,1,1.0,modal_argmax,1,1,1,1,1,-3.3594510555267334,6.688592433929443,7.484863401672597,56.02317810058594,2.0362549116768704,0.7904026401667266,24.52560546903378,70.8792901916022,-4.246930395502716,-4.199241354692333,-0.04768904081038273,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,-0.49316059315964006,0.999913133169512
5,5,2,2.0,modal_argmax,1,1,1,1,1,6.9288787841796875,3.784165620803833,7.894888894185215,62.32927703857422,0.4998779358492069,0.8552384357149501,29.55607614309865,72.87941518492335,-5.7833073713303795,-5.748551051202643,-0.03475632012773655,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,-0.49316059315964006,0.999913133169512
5,5,3,3.0,modal_argmax,1,1,1,1,1,4.150241374969482,-6.736724853515625,7.912519524303476,62.60796356201172,-1.0186500430655085,0.8568578086203814,28.843700713003756,73.06692304387843,-7.301835350245095,-7.297860747712953,-0.00397460253214188,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,-0.49316059315964006,0.999913133169512
5,5,4,4.0,modal_argmax,1,1,1,1,1,-6.571028709411621,-4.4256744384765625,7.922437285033981,62.765010833740234,-2.548865122270617,0.8553487696079308,28.93269731373039,73.37943662736552,-8.832050429450202,-8.847170444223263,0.015120014773060577,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,-0.49316059315964006,0.999913133169512
5,5,5,5.0,modal_argmax,1,1,1,1,1,-4.668017387390137,6.403975486755371,7.924726390478117,62.8012809753418,2.200672394475194,0.8551146847188796,29.372110011096794,73.44193954052821,-10.365698219883978,-10.396480140733573,0.030781920849594968,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,-0.49316059315964006,0.999913133169512
5,5,6,6.0,modal_argmax,1,1,1,1,1,6.221911430358887,4.951013088226318,7.951396886523705,63.2247200012207,0.6721369237318009,0.8557818776518332,29.395709082010896,73.87947986781637,-11.894233690627372,-11.945789837243883,0.051556146616510645,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,-0.49316059315964006,0.999913133169512
