trial_id,packet_id,reference_id,esn0_db,seed,estimate_available,strict_packet_delivered,decoder_aware_packet_delivered,oracle_packet_delivered,strict_gate,decoder_aware_gate,candidate_count,unique_integer_cfo_pool,sfd_peaks_examined,crc_success_count_top_max,sync_ms,list_generation_ms,list_decode_all_ms,selected_sync_cfo_reproduced,selected_sync_start_reproduced,list1_crc_accept,list1_packet_delivered,list1_crc_false_delivery,list1_selected_candidate,list1_operational_attempts,list2_crc_accept,list2_packet_delivered,list2_crc_false_delivery,list2_selected_candidate,list2_operational_attempts,list4_crc_accept,list4_packet_delivered,list4_crc_false_delivery,list4_selected_candidate,list4_operational_attempts
exp0_000005_rxg20_0_fulltrim:13:20260821,exp0_000005_rxg20_0_fulltrim,5,13.0,20260821,1,1,1,1,1,1,4,31,32,1,11241.621600001963,44.55890000099316,682.95389999912,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000006_rxg20_0_fulltrim:13:20260821,exp0_000006_rxg20_0_fulltrim,6,13.0,20260821,1,0,0,1,0,0,4,32,32,0,9603.90720000214,45.785099999193335,459.88930000021355,1,1,0,0,0,,1,0,0,0,,2,0,0,0,,4
exp0_000007_rxg20_0_fulltrim:13:20260821,exp0_000007_rxg20_0_fulltrim,7,13.0,20260821,1,0,1,1,0,1,4,31,32,1,9300.767000000633,48.53920000095968,477.55469999901834,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000008_rxg20_0_fulltrim:13:20260821,exp0_000008_rxg20_0_fulltrim,8,13.0,20260821,1,1,1,1,1,1,4,32,32,2,9553.071100002853,50.44859999907203,518.9452000013262,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000000_rxg20_0_fulltrim:13:20260822,exp0_000000_rxg20_0_fulltrim,0,13.0,20260822,1,0,0,0,0,0,4,32,32,0,10720.810099999653,44.00869999881252,125.49310000031255,1,1,0,0,0,,1,0,0,0,,2,0,0,0,,4
exp0_000002_rxg20_0_fulltrim:13:20260822,exp0_000002_rxg20_0_fulltrim,2,13.0,20260822,1,1,1,1,1,1,4,32,32,1,9371.372300000075,47.85179999817046,725.0190999984625,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000003_rxg20_0_fulltrim:13:20260822,exp0_000003_rxg20_0_fulltrim,3,13.0,20260822,1,0,0,1,0,0,4,32,32,1,9572.178300000814,47.12359999757609,294.1419000017049,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000004_rxg20_0_fulltrim:13:20260822,exp0_000004_rxg20_0_fulltrim,4,13.0,20260822,1,0,1,1,0,1,4,31,32,1,9739.969900001597,49.22509999960312,778.5127000024659,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000005_rxg20_0_fulltrim:13:20260822,exp0_000005_rxg20_0_fulltrim,5,13.0,20260822,1,0,0,1,1,1,4,32,32,1,10855.923099999927,52.02669999926002,477.8468000004068,1,1,0,0,0,,1,0,0,0,,2,1,1,0,2,3
exp0_000006_rxg20_0_fulltrim:13:20260822,exp0_000006_rxg20_0_fulltrim,6,13.0,20260822,1,0,1,1,0,1,4,31,32,1,9229.183399998874,48.43070000060834,292.8333999989263,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000007_rxg20_0_fulltrim:13:20260822,exp0_000007_rxg20_0_fulltrim,7,13.0,20260822,1,1,1,1,1,1,4,31,32,1,9933.02980000226,46.99620000246796,446.64729999931296,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000008_rxg20_0_fulltrim:13:20260822,exp0_000008_rxg20_0_fulltrim,8,13.0,20260822,1,1,1,1,1,1,4,32,32,2,10133.61139999688,50.10789999869303,674.4851000003109,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000000_rxg20_0_fulltrim:14:20260821,exp0_000000_rxg20_0_fulltrim,0,14.0,20260821,1,0,1,1,0,1,4,31,32,2,10839.549399999669,45.53260000102455,597.8991000010865,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000002_rxg20_0_fulltrim:14:20260821,exp0_000002_rxg20_0_fulltrim,2,14.0,20260821,1,0,1,1,0,1,4,31,32,2,9078.391200000624,44.69269999754033,424.61249999905704,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000003_rxg20_0_fulltrim:14:20260821,exp0_000003_rxg20_0_fulltrim,3,14.0,20260821,1,0,0,1,0,0,4,32,32,1,10084.884399999282,46.72439999922062,585.5278000017279,1,1,0,0,0,,1,1,1,0,1,2,1,1,0,1,2
exp0_000004_rxg20_0_fulltrim:14:20260821,exp0_000004_rxg20_0_fulltrim,4,14.0,20260821,1,1,1,1,1,1,4,30,32,1,11903.915199996845,46.64709999997285,589.863699999114,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000005_rxg20_0_fulltrim:14:20260821,exp0_000005_rxg20_0_fulltrim,5,14.0,20260821,1,1,1,1,1,1,4,31,32,1,9046.611499998107,46.35179999968386,412.4009999977716,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000006_rxg20_0_fulltrim:14:20260821,exp0_000006_rxg20_0_fulltrim,6,14.0,20260821,1,0,0,1,1,1,4,32,32,1,10936.199299998407,51.4748999994481,660.227100001066,1,1,0,0,0,,1,0,0,0,,2,1,1,0,3,4
exp0_000007_rxg20_0_fulltrim:14:20260821,exp0_000007_rxg20_0_fulltrim,7,14.0,20260821,1,1,1,1,1,1,4,31,32,2,9417.776800000865,47.1386999997776,418.73329999725684,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000008_rxg20_0_fulltrim:14:20260821,exp0_000008_rxg20_0_fulltrim,8,14.0,20260821,1,1,1,1,1,1,4,32,32,2,11938.535599998431,50.52669999713544,449.8830000011367,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
