dataset,packet_index,frame_index,event_index,payload_symbol_index,frame_symbol_index,source_start_sample,corrected_start_sample,gt_bin,clean_csv_margin_db,clean_recomputed_margin_db,waveform_source,gt_provenance,noise_covariance_source,noise_window_count,noise_windows_available,raw_noise_power,covariance_sample_count,segment_covariance_sample_count,savaux_bin,gt_match_savaux,savaux_correct,savaux_margin_db,savaux_fix_vs_savaux,savaux_break_vs_savaux,fixed_gls_bin,fixed_gls_correct,fixed_gls_margin_db,fixed_gls_fix_vs_savaux,fixed_gls_break_vs_savaux,segmented_gls_bin,segmented_gls_correct,segmented_gls_margin_db,segmented_gls_fix_vs_savaux,segmented_gls_break_vs_savaux,colored_ml_bin,colored_ml_correct,colored_ml_margin_db,colored_ml_fix_vs_savaux,colored_ml_break_vs_savaux
0_0_0_10_14_32,0,0,0,0,8,4305479,4305481,803,16.772151585755374,17.865360862778005,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,803,1,1,17.865360862778005,0,0,803,1,16.411766895044842,0,0,803,1,10.369073646165655,0,0,803,1,13.486633724025372,0,0
0_0_0_10_14_32,0,0,0,11,19,4350536,4350538,1023,18.726489969140875,22.215409998927086,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,1023,1,1,22.215409998927086,0,0,1023,1,20.48802705555754,0,0,1023,1,10.494007119771137,0,0,1023,1,15.680766943351824,0,0
0_0_0_10_14_32,0,0,0,12,20,4354632,4354634,597,13.066339871239984,11.940750935779693,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,597,1,1,11.940750935779693,0,0,597,1,5.44800450203582,0,0,597,1,4.041100451140659,0,0,597,1,8.7648067379252,0,0
0_0_0_10_14_32,0,0,0,13,21,4358728,4358730,562,13.682463590439866,11.850253666221775,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,562,1,1,11.850253666221775,0,0,562,1,2.1916066990234446,0,0,562,1,2.3859287882520834,0,0,562,1,8.801052987189264,0,0
0_0_0_10_14_32,0,0,0,14,22,4362824,4362826,478,12.461718595312908,13.648698802030477,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,478,1,1,13.648698802030477,0,0,478,1,10.196952310556833,0,0,478,1,11.492114649038696,0,0,478,1,10.985342311162993,0,0
0_0_0_10_14_32,0,0,0,15,23,4366920,4366922,267,14.940355089700867,14.545553813015504,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,267,1,1,14.545553813015504,0,0,267,1,18.477858631233378,0,0,267,1,9.25964308526868,0,0,267,1,12.716682775889032,0,0
0_0_0_10_14_32,0,0,0,16,24,4371016,4371018,917,17.447357374302843,18.072987048499094,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,917,1,1,18.072987048499094,0,0,917,1,1.0113595560380049,0,0,918,0,0.06655197707507073,0,1,917,1,14.079203505831714,0,0
0_0_0_10_14_32,0,0,0,17,25,4375112,4375114,656,13.502086776147308,12.680213445884013,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,656,1,1,12.680213445884013,0,0,656,1,13.340362776684804,0,0,656,1,10.136374462440866,0,0,656,1,9.223672691548563,0,0
0_0_0_10_14_32,0,0,0,18,26,4379208,4379210,889,17.681593213992674,17.86221656986855,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,889,1,1,17.86221656986855,0,0,889,1,14.107389840499787,0,0,889,1,8.491038174698986,0,0,889,1,12.783815396345206,0,0
0_0_0_10_14_32,0,0,0,19,27,4383304,4383306,510,12.36981942904883,12.976716973841086,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,510,1,1,12.976716973841086,0,0,510,1,8.749089734922338,0,0,510,1,7.352967872715198,0,0,510,1,9.465236781005288,0,0
0_0_0_10_14_32,0,0,0,20,28,4387400,4387402,860,16.928369030676855,15.845836345497917,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,860,1,1,15.845836345497917,0,0,860,1,15.350170641449592,0,0,860,1,8.469964822573251,0,0,860,1,12.438831109421173,0,0
0_0_0_10_14_32,0,0,0,21,29,4391496,4391498,553,12.611768839477087,12.156015461948188,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,553,1,1,12.156015461948188,0,0,553,1,12.547941628816027,0,0,553,1,8.062730509197904,0,0,553,1,9.057431716997703,0,0
0_0_0_10_14_32,0,0,0,22,30,4395592,4395594,629,13.752716028219258,13.116709979279062,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,629,1,1,13.116709979279062,0,0,629,1,12.860595598956255,0,0,629,1,8.34486853966951,0,0,629,1,9.621104486364683,0,0
0_0_0_10_14_32,0,0,0,23,31,4399688,4399690,759,15.34229337741035,14.555982114240509,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,759,1,1,14.555982114240509,0,0,759,1,13.642078836476779,0,0,759,1,7.283620290137956,0,0,759,1,11.063323459792985,0,0
0_0_0_10_14_32,0,0,0,24,32,4403784,4403786,874,14.536560384098232,15.448896946799362,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,874,1,1,15.448896946799362,0,0,874,1,14.244876748359175,0,0,874,1,14.918165658574425,0,0,874,1,13.750066580738247,0,0
0_0_0_10_14_32,0,0,0,25,33,4407880,4407882,720,14.946297305086135,15.14825755928117,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,720,1,1,15.14825755928117,0,0,720,1,12.579404603574542,0,0,720,1,8.919308804438256,0,0,720,1,11.736226701649453,0,0
0_0_0_10_14_32,0,0,0,26,34,4411976,4411978,314,13.319482152414455,11.927756178015303,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,314,1,1,11.927756178015303,0,0,314,1,8.968428797570589,0,0,314,1,8.350149623511427,0,0,314,1,11.989852489502336,0,0
0_0_0_10_14_32,0,0,0,27,35,4416072,4416074,602,12.922999438284371,13.106383858852004,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,602,1,1,13.106383858852004,0,0,602,1,15.029608582572989,0,0,602,1,10.550333342100016,0,0,602,1,9.668383020851012,0,0
0_0_0_10_14_32,0,0,0,28,36,4420168,4420170,7,13.839905065858789,12.608976886500008,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,7,1,1,12.608976886500008,0,0,7,1,13.053223516148059,0,0,7,1,11.86086940098274,0,0,7,1,11.861386148273672,0,0
0_0_0_10_14_32,0,0,0,29,37,4424264,4424266,610,14.649789407534556,12.892716289963461,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,610,1,1,12.892716289963461,0,0,610,1,12.121288744232004,0,0,610,1,9.035228969490433,0,0,610,1,9.478268686072571,0,0
0_0_0_10_14_32,2,1,2,0,8,7305934,7305936,803,24.293724428146703,21.371997280144864,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,803,1,1,21.371997280144864,0,0,803,1,20.576355633764038,0,0,803,1,11.729826391447292,0,0,803,1,13.68276931525343,0,0
0_0_0_10_14_32,2,1,2,1,9,7310030,7310032,826,24.95003638250765,22.654158746907704,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,826,1,1,22.654158746907704,0,0,826,1,23.33226710749729,0,0,826,1,15.18508410158117,0,0,826,1,14.604583203083937,0,0
0_0_0_10_14_32,2,1,2,2,10,7314126,7314128,922,30.019745517305324,25.280210931810593,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,922,1,1,25.280210931810593,0,0,922,1,21.99777501881605,0,0,922,1,8.12601108446685,0,0,922,1,16.531256927377964,0,0
0_0_0_10_14_32,2,1,2,3,11,7318222,7318224,718,22.164150986597477,20.664161422088924,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,718,1,1,20.664161422088924,0,0,718,1,20.66177734881152,0,0,718,1,6.9542766150816835,0,0,718,1,13.813124575614372,0,0
0_0_0_10_14_32,2,1,2,4,12,7322318,7322320,86,27.041764373586844,23.86691994909168,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,86,1,1,23.86691994909168,0,0,86,1,10.29762056870746,0,0,86,1,1.1564093404714508,0,0,86,1,16.553334596417876,0,0
0_0_0_10_14_32,2,1,2,5,13,7326414,7326416,468,20.977234610378762,19.27725135613623,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,468,1,1,19.27725135613623,0,0,468,1,20.268545355032387,0,0,468,1,11.47704206551142,0,0,468,1,12.98344983054557,0,0
0_0_0_10_14_32,2,1,2,6,14,7330510,7330512,89,23.567495665591775,22.222360736210028,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,89,1,1,22.222360736210028,0,0,89,1,18.377880816865677,0,0,89,1,13.506314363612875,0,0,89,1,15.783315505867089,0,0
0_0_0_10_14_32,2,1,2,7,15,7334606,7334608,713,23.57045376913846,20.1681555307281,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,713,1,1,20.1681555307281,0,0,713,1,21.446245315651247,0,0,713,1,9.842343322794534,0,0,713,1,14.248991369909383,0,0
0_0_0_10_14_32,2,1,2,8,16,7338702,7338704,865,26.696189138288318,22.81433499115505,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,865,1,1,22.81433499115505,0,0,865,1,22.31584259291985,0,0,865,1,14.842269620169947,0,0,865,1,15.71645162160016,0,0
0_0_0_10_14_32,2,1,2,9,17,7342798,7342800,492,24.058473154426853,21.110941472961645,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,492,1,1,21.110941472961645,0,0,492,1,20.890995917987283,0,0,492,1,13.54090579584242,0,0,492,1,13.7196047221257,0,0
0_0_0_10_14_32,2,1,2,10,18,7346894,7346896,765,24.43547920801055,21.2541571694496,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,765,1,1,21.2541571694496,0,0,765,1,19.8573270969995,0,0,765,1,7.577603490601118,0,0,765,1,15.495747287753506,0,0
0_0_0_10_14_32,2,1,2,11,19,7350990,7350992,1023,22.499982393009887,19.17122851853009,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,1023,1,1,19.17122851853009,0,0,1023,1,16.404313192313197,0,0,1023,1,9.52815628629695,0,0,1023,1,14.196949340344773,0,0
0_0_0_10_14_32,2,1,2,12,20,7355086,7355088,597,23.913920275385582,20.857225510868528,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,597,1,1,20.857225510868528,0,0,597,1,9.393375263972173,0,0,597,1,4.807005306959896,0,0,597,1,14.279742820023476,0,0
0_0_0_10_14_32,2,1,2,13,21,7359182,7359184,562,23.1731255717154,20.801819532408334,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,562,1,1,20.801819532408334,0,0,562,1,10.250834392824387,0,0,562,1,2.5055480740567067,0,0,562,1,14.846224957292431,0,0
0_0_0_10_14_32,2,1,2,14,22,7363278,7363280,478,22.732242294235,20.364107843488334,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,478,1,1,20.364107843488334,0,0,478,1,21.990673517357383,0,0,478,1,14.872648421329108,0,0,478,1,14.954489592518044,0,0
0_0_0_10_14_32,2,1,2,15,23,7367374,7367376,267,21.682607921126063,19.791488553784216,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,267,1,1,19.791488553784216,0,0,267,1,23.498535032100577,0,0,267,1,12.561417278187964,0,0,267,1,14.52270048930236,0,0
0_0_0_10_14_32,2,1,2,16,24,7371470,7371472,917,18.209144795039172,16.655904531565792,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,917,1,1,16.655904531565792,0,0,916,0,1.8080905143020074,0,1,918,0,0.4132476503196685,0,1,917,1,13.944437992121335,0,0
0_0_0_10_14_32,2,1,2,17,25,7375566,7375568,656,22.309928463768554,21.985684146831062,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,656,1,1,21.985684146831062,0,0,656,1,20.17361649003522,0,0,656,1,10.992466201348794,0,0,656,1,15.176715136571294,0,0
0_0_0_10_14_32,2,1,2,18,26,7379662,7379664,889,16.889149966501726,15.400924827086044,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,889,1,1,15.400924827086044,0,0,889,1,11.637659463549515,0,0,889,1,5.678942498820991,0,0,889,1,14.586485938693157,0,0
0_0_0_10_14_32,2,1,2,19,27,7383758,7383760,510,18.33358941924228,17.269955669957454,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,510,1,1,17.269955669957454,0,0,510,1,18.228337308880874,0,0,510,1,8.681798374333601,0,0,510,1,15.380189271006316,0,0
0_0_0_10_14_32,2,1,2,20,28,7387854,7387856,860,16.669494598587832,15.13863817033318,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,860,1,1,15.13863817033318,0,0,860,1,15.89114986460105,0,0,860,1,8.413909945394225,0,0,860,1,13.391985170224013,0,0
0_0_0_10_14_32,2,1,2,21,29,7391950,7391952,553,19.651709819652726,18.13553812168783,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,553,1,1,18.13553812168783,0,0,553,1,17.880119018812902,0,0,553,1,10.895282777429857,0,0,553,1,15.690921341367684,0,0
0_0_0_10_14_32,2,1,2,22,30,7396046,7396048,629,20.236281741670233,18.686296929294976,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,629,1,1,18.686296929294976,0,0,629,1,20.784740657688317,0,0,629,1,8.037092732804192,0,0,629,1,15.858042488448355,0,0
0_0_0_10_14_32,2,1,2,23,31,7400142,7400144,759,17.392336958953464,15.964286487932442,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,759,1,1,15.964286487932442,0,0,759,1,15.337166443384248,0,0,759,1,8.37104306021351,0,0,759,1,13.713247161196314,0,0
0_0_0_10_14_32,2,1,2,24,32,7404238,7404240,874,14.520139075856006,13.459084528871193,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,874,1,1,13.459084528871193,0,0,874,1,15.57317193561069,0,0,874,1,14.284801632033755,0,0,874,1,12.329619484868797,0,0
0_0_0_10_14_32,2,1,2,25,33,7408334,7408336,720,18.20490472299423,16.753766223327187,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,720,1,1,16.753766223327187,0,0,720,1,14.044485404532042,0,0,720,1,6.409625791132999,0,0,720,1,14.206127323069033,0,0
0_0_0_10_14_32,2,1,2,26,34,7412430,7412432,314,19.151770578548405,18.031109837760877,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,314,1,1,18.031109837760877,0,0,314,1,15.331154271594269,0,0,314,1,13.268572405965024,0,0,314,1,12.513791601102787,0,0
0_0_0_10_14_32,2,1,2,27,35,7416527,7416529,602,12.41453993850838,11.233608074642326,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,602,1,1,11.233608074642326,0,0,602,1,12.072633698807948,0,0,602,1,5.216854932375801,0,0,602,1,8.325699868917711,0,0
0_0_0_10_14_32,2,1,2,28,36,7420623,7420625,7,28.556954376960082,25.95407544539972,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,7,1,1,25.95407544539972,0,0,7,1,25.779186240592836,0,0,7,1,15.183430331284134,0,0,7,1,17.263284778370224,0,0
0_0_0_10_14_32,2,1,2,29,37,7424719,7424721,610,12.52639707007269,11.509965459986864,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,610,1,1,11.509965459986864,0,0,610,1,10.68697797214335,0,0,610,1,6.7815960015116605,0,0,610,1,8.467196964477552,0,0
0_0_0_10_14_32,3,2,3,0,8,8806297,8806299,222,17.977846328077472,17.492742422718834,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,222,1,1,17.492742422718834,0,0,222,1,16.157632516039392,0,0,222,1,9.949807320860558,0,0,222,1,12.404609122499064,0,0
0_0_0_10_14_32,3,2,3,1,9,8810393,8810395,711,20.687772250570767,19.23421184799666,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,711,1,1,19.23421184799666,0,0,711,1,19.83423844087199,0,0,711,1,12.701292392343968,0,0,711,1,14.293445318917238,0,0
0_0_0_10_14_32,3,2,3,2,10,8814489,8814491,871,15.833357570177043,15.038776549129063,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,871,1,1,15.038776549129063,0,0,865,0,0.40034938341283544,0,1,872,0,3.361831633979164,0,1,871,1,12.62965391929015,0,0
