raw_fft_bin,trial_count,groundtruth_count,savaux_lambda_mean,savaux_lambda_median,colored_ml_lambda_mean,colored_ml_lambda_median,colored_minus_savaux_lambda_mean,model_full_to_savaux_snr_gain_db_mean,gt_savaux_lambda_mean,gt_colored_ml_lambda_mean
452,392,0,1.0347629335221278,0.6705074608325958,1.0103708588261613,0.6408097147941589,-0.02439207469596651,0.1671508066356182,,
453,392,0,1.0479298142267257,0.6788150668144226,1.0585538954795881,0.664900541305542,0.010624081252862363,0.1670933961868286,,
454,392,0,1.0365829094092134,0.6070872843265533,1.0566920299208913,0.6441645324230194,0.02010912051167795,0.16711983643472195,,
455,392,0,1.182870434685634,0.747190922498703,1.1685138971875042,0.6892324686050415,-0.014356537498129835,0.16726786270737648,,
456,392,0,1.128317365554109,0.7035152614116669,1.1276291733380759,0.7056976556777954,-0.0006881922160332301,0.16748444363474846,,
457,392,0,1.134890329200841,0.7070115506649017,1.142287641839268,0.7017918229103088,0.007397312638427045,0.16772837191820145,,
458,392,0,1.0503401980267324,0.6597668528556824,1.0891382150531748,0.6843506693840027,0.038798017026442255,0.1679233331233263,,
459,392,0,1.1720916808954658,0.6853487193584442,1.1765522320491406,0.6678479313850403,0.004460551153674807,0.16799888387322426,,
460,392,0,1.1044778519782845,0.7031653225421906,1.1407864571753021,0.6859738230705261,0.036308605197017625,0.16798903606832027,,
461,392,0,1.0513421249022346,0.6841728389263153,1.0793004309626686,0.6747460663318634,0.02795830606043396,0.16784645058214664,,
462,392,0,1.0931150197931707,0.6982495188713074,1.1048862109119928,0.6713361740112305,0.011771191118821996,0.16765828058123589,,
463,392,0,1.1372850195315254,0.6327280402183533,1.1452586377343656,0.6535159051418304,0.007973618202840396,0.16747939586639404,,
464,392,0,1.0150927884313539,0.6163576245307922,1.0367914267794267,0.5788300335407257,0.021698638348072785,0.16733923368155956,,
465,392,0,1.158322934985484,0.7165546417236328,1.15273510751419,0.6947574615478516,-0.005587827471293965,0.16726866364479065,,
466,392,0,1.1289118368657334,0.7348224222660065,1.1284199139365823,0.6998141705989838,-0.0004919229291512498,0.1673076245933771,,
467,392,0,1.0833314582173907,0.6396773457527161,1.1207791167501882,0.598139762878418,0.03744765853279743,0.16746695898473263,,
468,392,8,2.6373469771755556,0.731247752904892,2.6934319595284806,0.6780857443809509,0.056084982352925236,0.16773531399667263,76.13902187347412,78.81524610519409
469,392,0,1.1912217195349513,0.6864868104457855,1.1627149786894992,0.6790271699428558,-0.028506740845451923,0.16809734143316746,,
470,392,0,1.1178522628081051,0.6719824373722076,1.113753716630638,0.7209370732307434,-0.00409854617746718,0.16855389066040516,,
471,392,0,1.117507970231776,0.6470483839511871,1.1378428699536016,0.643519252538681,0.020334899721825533,0.16903214156627655,,
472,392,0,1.1134983023250837,0.6728720963001251,1.1418780681851786,0.6029382944107056,0.0283797658600949,0.1695293951779604,,
473,392,0,1.1073808829924947,0.6774047017097473,1.111875894647246,0.6683215498924255,0.004495011654751357,0.17002391442656517,,
