dataset,target_snr_db,packet_count,traditional_fft_symbol_ser,traditional_fft_symbol_accuracy,traditional_fft_crc_valid_rate,multi_offset_argmax_symbol_ser,multi_offset_argmax_symbol_accuracy,multi_offset_argmax_crc_valid_rate,current_selected_symbol_ser,current_selected_symbol_accuracy,current_selected_crc_valid_rate,savaux_paper_symbol_ser,savaux_paper_symbol_accuracy,savaux_paper_crc_valid_rate,structured_path_symbol_ser,structured_path_symbol_accuracy,structured_path_crc_valid_rate,savaux_gain_vs_current,structured_gain_vs_current,structured_gain_vs_savaux,structured_crc_gain_vs_current,structured_crc_gain_vs_savaux,mean_path_override_count,mean_path_fix_count,mean_path_break_count,mean_path_ratio
0_0_0_10_14_32,-22.0,7,0.6367346938775509,0.3632653061224491,0.0,0.22040816326530607,0.7795918367346939,0.0,0.17551020408163262,0.8244897959183674,0.2857142857142857,0.14285714285714285,0.8571428571428572,0.7142857142857143,0.14285714285714285,0.8571428571428572,0.7142857142857143,0.03265306122448977,0.03265306122448977,0.0,0.4285714285714286,0.0,0.14285714285714285,0.0,0.0,2.328716936763675
0_0_0_10_14_32,-23.0,7,0.7714285714285714,0.22857142857142865,0.0,0.3755102040816326,0.6244897959183674,0.0,0.24081632653061222,0.7591836734693878,0.0,0.17959183673469387,0.8204081632653062,0.42857142857142855,0.17959183673469387,0.8204081632653062,0.42857142857142855,0.06122448979591835,0.06122448979591835,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,2.440810620000464
0_0_0_10_14_32,-24.0,7,0.8693877551020408,0.1306122448979592,0.0,0.5306122448979591,0.4693877551020409,0.0,0.3836734693877551,0.616326530612245,0.0,0.21632653061224486,0.7836734693877552,0.2857142857142857,0.21632653061224486,0.7836734693877552,0.2857142857142857,0.16734693877551024,0.16734693877551024,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,2.5571140103066887
0_0_0_10_14_32,-25.0,7,0.9061224489795917,0.09387755102040829,0.0,0.6734693877551019,0.3265306122448981,0.0,0.5061224489795918,0.4938775510204082,0.0,0.2979591836734694,0.7020408163265306,0.0,0.2979591836734694,0.7020408163265306,0.0,0.2081632653061224,0.2081632653061224,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,2.6762963375578486
0_0_0_10_14_32,-26.0,7,0.9428571428571428,0.05714285714285716,0.0,0.7510204081632653,0.24897959183673468,0.0,0.6408163265306122,0.35918367346938784,0.0,0.4448979591836735,0.5551020408163265,0.0,0.4448979591836735,0.5551020408163265,0.0,0.19591836734693868,0.19591836734693868,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,2.7799071600010934
mean_of_datasets,-22.0,28,0.6467037724180581,0.35329622758194196,0.0,0.20022263450834876,0.7997773654916512,0.1272727272727273,0.10343846629560915,0.896561533704391,0.34978354978354975,0.06294372294372294,0.937056277056277,0.6502164502164502,0.06294372294372294,0.937056277056277,0.6502164502164502,0.0404947433518862,0.0404947433518862,0.0,0.30043290043290044,0.0,0.047619047619047616,0.0,0.0,2.3222311622743845
mean_of_datasets,-23.0,28,0.7793939393939393,0.2206060606060606,0.0,0.3510575139146567,0.6489424860853433,0.0,0.1803586889301175,0.8196413110698826,0.1606060606060606,0.09692022263450835,0.9030797773654916,0.37012987012987014,0.09605442176870749,0.9039455782312925,0.4004329004329004,0.08343846629560914,0.08430426716141,0.0008658008658008661,0.2398268398268398,0.030303030303030293,0.12554112554112554,0.030303030303030304,0.0,2.451535791452906
mean_of_datasets,-24.0,28,0.8600989486703773,0.13990105132962272,0.0,0.5075200989486703,0.49247990105132966,0.0,0.316895485466914,0.683104514533086,0.030303030303030304,0.15773654916512056,0.8422634508348795,0.2558441558441558,0.15773654916512056,0.8422634508348795,0.2558441558441558,0.15915893630179345,0.15915893630179345,0.0,0.22554112554112551,0.0,0.1891774891774892,0.030303030303030304,0.030303030303030304,2.57928353133828
mean_of_datasets,-25.0,28,0.9029931972789115,0.09700680272108841,0.0,0.6476066790352504,0.3523933209647496,0.0,0.4695732838589981,0.5304267161410019,0.0,0.27672232529375385,0.7232776747062463,0.03333333333333333,0.2784539270253556,0.7215460729746445,0.03333333333333333,0.19285095856524428,0.1911193568336426,-0.0017316017316017136,0.03333333333333333,0.0,0.5467532467532467,0.09696969696969697,0.15757575757575756,2.7198985360432375
mean_of_datasets,-26.0,28,0.9351515151515152,0.06484848484848489,0.0,0.7497340754483611,0.2502659245516388,0.0,0.6033889919604205,0.3966110080395795,0.0,0.41020408163265304,0.589795918367347,0.0,0.41115646258503397,0.588843537414966,0.0,0.19318491032776744,0.1922325293753865,-0.0009523809523809268,0.0,0.0,0.6722943722943722,0.09393939393939395,0.1272727272727273,2.827907539173204
