dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,structured_path_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,structured_gain_vs_traditional_fft,savaux_gain_vs_current,structured_gain_vs_current,structured_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,structured_path_crc_valid,path_override_count,path_fix_count,path_break_count,mean_path_ratio,mode_best_path_name,winner_by_symbol_ser
0_0_0_10_14_8,-24.0,9,9,9,33,35,0.9428571428571428,0.6571428571428571,0.45714285714285713,0.08571428571428572,0.08571428571428572,0.4857142857142857,0.8571428571428571,0.8571428571428571,0.37142857142857144,0.37142857142857144,0.0,0,0,0,0,0,0,0,0,2.617529879520168,linear_a3_b2,savaux_paper
0_0_0_10_14_8,-25.0,0,0,0,33,35,0.9142857142857143,0.5428571428571428,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.6285714285714286,0.7714285714285714,0.7714285714285714,0.14285714285714285,0.14285714285714285,0.0,0,0,0,0,0,0,0,0,2.46102075666911,piece1of2_30,savaux_paper
0_0_0_10_14_8,-25.0,1,1,1,33,35,0.8571428571428571,0.4,0.14285714285714285,0.05714285714285714,0.08571428571428572,0.7142857142857142,0.7999999999999999,0.7714285714285714,0.08571428571428572,0.057142857142857134,-0.028571428571428574,0,0,0,0,0,1,0,1,2.6370978668782143,linear_a1_b1,savaux_paper
0_0_0_10_14_8,-25.0,2,2,2,33,35,0.8571428571428571,0.34285714285714286,0.22857142857142856,0.0,0.0,0.6285714285714286,0.8571428571428571,0.8571428571428571,0.22857142857142856,0.22857142857142856,0.0,0,0,0,1,1,0,0,0,2.542772697801645,linear_a1_b2,savaux_paper
0_0_0_10_14_8,-25.0,3,3,3,33,35,0.7142857142857143,0.34285714285714286,0.14285714285714285,0.05714285714285714,0.02857142857142857,0.5714285714285714,0.6571428571428571,0.6857142857142857,0.08571428571428572,0.11428571428571428,0.02857142857142857,0,0,0,0,0,1,1,0,2.48528983294738,linear_a2_b1,structured_path
0_0_0_10_14_8,-25.0,4,4,4,33,35,0.7714285714285715,0.5142857142857142,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.48571428571428577,0.6285714285714286,0.6285714285714286,0.14285714285714285,0.14285714285714285,0.0,0,0,0,0,0,0,0,0,2.541983389157617,linear_a3_b1,savaux_paper
0_0_0_10_14_8,-25.0,5,5,5,33,35,0.9714285714285714,0.8857142857142857,0.7428571428571429,0.4857142857142857,0.4857142857142857,0.22857142857142854,0.4857142857142857,0.4857142857142857,0.2571428571428572,0.2571428571428572,0.0,0,0,0,0,0,0,0,0,2.8203664253237073,piece1of4_21,savaux_paper
0_0_0_10_14_8,-25.0,6,6,6,33,35,0.9142857142857143,0.8285714285714286,0.6571428571428571,0.5142857142857142,0.5142857142857142,0.2571428571428571,0.4,0.4,0.1428571428571429,0.1428571428571429,0.0,0,0,0,0,0,2,1,1,2.810935636219966,linear_a3_b3,savaux_paper
0_0_0_10_14_8,-25.0,7,7,7,33,35,0.9428571428571428,0.8285714285714286,0.7714285714285715,0.5428571428571428,0.5428571428571428,0.17142857142857137,0.4,0.4,0.22857142857142865,0.22857142857142865,0.0,0,0,0,0,0,1,0,0,2.999693078507012,piece1of2_23,savaux_paper
0_0_0_10_14_8,-25.0,8,8,8,33,35,0.9428571428571428,0.7714285714285715,0.6285714285714286,0.42857142857142855,0.42857142857142855,0.3142857142857143,0.5142857142857142,0.5142857142857142,0.2,0.2,0.0,0,0,0,0,0,3,0,0,3.0040254076365116,period2_30,savaux_paper
