dataset,method,baseline,metric,method_threshold_snr_db,baseline_threshold_snr_db,gain_db,status
0_0_0_10_14_16,structured_path,current_selected,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_16,structured_path,current_selected,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_16,structured_path,savaux_paper,SER<=10%,-23.717391304347828,-23.704545454545453,0.012845849802374687,ok
0_0_0_10_14_16,structured_path,savaux_paper,accuracy>=90%,-23.717391304347828,-23.704545454545453,0.012845849802374687,ok
0_0_0_10_14_16,structured_path,savaux_paper,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_16,structured_path,savaux_paper,CRC/PRR>=50%,-22.375,-22.3,0.07499999999999929,ok
0_0_0_10_14_32,structured_path,traditional_fft,SER<=10%,,,,missing_threshold
0_0_0_10_14_32,structured_path,traditional_fft,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_32,structured_path,traditional_fft,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_32,structured_path,traditional_fft,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_32,structured_path,current_selected,SER<=10%,,,,missing_threshold
0_0_0_10_14_32,structured_path,current_selected,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_32,structured_path,current_selected,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_32,structured_path,current_selected,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_32,structured_path,savaux_paper,SER<=10%,,,,missing_threshold
0_0_0_10_14_32,structured_path,savaux_paper,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_32,structured_path,savaux_paper,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_32,structured_path,savaux_paper,CRC/PRR>=50%,-22.75,-22.75,0.0,ok
0_0_0_10_14_8,structured_path,traditional_fft,SER<=10%,,,,missing_threshold
0_0_0_10_14_8,structured_path,traditional_fft,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_8,structured_path,traditional_fft,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_8,structured_path,traditional_fft,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_8,structured_path,current_selected,SER<=10%,-23.548387096774192,-22.22222222222222,1.3261648745519707,ok
0_0_0_10_14_8,structured_path,current_selected,accuracy>=90%,-23.548387096774192,-22.22222222222222,1.3261648745519707,ok
0_0_0_10_14_8,structured_path,current_selected,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_8,structured_path,current_selected,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_8,structured_path,savaux_paper,SER<=10%,-23.548387096774192,-23.548387096774192,0.0,ok
0_0_0_10_14_8,structured_path,savaux_paper,accuracy>=90%,-23.548387096774192,-23.548387096774192,0.0,ok
0_0_0_10_14_8,structured_path,savaux_paper,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_8,structured_path,savaux_paper,CRC/PRR>=50%,-23.0,-23.0,0.0,ok
mean_of_datasets,structured_path,traditional_fft,SER<=10%,,,,missing_threshold
mean_of_datasets,structured_path,traditional_fft,accuracy>=90%,,,,missing_threshold
mean_of_datasets,structured_path,traditional_fft,CRC/PRR>=80%,,,,missing_threshold
mean_of_datasets,structured_path,traditional_fft,CRC/PRR>=50%,,,,missing_threshold
mean_of_datasets,structured_path,current_selected,SER<=10%,,,,missing_threshold
mean_of_datasets,structured_path,current_selected,accuracy>=90%,,,,missing_threshold
mean_of_datasets,structured_path,current_selected,CRC/PRR>=80%,,,,missing_threshold
mean_of_datasets,structured_path,current_selected,CRC/PRR>=50%,,,,missing_threshold
mean_of_datasets,structured_path,savaux_paper,SER<=10%,-23.063966312412273,-23.050640634533252,0.013325677879020503,ok
mean_of_datasets,structured_path,savaux_paper,accuracy>=90%,-23.063966312412273,-23.050640634533252,0.013325677879020503,ok
mean_of_datasets,structured_path,savaux_paper,CRC/PRR>=80%,,,,missing_threshold
mean_of_datasets,structured_path,savaux_paper,CRC/PRR>=50%,-22.601386481802425,-22.536321483771253,0.06506499803117194,ok
