timing_error_samples_1m,timing_error_chips,cfo_error_bins,cfo_error_hz,trial_count,error_count,ser,mean_true_margin_db
0.0,0.0,-0.25,-7.62939453125,128,1,0.0078125,3.6288782717920007
0.0,0.0,0.0,0.0,128,1,0.0078125,4.204212033105812
0.0,0.0,0.25,7.62939453125,128,4,0.03125,2.967429406660113
0.0,0.0,0.5,15.2587890625,128,97,0.7578125,-1.9198817566615303
0.0,0.0,0.75,22.88818359375,128,128,1.0,-10.550642690872671
0.0,0.0,1.0,30.517578125,128,128,1.0,-16.82485737568264
0.0,0.0,2.0,61.03515625,128,128,1.0,-15.510421788053023
0.5,0.0625,-2.0,-61.03515625,128,128,1.0,-15.975142914581163
0.5,0.0625,-1.0,-30.517578125,128,128,1.0,-15.236995093049853
0.5,0.0625,-0.75,-22.88818359375,128,128,1.0,-7.300536504019613
0.5,0.0625,-0.5,-15.2587890625,128,53,0.4140625,0.35232552920255933
0.5,0.0625,-0.25,-7.62939453125,128,1,0.0078125,3.6081118825423495
0.5,0.0625,0.0,0.0,128,1,0.0078125,4.234066949321432
0.5,0.0625,0.25,7.62939453125,128,3,0.0234375,3.0572275454595044
0.5,0.0625,0.5,15.2587890625,128,96,0.75,-1.7194798993668026
0.5,0.0625,0.75,22.88818359375,128,128,1.0,-10.290109160843215
0.5,0.0625,1.0,30.517578125,128,128,1.0,-16.595179524698622
0.5,0.0625,2.0,61.03515625,128,128,1.0,-15.459042269596612
1.0,0.125,-2.0,-61.03515625,128,128,1.0,-16.03448390545595
1.0,0.125,-1.0,-30.517578125,128,128,1.0,-14.586081978460207
1.0,0.125,-0.75,-22.88818359375,128,127,0.9921875,-7.462036811027345
1.0,0.125,-0.5,-15.2587890625,128,58,0.453125,0.0882559305650805
1.0,0.125,-0.25,-7.62939453125,128,1,0.0078125,3.4484091768184824
1.0,0.125,0.0,0.0,128,1,0.0078125,4.1419299934016856
1.0,0.125,0.25,7.62939453125,128,4,0.03125,3.0050259320488117
1.0,0.125,0.5,15.2587890625,128,91,0.7109375,-1.5823751090414357
1.0,0.125,0.75,22.88818359375,128,128,1.0,-10.149488854491764
1.0,0.125,1.0,30.517578125,128,128,1.0,-15.91753375569743
1.0,0.125,2.0,61.03515625,128,128,1.0,-15.22383676930269
2.0,0.25,-2.0,-61.03515625,128,128,1.0,-15.029525282506468
2.0,0.25,-1.0,-30.517578125,128,128,1.0,-12.32476165112385
2.0,0.25,-0.75,-22.88818359375,128,125,0.9765625,-8.15747160363461
2.0,0.25,-0.5,-15.2587890625,128,72,0.5625,-0.9388905572285593
2.0,0.25,-0.25,-7.62939453125,128,7,0.0546875,2.7163743850351496
2.0,0.25,0.0,0.0,128,1,0.0078125,3.618959122217941
2.0,0.25,0.25,7.62939453125,128,12,0.09375,2.5061467783400184
2.0,0.25,0.5,15.2587890625,128,80,0.625,-1.6050279996433405
2.0,0.25,0.75,22.88818359375,128,126,0.984375,-8.473771093478858
2.0,0.25,1.0,30.517578125,128,128,1.0,-11.18272940551412
2.0,0.25,2.0,61.03515625,128,128,1.0,-13.750875322152025
4.0,0.5,-2.0,-61.03515625,128,128,1.0,-12.85707519919876
4.0,0.5,-1.0,-30.517578125,128,128,1.0,-8.995389938558457
4.0,0.5,-0.75,-22.88818359375,128,120,0.9375,-8.407403224986828
4.0,0.5,-0.5,-15.2587890625,128,98,0.765625,-5.3012078136897625
4.0,0.5,-0.25,-7.62939453125,128,75,0.5859375,-1.2423833188392839
4.0,0.5,0.0,0.0,128,49,0.3828125,0.3982688792942318
4.0,0.5,0.25,7.62939453125,128,64,0.5,-0.20491720935616997
4.0,0.5,0.5,15.2587890625,128,72,0.5625,-2.225634089363759
4.0,0.5,0.75,22.88818359375,128,76,0.59375,-1.8347564566787413
4.0,0.5,1.0,30.517578125,128,103,0.8046875,-1.8358513509868237
4.0,0.5,2.0,61.03515625,128,128,1.0,-9.691640810502431
