packet_id,reference_id,payload_index,gt_symbol,start_sample,savaux_origin_start_sample,clean_decision,accepted,clean_true_margin_db,signal_power,offpacket_power
exp0_000002_rxg20_0_fulltrim,2,13,1301,1361677,1361673.0,1301,1,22.820304485884616,3.0052117935139764e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,14,2677,1394445,1394441.0,2677,1,21.906785437934055,2.8952046192439654e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,15,1117,1427214,1427210.0,1117,1,21.767215744479408,2.9146519049103815e-08,1.0311762318316182e-07
exp0_000003_rxg20_0_fulltrim,3,0,3293,935698,935694.0,3293,1,24.64861333421226,5.121315239779495e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,1,313,968466,968462.0,313,1,21.194940312429054,5.1046988779910844e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,2,1433,1001234,1001230.0,1433,1,22.053642651877638,5.189997597138266e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,3,2865,1034003,1033999.0,2865,1,21.938782701089814,5.0513310594461536e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,4,3469,1066771,1066767.0,3469,1,21.55332662207983,5.361470448727404e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,5,3985,1099539,1099535.0,3985,1,18.803281428886955,5.443560179526901e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,6,3165,1132307,1132303.0,3165,1,17.980879259462995,5.552728895610455e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,7,1669,1165076,1165072.0,1669,1,19.81919357557188,5.625245592032503e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,8,3949,1197844,1197840.0,3949,1,20.56525788059906,5.5432866073034696e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,9,1669,1230612,1230608.0,1669,1,20.976918866370838,5.5078624831428574e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,10,969,1263380,1263376.0,969,1,19.260465135972925,5.2387494506482064e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,11,541,1296149,1296145.0,541,1,22.029781372954623,5.1461402441079784e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,12,3881,1328917,1328913.0,3881,1,19.697878214883165,5.337032005912948e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,13,1385,1361685,1361681.0,1385,1,23.899381633197567,5.518166015490811e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,14,2485,1394454,1394450.0,2485,1,15.92895282735155,5.466728107810657e-08,1.0186873702357439e-07
exp0_000003_rxg20_0_fulltrim,3,15,1441,1427222,1427218.0,1441,1,19.113492239512272,5.768096072074319e-08,1.0186873702357439e-07
exp0_000004_rxg20_0_fulltrim,4,0,3293,935698,935694.0,3293,1,25.73194670897019,8.118294780388177e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,1,313,968466,968462.0,313,1,23.30049751271941,8.157069997348827e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,2,1433,1001234,1001230.0,1433,1,21.175476938521527,8.030000231287531e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,3,2865,1034003,1033999.0,2865,1,21.348836020968655,7.831360245026695e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,4,3469,1066771,1066767.0,3469,1,25.25932516765236,7.585139423172366e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,5,3985,1099539,1099535.0,3985,1,21.499457345226595,7.018074944881277e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,6,3165,1132307,1132303.0,3165,1,21.03615141821477,6.719350360693662e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,7,1669,1165076,1165072.0,1669,1,21.81799162649989,6.096570248939567e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,8,3245,1197844,1197840.0,3245,1,22.407808309108358,5.729495868099476e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,9,1381,1230612,1230608.0,1381,1,23.498637935758545,5.142273458915145e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,10,709,1263380,1263376.0,709,1,18.08475699103208,4.895640530528202e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,11,609,1296149,1296145.0,609,1,24.64722573684969,4.6859466642581355e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,12,213,1328917,1328913.0,213,1,21.1284788023231,4.558322628935116e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,13,1385,1361685,1361681.0,1385,1,23.599672904169804,4.460077016373012e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,14,2473,1394453,1394449.0,2473,1,21.122671598073918,4.427066054177e-08,1.0086582804132267e-07
exp0_000004_rxg20_0_fulltrim,4,15,1449,1427222,1427218.0,1449,1,20.58616493343124,4.56188693124027e-08,1.0086582804132267e-07
