trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,signal_power,added_noise_power,timing_error_samples_1m,cfo_error_bins,cfo_error_hz,decision,correct,true_margin_db,true_power
20260819:2,14.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,-8.192,-250.0,1441,0,-9.664136385131824,0.0012820781894937738
20260819:2,14.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,-4.096,-125.0,1437,0,-25.501126627963696,3.64774699128051e-05
20260819:2,14.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,0.0,0.0,1433,1,4.006489685708329,0.012672428216573772
20260819:2,14.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,4.096,125.0,1429,0,-16.452491781966785,0.0002647872901415417
20260819:2,14.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,8.192,250.0,1425,0,-8.79429028400584,0.0013449497840058028
20260819:2,14.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,16.384,500.0,1417,0,-18.06686180081172,9.820295973368785e-05
20260819:2,14.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,32.768,1000.0,1400,0,-13.621635501014664,0.0005025234561213537
20260819:2,14.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,65.536,2000.0,1367,0,-13.080807875313301,0.00036071011800878697
20260819:3,14.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,-65.536,-2000.0,2402,0,-10.15840894235593,0.0005855939268746037
20260819:3,14.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,-32.768,-1000.0,2898,0,-19.491068964559226,0.00010166910871839494
20260819:3,14.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,-16.384,-500.0,2881,0,-6.302276945659897,0.001247812071565449
20260819:3,14.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,-8.192,-250.0,2873,0,-12.447905881227268,0.0005316819733780821
20260819:3,14.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,-4.096,-125.0,2869,0,-9.180864131493179,0.0012867504916705408
20260819:3,14.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,0.0,0.0,2865,1,4.121702544719239,0.010990263945212464
20260819:3,14.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,4.096,125.0,2861,0,-22.66304859397922,5.980108193090819e-05
20260819:3,14.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,8.192,250.0,2857,0,-15.054032068937012,0.0003191740085495831
20260819:3,14.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,16.384,500.0,2849,0,-14.685000322085276,0.00024185920457484803
20260819:3,14.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,32.768,1000.0,2832,0,-14.784245169527546,0.0002950254835178169
20260819:3,14.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,65.536,2000.0,2271,0,-11.342644669820993,0.00036700663065408756
20260819:4,14.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,5.729993595646629e-08,9.343596698224804e-06,0.0,-65.536,-2000.0,3534,0,-16.18614194838623,0.0001604524717474
20260819:4,14.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,5.729993595646629e-08,9.343596698224804e-06,0.0,-32.768,-1000.0,3502,0,-7.907573814367828,0.001444200647648053
20260819:4,14.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,5.729993595646629e-08,9.343596698224804e-06,0.0,-16.384,-500.0,3485,0,-14.107678577187734,0.000398072980757367
20260819:4,14.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,5.729993595646629e-08,9.343596698224804e-06,0.0,-8.192,-250.0,3477,0,-16.645227886241315,0.00028618871952003355
20260819:4,14.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,5.729993595646629e-08,9.343596698224804e-06,0.0,-4.096,-125.0,3473,0,-35.36665188968214,3.978600277437317e-06
20260819:4,14.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,5.729993595646629e-08,9.343596698224804e-06,0.0,0.0,0.0,3469,1,2.9407744153867377,0.01351048929174059
20260819:4,14.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,5.729993595646629e-08,9.343596698224804e-06,0.0,4.096,125.0,3465,0,-18.753750197654547,0.00015990218739947524
20260819:4,14.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,5.729993595646629e-08,9.343596698224804e-06,0.0,8.192,250.0,3461,0,-15.277026828657196,0.00030003994377225673
20260819:4,14.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,5.729993595646629e-08,9.343596698224804e-06,0.0,16.384,500.0,2601,0,-18.514425292857936,8.458056824535432e-05
20260819:4,14.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,5.729993595646629e-08,9.343596698224804e-06,0.0,32.768,1000.0,3436,0,-17.76612706389143,0.00023675774998845826
20260819:4,14.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,5.729993595646629e-08,9.343596698224804e-06,0.0,65.536,2000.0,3403,0,-10.651254643774354,0.0007347811875713234
20260819:5,14.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,5.998586474912753e-08,9.781576863121383e-06,0.0,-65.536,-2000.0,4050,0,-9.763152576149503,0.0007333895228198856
20260819:5,14.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,5.998586474912753e-08,9.781576863121383e-06,0.0,-32.768,-1000.0,4018,0,-11.479046673634354,0.0004377592170262991
20260819:5,14.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,5.998586474912753e-08,9.781576863121383e-06,0.0,-16.384,-500.0,4001,0,-18.839309642938808,0.0001272797990556386
20260819:5,14.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,5.998586474912753e-08,9.781576863121383e-06,0.0,-8.192,-250.0,3993,0,-6.999389729439761,0.0022442908312521187
20260819:5,14.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,5.998586474912753e-08,9.781576863121383e-06,0.0,-4.096,-125.0,3989,0,-11.901437983933409,0.0007177693977285099
20260819:5,14.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,5.998586474912753e-08,9.781576863121383e-06,0.0,0.0,0.0,3985,1,4.023383538481829,0.010080222998088084
20260819:5,14.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,5.998586474912753e-08,9.781576863121383e-06,0.0,4.096,125.0,3981,0,-18.852116383566255,0.00011541007968055364
20260819:5,14.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,5.998586474912753e-08,9.781576863121383e-06,0.0,8.192,250.0,3977,0,-23.457879107469488,3.2450602455221184e-05
20260819:5,14.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,5.998586474912753e-08,9.781576863121383e-06,0.0,16.384,500.0,441,0,-13.560508653068215,0.0002354540398502719
20260819:5,14.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,5.998586474912753e-08,9.781576863121383e-06,0.0,32.768,1000.0,3952,0,-15.374480606672032,0.0003284227039257494
20260819:5,14.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,5.998586474912753e-08,9.781576863121383e-06,0.0,65.536,2000.0,3919,0,-11.55252599165892,0.0005714736794857345
20260819:6,14.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,6.021652091786988e-08,9.819188741402079e-06,0.0,-65.536,-2000.0,627,0,-13.862095793963924,0.00021487704130553845
20260819:6,14.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,6.021652091786988e-08,9.819188741402079e-06,0.0,-32.768,-1000.0,3198,0,-28.221338345974544,1.6815270001059807e-05
20260819:6,14.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,6.021652091786988e-08,9.819188741402079e-06,0.0,-16.384,-500.0,3181,0,-13.234377984311799,0.000351509654086566
20260819:6,14.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,6.021652091786988e-08,9.819188741402079e-06,0.0,-8.192,-250.0,3173,0,-19.207406042270154,0.0001397778546980569
20260819:6,14.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,6.021652091786988e-08,9.819188741402079e-06,0.0,-4.096,-125.0,3169,0,-21.96606667204385,8.351744787468088e-05
20260819:6,14.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,6.021652091786988e-08,9.819188741402079e-06,0.0,0.0,0.0,3165,1,4.533412758595428,0.013627278569629198
20260819:6,14.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,6.021652091786988e-08,9.819188741402079e-06,0.0,4.096,125.0,3161,0,-20.375873589598136,0.00012078651459379586
20260819:6,14.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,6.021652091786988e-08,9.819188741402079e-06,0.0,8.192,250.0,3157,0,-15.723317940865634,0.00031377785515749115
20260819:6,14.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,6.021652091786988e-08,9.819188741402079e-06,0.0,16.384,500.0,3149,0,-11.529215239210195,0.000550248502241172
20260819:6,14.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,6.021652091786988e-08,9.819188741402079e-06,0.0,32.768,1000.0,3132,0,-20.070922104846986,0.00011036504629366797
20260819:6,14.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,6.021652091786988e-08,9.819188741402079e-06,0.0,65.536,2000.0,3099,0,-14.071709206386773,0.00022704878333704506
20260819:7,14.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,6.298564517848611e-08,1.0270735150077395e-05,0.0,-65.536,-2000.0,1735,0,-7.118521045782396,0.0013490742094051655
20260819:7,14.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,6.298564517848611e-08,1.0270735150077395e-05,0.0,-32.768,-1000.0,1702,0,-11.709077713495757,0.000671906650724377
20260819:7,14.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,6.298564517848611e-08,1.0270735150077395e-05,0.0,-16.384,-500.0,1685,0,-14.07740300817019,0.0003035634668339983
20260819:7,14.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,6.298564517848611e-08,1.0270735150077395e-05,0.0,-8.192,-250.0,1677,0,-10.73908972679936,0.0008881495541360196
20260819:7,14.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,6.298564517848611e-08,1.0270735150077395e-05,0.0,-4.096,-125.0,1673,0,-17.494356248635647,0.00019856748732568433
20260819:7,14.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,6.298564517848611e-08,1.0270735150077395e-05,0.0,0.0,0.0,1669,1,2.192894630541669,0.011746424076912787
20260819:7,14.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,6.298564517848611e-08,1.0270735150077395e-05,0.0,4.096,125.0,1665,0,-14.838170248221394,0.0003670915622259324
20260819:7,14.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,6.298564517848611e-08,1.0270735150077395e-05,0.0,8.192,250.0,1661,0,-15.187613399571479,0.00031287439172834886
20260819:7,14.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,6.298564517848611e-08,1.0270735150077395e-05,0.0,16.384,500.0,1653,0,-12.460875045829653,0.0004248244262597435
20260819:7,14.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,6.298564517848611e-08,1.0270735150077395e-05,0.0,32.768,1000.0,1636,0,-12.525415894968642,0.0005239500384959829
20260819:7,14.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,6.298564517848611e-08,1.0270735150077395e-05,0.0,65.536,2000.0,1696,0,-9.465287719604095,0.0008212072380509583
20260819:8,14.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,6.500044003541635e-08,1.0599277063058175e-05,0.0,-65.536,-2000.0,914,0,-12.345154997369443,0.0006210207775958626
20260819:8,14.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,6.500044003541635e-08,1.0599277063058175e-05,0.0,-32.768,-1000.0,882,0,-6.411335156135319,0.001566608440842998
20260819:8,14.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,6.500044003541635e-08,1.0599277063058175e-05,0.0,-16.384,-500.0,865,0,-6.590102450540099,0.002756800993498898
20260819:8,14.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,6.500044003541635e-08,1.0599277063058175e-05,0.0,-8.192,-250.0,857,0,-18.254616310968768,0.0002056099119764898
20260819:8,14.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,6.500044003541635e-08,1.0599277063058175e-05,0.0,-4.096,-125.0,853,0,-25.952749290420666,3.384391240295829e-05
20260819:8,14.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,6.500044003541635e-08,1.0599277063058175e-05,0.0,0.0,0.0,849,1,3.1312879808742733,0.011839283742747009
20260819:8,14.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,6.500044003541635e-08,1.0599277063058175e-05,0.0,4.096,125.0,845,0,-15.214650930241087,0.0003024875663230203
20260819:8,14.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,6.500044003541635e-08,1.0599277063058175e-05,0.0,8.192,250.0,841,0,-20.633274929971677,6.952278247474367e-05
20260819:8,14.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,6.500044003541635e-08,1.0599277063058175e-05,0.0,16.384,500.0,832,0,-9.0278739819058,0.0010604237549503015
20260819:8,14.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,6.500044003541635e-08,1.0599277063058175e-05,0.0,32.768,1000.0,816,0,-9.527314457166847,0.0014991002596076997
20260819:8,14.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,6.500044003541635e-08,1.0599277063058175e-05,0.0,65.536,2000.0,783,0,-15.981286448941006,0.0002902877570671071
20260819:9,14.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,6.361297891562806e-08,1.0373031135879155e-05,0.0,-65.536,-2000.0,730,0,-12.035911833976913,0.0005782093142785195
20260819:9,14.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,6.361297891562806e-08,1.0373031135879155e-05,0.0,-32.768,-1000.0,698,0,-15.35268078516121,0.0003452135244344512
20260819:9,14.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,6.361297891562806e-08,1.0373031135879155e-05,0.0,-16.384,-500.0,681,0,-21.621106814516903,9.312385525540867e-05
20260819:9,14.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,6.361297891562806e-08,1.0373031135879155e-05,0.0,-8.192,-250.0,673,0,-27.803179602090317,2.8064751400257723e-05
20260819:9,14.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,6.361297891562806e-08,1.0373031135879155e-05,0.0,-4.096,-125.0,669,0,-12.625185018193367,0.0009597459907448869
20260819:9,14.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,6.361297891562806e-08,1.0373031135879155e-05,0.0,0.0,0.0,665,1,4.3104784068246556,0.016745374247784106
20260819:9,14.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,6.361297891562806e-08,1.0373031135879155e-05,0.0,4.096,125.0,661,0,-16.22684320552921,0.0003619730851507491
20260819:9,14.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,6.361297891562806e-08,1.0373031135879155e-05,0.0,8.192,250.0,657,0,-19.08491743427023,0.0001565185970036631
20260819:9,14.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,6.361297891562806e-08,1.0373031135879155e-05,0.0,16.384,500.0,648,0,-27.547635385691052,1.3188697424138809e-05
20260819:9,14.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,6.361297891562806e-08,1.0373031135879155e-05,0.0,32.768,1000.0,632,0,-8.43345198325509,0.002489339624043796
20260819:9,14.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,6.361297891562806e-08,1.0373031135879155e-05,0.0,65.536,2000.0,599,0,-13.618910357273498,0.0005843585533061996
20260819:10,14.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,6.285646075018163e-08,1.0249669730411221e-05,0.0,-65.536,-2000.0,778,0,-17.12787136091213,0.00014805275575957653
20260819:10,14.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,6.285646075018163e-08,1.0249669730411221e-05,0.0,-32.768,-1000.0,746,0,-13.17144899011527,0.00043958475138361486
20260819:10,14.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,6.285646075018163e-08,1.0249669730411221e-05,0.0,-16.384,-500.0,729,0,-6.1207202312578435,0.0027292533852124046
20260819:10,14.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,6.285646075018163e-08,1.0249669730411221e-05,0.0,-8.192,-250.0,721,0,-16.415815372998345,0.0003102251588962823
20260819:10,14.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,6.285646075018163e-08,1.0249669730411221e-05,0.0,-4.096,-125.0,717,0,-14.51541229541472,0.0004998263725332214
20260819:10,14.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,6.285646075018163e-08,1.0249669730411221e-05,0.0,0.0,0.0,713,1,3.2706762264696443,0.013641483555560718
20260819:10,14.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,6.285646075018163e-08,1.0249669730411221e-05,0.0,4.096,125.0,709,0,-16.24658593990504,0.00028625243745670007
20260819:10,14.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,6.285646075018163e-08,1.0249669730411221e-05,0.0,8.192,250.0,705,0,-14.023196650993006,0.0004079206290753673
20260819:10,14.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,6.285646075018163e-08,1.0249669730411221e-05,0.0,16.384,500.0,696,0,-7.760444941301479,0.0011185336811574964
20260819:10,14.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,6.285646075018163e-08,1.0249669730411221e-05,0.0,32.768,1000.0,680,0,-21.45364423853116,9.649365385285772e-05
20260819:10,14.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,6.285646075018163e-08,1.0249669730411221e-05,0.0,65.536,2000.0,647,0,-7.855146985646371,0.0015689540441874567
20260819:11,14.0,20260819,11,exp0_000000_rxg20_0_fulltrim,0,11,797,6.420614755623784e-08,1.0469756000564919e-05,0.0,-65.536,-2000.0,863,0,-22.770312436236026,6.234875089273454e-05
20260819:11,14.0,20260819,11,exp0_000000_rxg20_0_fulltrim,0,11,797,6.420614755623784e-08,1.0469756000564919e-05,0.0,-32.768,-1000.0,830,0,-9.93801747957787,0.0016614647022719087
20260819:11,14.0,20260819,11,exp0_000000_rxg20_0_fulltrim,0,11,797,6.420614755623784e-08,1.0469756000564919e-05,0.0,-16.384,-500.0,813,0,-22.673885990032186,7.581708652251804e-05
20260819:11,14.0,20260819,11,exp0_000000_rxg20_0_fulltrim,0,11,797,6.420614755623784e-08,1.0469756000564919e-05,0.0,-8.192,-250.0,805,0,-16.37842637398437,0.00040779867438523257
20260819:11,14.0,20260819,11,exp0_000000_rxg20_0_fulltrim,0,11,797,6.420614755623784e-08,1.0469756000564919e-05,0.0,-4.096,-125.0,801,0,-14.950088918357235,0.000592228791821723
20260819:11,14.0,20260819,11,exp0_000000_rxg20_0_fulltrim,0,11,797,6.420614755623784e-08,1.0469756000564919e-05,0.0,0.0,0.0,797,1,5.259024074587433,0.018595270012738974
20260819:11,14.0,20260819,11,exp0_000000_rxg20_0_fulltrim,0,11,797,6.420614755623784e-08,1.0469756000564919e-05,0.0,4.096,125.0,793,0,-15.643191685483961,0.0004927240390189547
20260819:11,14.0,20260819,11,exp0_000000_rxg20_0_fulltrim,0,11,797,6.420614755623784e-08,1.0469756000564919e-05,0.0,8.192,250.0,789,0,-17.719851965096602,0.0002795130166107253
20260819:11,14.0,20260819,11,exp0_000000_rxg20_0_fulltrim,0,11,797,6.420614755623784e-08,1.0469756000564919e-05,0.0,16.384,500.0,781,0,-17.17219707014619,0.00024587432213701854
20260819:11,14.0,20260819,11,exp0_000000_rxg20_0_fulltrim,0,11,797,6.420614755623784e-08,1.0469756000564919e-05,0.0,32.768,1000.0,764,0,-8.45657732890503,0.002456984894516845
20260819:11,14.0,20260819,11,exp0_000000_rxg20_0_fulltrim,0,11,797,6.420614755623784e-08,1.0469756000564919e-05,0.0,65.536,2000.0,731,0,-10.44841839934032,0.0011703636202151646
20260819:12,14.0,20260819,12,exp0_000000_rxg20_0_fulltrim,0,12,3881,6.637923248860607e-08,1.0824109436744396e-05,0.0,-65.536,-2000.0,3946,0,-15.82369126757973,0.00031591139522024747
20260819:12,14.0,20260819,12,exp0_000000_rxg20_0_fulltrim,0,12,3881,6.637923248860607e-08,1.0824109436744396e-05,0.0,-32.768,-1000.0,3914,0,-13.963977437325925,0.00045895757466696274
20260819:12,14.0,20260819,12,exp0_000000_rxg20_0_fulltrim,0,12,3881,6.637923248860607e-08,1.0824109436744396e-05,0.0,-16.384,-500.0,3897,0,-30.293409305210737,1.5104275259075295e-05
