dataset,packet_index,frame_index,payload_symbol_index,frame_symbol_index,gt_bin,case_index,noise_model,snr_db,seed,savaux_equal_bin,savaux_gls_bin,savaux_nus_joint_gls_bin,cfr_whitened_ml_bin,savaux_equal_correct,savaux_gls_correct,savaux_nus_joint_gls_correct,cfr_whitened_ml_correct,savaux_equal_margin_db,savaux_gls_margin_db,savaux_nus_joint_gls_margin_db,cfr_whitened_ml_margin_db
0_0_0_10_14_32,4,3,7,15,713,112,awgn,-24.0,202,713,713,713,713,1,1,1,1,2.086234976877372,2.086236355364398,2.086236358257537,2.086236346503855
0_0_0_10_14_32,4,3,8,16,865,113,awgn,-24.0,202,865,865,865,865,1,1,1,1,4.066995352916089,4.0669952792634385,4.066995278184194,4.066995131534601
0_0_0_10_14_32,4,3,9,17,492,114,awgn,-24.0,202,492,492,492,492,1,1,1,1,5.203414952005741,5.203415438257176,5.203415435958201,5.203415451450844
0_0_0_10_14_32,4,3,10,18,765,115,awgn,-24.0,202,765,765,765,765,1,1,1,1,4.035765067569541,4.035764821090016,4.035764820092451,4.035764803150481
0_0_0_10_14_32,4,3,11,19,1023,116,awgn,-24.0,202,1023,1023,1023,1023,1,1,1,1,2.8534472758123206,2.853447201092404,2.853447201297861,2.853447141866412
0_0_0_10_14_32,4,3,12,20,597,117,awgn,-24.0,202,597,597,597,597,1,1,1,1,2.74984821404603,2.749849154304116,2.7498491487358305,2.7498491171995356
0_0_0_10_14_32,4,3,13,21,562,118,awgn,-24.0,202,562,562,562,562,1,1,1,1,1.0898306579877457,1.0898309281111682,1.0898309247981204,1.0898308923815179
0_0_0_10_14_32,4,3,14,22,478,119,awgn,-24.0,202,478,478,478,478,1,1,1,1,2.0849341695823096,2.08493383945556,2.084933840171635,2.084933828964897
0_0_0_10_14_32,4,3,15,23,267,120,awgn,-24.0,202,267,267,267,267,1,1,1,1,3.6799606889984156,3.679959585282417,3.679959581736287,3.6799597133010313
0_0_0_10_14_32,4,3,16,24,917,121,awgn,-24.0,202,917,917,917,917,1,1,1,1,2.2722016795196542,2.2722031635562963,2.2722031623536023,2.2722032338322067
0_0_0_10_14_32,4,3,17,25,656,122,awgn,-24.0,202,656,656,656,656,1,1,1,1,6.0788900605333085,6.078890229850547,6.078890226954146,6.078890259306294
0_0_0_10_14_32,4,3,18,26,889,123,awgn,-24.0,202,889,889,889,889,1,1,1,1,1.950914421452591,1.9509143176986175,1.9509143203002495,1.9509141700196617
0_0_0_10_14_32,4,3,19,27,510,124,awgn,-24.0,202,510,510,510,510,1,1,1,1,1.7483769081131824,1.7483755899099316,1.7483755976597064,1.7483755231778337
0_0_0_10_14_32,4,3,20,28,860,125,awgn,-24.0,202,860,860,860,860,1,1,1,1,3.4501014737986235,3.4501013065939965,3.4501013011255415,3.4501013906059095
0_0_0_10_14_32,4,3,21,29,553,126,awgn,-24.0,202,553,553,553,553,1,1,1,1,3.7778016129349927,3.777801898652205,3.7778019004432033,3.777801863553129
0_0_0_10_14_32,4,3,22,30,629,127,awgn,-24.0,202,629,629,629,629,1,1,1,1,2.5722674740730755,2.5722676654746,2.5722676695002007,2.572267697360479
0_0_0_10_14_32,0,0,0,8,803,0,awgn,-26.0,202,803,803,803,803,1,1,1,1,4.195755952770275,4.195756764852007,4.195756761971854,4.195756553226117
0_0_0_10_14_32,0,0,1,9,711,1,awgn,-26.0,202,711,711,711,711,1,1,1,1,2.9307221124800984,2.930720785528427,2.9307207853344868,2.930720685944172
0_0_0_10_14_32,0,0,2,10,922,2,awgn,-26.0,202,922,922,922,922,1,1,1,1,3.021105811503279,3.021104799718967,3.021104802999139,3.0211048174828288
0_0_0_10_14_32,0,0,3,11,718,3,awgn,-26.0,202,565,565,565,565,0,0,0,0,0.44075990026753853,0.44075976675684514,0.44075976834498853,0.44075961765118865
0_0_0_10_14_32,0,0,4,12,107,4,awgn,-26.0,202,107,107,107,107,1,1,1,1,0.703866443915689,0.7038668091591914,0.7038668092460818,0.7038668207722149
0_0_0_10_14_32,0,0,5,13,468,5,awgn,-26.0,202,468,468,468,468,1,1,1,1,3.2721228651900995,3.272123294917523,3.272123303300665,3.2721233901010836
0_0_0_10_14_32,0,0,6,14,89,6,awgn,-26.0,202,89,89,89,89,1,1,1,1,0.9289550751577635,0.9289539548938713,0.92895395476002,0.9289540817869869
0_0_0_10_14_32,0,0,7,15,713,7,awgn,-26.0,202,713,713,713,713,1,1,1,1,0.7309619482030166,0.7309634044898503,0.7309634051958996,0.7309632931659092
0_0_0_10_14_32,0,0,8,16,865,8,awgn,-26.0,202,865,865,865,865,1,1,1,1,0.40114835472834565,0.40114749212938866,0.40114749555701795,0.40114747359326935
0_0_0_10_14_32,0,0,9,17,492,9,awgn,-26.0,202,492,492,492,492,1,1,1,1,0.12011936934059933,0.12011826765897139,0.12011826804061944,0.12011844632845693
0_0_0_10_14_32,0,0,10,18,765,10,awgn,-26.0,202,765,765,765,765,1,1,1,1,0.5634972327155751,0.5634988177599459,0.5634988156649472,0.5634989021462057
0_0_0_10_14_32,0,0,11,19,1023,11,awgn,-26.0,202,1023,1023,1023,1023,1,1,1,1,2.9551939325395464,2.9551921688027303,2.9551921611987697,2.95519221598431
0_0_0_10_14_32,0,0,12,20,597,12,awgn,-26.0,202,597,597,597,597,1,1,1,1,1.549912063474219,1.5499124036768195,1.5499124030212483,1.5499122594532653
0_0_0_10_14_32,0,0,13,21,562,13,awgn,-26.0,202,562,562,562,562,1,1,1,1,4.081956778901708,4.081955662056242,4.0819556614856864,4.081955619791686
0_0_0_10_14_32,0,0,14,22,478,14,awgn,-26.0,202,478,478,478,478,1,1,1,1,2.570823940297612,2.570824603787705,2.5708246056210675,2.5708246283065734
0_0_0_10_14_32,0,0,15,23,267,15,awgn,-26.0,202,267,267,267,267,1,1,1,1,0.9944550809972224,0.9944551869483569,0.9944551845627376,0.9944551321198031
0_0_0_10_14_32,0,0,16,24,917,16,awgn,-26.0,202,880,880,880,880,0,0,0,0,0.0539307737060582,0.05393233662477506,0.053932334281941066,0.053932103602667286
0_0_0_10_14_32,0,0,17,25,656,17,awgn,-26.0,202,656,656,656,656,1,1,1,1,2.3069219512277854,2.306922319342111,2.306922319818957,2.3069223134304133
0_0_0_10_14_32,0,0,18,26,889,18,awgn,-26.0,202,889,889,889,889,1,1,1,1,2.461221698808648,2.4612221889877333,2.461222188521389,2.4612222826585803
0_0_0_10_14_32,0,0,19,27,510,19,awgn,-26.0,202,510,510,510,510,1,1,1,1,1.682400441993037,1.682398544721021,1.6823985391868361,1.6823985808629216
0_0_0_10_14_32,0,0,20,28,860,20,awgn,-26.0,202,278,278,278,278,0,0,0,0,0.12154460204503655,0.12154545956096661,0.12154546311504373,0.1215454597236045
0_0_0_10_14_32,0,0,21,29,553,21,awgn,-26.0,202,553,553,553,553,1,1,1,1,4.5468751154456575,4.546873597763411,4.546873602607661,4.546873683859402
0_0_0_10_14_32,0,0,22,30,629,22,awgn,-26.0,202,629,629,629,629,1,1,1,1,1.1647234775304975,1.1647231505730669,1.1647231572938885,1.1647230179343497
0_0_0_10_14_32,0,0,23,31,759,23,awgn,-26.0,202,409,409,409,409,0,0,0,0,0.6288516151319548,0.6288519423084276,0.6288519466439674,0.6288517826379565
0_0_0_10_14_32,0,0,24,32,874,24,awgn,-26.0,202,874,874,874,874,1,1,1,1,1.6595905433492941,1.659590121423523,1.6595901141216043,1.6595898831496905
0_0_0_10_14_32,0,0,25,33,720,25,awgn,-26.0,202,720,720,720,720,1,1,1,1,0.4840673002236494,0.48406772574634155,0.4840677331705428,0.4840676066047353
0_0_0_10_14_32,0,0,26,34,314,26,awgn,-26.0,202,314,314,314,314,1,1,1,1,4.160518161350916,4.160516514578733,4.160516509172519,4.160516406018855
0_0_0_10_14_32,0,0,27,35,602,27,awgn,-26.0,202,602,602,602,602,1,1,1,1,2.2040581258390097,2.204058635878477,2.2040586355881504,2.204058790286337
0_0_0_10_14_32,0,0,28,36,7,28,awgn,-26.0,202,7,7,7,7,1,1,1,1,2.938981806705261,2.938983143086813,2.938983142808285,2.938983195063126
0_0_0_10_14_32,0,0,29,37,610,29,awgn,-26.0,202,610,610,610,610,1,1,1,1,2.390784526154455,2.390785922987039,2.3907859290940077,2.3907859122773085
0_0_0_10_14_32,0,0,30,38,826,30,awgn,-26.0,202,826,826,826,826,1,1,1,1,0.7377277660867405,0.7377260526004978,0.7377260490918486,0.7377260888517916
0_0_0_10_14_32,0,0,31,39,928,31,awgn,-26.0,202,928,928,928,928,1,1,1,1,2.031538734898673,2.031539060439294,2.03153905122259,2.031538880771268
0_0_0_10_14_32,0,0,32,40,761,32,awgn,-26.0,202,761,761,761,761,1,1,1,1,1.3127959515154377,1.312795764571033,1.3127957654607705,1.3127957870714446
0_0_0_10_14_32,0,0,33,41,590,33,awgn,-26.0,202,283,283,283,283,0,0,0,0,0.1079220893036849,0.10792278950623163,0.10792279391478378,0.1079231480662255
0_0_0_10_14_32,0,0,34,42,936,34,awgn,-26.0,202,936,936,936,936,1,1,1,1,4.167952424448699,4.16795165183226,4.1679516541514,4.1679516489582795
0_0_0_10_14_32,2,1,0,8,803,35,awgn,-26.0,202,803,803,803,803,1,1,1,1,0.3065505856210421,0.3065511587941996,0.3065511550712183,0.30655113208334794
0_0_0_10_14_32,2,1,1,9,826,36,awgn,-26.0,202,826,826,826,826,1,1,1,1,3.700087063529435,3.700084170307405,3.70008417072595,3.700084062119054
0_0_0_10_14_32,2,1,2,10,922,37,awgn,-26.0,202,922,922,922,922,1,1,1,1,4.399760263823227,4.399762053718527,4.399762058106685,4.39976220175475
0_0_0_10_14_32,2,1,3,11,718,38,awgn,-26.0,202,718,718,718,718,1,1,1,1,1.849531373462234,1.8495309868340573,1.8495309856943103,1.8495311132658645
0_0_0_10_14_32,2,1,4,12,86,39,awgn,-26.0,202,91,91,91,91,0,0,0,0,0.780593623750948,0.7805929610279978,0.7805929614598474,0.7805929218797991
0_0_0_10_14_32,2,1,5,13,468,40,awgn,-26.0,202,468,468,468,468,1,1,1,1,1.1428650209364544,1.1428647652728172,1.1428647663428284,1.1428648965519925
0_0_0_10_14_32,2,1,6,14,89,41,awgn,-26.0,202,89,89,89,89,1,1,1,1,0.14515489844506557,0.14515508713489758,0.14515507896072496,0.14515498993639914
0_0_0_10_14_32,2,1,7,15,713,42,awgn,-26.0,202,314,314,314,314,0,0,0,0,0.5870183526137194,0.5870191200505191,0.5870191229241785,0.5870189751223955
0_0_0_10_14_32,2,1,8,16,865,43,awgn,-26.0,202,266,266,266,266,0,0,0,0,0.9496700097898298,0.9496682017340269,0.9496682000957839,0.9496682396200595
0_0_0_10_14_32,2,1,9,17,492,44,awgn,-26.0,202,492,492,492,492,1,1,1,1,0.9783560659553123,0.9783549462707298,0.9783549511873291,0.978354922860758
0_0_0_10_14_32,2,1,10,18,765,45,awgn,-26.0,202,765,765,765,765,1,1,1,1,1.622004513019451,1.6220038262570964,1.6220038257634948,1.6220039092760143
0_0_0_10_14_32,2,1,11,19,1023,46,awgn,-26.0,202,1023,1023,1023,1023,1,1,1,1,3.2386739658124055,3.23867496628698,3.2386749639241117,3.2386749243578175
0_0_0_10_14_32,2,1,12,20,597,47,awgn,-26.0,202,597,597,597,597,1,1,1,1,1.0483184759835085,1.0483193723023085,1.048319374466207,1.0483192156156624
0_0_0_10_14_32,2,1,13,21,562,48,awgn,-26.0,202,562,562,562,562,1,1,1,1,1.741076265103811,1.7410771068508755,1.7410771070505737,1.7410770989489839
0_0_0_10_14_32,2,1,14,22,478,49,awgn,-26.0,202,478,478,478,478,1,1,1,1,2.6830808819653864,2.6830790684953665,2.683079069428198,2.683079221988231
0_0_0_10_14_32,2,1,15,23,267,50,awgn,-26.0,202,267,267,267,267,1,1,1,1,4.809129095735939,4.809129723827198,4.809129720973806,4.809129936475662
0_0_0_10_14_32,2,1,16,24,917,51,awgn,-26.0,202,917,917,917,917,1,1,1,1,1.2718560833358623,1.2718563975256234,1.2718563899239879,1.2718564117844036
0_0_0_10_14_32,2,1,17,25,656,52,awgn,-26.0,202,656,656,656,656,1,1,1,1,0.6005714984757539,0.6005720409124217,0.6005720496200838,0.6005723309122659
0_0_0_10_14_32,2,1,18,26,889,53,awgn,-26.0,202,889,889,889,889,1,1,1,1,2.0909490650453186,2.0909488210119256,2.0909488203050763,2.090948734737488
0_0_0_10_14_32,2,1,19,27,510,54,awgn,-26.0,202,183,183,183,183,0,0,0,0,0.2748748280064712,0.27487395121613184,0.27487394800718556,0.2748738564835447
0_0_0_10_14_32,2,1,20,28,860,55,awgn,-26.0,202,860,860,860,860,1,1,1,1,2.349557709019325,2.349558476804451,2.349558480838276,2.3495585468494258
0_0_0_10_14_32,2,1,21,29,553,56,awgn,-26.0,202,1022,1022,1022,1022,0,0,0,0,0.005033444708530014,0.005032907087623981,0.0050329037488355734,0.005032925900965413
0_0_0_10_14_32,2,1,22,30,629,57,awgn,-26.0,202,629,629,629,629,1,1,1,1,1.2665607402299224,1.266559295936227,1.2665592930275857,1.2665594507954903
0_0_0_10_14_32,2,1,23,31,759,58,awgn,-26.0,202,759,759,759,759,1,1,1,1,1.4424634607603557,1.4424634082355783,1.4424634114813921,1.4424633204910808
0_0_0_10_14_32,2,1,24,32,874,59,awgn,-26.0,202,874,874,874,874,1,1,1,1,0.4760442712302947,0.476043478386576,0.47604347454620977,0.4760435475404653
0_0_0_10_14_32,2,1,25,33,720,60,awgn,-26.0,202,720,720,720,720,1,1,1,1,2.5070571243959994,2.507057231132679,2.507057231167904,2.5070572386620538
0_0_0_10_14_32,2,1,26,34,314,61,awgn,-26.0,202,314,314,314,314,1,1,1,1,2.528706819770208,2.5287057524685466,2.5287057559214943,2.5287057294167066
0_0_0_10_14_32,2,1,27,35,602,62,awgn,-26.0,202,602,602,602,602,1,1,1,1,4.076336113341158,4.0763348142763665,4.076334813448957,4.076334834655029
0_0_0_10_14_32,2,1,28,36,7,63,awgn,-26.0,202,7,7,7,7,1,1,1,1,3.0861787735975224,3.0861770991512305,3.0861770998745848,3.0861771111755383
0_0_0_10_14_32,2,1,29,37,610,64,awgn,-26.0,202,610,610,610,610,1,1,1,1,1.5924041772158817,1.5924044979334082,1.5924044985766048,1.592404407518015
0_0_0_10_14_32,2,1,30,38,775,65,awgn,-26.0,202,136,136,136,136,0,0,0,0,0.3222965540983864,0.32229623776045213,0.3222962340802004,0.3222959970776502
0_0_0_10_14_32,2,1,31,39,912,66,awgn,-26.0,202,676,676,676,676,0,0,0,0,0.6680848267496353,0.6680856183715462,0.6680856145908973,0.6680854147170313
0_0_0_10_14_32,2,1,32,40,768,67,awgn,-26.0,202,768,768,768,768,1,1,1,1,0.04841304181578941,0.048413524571111505,0.04841353358003249,0.04841354563483348
0_0_0_10_14_32,2,1,33,41,581,68,awgn,-26.0,202,581,581,581,581,1,1,1,1,4.116820713475927,4.116821794527375,4.116821791377021,4.116821832249377
0_0_0_10_14_32,2,1,34,42,93,69,awgn,-26.0,202,93,93,93,93,1,1,1,1,3.160852028665831,3.1608520017898822,3.1608519966748005,3.1608519173139635
0_0_0_10_14_32,3,2,0,8,222,70,awgn,-26.0,202,222,222,222,222,1,1,1,1,0.12878796862237277,0.12878774995848785,0.12878775031984763,0.1287874977718418
0_0_0_10_14_32,3,2,1,9,711,71,awgn,-26.0,202,711,711,711,711,1,1,1,1,5.242195705745763,5.242196941639974,5.242196940511855,5.24219688014877
0_0_0_10_14_32,3,2,2,10,871,72,awgn,-26.0,202,871,871,871,871,1,1,1,1,1.4314305024361862,1.431432014808095,1.4314320145726516,1.4314319800434872
0_0_0_10_14_32,3,2,3,11,718,73,awgn,-26.0,202,718,718,718,718,1,1,1,1,3.264178878159804,3.264179213824522,3.264179213129918,3.264179068223955
0_0_0_10_14_32,3,2,4,12,107,74,awgn,-26.0,202,416,416,416,416,0,0,0,0,0.14357717181717433,0.1435759648100242,0.14357596131441547,0.1435759891857141
0_0_0_10_14_32,3,2,5,13,468,75,awgn,-26.0,202,468,468,468,468,1,1,1,1,1.1850461685602862,1.1850458718008468,1.185045872416335,1.185046145144929
0_0_0_10_14_32,3,2,6,14,89,76,awgn,-26.0,202,89,89,89,89,1,1,1,1,0.3636889229022151,0.36368853044344884,0.3636885291956723,0.36368876522972904
0_0_0_10_14_32,3,2,7,15,713,77,awgn,-26.0,202,713,713,713,713,1,1,1,1,5.653583278024337,5.65358297414691,5.6535829737387395,5.6535827940160885
0_0_0_10_14_32,3,2,8,16,865,78,awgn,-26.0,202,865,865,865,865,1,1,1,1,2.229221692562885,2.229221974766444,2.2292219710753884,2.2292220740355075
0_0_0_10_14_32,3,2,9,17,492,79,awgn,-26.0,202,492,492,492,492,1,1,1,1,3.896046043668613,3.8960446341091166,3.8960446363959984,3.896044434594095
0_0_0_10_14_32,3,2,10,18,765,80,awgn,-26.0,202,765,765,765,765,1,1,1,1,3.7577728530138605,3.757772408449788,3.757772409387142,3.7577724718150645
0_0_0_10_14_32,3,2,11,19,1023,81,awgn,-26.0,202,1023,1023,1023,1023,1,1,1,1,0.3227282502762361,0.32272660803917214,0.3227266142699142,0.3227266219949637
0_0_0_10_14_32,3,2,12,20,597,82,awgn,-26.0,202,597,597,597,597,1,1,1,1,3.8251365737262972,3.825135687573188,3.825135691287694,3.8251358788432737
0_0_0_10_14_32,3,2,13,21,562,83,awgn,-26.0,202,562,562,562,562,1,1,1,1,3.306638930593499,3.3066390565029744,3.3066390574068687,3.3066391779044406
0_0_0_10_14_32,3,2,14,22,478,84,awgn,-26.0,202,478,478,478,478,1,1,1,1,3.3798892812672006,3.379891010470585,3.3798910143584786,3.3798909372218273
0_0_0_10_14_32,3,2,15,23,267,85,awgn,-26.0,202,267,267,267,267,1,1,1,1,3.7773315942905934,3.777330905538337,3.7773309056223905,3.7773308580143503
0_0_0_10_14_32,3,2,16,24,917,86,awgn,-26.0,202,917,917,917,917,1,1,1,1,1.9226120369454855,1.9226114463770407,1.9226114522901177,1.922611414503346
0_0_0_10_14_32,3,2,17,25,656,87,awgn,-26.0,202,656,656,656,656,1,1,1,1,1.5835633661722963,1.5835629548915802,1.583562965757913,1.5835627220631037
0_0_0_10_14_32,3,2,18,26,889,88,awgn,-26.0,202,889,889,889,889,1,1,1,1,0.9034131154102197,0.9034133662394274,0.903413364229198,0.90341357487098
0_0_0_10_14_32,3,2,19,27,510,89,awgn,-26.0,202,278,278,278,278,0,0,0,0,0.28035203119556407,0.28035333940456436,0.280353332745117,0.28035317831747936
0_0_0_10_14_32,3,2,20,28,860,90,awgn,-26.0,202,860,860,860,860,1,1,1,1,0.6139674239441535,0.6139659962541093,0.6139659991250932,0.6139659954977105
0_0_0_10_14_32,3,2,21,29,553,91,awgn,-26.0,202,553,553,553,553,1,1,1,1,1.5273946497372517,1.5273949358379888,1.527394926085316,1.5273947436706985
0_0_0_10_14_32,3,2,22,30,629,92,awgn,-26.0,202,629,629,629,629,1,1,1,1,2.6199610460009986,2.6199600508161636,2.619960052469735,2.6199600158431475
0_0_0_10_14_32,3,2,23,31,759,93,awgn,-26.0,202,581,581,581,581,0,0,0,0,0.5178600656182509,0.5178589108418428,0.51785890748199,0.5178589370128123
0_0_0_10_14_32,3,2,24,32,874,94,awgn,-26.0,202,874,874,874,874,1,1,1,1,3.3856868155231816,3.385685788670077,3.3856857919396495,3.385685729886791
0_0_0_10_14_32,3,2,25,33,720,95,awgn,-26.0,202,720,720,720,720,1,1,1,1,3.178737275661034,3.1787364275554926,3.1787364299600713,3.1787364662878415
0_0_0_10_14_32,3,2,26,34,314,96,awgn,-26.0,202,442,442,442,442,0,0,0,0,0.34934345841108894,0.3493454463279991,0.34934545133918077,0.34934555706721815
0_0_0_10_14_32,3,2,27,35,602,97,awgn,-26.0,202,680,680,680,680,0,0,0,0,0.30884533575666917,0.3088454615948876,0.3088454624059167,0.3088454433345298
0_0_0_10_14_32,3,2,28,36,7,98,awgn,-26.0,202,7,7,7,7,1,1,1,1,1.8394689645004916,1.8394694350591139,1.839469441675095,1.8394695882775745
0_0_0_10_14_32,3,2,29,37,610,99,awgn,-26.0,202,285,285,285,285,0,0,0,0,1.1050343151281574,1.1050333938940806,1.105033402753378,1.1050332281920263
0_0_0_10_14_32,3,2,30,38,778,100,awgn,-26.0,202,778,778,778,778,1,1,1,1,0.6683924512910806,0.6683927714003363,0.6683927702860035,0.6683926205051128
0_0_0_10_14_32,3,2,31,39,897,101,awgn,-26.0,202,897,897,897,897,1,1,1,1,4.060879300845787,4.060879259731803,4.060879261116163,4.060879170957966
0_0_0_10_14_32,3,2,32,40,740,102,awgn,-26.0,202,339,339,339,339,0,0,0,0,0.07147393160088869,0.07147446761157018,0.07147446542471708,0.07147460104164023
0_0_0_10_14_32,3,2,33,41,590,103,awgn,-26.0,202,102,102,102,102,0,0,0,0,2.8554324550618455,2.855431529247835,2.8554315283066396,2.855431497567093
0_0_0_10_14_32,3,2,34,42,930,104,awgn,-26.0,202,930,930,930,930,1,1,1,1,2.8718219267762493,2.8718234186655947,2.8718234255995307,2.871823409185428
0_0_0_10_14_32,4,3,0,8,803,105,awgn,-26.0,202,721,721,721,721,0,0,0,0,1.221157137823079,1.221157177391546,1.2211571775419903,1.2211572439430582
0_0_0_10_14_32,4,3,1,9,711,106,awgn,-26.0,202,711,711,711,711,1,1,1,1,0.7720840580686233,0.7720849952244079,0.7720849932178091,0.7720850481676789
0_0_0_10_14_32,4,3,2,10,871,107,awgn,-26.0,202,871,871,871,871,1,1,1,1,1.2451943078602397,1.2451947052208838,1.245194715516232,1.2451948376382516
0_0_0_10_14_32,4,3,3,11,718,108,awgn,-26.0,202,114,114,114,114,0,0,0,0,0.2437978338437505,0.24379828205124626,0.24379828756244917,0.24379819525128837
0_0_0_10_14_32,4,3,4,12,86,109,awgn,-26.0,202,86,86,86,86,1,1,1,1,2.3134897369220213,2.313489544694814,2.313489546604642,2.3134896535430034
0_0_0_10_14_32,4,3,5,13,468,110,awgn,-26.0,202,827,827,827,827,0,0,0,0,0.4200602514747149,0.42006030139630157,0.4200603027521794,0.42006019040090875
0_0_0_10_14_32,4,3,6,14,89,111,awgn,-26.0,202,89,89,89,89,1,1,1,1,5.0643216883402244,5.064323091059311,5.0643230902272,5.064323140617586
0_0_0_10_14_32,4,3,7,15,713,112,awgn,-26.0,202,369,369,369,369,0,0,0,0,0.1559235570971484,0.1559226982113954,0.15592270011212342,0.1559228159295193
0_0_0_10_14_32,4,3,8,16,865,113,awgn,-26.0,202,865,865,865,865,1,1,1,1,2.41402070452946,2.414018768695377,2.4140187677177165,2.4140187555775547
0_0_0_10_14_32,4,3,9,17,492,114,awgn,-26.0,202,492,492,492,492,1,1,1,1,3.467712618757207,3.4677124032946205,3.4677124003518145,3.4677124927047203
0_0_0_10_14_32,4,3,10,18,765,115,awgn,-26.0,202,765,765,765,765,1,1,1,1,2.1138195829555997,2.1138189683066804,2.1138189675876036,2.1138189165778294
0_0_0_10_14_32,4,3,11,19,1023,116,awgn,-26.0,202,1023,1023,1023,1023,1,1,1,1,0.8741734454466736,0.8741734379981339,0.8741734381189313,0.8741733880197424
0_0_0_10_14_32,4,3,12,20,597,117,awgn,-26.0,202,597,597,597,597,1,1,1,1,0.6339122841269822,0.633910032948401,0.6339100269855764,0.6339099977797757
0_0_0_10_14_32,4,3,13,21,562,118,awgn,-26.0,202,723,723,723,723,0,0,0,0,0.08680314619003737,0.08680298376270082,0.08680298637628438,0.08680279443558042
0_0_0_10_14_32,4,3,14,22,478,119,awgn,-26.0,202,639,639,639,639,0,0,0,0,0.16930645518892087,0.16930642217599348,0.16930642053439598,0.16930638201960738
0_0_0_10_14_32,4,3,15,23,267,120,awgn,-26.0,202,267,267,267,267,1,1,1,1,1.7328379238777796,1.732837593493723,1.7328375897783683,1.7328375193168102
0_0_0_10_14_32,4,3,16,24,917,121,awgn,-26.0,202,992,992,992,992,0,0,0,0,0.16016233147735262,0.16016159059920004,0.16016159322133958,0.160161511279152
0_0_0_10_14_32,4,3,17,25,656,122,awgn,-26.0,202,656,656,656,656,1,1,1,1,4.545248473611465,4.545248374935754,4.545248371738119,4.545248367436025
0_0_0_10_14_32,4,3,18,26,889,123,awgn,-26.0,202,871,871,871,871,0,0,0,0,0.06635730339690792,0.06635693660188821,0.06635694199977549,0.06635712548931494
0_0_0_10_14_32,4,3,19,27,510,124,awgn,-26.0,202,125,125,125,125,0,0,0,0,0.6632416887779758,0.6632414872810142,0.6632414787316416,0.6632414159420619
0_0_0_10_14_32,4,3,20,28,860,125,awgn,-26.0,202,860,860,860,860,1,1,1,1,1.6333453590727127,1.6333447806305623,1.6333447753223145,1.6333448507889983
0_0_0_10_14_32,4,3,21,29,553,126,awgn,-26.0,202,553,553,553,553,1,1,1,1,1.999756778660675,1.9997560949966096,1.999756097246527,1.999756165483477
0_0_0_10_14_32,4,3,22,30,629,127,awgn,-26.0,202,629,629,629,629,1,1,1,1,0.20619178408616112,0.20619160214776874,0.20619160696586708,0.2061916254903901
0_0_0_10_14_32,0,0,0,8,803,0,awgn,-22.0,303,803,803,803,803,1,1,1,1,6.546553182572993,6.546555366924296,6.546555361542421,6.546555208839782
0_0_0_10_14_32,0,0,1,9,711,1,awgn,-22.0,303,711,711,711,711,1,1,1,1,3.418223582850073,3.418223157146534,3.4182231544614172,3.418223084421091
0_0_0_10_14_32,0,0,2,10,922,2,awgn,-22.0,303,922,922,922,922,1,1,1,1,6.719400094371228,6.719400583116778,6.719400589117478,6.719400386852251
0_0_0_10_14_32,0,0,3,11,718,3,awgn,-22.0,303,718,718,718,718,1,1,1,1,4.241016833392418,4.241016563219929,4.241016563087081,4.24101660766206
0_0_0_10_14_32,0,0,4,12,107,4,awgn,-22.0,303,107,107,107,107,1,1,1,1,5.50569443857648,5.505693830379801,5.505693825749863,5.505693817032197
0_0_0_10_14_32,0,0,5,13,468,5,awgn,-22.0,303,468,468,468,468,1,1,1,1,2.9901280888408817,2.99012793002547,2.990127920987562,2.9901278919940633
0_0_0_10_14_32,0,0,6,14,89,6,awgn,-22.0,303,89,89,89,89,1,1,1,1,3.932178946466041,3.9321794279304085,3.9321794275236988,3.9321793984131115
0_0_0_10_14_32,0,0,7,15,713,7,awgn,-22.0,303,713,713,713,713,1,1,1,1,4.1711307555075,4.171130899844533,4.171130897092284,4.171130900213203
0_0_0_10_14_32,0,0,8,16,865,8,awgn,-22.0,303,865,865,865,865,1,1,1,1,6.074764584361817,6.0747633095943785,6.0747633131654695,6.07476325965678
0_0_0_10_14_32,0,0,9,17,492,9,awgn,-22.0,303,492,492,492,492,1,1,1,1,5.430881325474406,5.430879448829643,5.430879447400451,5.430879647077803
0_0_0_10_14_32,0,0,10,18,765,10,awgn,-22.0,303,765,765,765,765,1,1,1,1,6.64702552918433,6.647024614272439,6.647024615219533,6.647024672336999
0_0_0_10_14_32,0,0,11,19,1023,11,awgn,-22.0,303,1023,1023,1023,1023,1,1,1,1,6.496850305726744,6.496850179766982,6.4968501838297446,6.496850223789035
0_0_0_10_14_32,0,0,12,20,597,12,awgn,-22.0,303,597,597,597,597,1,1,1,1,6.252885124504846,6.252885097780741,6.252885094498723,6.252885106781402
0_0_0_10_14_32,0,0,13,21,562,13,awgn,-22.0,303,562,562,562,562,1,1,1,1,7.546863425616911,7.546864772173843,7.546864769906527,7.546864891733362
0_0_0_10_14_32,0,0,14,22,478,14,awgn,-22.0,303,478,478,478,478,1,1,1,1,7.650142813025055,7.65014240111697,7.650142402922446,7.650142390867499
0_0_0_10_14_32,0,0,15,23,267,15,awgn,-22.0,303,267,267,267,267,1,1,1,1,5.510704698843059,5.510703939445487,5.510703937496599,5.510704076252166
