dataset,target_snr_db,packet_index,symbol_index,gt_in_top_l,v3_is_error,multi_is_error,gt_energy_rank,gt_phase_rank,gt_local_phase_rank,gt_combined_rank,gt_local_combined_rank,gt_energy_score,gt_phase_score,gt_local_phase_score,gt_combined_score,gt_local_combined_score,top1_bin,gt_bin,v3_bin,multi_bin,clean_line_r2,clean_line_rmse_pi
0_0_0_10_14_16,-22.0,1,32,1,0,0,1,1,22,1,19,1.0,0.9999993070489399,0.028358901260169544,0.9999994456391519,0.22268712100813565,749,749,749,749,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,33,1,0,0,1,23,6,19,5,1.0,0.033343248272963144,0.7693328224967985,0.22667459861837053,0.8154662579974388,584,584,584,584,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,34,1,0,1,3,10,1,10,1,0.8189078843630704,0.8531799411317327,0.985958606076493,0.8463255297780002,0.9525484617338085,1018,934,934,1018,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,2,0,1,0,0,1,9,16,2,16,1.0,0.9090654735191406,0.38041308528004214,0.9272523788153124,0.5043304682240337,803,803,803,803,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,1,1,0,1,4,19,3,19,1,0.917727380463396,0.2730370862134438,0.9874007024651295,0.40197514506343424,0.9734660380647828,336,826,826,336,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,2,1,0,0,1,12,20,10,16,1.0,0.30277835359559685,0.10553126950013292,0.4422226828764775,0.28442501560010636,922,922,922,922,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,3,1,0,0,1,1,20,1,19,1.0,0.9766184935362427,0.10493955958632534,0.9812947948289943,0.2839516476690603,718,718,718,718,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,4,1,0,0,1,18,6,16,3,1.0,0.4967774532817684,0.7878014087085079,0.5974219626254147,0.8302411269668064,86,86,86,86,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,5,1,0,1,3,21,8,19,6,0.9766297454650734,0.010524822527833322,0.8900123698877742,0.20374580711528137,0.9073358450032342,109,468,468,109,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,6,1,0,0,1,5,22,4,18,1.0,0.810818705479371,0.0769192263838338,0.8486549643834969,0.2615353811070671,89,89,89,89,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,7,1,0,0,1,6,17,3,13,1.0,0.8816475921123622,0.1948415739703751,0.9053180736898898,0.3558732591763001,713,713,713,713,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,8,1,0,0,1,18,5,14,1,1.0,0.08850833097266114,0.9375315061571201,0.2708066647781289,0.9500252049256961,865,865,865,865,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,9,1,1,1,14,16,9,16,9,0.7648487315706217,0.22700915580177744,0.7775709753147394,0.33457707095554634,0.775026526565916,971,492,371,971,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,10,1,0,0,1,2,24,1,20,1.0,0.9942723398239132,0.0008494579292109838,0.9954178718591307,0.2006795663433688,765,765,765,765,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,11,1,0,0,1,18,9,16,9,1.0,0.37393920721174945,0.5405963989872951,0.49915136576939956,0.6324771191898361,1023,1023,1023,1023,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,12,1,0,1,2,19,5,19,4,0.9314454375071347,0.1597425177748516,0.9191262017031439,0.31408310172130827,0.921590048863942,677,597,597,677,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,13,1,0,0,1,2,19,1,18,1.0,0.9663864562764388,0.10673090825525239,0.9731091650211512,0.28538472660420194,562,562,562,562,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,14,1,0,0,1,7,19,6,17,1.0,0.7081681930014074,0.14904003282510037,0.766534554401126,0.3192320262600803,478,478,478,478,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,15,1,0,0,1,24,5,13,1,1.0,0.011068246587236708,0.993449835752211,0.2088545972697894,0.9947598686017689,267,267,267,267,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,16,1,0,0,1,8,14,8,12,1.0,0.5784178433783235,0.6143527462658018,0.6627342747026588,0.6914821970126415,917,917,917,917,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,17,1,0,0,1,4,23,1,19,1.0,0.9787100213959489,0.0027974185604298096,0.9829680171167592,0.20223793484834385,656,656,656,656,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,18,1,0,0,1,17,12,14,9,1.0,0.2911835468473762,0.5191484510299257,0.43294683747790097,0.6153187608239405,889,889,889,889,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,19,1,0,1,2,19,3,19,1,0.9748266098366364,0.06018239264024372,0.9964340076868528,0.24311123607952229,0.9921125281168095,706,510,510,706,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,20,1,0,1,4,10,9,10,8,0.8796847438391636,0.8649858263165422,0.2709208598690591,0.8679256098210665,0.39267363666308003,416,860,860,416,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,21,1,0,0,1,11,15,9,14,1.0,0.8325520016107368,0.07267030054077661,0.8660416012885894,0.2581362404326213,553,553,553,553,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,22,1,0,0,1,21,6,19,3,1.0,0.12418951690849944,0.7879241480411061,0.29935161352679956,0.8303393184328849,629,629,629,629,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,23,1,0,0,1,16,6,16,5,1.0,0.34475649787022333,0.7356800393848322,0.4758051982961787,0.7885440315078658,759,759,759,759,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,24,1,0,0,1,1,23,1,21,1.0,0.987682263425189,0.02559118326399612,0.9901458107401513,0.2204729466111969,874,874,874,874,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,25,1,0,1,2,18,7,16,6,0.9323269800861476,0.48126626751919194,0.5146417034406026,0.5714784100325832,0.5981787587697116,721,720,720,721,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,26,1,1,1,11,22,1,22,2,0.5738577944020379,0.027990465995350156,0.9850641314825088,0.1371639316766877,0.9028228640664147,1021,314,1021,1021,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,27,1,0,0,1,17,10,15,9,1.0,0.26127198207382507,0.6395955211569131,0.4090175856590601,0.7116764169255305,602,602,602,602,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,28,1,0,0,1,2,22,1,19,1.0,0.9968493270487024,0.014025461811738471,0.997479461638962,0.2112203694493908,7,7,7,7,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,29,1,0,0,1,8,12,3,9,1.0,0.8114608431934792,0.4098723509480338,0.8491686745547835,0.5278978807584271,610,610,610,610,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,30,0,,,,,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,2,31,1,0,0,1,6,21,5,19,1.0,0.47654797648851427,0.24254432221786887,0.5812383811908115,0.3940354577742951,912,912,912,912,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,32,1,0,0,1,1,17,1,15,1.0,0.9971140808885821,0.10737054408968016,0.9976912647108658,0.28589643527174413,768,768,768,768,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,33,1,0,0,1,7,12,4,12,1.0,0.8186962466729023,0.6031056438672646,0.854956997338322,0.6824845150938117,581,581,581,581,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,34,1,0,0,1,24,10,17,9,1.0,0.00025798175215047126,0.39994659465755483,0.2002063854017204,0.5199572757260439,93,93,93,93,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,3,0,1,0,1,4,19,12,18,12,0.8587761091039485,0.061047699755558626,0.6220568404154884,0.22059338162523662,0.6694006941531805,447,222,222,447,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,1,0,,,,,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,3,2,1,1,1,4,1,16,1,16,0.808215531480312,0.999402660524993,0.4356108271082841,0.9611652347160569,0.5101317679826897,626,871,858,626,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,3,1,0,0,1,19,4,15,1,1.0,0.13783775710005758,0.9818381127180061,0.3102702056800461,0.9854704901744049,718,718,718,718,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,4,1,0,1,14,19,14,19,14,0.7691202423881286,0.1300516020823158,0.5867742398472338,0.2578653301434784,0.6232434403554128,697,107,107,697,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,5,1,0,0,1,10,20,5,19,1.0,0.752834863222287,0.07115597159518261,0.8022678905778295,0.2569247772761461,468,468,468,468,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,6,1,0,0,1,7,16,5,14,1.0,0.8425211644370788,0.3075138892102903,0.8740169315496631,0.4460111113682323,89,89,89,89,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,7,1,0,0,1,20,4,17,1,1.0,0.12286455957783193,0.9408619067710748,0.29829164766226557,0.9526895254168599,713,713,713,713,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,8,1,0,0,1,15,10,14,10,1.0,0.39152358004617116,0.5569364546867691,0.513218864036937,0.6455491637494153,865,865,865,865,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,9,1,0,0,1,10,15,9,15,1.0,0.8375584245400001,0.16483398694887813,0.8700467396320002,0.33186718955910255,492,492,492,492,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,10,1,0,0,1,10,16,9,14,1.0,0.665147059096335,0.287932804986033,0.7321176472770681,0.4303462439888264,765,765,765,765,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,11,0,,,,,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,3,12,1,0,0,1,23,5,19,1,1.0,0.0039735546109892494,0.9636328034901438,0.2031788436887914,0.9709062427921151,597,597,597,597,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,13,1,0,1,4,5,17,5,16,0.7862490994952899,0.7561049358767586,0.3918573592872176,0.7621337686004649,0.4707357073288321,359,562,562,359,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,14,1,0,0,1,8,18,6,16,1.0,0.8349211572454401,0.05414455420299741,0.8679369257963521,0.24331564336239794,478,478,478,478,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,15,1,0,0,1,20,8,18,7,1.0,0.05973959820979974,0.8163855788591693,0.2477916785678398,0.8531084630873356,267,267,267,267,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,16,1,0,0,1,22,1,20,1,1.0,0.08966530858233451,0.990297800510272,0.2717322468658676,0.9922382404082177,917,917,917,917,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,17,1,0,0,1,9,9,9,8,1.0,0.6376598465324423,0.5679462016553518,0.7101278772259538,0.6543569613242814,656,656,656,656,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,18,1,0,0,1,2,22,1,16,1.0,0.979777055104386,0.004059735538966602,0.9838216440835088,0.2032477884311733,889,889,889,889,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,19,1,0,0,1,7,21,5,19,1.0,0.7286990840652781,0.11680775167545393,0.7829592672522225,0.29344620134036314,510,510,510,510,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,20,1,0,0,1,23,1,23,1,1.0,0.09422844689260673,0.9825428148088776,0.2753827575140854,0.9860342518471021,860,860,860,860,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,21,1,0,0,1,19,5,16,2,1.0,0.26203028795416455,0.8617930072374134,0.4096242303633317,0.8894344057899308,553,553,553,553,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,22,1,0,1,2,2,22,1,22,0.919842444023417,0.9726845522399569,0.08352268636622445,0.9621161305966489,0.250786637897663,430,629,629,430,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,23,1,0,0,1,4,22,1,18,1.0,0.9358786654758717,0.026139627890579054,0.9487029323806975,0.22091170231246327,759,759,759,759,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,24,1,1,0,1,18,8,15,7,1.0,0.11542988817971983,0.8465155277531834,0.2923439105437759,0.8772124222025468,874,874,18,874,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,25,1,0,0,1,20,5,20,1,1.0,0.13205938624653885,0.8719459684929334,0.3056475089972311,0.8975567747943467,720,720,720,720,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,26,1,0,0,1,9,18,6,15,1.0,0.5685289828346184,0.38364169618214145,0.6548231862676948,0.5069133569457132,314,314,314,314,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,27,1,0,0,1,5,17,1,15,1.0,0.9651377057410852,0.08666879755071438,0.9721101645928683,0.2693350380405715,602,602,602,602,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,28,1,0,0,1,5,18,1,15,1.0,0.8651558986399508,0.2787591770686525,0.8921247189119608,0.42300734165492204,7,7,7,7,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,29,1,0,0,1,20,3,19,1,1.0,0.11369596862006082,0.9920313106010843,0.29095677489604865,0.9936250484808675,610,610,610,610,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,30,1,0,1,3,17,14,15,14,0.939266698305188,0.2035535261596645,0.4776097031303146,0.35069616058876923,0.5699411021652894,720,778,778,720,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,31,1,0,0,1,8,19,7,18,1.0,0.6066310939051492,0.1259809474158025,0.6853048751241194,0.30078475793264203,897,897,897,897,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,32,1,0,0,1,5,22,1,19,1.0,0.9681396560457767,0.016893445207801006,0.9745117248366213,0.21351475616624083,740,740,740,740,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,33,1,0,0,1,13,9,12,2,1.0,0.4915785631817463,0.9165791200155741,0.5932628505453971,0.9332632960124594,590,590,590,590,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,34,1,0,0,1,16,22,15,18,1.0,0.15880906406465006,0.08308361663056524,0.3270472512517201,0.2664668933044522,930,930,930,930,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,5,0,1,1,1,16,10,1,10,3,0.6708116940072264,0.5727160789292629,0.9993092805831054,0.5923352019448556,0.9336097632679297,909,222,498,909,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,1,1,0,0,1,1,13,1,9,1.0,0.999630408857823,0.4502691970500473,0.9997043270862584,0.5602153576400379,826,826,826,826,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,2,1,0,0,1,13,2,13,1,1.0,0.28412775083370584,0.978751795176487,0.42730220066696467,0.9830014361411896,871,871,871,871,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,3,1,0,0,1,22,15,19,11,1.0,0.07691180789832003,0.4751907111237878,0.26152944631865604,0.5801525688990303,718,718,718,718,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,4,1,0,0,1,9,20,9,19,1.0,0.7147327637876082,0.04871431436200063,0.7717862110300866,0.23897145148960053,86,86,86,86,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,5,1,0,0,1,7,14,4,13,1.0,0.8043185192658331,0.4369643725084595,0.8434548154126664,0.5495714980067676,468,468,468,468,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,6,1,0,0,1,12,10,12,5,1.0,0.2670148832689414,0.8791357075024151,0.4136119066151531,0.9033085660019322,89,89,89,89,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,7,1,0,0,1,17,10,15,10,1.0,0.40677286923822387,0.47388689687070573,0.525418295390579,0.5791095174965646,713,713,713,713,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,8,1,0,0,1,1,24,1,20,1.0,0.9951304655993849,0.0001567135923300489,0.996104372479508,0.20012537087386406,865,865,865,865,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,9,1,0,0,1,6,19,5,17,1.0,0.7497317651916588,0.2509147021338768,0.7997854121533272,0.40073176170710145,492,492,492,492,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,10,1,0,0,1,24,1,19,1,1.0,0.0018098431094076828,0.9918342492372383,0.20144787448752616,0.9934673993897907,765,765,765,765,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,11,1,0,0,1,19,4,16,3,1.0,0.2660616801728348,0.8133294428160162,0.4128493441382679,0.8506635542528129,1023,1023,1023,1023,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,12,1,0,0,1,2,24,1,21,1.0,0.9878599174489986,0.00046546785796303114,0.990287933959199,0.20037237428637045,597,597,597,597,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,13,1,0,0,1,11,16,11,11,1.0,0.3816059327301235,0.45419529846821405,0.5052847461840988,0.5633562387745712,562,562,562,562,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,14,1,0,0,1,24,6,19,1,1.0,0.001732309838895385,0.9470347006911704,0.20138584787111632,0.9576277605529364,478,478,478,478,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,15,1,0,0,1,13,9,12,4,1.0,0.395361667970217,0.7911145355824416,0.5162893343761736,0.8328916284659533,267,267,267,267,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,16,1,0,0,1,3,18,1,16,1.0,0.9389751610909072,0.20335662955664613,0.9511801288727257,0.3626853036453169,917,917,917,917,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,17,1,1,1,5,11,19,11,19,0.7334083635904394,0.29168054495185125,0.49404194450367583,0.3800261086795689,0.5419152283210286,1,656,812,1,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,18,1,0,0,1,24,4,19,1,1.0,0.0009465881029054324,0.9644423229092541,0.20075727048232436,0.9715538583274033,889,889,889,889,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,19,1,0,0,1,18,7,15,3,1.0,0.37409922174543,0.8152923324941618,0.499279377396344,0.8522338659953295,510,510,510,510,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,20,1,0,1,2,3,20,2,20,0.976150989786303,0.9912554437322095,0.08061234383737836,0.9882345529430283,0.25972007302716327,314,860,860,314,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,21,1,0,0,1,15,14,10,12,1.0,0.35932346808575805,0.4710685045783565,0.48745877446860647,0.5768548036626853,553,553,553,553,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,22,1,0,0,1,22,4,18,1,1.0,0.02265259183216367,0.918583276845951,0.21812207346573095,0.9348666214767609,629,629,629,629,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,23,0,,,,,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,5,24,1,0,0,1,1,23,1,21,1.0,0.9822019765379458,0.03717153550657287,0.9857615812303566,0.22973722840525831,874,874,874,874,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,25,1,0,0,1,13,12,11,9,1.0,0.4550270642156813,0.5383962288646735,0.5640216513725451,0.6307169830917388,720,720,720,720,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,26,1,0,0,1,17,7,16,5,1.0,0.30989955619064047,0.7360473812838887,0.4479196449525124,0.788837905027111,314,314,314,314,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,27,0,,,,,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,5,28,1,0,0,1,7,21,5,19,1.0,0.7934906134660519,0.07399822363504943,0.8347924907728415,0.25919857890803955,7,7,7,7,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,29,0,,,,,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,5,30,1,0,0,1,15,2,15,1,1.0,0.22522243113858204,0.9841959539440304,0.38017794491086565,0.9873567631552242,823,823,823,823,0.9993232267115175,0.1348282904141673
