dataset,target_snr_db,packet_index,symbol_index,gt_in_top_l,v3_is_error,multi_is_error,gt_energy_rank,gt_phase_rank,gt_combined_rank,gt_energy_score,gt_phase_score,gt_combined_score,top1_bin,gt_bin,v3_bin,multi_bin,clean_line_r2,clean_line_rmse_pi
0_0_0_10_14_16,-22.0,1,29,1,0,0,1,8,2,1.0,0.9320682944939481,0.9456546355951585,610,610,610,610,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,30,1,0,0,1,14,14,1.0,0.2996652463727779,0.43973219709822237,807,807,807,807,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,31,1,0,0,1,16,13,1.0,0.2257889640044511,0.3806311712035609,897,897,897,897,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,32,1,0,0,1,1,1,1.0,0.9999993070489399,0.9999994456391519,749,749,749,749,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,33,1,0,0,1,23,19,1.0,0.033343248272963144,0.22667459861837053,584,584,584,584,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,34,1,0,1,3,10,10,0.8189078843630704,0.8531799411317327,0.8463255297780002,1018,934,934,1018,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,2,0,1,0,0,1,9,2,1.0,0.9090654735191406,0.9272523788153124,803,803,803,803,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,1,1,0,1,4,19,19,0.917727380463396,0.2730370862134438,0.40197514506343424,336,826,826,336,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,2,1,0,0,1,12,10,1.0,0.30277835359559685,0.4422226828764775,922,922,922,922,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,3,1,0,0,1,1,1,1.0,0.9766184935362427,0.9812947948289943,718,718,718,718,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,4,1,0,0,1,18,16,1.0,0.4967774532817684,0.5974219626254147,86,86,86,86,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,5,1,0,1,3,21,19,0.9766297454650734,0.010524822527833322,0.20374580711528137,109,468,468,109,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,6,1,0,0,1,5,4,1.0,0.810818705479371,0.8486549643834969,89,89,89,89,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,7,1,0,0,1,6,3,1.0,0.8816475921123622,0.9053180736898898,713,713,713,713,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,8,1,0,0,1,18,14,1.0,0.08850833097266114,0.2708066647781289,865,865,865,865,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,9,1,1,1,14,16,16,0.7648487315706217,0.22700915580177744,0.33457707095554634,971,492,371,971,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,10,1,0,0,1,2,1,1.0,0.9942723398239132,0.9954178718591307,765,765,765,765,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,11,1,0,0,1,18,16,1.0,0.37393920721174945,0.49915136576939956,1023,1023,1023,1023,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,12,1,0,1,2,19,19,0.9314454375071347,0.1597425177748516,0.31408310172130827,677,597,597,677,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,13,1,0,0,1,2,1,1.0,0.9663864562764388,0.9731091650211512,562,562,562,562,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,14,1,0,0,1,7,6,1.0,0.7081681930014074,0.766534554401126,478,478,478,478,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,15,1,0,0,1,24,13,1.0,0.011068246587236708,0.2088545972697894,267,267,267,267,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,16,1,0,0,1,8,8,1.0,0.5784178433783235,0.6627342747026588,917,917,917,917,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,17,1,0,0,1,4,1,1.0,0.9787100213959489,0.9829680171167592,656,656,656,656,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,18,1,0,0,1,17,14,1.0,0.2911835468473762,0.43294683747790097,889,889,889,889,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,19,1,0,1,2,19,19,0.9748266098366364,0.06018239264024372,0.24311123607952229,706,510,510,706,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,20,1,0,1,4,10,10,0.8796847438391636,0.8649858263165422,0.8679256098210665,416,860,860,416,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,21,1,0,0,1,11,9,1.0,0.8325520016107368,0.8660416012885894,553,553,553,553,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,22,1,0,0,1,21,19,1.0,0.12418951690849944,0.29935161352679956,629,629,629,629,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,23,1,0,0,1,16,16,1.0,0.34475649787022333,0.4758051982961787,759,759,759,759,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,24,1,0,0,1,1,1,1.0,0.987682263425189,0.9901458107401513,874,874,874,874,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,25,1,0,1,2,18,16,0.9323269800861476,0.48126626751919194,0.5714784100325832,721,720,720,721,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,26,1,1,1,11,22,22,0.5738577944020379,0.027990465995350156,0.1371639316766877,1021,314,1021,1021,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,27,1,0,0,1,17,15,1.0,0.26127198207382507,0.4090175856590601,602,602,602,602,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,28,1,0,0,1,2,1,1.0,0.9968493270487024,0.997479461638962,7,7,7,7,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,29,1,0,0,1,8,3,1.0,0.8114608431934792,0.8491686745547835,610,610,610,610,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,30,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,2,31,1,0,0,1,6,5,1.0,0.47654797648851427,0.5812383811908115,912,912,912,912,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,32,1,0,0,1,1,1,1.0,0.9971140808885821,0.9976912647108658,768,768,768,768,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,33,1,0,0,1,7,4,1.0,0.8186962466729023,0.854956997338322,581,581,581,581,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,2,34,1,0,0,1,24,17,1.0,0.00025798175215047126,0.2002063854017204,93,93,93,93,0.9995380185105024,0.12012704756268058
0_0_0_10_14_16,-22.0,3,0,1,0,1,4,19,18,0.8587761091039485,0.061047699755558626,0.22059338162523662,447,222,222,447,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,1,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,3,2,1,1,1,4,1,1,0.808215531480312,0.999402660524993,0.9611652347160569,626,871,858,626,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,3,1,0,0,1,19,15,1.0,0.13783775710005758,0.3102702056800461,718,718,718,718,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,4,1,0,1,14,19,19,0.7691202423881286,0.1300516020823158,0.2578653301434784,697,107,107,697,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,5,1,0,0,1,10,5,1.0,0.752834863222287,0.8022678905778295,468,468,468,468,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,6,1,0,0,1,7,5,1.0,0.8425211644370788,0.8740169315496631,89,89,89,89,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,7,1,0,0,1,20,17,1.0,0.12286455957783193,0.29829164766226557,713,713,713,713,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,8,1,0,0,1,15,14,1.0,0.39152358004617116,0.513218864036937,865,865,865,865,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,9,1,0,0,1,10,9,1.0,0.8375584245400001,0.8700467396320002,492,492,492,492,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,10,1,0,0,1,10,9,1.0,0.665147059096335,0.7321176472770681,765,765,765,765,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,11,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,3,12,1,0,0,1,23,19,1.0,0.0039735546109892494,0.2031788436887914,597,597,597,597,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,13,1,0,1,4,5,5,0.7862490994952899,0.7561049358767586,0.7621337686004649,359,562,562,359,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,14,1,0,0,1,8,6,1.0,0.8349211572454401,0.8679369257963521,478,478,478,478,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,15,1,0,0,1,20,18,1.0,0.05973959820979974,0.2477916785678398,267,267,267,267,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,16,1,0,0,1,22,20,1.0,0.08966530858233451,0.2717322468658676,917,917,917,917,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,17,1,0,0,1,9,9,1.0,0.6376598465324423,0.7101278772259538,656,656,656,656,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,18,1,0,0,1,2,1,1.0,0.979777055104386,0.9838216440835088,889,889,889,889,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,19,1,0,0,1,7,5,1.0,0.7286990840652781,0.7829592672522225,510,510,510,510,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,20,1,0,0,1,23,23,1.0,0.09422844689260673,0.2753827575140854,860,860,860,860,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,21,1,0,0,1,19,16,1.0,0.26203028795416455,0.4096242303633317,553,553,553,553,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,22,1,0,1,2,2,1,0.919842444023417,0.9726845522399569,0.9621161305966489,430,629,629,430,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,23,1,0,0,1,4,1,1.0,0.9358786654758717,0.9487029323806975,759,759,759,759,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,24,1,1,0,1,18,15,1.0,0.11542988817971983,0.2923439105437759,874,874,18,874,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,25,1,0,0,1,20,20,1.0,0.13205938624653885,0.3056475089972311,720,720,720,720,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,26,1,0,0,1,9,6,1.0,0.5685289828346184,0.6548231862676948,314,314,314,314,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,27,1,0,0,1,5,1,1.0,0.9651377057410852,0.9721101645928683,602,602,602,602,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,28,1,0,0,1,5,1,1.0,0.8651558986399508,0.8921247189119608,7,7,7,7,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,29,1,0,0,1,20,19,1.0,0.11369596862006082,0.29095677489604865,610,610,610,610,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,30,1,0,1,3,17,15,0.939266698305188,0.2035535261596645,0.35069616058876923,720,778,778,720,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,31,1,0,0,1,8,7,1.0,0.6066310939051492,0.6853048751241194,897,897,897,897,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,32,1,0,0,1,5,1,1.0,0.9681396560457767,0.9745117248366213,740,740,740,740,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,33,1,0,0,1,13,12,1.0,0.4915785631817463,0.5932628505453971,590,590,590,590,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,3,34,1,0,0,1,16,15,1.0,0.15880906406465006,0.3270472512517201,930,930,930,930,0.9993029294132528,0.1267639303088848
0_0_0_10_14_16,-22.0,5,0,1,1,1,16,10,10,0.6708116940072264,0.5727160789292629,0.5923352019448556,909,222,498,909,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,1,1,0,0,1,1,1,1.0,0.999630408857823,0.9997043270862584,826,826,826,826,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,2,1,0,0,1,13,13,1.0,0.28412775083370584,0.42730220066696467,871,871,871,871,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,3,1,0,0,1,22,19,1.0,0.07691180789832003,0.26152944631865604,718,718,718,718,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,4,1,0,0,1,9,9,1.0,0.7147327637876082,0.7717862110300866,86,86,86,86,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,5,1,0,0,1,7,4,1.0,0.8043185192658331,0.8434548154126664,468,468,468,468,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,6,1,0,0,1,12,12,1.0,0.2670148832689414,0.4136119066151531,89,89,89,89,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,7,1,0,0,1,17,15,1.0,0.40677286923822387,0.525418295390579,713,713,713,713,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,8,1,0,0,1,1,1,1.0,0.9951304655993849,0.996104372479508,865,865,865,865,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,9,1,0,0,1,6,5,1.0,0.7497317651916588,0.7997854121533272,492,492,492,492,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,10,1,0,0,1,24,19,1.0,0.0018098431094076828,0.20144787448752616,765,765,765,765,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,11,1,0,0,1,19,16,1.0,0.2660616801728348,0.4128493441382679,1023,1023,1023,1023,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,12,1,0,0,1,2,1,1.0,0.9878599174489986,0.990287933959199,597,597,597,597,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,13,1,0,0,1,11,11,1.0,0.3816059327301235,0.5052847461840988,562,562,562,562,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,14,1,0,0,1,24,19,1.0,0.001732309838895385,0.20138584787111632,478,478,478,478,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,15,1,0,0,1,13,12,1.0,0.395361667970217,0.5162893343761736,267,267,267,267,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,16,1,0,0,1,3,1,1.0,0.9389751610909072,0.9511801288727257,917,917,917,917,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,17,1,1,1,5,11,11,0.7334083635904394,0.29168054495185125,0.3800261086795689,1,656,812,1,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,18,1,0,0,1,24,19,1.0,0.0009465881029054324,0.20075727048232436,889,889,889,889,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,19,1,0,0,1,18,15,1.0,0.37409922174543,0.499279377396344,510,510,510,510,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,20,1,0,1,2,3,2,0.976150989786303,0.9912554437322095,0.9882345529430283,314,860,860,314,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,21,1,0,0,1,15,10,1.0,0.35932346808575805,0.48745877446860647,553,553,553,553,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,22,1,0,0,1,22,18,1.0,0.02265259183216367,0.21812207346573095,629,629,629,629,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,23,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,5,24,1,0,0,1,1,1,1.0,0.9822019765379458,0.9857615812303566,874,874,874,874,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,25,1,0,0,1,13,11,1.0,0.4550270642156813,0.5640216513725451,720,720,720,720,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,26,1,0,0,1,17,16,1.0,0.30989955619064047,0.4479196449525124,314,314,314,314,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,27,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,5,28,1,0,0,1,7,5,1.0,0.7934906134660519,0.8347924907728415,7,7,7,7,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,29,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,5,30,1,0,0,1,15,15,1.0,0.22522243113858204,0.38017794491086565,823,823,823,823,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,31,1,0,0,1,22,17,1.0,0.009661084942233888,0.20772886795378712,913,913,913,913,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,32,1,0,0,1,17,17,1.0,0.24979130308143732,0.3998330424651499,741,741,741,741,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,33,1,0,1,3,3,3,0.9063094694208867,0.9196836349216394,0.9170088018214889,731,581,581,731,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,5,34,1,0,0,1,4,3,1.0,0.6967160576313455,0.7573728461050764,91,91,91,91,0.9993232267115175,0.1348282904141673
0_0_0_10_14_16,-22.0,6,0,1,0,0,1,8,1,1.0,0.9513509592928115,0.9610807674342492,803,803,803,803,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,1,1,0,0,1,20,19,1.0,0.20672130376104536,0.36537704300883633,826,826,826,826,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,2,1,0,0,1,12,10,1.0,0.12375525943510729,0.2990042075480859,871,871,871,871,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,3,1,0,0,1,10,4,1.0,0.8335685807386365,0.8668548645909093,718,718,718,718,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,4,1,0,0,1,5,1,1.0,0.9255361262735844,0.9404289010188676,107,107,107,107,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,5,1,0,0,1,21,18,1.0,0.027681909679535932,0.22214552774362875,468,468,468,468,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,6,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,6,7,1,0,0,1,2,1,1.0,0.9967304559473864,0.9973843647579093,713,713,713,713,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,8,1,0,0,1,18,16,1.0,0.266393892920802,0.4131151143366416,865,865,865,865,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,9,1,0,0,1,19,15,1.0,0.07028200969910914,0.2562256077592873,492,492,492,492,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,10,1,0,0,1,4,1,1.0,0.9236286991879171,0.9389029593503337,765,765,765,765,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,11,1,0,0,1,9,8,1.0,0.7973451803891406,0.8378761443113125,1023,1023,1023,1023,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,12,1,0,1,2,19,18,0.8989557099231529,0.06955267709365409,0.23543328365955385,296,597,597,296,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,13,1,0,0,1,18,18,1.0,0.20879054778263173,0.36703243822610543,562,562,562,562,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,14,1,0,0,1,2,1,1.0,0.9992222495908194,0.9993777996726556,478,478,478,478,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,15,1,0,1,3,13,12,0.8411077781794342,0.5698637049164567,0.6241125195690522,266,267,267,266,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,16,1,0,0,1,23,20,1.0,0.0023770087950617524,0.20190160703604942,917,917,917,917,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,17,1,0,0,1,7,4,1.0,0.8544978034671218,0.8835982427736975,656,656,656,656,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,18,1,0,0,1,8,1,1.0,0.918756898772062,0.9350055190176496,889,889,889,889,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,19,1,0,0,1,18,16,1.0,0.24197471142539145,0.3935797691403132,510,510,510,510,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,20,1,0,0,1,21,13,1.0,0.11945307288514684,0.2955624583081175,860,860,860,860,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,21,1,0,0,1,10,9,1.0,0.7285451844369681,0.7828361475495746,553,553,553,553,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,22,1,0,0,1,4,1,1.0,0.9567048486153396,0.9653638788922716,629,629,629,629,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,23,1,0,1,2,22,20,0.9072886100899571,0.06560936078546575,0.23394521064636403,245,759,759,245,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,24,1,0,1,2,20,18,0.9922237405878717,0.15196009532391574,0.320012824376707,347,874,874,347,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,25,1,0,0,1,10,7,1.0,0.7841184622242245,0.8272947697793798,720,720,720,720,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,26,1,0,0,1,5,2,1.0,0.8934607587314973,0.9147686069851979,314,314,314,314,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,27,1,0,0,1,22,22,1.0,0.016236029203685942,0.21298882336294878,602,602,602,602,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,28,1,0,0,1,20,16,1.0,0.25541837567178627,0.40433470053742904,7,7,7,7,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,29,1,0,0,1,1,1,1.0,0.8350698344841692,0.8680558675873353,610,610,610,610,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,30,1,0,0,1,11,10,1.0,0.5110447395149837,0.6088357916119871,791,791,791,791,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,31,1,0,1,5,20,17,0.8945211940115224,0.2461504828373085,0.3758246250721513,515,928,928,515,0.999375223348867,0.14092329519974578
