packet_index,payload_symbol_index,gt_bin,bank_kind,pattern_count,savaux_selected_bin,savaux_ok,savaux_gt_rank,savaux_gt_power,savaux_gt_margin_db,savaux_gt_floor_db,plain_coherent_selected_bin,plain_coherent_ok,plain_coherent_gt_rank,plain_coherent_gt_power,plain_coherent_gt_margin_db,plain_coherent_gt_floor_db,lora_coherent_selected_bin,lora_coherent_ok,lora_coherent_gt_rank,lora_coherent_gt_power,lora_coherent_gt_margin_db,lora_coherent_gt_floor_db,lora_mean_power_selected_bin,lora_mean_power_ok,lora_mean_power_gt_rank,lora_mean_power_gt_power,lora_mean_power_gt_margin_db,lora_mean_power_gt_floor_db,lora_best_power_selected_bin,lora_best_power_ok,lora_best_power_gt_rank,lora_best_power_gt_power,lora_best_power_gt_margin_db,lora_best_power_gt_floor_db,lora_stable_power_selected_bin,lora_stable_power_ok,lora_stable_power_gt_rank,lora_stable_power_gt_power,lora_stable_power_gt_margin_db,lora_stable_power_gt_floor_db,lora_adaptive_gls_selected_bin,lora_adaptive_gls_ok,lora_adaptive_gls_gt_rank,lora_adaptive_gls_gt_power,lora_adaptive_gls_gt_margin_db,lora_adaptive_gls_gt_floor_db,dataset,snr_db,seed
1,3,718,fixed,4,474,False,9,0.4064201421732747,-0.8963790836371741,8.336174566533582,573,False,622,0.0023440514150814915,-11.41127903592846,-1.6467589601687715,474,False,9,0.025401259853548856,-0.8963787834485692,8.33617281642136,469,False,94,0.035051618917364996,-2.6743501932287823,2.8455966361420866,469,False,189,0.05989835645542454,-3.912103522863582,2.215463659889672,683,False,9,0.29452515917731814,-1.0265181684710492,13.405817664001647,474,False,7,4.910207095128321,-1.0271592966724032,8.464791814263835,0_0_0_10_14_16,-25.0,42
1,4,107,fixed,4,624,False,2,0.5597135150518149,-0.5369096497810573,10.021824770378574,107,True,1,0.038170364609272686,0.6952397064547787,10.392434925217625,624,False,2,0.03498210071198571,-0.5369087324762442,10.021821771506632,886,False,10,0.052163376800101205,-1.8541221667790242,4.563878032726728,886,False,60,0.08357677011633045,-3.422421353172216,3.6484798688106808,624,False,2,0.37535826387229076,-1.362875376996454,15.245631057847373,624,False,2,6.749083245407836,-0.6605039596679536,10.046708123492174,0_0_0_10_14_16,-25.0,42
1,5,468,fixed,4,468,True,1,1.3545455958013832,3.70653383793899,13.975812799675122,83,False,21,0.01970220873753939,-3.2253523345605934,7.259868836730296,468,True,1,0.08465911698873016,3.7065338394502434,13.975815363335926,468,True,1,0.10936769317480137,2.226087562382158,7.715372757568221,468,True,1,0.2495589014720793,1.4639864586574585,8.208782534291233,468,True,1,1.0485238440408091,3.9057815244012932,19.77809567965233,468,True,1,16.000903227808713,3.470247877171518,13.94656137128768,0_0_0_10_14_16,-25.0,42
1,6,89,fixed,4,89,True,1,0.9455819487659802,1.0416768788528876,11.614925547707758,89,True,1,0.049166926786633265,1.4208287075647044,11.276898304660484,89,True,1,0.05909887619066885,1.041676660777187,11.614926747575748,342,False,2,0.07005960543090489,-0.6173649498951645,5.540639745166289,342,False,5,0.1412957417618611,-0.732659779093947,5.4740373543170495,89,True,1,0.7976469489735499,0.6947762337240844,17.42654923781349,89,True,1,10.413551042698629,0.9806831723897129,11.635841599599797,0_0_0_10_14_16,-25.0,42
1,7,713,fixed,4,713,True,1,0.649796074392853,0.1355638725972284,10.664704219598171,998,False,32,0.01697599914953284,-3.622896799144857,6.739590102501114,713,True,1,0.04061225712342441,0.1355635843345477,10.66470078001614,485,False,20,0.05014379280352568,-1.4011283888803452,4.288050869586952,493,False,25,0.10769578607926593,-2.102750715562845,4.611047754658609,713,True,1,0.526280198915844,0.3242752518338359,16.74528589743384,713,True,1,7.794775456575243,0.20364471274142404,10.648787271797154,0_0_0_10_14_16,-25.0,42
1,8,865,fixed,4,448,False,3,0.5386352096977589,-0.27976002084945906,9.930588602287262,265,False,41,0.017082433868545518,-2.742112168653451,6.9785590663644514,448,False,3,0.03366469356234925,-0.2797612647467049,9.930588968886276,209,False,17,0.049850799803919564,-1.6564302781380231,4.318904500733497,654,False,8,0.13492678684317358,-1.1268152022926856,5.584691841058385,448,False,4,0.36374520263847526,-1.0145675654608661,15.126570834146483,448,False,3,6.727647535679612,-0.1881507190693736,10.053207685033655,0_0_0_10_14_16,-25.0,42
1,9,492,fixed,4,740,False,5,0.5261495163587462,-1.6801799512443312,9.779703730292432,167,False,942,0.0005005641501568406,-17.779872380943843,-8.556493833886186,740,False,5,0.03288434777205319,-1.6801791608793615,9.779704915346331,740,False,6,0.052465655301594014,-1.1235693299320721,4.533258895818695,740,False,15,0.12267851512482064,-0.7695010738785599,5.195957184246003,740,False,7,0.3297792351316143,-2.2367897821916207,14.714143737649989,740,False,4,6.880446607528691,-1.4133859107632394,9.974156681151364,0_0_0_10_14_16,-25.0,42
1,10,765,fixed,4,765,True,1,0.8030025533167304,2.0717466126537176,11.549354679440683,416,False,68,0.012914421495383998,-3.2407500652387613,5.8020599502333265,765,True,1,0.05018766303578539,2.071746555892244,11.549353596820724,917,False,2,0.06658637625775304,-0.15029056157115467,5.525280005528365,643,False,9,0.12157930675415701,-1.899446717891302,5.0420771803179,765,True,1,0.6052412494521789,1.2131906663330498,17.361690362724296,765,True,1,10.67917522314526,2.1486936804804606,11.706905360423587,0_0_0_10_14_16,-25.0,42
1,11,1023,fixed,4,1023,True,1,0.954993874556326,2.679260730705473,12.348562375949562,1023,True,1,0.06052556440923951,2.9545738920677005,12.526142533076747,1023,True,1,0.05968711386375107,2.67926070277079,12.348561980016754,1023,True,1,0.07086771384230549,0.21138986448067842,5.81971865453387,250,False,6,0.1350401071121248,-2.0716048869312313,5.588159444282077,1023,True,1,0.8043271757949779,2.9854301905020715,18.67092520247712,1023,True,1,11.977260977161126,2.684126728208071,12.410374903391988,0_0_0_10_14_16,-25.0,42
1,12,597,fixed,4,597,True,1,0.5775867581172776,0.09096831625048296,9.96216302419484,504,False,904,0.0007302850512730481,-16.82909786207654,-7.0816927264155405,597,True,1,0.03609916554124236,0.0909668425055351,9.962165350310311,56,False,36,0.04143227284431515,-1.6692607633682879,3.383118632227849,56,False,154,0.06738028707860157,-3.898483637128183,2.463545723970895,597,True,1,0.5032405553528777,0.9165857583787306,16.160663708952296,157,False,2,6.739081864409991,-0.22579470829548806,9.873469725101872,0_0_0_10_14_16,-25.0,42
