payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index,packet_timing_tau0,packet_timing_slope
9,405,405,405,1,1,0,1,1,1,1,1,0.05285126103929583,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
10,765,765,765,1,1,0,1,1,1,1,1,0.05121297322643518,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
11,1023,1023,1023,1,1,0,1,1,1,1,1,0.06516026706498335,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
12,597,597,597,1,1,0,1,1,1,1,1,0.05021740873803226,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
13,562,562,562,1,1,0,1,1,1,1,1,0.07213855142585361,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
14,478,478,478,1,1,0,1,1,1,1,1,0.06563605841190083,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
15,267,267,267,1,1,0,1,1,1,1,1,0.02866129977525909,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
16,917,917,917,1,1,0,1,1,1,1,1,0.04907210493536193,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
17,656,656,656,1,1,0,1,1,1,1,1,0.020076031701430838,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
18,889,889,889,1,1,0,1,1,1,1,1,0.06614615484844541,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
19,510,510,510,1,1,0,1,1,1,1,1,0.09678711048336351,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
20,860,860,860,1,1,0,1,1,1,1,1,0.034768120348574606,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
21,553,553,553,1,1,0,1,1,1,1,1,0.017286577679403496,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
22,629,629,629,1,1,0,1,1,1,1,1,0.03507082874227664,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
23,759,759,759,1,1,0,1,1,1,1,1,0.0503979194350262,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
24,874,874,874,1,1,0,1,1,1,1,1,0.04566168006245089,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
25,720,720,720,1,1,0,1,1,1,1,1,0.10293320760736616,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
26,314,314,314,1,1,0,1,1,1,1,1,0.08693270797299497,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
27,602,602,85,1,7,-6,1,1,1,0,1,0.035405779556780426,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
28,7,7,7,1,1,0,1,1,1,1,1,0.09348024290966178,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
29,610,610,610,1,1,0,1,1,1,1,1,0.07504480449241888,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
30,842,842,842,1,1,0,1,1,1,1,1,0.06870612277192883,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
