dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,savaux_top1_raw_bin,phase_line_raw_bin,gt_symbol,savaux_top1_symbol,phase_line_symbol,gt_in_stage1_top40_raw,gt_in_actual_viterbi_candidates_raw,stage1_topk_size,actual_viterbi_candidate_count,effective_top_l,hard_anchor,high_confidence,pre_hard_anchor_count,hard_anchor_rmse_pi,category,gt_local_score,selected_local_score,local_score_delta_gt_minus_selected,lock_active
0_0_0_10_14_16,-26.0,42,2,17,656,656,656,655,655,655,1,1,40,16,16,0,0,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,1.0417225730833513,1.0417225730833513,0.0,0
0_0_0_10_14_16,-26.0,42,2,18,889,889,889,888,888,888,1,1,40,16,16,0,0,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,1.0418344500014596,1.0418344500014596,0.0,0
0_0_0_10_14_16,-26.0,42,2,19,510,510,510,509,509,509,1,1,40,4,16,0,1,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,1.0205698208577514,1.0205698208577514,0.0,1
0_0_0_10_14_16,-26.0,42,2,20,860,38,739,859,37,738,1,1,40,16,16,0,0,2,4.9977595182166055e-17,E1_gt_in_candidates_local_score_loss,0.7368699390638198,0.9298617740373055,-0.1929918349734857,0
0_0_0_10_14_16,-26.0,42,2,21,553,529,397,552,528,396,1,1,40,16,16,0,0,2,4.9977595182166055e-17,E1_gt_in_candidates_local_score_loss,1.0234151921252062,1.0398784333329836,-0.016463241207777424,0
0_0_0_10_14_16,-26.0,42,2,22,629,314,314,628,313,313,1,1,40,16,16,0,0,2,4.9977595182166055e-17,E1_gt_in_candidates_local_score_loss,0.8655380263468467,0.9255120937171384,-0.05997406737029165,0
0_0_0_10_14_16,-26.0,42,2,23,759,276,276,758,275,275,1,1,40,4,16,0,1,2,4.9977595182166055e-17,E1_gt_in_candidates_local_score_loss,0.7692961054748624,1.0474011207816218,-0.27810501530675946,1
0_0_0_10_14_16,-26.0,42,2,24,874,931,351,873,930,350,1,1,40,16,16,0,0,2,4.9977595182166055e-17,E1_gt_in_candidates_local_score_loss,0.8920094207577394,0.9642250051205077,-0.07221558436276831,0
0_0_0_10_14_16,-26.0,42,2,25,720,720,720,719,719,719,1,1,40,4,16,0,1,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,0.9049307997698048,0.9049307997698048,0.0,1
0_0_0_10_14_16,-26.0,42,2,26,314,839,699,313,838,698,0,0,40,16,16,0,0,2,4.9977595182166055e-17,D_stage1_top40_miss,,0.8892553617032011,,0
