dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_bin,selected_bin,gt_symbol,selected_symbol,selected_local_score,gt_local_score,selected_minus_gt_local_score,selected_energy,gt_energy,selected_energy_score,gt_energy_score,selected_minus_gt_energy_db,selected_tau_hat,gt_tau_hat,selected_minus_gt_tau_hat,expected_tau,selected_tau_residual,gt_tau_residual,selected_minus_gt_abs_tau_residual,selected_tau_gain_db,gt_tau_gain_db,selected_minus_gt_tau_gain_db,selected_corrected_coherence,gt_corrected_coherence,selected_minus_gt_corrected_coherence,selected_tau_local_step_abs_mean,gt_tau_local_step_abs_mean,selected_minus_gt_tau_local_step_abs_mean,selected_tau_local_second_abs,gt_tau_local_second_abs,selected_minus_gt_tau_local_second_abs,selected_rank,gt_rank,top1_bin,top1_margin_db,top1_peak_to_median_db,top1_coherence_score,candidate_count,hard_anchor,high_confidence
0_0_0_10_14_16,-26.0,42,2,2,922,358,921,357,0.8975591183268308,0.7244766030465453,0.1730825152802855,1.0126569090798512,0.8101063906316455,1.0,0.7999811025510576,0.9692027195147145,0.09375,-0.0625,0.15625,-0.03930935732366414,0.13305935732366414,-0.02319064267633586,0.10986871464732828,0.5071854317433335,0.10306712623728975,0.4041183055060438,0.8993575074225959,0.9630184555087441,-0.0636609480861482,0.125,0.03125,0.09375,0.25,0.0625,0.1875,1,2,358,0.9692027195147145,10.72322759598812,0.9090168729694154,16,0,0
0_0_0_10_14_16,-26.0,42,2,8,865,247,864,246,0.9051138882824168,0.6748133687117961,0.2303005195706207,1.2775097436033889,0.7551760517050212,1.0,0.5911313439965985,2.283160121214837,-0.0625,-0.3125,0.25,-0.0766452042989666,0.014145204298966596,-0.2358547957010334,-0.2217095914020668,0.12716226584703613,0.9217761336468923,-0.7946138677998561,0.942915416496918,0.995954176825496,-0.053038760328578016,0.125,0.09375,0.03125,0.25,0.1875,0.0625,1,2,247,2.283160121214837,12.058910337611959,0.9302192492227285,4,0,1
0_0_0_10_14_16,-26.0,42,2,9,492,430,491,429,0.8127859564287532,0.784814704126685,0.027971252302068206,0.6108348282742213,0.6137471243934591,0.8428706981455815,0.8468892788643066,-0.020656788481774744,-0.1875,-0.25,0.0625,-0.08286784546151699,-0.10463215453848301,-0.167132154538483,-0.0625,1.6542948657677112,2.1830346532786162,-0.528739787510905,0.9002554009626388,0.9317014875103508,-0.03144608654771197,0.125,0.125,0.0,0.25,0.125,0.125,5,4,884,0.009360871107256127,9.619113710531645,0.8398178104291847,16,0,0
0_0_0_10_14_16,-26.0,42,2,15,267,986,266,985,0.824233807065455,0.8067433484805241,0.017490458584930924,0.7678276921281082,0.6621994888060421,1.0,0.8624324123693593,0.6427492997663202,0.0625,-0.21875,0.28125,-0.12020369243681939,0.1827036924368194,-0.09854630756318061,0.08415738487363877,0.05464589536489071,0.49650942263797904,-0.4418635272730883,0.8980227277327829,0.8550611359121693,0.042961591820613654,0.265625,0.171875,0.09375,0.46875,0.03125,0.4375,1,3,986,0.4989653349455312,10.180404227398075,0.8694849386932556,16,0,0
0_0_0_10_14_16,-26.0,42,2,20,860,739,859,738,0.8291726582480458,0.6545419448691477,0.17463071337889802,0.6495581661307739,0.5232799601526636,0.8177696187464669,0.6587900450250942,0.9388394396301281,0.0625,0.1875,-0.125,0.0986831017504286,-0.0361831017504286,0.0888168982495714,-0.05263379649914279,0.1878916106620639,0.5635913547739748,-0.3756997441119109,0.9930351208206316,0.8950382650393576,0.09799685578127404,0.046875,0.0625,-0.015625,0.09375,0.125,-0.03125,4,10,38,0.3338568316031264,10.017133685645147,0.8922083848015927,16,0,0
0_0_0_10_14_16,-26.0,42,2,21,553,397,552,396,0.9335194806462218,0.9169109784708749,0.01660850217534693,0.8787628694244951,0.8504223228990817,0.9903994029050911,0.9584585217716455,0.1423704674438332,0.125,0.15625,-0.03125,0.09246046058787816,0.03253953941212184,0.06378953941212184,-0.03125,0.6627282022792762,0.8970454060950263,-0.23431720381575005,0.9229376470850987,0.9638605408060044,-0.04092289372090563,0.109375,0.0625,0.046875,0.21875,0.0625,0.15625,2,3,529,0.041896301526146096,10.311350705965046,0.9520631010930571,16,0,0
0_0_0_10_14_16,-26.0,42,2,22,629,314,628,313,0.8240230565239802,0.7727045250960901,0.05131853142789011,1.1172783198620806,0.8804823066757308,1.0,0.7880599587615909,1.0344073838776588,-0.03125,0.0625,-0.09375,0.08623781942532771,-0.11748781942532771,-0.02373781942532771,0.09375,0.00013595745480087356,0.2414724359451216,-0.24133647849032072,0.9970790063944587,0.9341635993484251,0.0629154070460336,0.140625,0.046875,0.09375,0.28125,0.09375,0.1875,1,2,314,1.0344073838776588,11.229603368064618,0.9972093294157375,16,0,0
0_0_0_10_14_16,-26.0,42,2,23,759,276,758,275,0.9394732079845555,0.6816763146153664,0.2577968933691891,1.2579778069280678,0.7586357943233146,1.0,0.6030597599935991,2.196396494693132,0.09375,0.0625,0.03125,0.08001517826277738,0.013734821737222624,-0.017515178262777376,-0.003780356525554751,0.22329372976335843,0.17337126899703098,0.04992246076632745,0.9811950282084502,0.9367100642873755,0.044484963921074705,0.15625,0.0625,0.09375,0.3125,0.125,0.1875,1,2,276,2.196396494693132,11.842739777981908,0.9657790543113314,4,0,1
0_0_0_10_14_16,-26.0,42,2,24,874,351,873,350,0.8642260887065447,0.7977709255440455,0.06645516316249922,0.8853175384807663,0.7984429621165532,0.8885298621907508,0.8013400664286157,0.44855170693209934,-0.09375,-0.0625,-0.03125,0.07379253710022693,-0.16754253710022693,-0.13629253710022693,0.03125,0.23107975308397213,0.0815958563592297,0.14948389672474244,0.9324315618852135,0.901051269680831,0.03138029220438243,0.1875,0.140625,0.046875,0.375,0.28125,0.09375,2,3,931,0.5132797161025662,10.948738468341727,0.9199696790852819,16,0,0
0_0_0_10_14_16,-26.0,42,3,0,222,685,221,684,0.7960468683485414,0.5374761668618977,0.25857070148664374,0.9237887950013288,0.5691747815927215,1.0,0.6161308566119843,2.103270406454096,0.0,-0.125,0.125,-0.024008879160738295,0.02400887916073824,-0.1009911208392617,-0.07698224167852347,0.0,0.46660846830918484,-0.46660846830918484,0.9736457978493005,0.9500117480041295,0.023634049845171035,0.03125,0.28125,-0.25,nan,nan,nan,1,6,685,0.9297162688239137,10.496383362379362,0.9736457889902763,16,0,0
0_0_0_10_14_16,-26.0,42,3,2,871,1004,870,1003,0.7843055079221313,0.6598747086370761,0.12443079928505518,0.9699910219368668,0.7781040658482006,1.0,0.8021765647835497,0.9573002988099228,-0.03125,-0.09375,0.0625,-0.036428472430887815,0.0051784724308878705,-0.057321527569112185,-0.052143055138224315,0.01255312986860676,0.3150966943259726,-0.30254356445736585,0.8947573001610302,0.9063729082788271,-0.011615608117796938,0.078125,0.21875,-0.140625,0.15625,0.4375,-0.28125,1,2,1004,0.9573002988099228,10.81522434195758,0.8953700528142088,16,0,0
0_0_0_10_14_16,-26.0,42,3,3,718,604,717,603,0.7955975739679452,0.6001619744144299,0.1954355995535153,1.0968759536344805,0.8166021485352672,1.0,0.744479943998653,1.2814699747935079,0.0625,0.09375,-0.03125,-0.042638269065962575,0.10513826906596258,0.13638826906596258,-0.03125,0.24835481711157142,0.3138880456629991,-0.06553322855142768,0.9598577163228591,0.8316901541981245,0.12816756212473457,0.046875,0.109375,-0.0625,0.09375,0.21875,-0.125,1,4,604,0.5188381051846644,10.988356655997535,0.9706504931196344,16,0,0
0_0_0_10_14_16,-26.0,42,3,15,267,455,266,454,0.7998525876144238,0.6523133540517629,0.14753923356266085,1.1706203359435676,0.7160007574821634,1.0,0.6116421656941724,2.135025826170131,-0.125,-0.09375,-0.03125,-0.1171558286868597,-0.007844171313140302,0.023405828686859698,-0.015561657373719395,0.42455300932106227,0.4301547245501498,-0.005601715229087534,0.9381455713284998,0.8338853758360876,0.10426019549241228,0.125,0.125,0.0,0.1875,0.25,-0.0625,1,4,455,1.5008506933894017,11.759145406076733,0.9882961329800573,4,0,1
0_0_0_10_14_16,-26.0,42,3,25,720,306,719,305,0.8918711965100897,0.7221739559702413,0.16969724053984847,0.7916131735885621,0.5373064475627167,1.0,0.6787487443229181,1.6829096084196535,0.0,-0.0625,0.0625,0.0707462049623927,-0.0707462049623927,-0.1332462049623927,-0.0625,0.0,0.09243591385634795,-0.09243591385634795,0.8383920535295792,0.9222309494355035,-0.0838388959059243,0.09375,0.15625,-0.0625,0.1875,0.3125,-0.125,1,5,306,0.32985051367770885,9.931229129458806,0.8383920668339054,16,0,0
0_0_0_10_14_16,-26.0,42,3,29,610,635,609,634,0.7829483289799707,0.4842313013796471,0.2987170276003236,1.3917120997539314,0.7423407654386871,1.0,0.5334011003927754,2.729460927068525,-0.09375,0.09375,-0.1875,0.04590701842209366,-0.13965701842209366,0.04784298157790634,0.09181403684418732,0.33656334745761174,0.30369301281078137,0.03287033464683037,0.9155204761892817,0.8869301061196937,0.028590370069587978,0.203125,0.0625,0.140625,0.09375,0.0,0.09375,1,3,635,1.8251380919651474,12.522150936017667,0.8863221931998045,4,0,1
0_0_0_10_14_16,-26.0,42,3,32,740,803,739,802,0.8093522083986201,0.722465582312217,0.08688662608640307,0.8823349919286017,0.7077679566159567,1.0,0.8021533352870007,0.9574260639928672,0.03125,0.03125,0.0,0.027277628516869434,0.003972371483130566,0.003972371483130566,0.0,0.028109102014291745,0.007246806546078408,0.02086229546821334,0.9391750923141068,0.8344468781195846,0.10472821419452216,0.203125,0.234375,-0.03125,0.40625,0.28125,0.125,1,5,803,0.29790011224616086,10.375730819034532,0.9448736967841118,16,0,0
0_0_0_10_14_16,-26.0,42,3,33,590,104,589,103,0.8016306596089243,0.720729168812322,0.08090149079660236,1.4679550751125703,1.001677739398076,1.0,0.6823626665286485,1.659847423389701,0.0,0.125,-0.125,0.02106783188179473,-0.02106783188179473,0.10393216811820527,-0.08286433623641054,0.0,0.6535537161957445,-0.6535537161957445,0.9169800903009148,0.8984002941589261,0.01857979614198868,0.09375,0.0625,0.03125,0.1875,0.0625,0.125,1,2,104,1.659847423389701,12.533855436129258,0.9169800941634142,4,0,1
0_0_0_10_14_16,-26.0,42,5,6,89,296,88,295,0.8783640872265918,0.6255621699319011,0.2528019172946907,1.1302659729131506,0.6687889195201393,1.0,0.5917093282003358,2.278915840878713,0.03125,-0.0625,0.09375,0.030061728857415204,0.0011882711425847958,-0.0925617288574152,-0.09137345771483041,0.07593468419179311,0.1035394807475239,-0.02760479655573078,0.8989361041524244,0.8835676250288165,0.015368479123607948,0.0625,0.046875,0.015625,0.0,0.09375,-0.09375,1,6,296,0.13906556142990373,11.298991125807126,0.8984925031594737,16,0,0
0_0_0_10_14_16,-26.0,42,5,19,510,214,509,213,0.7231445002649511,0.6429158600232665,0.08022864024168463,0.8023739107319585,0.6879878155590156,0.8958595548926137,0.7681461846833855,0.6679605227661312,-0.09375,0.03125,-0.125,-0.050728676249963967,-0.043021323750036033,0.08197867624996391,-0.03895735249992788,0.05558342269367704,0.04924585223382462,0.006337570459852421,0.9472945568597473,0.9505782860910968,-0.0032837292313495636,0.1875,0.09375,0.09375,0.375,0.125,0.25,2,5,261,0.4776006993162035,10.447510154039987,0.7430736218110223,16,0,0
0_0_0_10_14_16,-26.0,42,5,23,759,601,758,600,0.8799601804120707,0.5539138738818188,0.3260463065302519,0.8301544214122067,0.5186159278605409,1.0,0.6247222377955947,2.0431303450535596,-0.25,-0.03125,-0.21875,-0.07558726243684988,-0.17441273756315012,0.04433726243684988,0.13007547512630024,1.6652278513934735,0.03137277260617012,1.6338550787873034,0.9608595578663948,0.7522573130533674,0.20860224481302736,0.359375,0.1875,0.171875,0.28125,0.375,-0.09375,1,11,601,0.4340797787563528,10.303601434672194,0.9233960503180352,16,0,0
0_0_0_10_14_16,-26.0,42,5,24,874,680,873,679,0.823838597468891,0.6954610516987666,0.1283775457701244,0.7690231573719899,0.5801249260938199,0.925448505771899,0.6981268910669004,1.224178916832324,0.03125,0.125,-0.09375,-0.08180190898357137,0.11305190898357131,0.20680190898357131,-0.09375,0.014902335590305734,0.4149691646734719,-0.40006682908316615,0.7980073010182419,0.8980530863351682,-0.10004578531692632,0.234375,0.21875,0.015625,0.46875,0.4375,0.03125,2,4,473,0.3364774145055529,10.328248440918665,0.9540761748104428,16,0,0
0_0_0_10_14_16,-26.0,42,5,28,7,663,6,662,0.7937746499701315,0.6670513702503582,0.12672327971977326,0.877958791625133,0.7503579428680638,1.0,0.8546619158276489,0.6820564799406558,0.03125,-0.28125,0.3125,-0.10666049517045728,0.13791049517045728,-0.17458950482954272,-0.03667900965908544,0.051956480266337604,0.18684908429515243,-0.1348926040288148,0.9516983712905174,0.7702643553687561,0.18143401592176123,0.078125,0.265625,-0.1875,0.15625,0.46875,-0.3125,1,5,663,0.03227803494116327,10.578182559480343,0.9584976664675428,16,0,0
0_0_0_10_14_16,-26.0,42,5,29,610,144,609,143,0.7917364347135837,0.47325568234093973,0.31848075237264395,1.479707620749707,0.8339207791468795,1.0,0.5635713214238676,2.4905111503794126,-0.03125,0.03125,-0.0625,-0.11287514171717872,0.08162514171717872,0.14412514171717872,-0.0625,0.016036154354447614,0.02994267052319673,-0.013906516168749116,0.9451675541597189,0.716812074980039,0.2283554791796799,0.15625,0.265625,-0.109375,0.1875,0.46875,-0.28125,1,4,144,1.7333751949906144,12.48431991636789,0.9449095647572244,4,0,1
0_0_0_10_14_16,-26.0,42,5,30,823,284,822,283,0.7850087526720841,0.6370819850323319,0.1479267676397522,0.8165828659248895,0.6411901852381483,1.0,0.7852114120860404,1.0501339708785156,-0.28125,-0.1875,-0.09375,-0.11908978826390021,-0.1621602117360998,-0.06841021173609979,0.09375,0.8091013160159684,1.0969955448534634,-0.28789422883749505,0.9599405988592383,0.9008155129400782,0.0591250859191601,0.34375,0.171875,0.171875,0.3125,0.34375,-0.03125,1,5,284,0.021172274892428573,10.005659103082024,0.9000583511472279,16,0,0
0_0_0_10_14_16,-26.0,42,5,31,913,720,912,719,0.787072530590307,0.7510122785878481,0.03606025200245888,0.7656745471625506,0.7175359300876529,1.0,0.9371291402420382,0.2820055742602435,0.15625,-0.0625,0.21875,-0.1253044348106217,0.2815544348106217,0.0628044348106217,0.21875,0.31089302666409124,0.08242372034682367,0.22846930631726758,0.9060643675920647,0.9450420913900266,-0.03897772379796194,0.25,0.109375,0.140625,0.5,0.21875,0.28125,1,2,720,0.2820055742602435,9.473949518368997,0.9138168706020467,16,0,0
0_0_0_10_14_16,-26.0,42,5,33,581,277,580,276,0.7969594694401958,0.5967367839962261,0.2002226854439697,1.1500457948398122,0.8366386376301307,1.0,0.7274828892763046,1.381772170228427,0.0,-0.125,0.125,0.11226627209593532,-0.11226627209593532,-0.23726627209593532,-0.125,0.0,0.5098090595178801,-0.5098090595178801,0.9797297675369948,0.874293104362187,0.10543666317480782,0.109375,0.21875,-0.109375,0.03125,0.4375,-0.40625,1,4,277,0.8995609127208258,11.438671953042945,0.9797297962679723,16,0,0
0_0_0_10_14_16,-26.0,42,6,11,1023,912,1022,911,0.8263596397555727,0.6963205824135079,0.13003905734206478,0.8299271059186708,0.5806600245684912,1.0,0.6996518374053363,1.5511802099855412,-0.0625,-0.21875,0.15625,-0.07460254904790337,0.012102549047903421,-0.14414745095209663,-0.1320449019041932,0.012015004510822146,0.07672575372695199,-0.06471074921612985,0.9563969415969106,0.7563079869534923,0.20008895464341825,0.078125,0.234375,-0.15625,0.15625,0.46875,-0.3125,1,3,912,1.0284760291483037,9.997876971416803,0.9492560495348845,16,0,0
0_0_0_10_14_16,-26.0,42,6,23,759,718,758,717,0.8420694445167918,0.7532924524891752,0.08877699202761657,0.7166957263098652,0.6246955524045781,0.8626759189328689,0.7519366865749895,0.5966640081393421,-0.03125,0.28125,-0.3125,0.10075237597891462,-0.13200237597891462,0.18049762402108538,-0.04849524804217076,0.011358203104539326,0.47028142168846976,-0.4589232185839304,0.9134147621773941,0.7484607086391302,0.16495405353826398,0.09375,0.21875,-0.125,0.1875,0.4375,-0.25,4,6,859,0.38570329043935914,10.281582915013669,0.9781802071346316,16,0,0
0_0_0_10_14_16,-26.0,42,6,26,314,223,313,222,0.8940012159480154,0.6521641688221187,0.2418370471258967,0.9603500368894515,0.5589740570448818,1.0,0.5820524137796507,2.350379054010682,-0.03125,0.09375,-0.125,0.08209110723561908,-0.11334110723561908,0.011658892764380924,0.10168221447123815,0.010567313106676423,0.4124369095237672,-0.4018695964170908,0.8831830071718336,0.8625200949867602,0.020662912185073434,0.046875,0.140625,-0.09375,0.03125,0.28125,-0.25,1,8,223,0.6364759602485683,11.072202340354021,0.8765031020028123,16,0,0
0_0_0_10_14_16,-26.0,42,6,33,584,152,583,151,0.8462687007812725,0.7880691584665303,0.058199542314742225,0.6923204369522864,0.6140900104810498,0.8738758364951675,0.7751301174277453,0.5207511926736128,-0.0625,0.1875,-0.25,0.038548146834596175,-0.10104814683459618,0.14895185316540382,-0.04790370633080765,0.1013094283902467,1.2483955666801374,-1.1470861382898907,0.9434525357291517,0.8832522327748392,0.060200302954312446,0.125,0.28125,-0.15625,0.0625,0.4375,-0.375,2,6,998,0.5855026914551437,9.933952850197151,0.9378893710449551,16,0,0
0_0_0_10_14_16,-26.0,42,8,2,922,172,921,171,0.9183900671772725,0.8664654257278278,0.05192464144944464,0.8856246744915133,0.8114393328398819,0.9789435985395233,0.8969412928144382,0.37993652564595687,-0.03125,0.15625,-0.1875,-0.12317202461585897,0.09192202461585897,0.27942202461585897,-0.1875,0.020804375611593175,0.20606123441611643,-0.18525685880452325,0.8843432661218624,0.9441801853315175,-0.05983691920965506,0.109375,0.265625,-0.15625,0.03125,0.46875,-0.4375,3,4,908,0.01931298258123838,10.000529567411222,0.9226188989714962,16,0,0
0_0_0_10_14_16,-26.0,42,8,3,691,470,690,469,0.801073606100042,0.6037372942944075,0.1973363118056345,1.0946300525493058,0.550559199473355,1.0,0.5029637165461944,2.984633435169024,0.09375,-0.09375,0.1875,-0.12941262850540564,0.22316262850540558,0.03566262850540558,0.1875,0.3795047163631126,0.21267130925039412,0.1668334071127185,0.9955820881625929,0.8609819074753446,0.13460018068724822,0.203125,0.171875,0.03125,0.40625,0.15625,0.25,1,9,470,0.1776864393777694,11.243178423805631,0.9946453527206823,16,0,0
0_0_0_10_14_16,-26.0,42,8,12,597,334,596,333,0.7964228277547394,0.7049849631563794,0.09143786459836001,0.9730734043984199,0.6458599675349355,1.0,0.6637320109824844,1.780072363615658,-0.03125,0.15625,-0.1875,0.06442193648867434,-0.09567193648867434,0.09182806351132566,0.0038438729773486724,0.019498283547791425,1.0782692705312402,-1.0587709869834487,0.9265216667444711,0.8956856348694595,0.030836031875011605,0.1875,0.078125,0.109375,0.375,0.03125,0.34375,1,7,334,0.6863119943453171,10.721563592696505,0.930142462705857,16,0,0
0_0_0_10_14_16,-26.0,42,8,14,478,532,477,531,0.883113758766771,0.6560292583520582,0.22708450041471284,1.0142556644115217,0.5720249007694669,1.0,0.5639849210024968,2.4873250738714106,-0.0625,0.125,-0.1875,0.051940728709581,-0.114440728709581,0.073059271290419,0.04138145741916199,0.13018412440201194,0.6207965845988339,-0.490612460196822,0.9043091441550929,0.974168153486633,-0.0698590093315401,0.0625,0.0625,0.0,0.125,0.125,0.0,1,13,532,0.5346659383671613,11.249725995548383,0.9022889712173336,16,0,0
0_0_0_10_14_16,-26.0,42,8,15,267,481,266,480,0.8122425896592858,0.7108451945689191,0.1013973950903666,0.8248043342175606,0.5875332090736265,1.0,0.7123304094067132,1.473185152151196,-0.0625,0.03125,-0.09375,0.04570012482003438,-0.10820012482003438,-0.014450124820034382,0.09375,0.17566984827038007,0.0745310098735145,0.10113883839686556,0.7398308174503074,0.6688183647045978,0.07101245274570966,0.171875,0.171875,0.0,0.34375,0.34375,0.0,1,10,481,0.41488481481238737,10.178167558112143,0.7124216401231598,16,0,0
0_0_0_10_14_16,-26.0,42,8,22,629,656,628,655,0.8796167068783003,0.7058203580203234,0.1737963488579769,0.6934312042123025,0.6611281855390452,0.9177656333565881,0.8750121486389967,0.20717708281937713,-0.03125,0.125,-0.15625,0.0020158975932077494,-0.03326589759320775,0.12298410240679225,-0.0897182048135845,0.023053438412742214,0.6413990424694538,-0.6183456040567116,0.9092629460901692,0.9266692754960438,-0.01740632940587461,0.15625,0.09375,0.0625,0.1875,0.1875,0.0,2,4,566,0.3726820892403229,9.935206163220652,0.9168161074156672,16,0,0
0_0_0_10_14_16,-26.0,42,8,24,874,332,873,331,0.7742631964460228,0.6355231899862517,0.13874000645977114,0.7771155046575338,0.6063636553793827,1.0,0.7802748133903216,1.0775241151601742,0.03125,-0.125,0.15625,-0.010465310185885646,0.04171531018588559,-0.11453468981411435,-0.07281937962822876,0.03326246281577518,0.1814133427103325,-0.1481508798945573,0.8205811133823473,0.9037121489832196,-0.08313103560087232,0.109375,0.234375,-0.125,0.15625,0.46875,-0.3125,1,7,332,0.12332100657052222,9.796297783813873,0.7899293448268253,16,0,0
0_0_0_10_14_16,-26.0,42,8,27,602,922,601,921,0.8199137297015426,0.7890799417689168,0.03083378793262581,0.65225139436237,0.6362117344028242,0.8805839589806836,0.858929321842363,0.10813341144054105,-0.21875,0.0625,-0.28125,-0.0291871218545256,-0.1895628781454744,0.09168712185452565,0.09787575629094875,0.5561764431922167,0.17066601434584128,0.38551042884637543,0.9431054186827394,0.8655531799816515,0.07755223870108796,0.234375,0.328125,-0.09375,0.09375,0.21875,-0.125,3,4,598,0.31014401356900184,9.338130044130532,0.9927886855411624,16,0,0
