scenario,target_tx_dbm,interferer_tx_dbm,trial,symbol_count,target_power_w,interference_power_w,noise_power_w,theoretical_noise_power_w,target_snr_db,target_sinr_db,mean_savaux_margin_db,mean_branch_color_mismatch,conditional_screen_rate,conditional_backend_rate,branch0_errors,branch0_ser,branch0_fixes_vs_savaux,branch0_breaks_vs_savaux,savaux_errors,savaux_ser,savaux_fixes_vs_savaux,savaux_breaks_vs_savaux,equal8_errors,equal8_ser,equal8_fixes_vs_savaux,equal8_breaks_vs_savaux,gls8_direct_errors,gls8_direct_ser,gls8_direct_fixes_vs_savaux,gls8_direct_breaks_vs_savaux,gls8_cg_errors,gls8_cg_ser,gls8_cg_fixes_vs_savaux,gls8_cg_breaks_vs_savaux,gls8_cg_wrap_errors,gls8_cg_wrap_ser,gls8_cg_wrap_fixes_vs_savaux,gls8_cg_wrap_breaks_vs_savaux,conditional_gls_errors,conditional_gls_ser,conditional_gls_fixes_vs_savaux,conditional_gls_breaks_vs_savaux
one_interferer,-60.0,-74.0,1,200,3.7027666871431984e-17,1.1092989444458955e-16,1.99263162911176e-15,1.9924677175759936e-15,-17.309006717712446,-17.54428870655401,1.388365157062077,1.2794415132315213,0.23,0.23,93,0.465,2,3,92,0.46,0,0,93,0.465,2,3,89,0.445,5,2,89,0.445,5,2,82,0.41,13,3,84,0.42,11,3
one_interferer,-60.0,-74.0,2,200,3.702766682188774e-17,1.1093000183185002e-16,1.9923471906592588e-15,1.9924677175759936e-15,-17.30838674506856,-17.543701652003584,1.15472577474164,1.2811134455885056,0.315,0.315,124,0.62,1,7,118,0.59,0,0,115,0.575,6,3,118,0.59,4,4,117,0.585,5,4,97,0.485,22,1,99,0.495,20,1
one_interferer,-62.0,-74.0,0,200,2.3362878317059113e-17,1.1093025772935486e-16,1.9933146287122118e-15,1.9924677175759936e-15,-19.310495069976174,-19.545699334523963,1.1690762937146961,1.2803913861683254,0.295,0.295,163,0.815,2,5,160,0.8,0,0,160,0.8,5,5,158,0.79,4,2,158,0.79,4,2,145,0.725,17,2,148,0.74,14,2
one_interferer,-62.0,-74.0,1,200,2.3362878361495943e-17,1.1092989444458955e-16,1.99263162911176e-15,1.9924677175759936e-15,-19.309006717712446,-19.54428870655401,1.3029646014587792,1.2794800045342676,0.265,0.265,167,0.835,1,2,166,0.83,0,0,161,0.805,6,1,163,0.815,4,1,163,0.815,4,1,148,0.74,20,2,154,0.77,14,2
one_interferer,-62.0,-74.0,2,200,2.3362878330235635e-17,1.1093000183185002e-16,1.9923471906592588e-15,1.9924677175759936e-15,-19.30838674506856,-19.543701652003588,1.354901727052258,1.2811339275123756,0.27,0.27,177,0.885,0,3,174,0.87,0,0,177,0.885,1,4,177,0.885,1,4,177,0.885,1,4,168,0.84,7,1,171,0.855,4,1
two_interferers,-58.0,-74.0,0,200,5.868489704563022e-17,1.2997511050654276e-16,1.993137222989291e-15,1.9924677175759936e-15,-15.310108529115077,-15.584466262066787,2.102761304376492,1.2797427382903768,0.11,0.11,26,0.13,0,2,24,0.12,0,0,26,0.13,0,2,26,0.13,0,2,26,0.13,0,2,19,0.095,5,0,19,0.095,5,0
two_interferers,-58.0,-74.0,1,200,5.868489715725048e-17,1.302752608447847e-16,1.992643553908151e-15,1.9924677175759936e-15,-15.309032707753445,-15.584070382371113,2.0028426991518096,1.2784650126741728,0.11,0.11,26,0.13,0,2,24,0.12,0,0,26,0.13,1,3,25,0.125,1,2,25,0.125,1,2,16,0.08,8,0,18,0.09,6,0
two_interferers,-58.0,-74.0,2,200,5.868489707872818e-17,1.3013395759766654e-16,1.9925431248917096e-15,1.9924677175759936e-15,-15.308813824106117,-15.583575838108032,2.0681990547673736,1.2810531437788604,0.115,0.115,35,0.175,0,4,31,0.155,0,0,33,0.165,0,2,32,0.16,2,3,32,0.16,2,3,21,0.105,11,1,22,0.11,10,1
two_interferers,-60.0,-74.0,0,200,3.702766680100436e-17,1.2997511050654276e-16,1.993137222989291e-15,1.9924677175759936e-15,-17.31010852911508,-17.58446626206679,1.2090785717825934,1.2798857183275074,0.26,0.26,106,0.53,2,9,99,0.495,0,0,99,0.495,7,7,99,0.495,4,4,99,0.495,4,4,85,0.425,15,1,90,0.45,10,1
two_interferers,-60.0,-74.0,1,200,3.7027666871431984e-17,1.302752608447847e-16,1.992643553908151e-15,1.9924677175759936e-15,-17.309032707753445,-17.584070382371117,1.0975530426757856,1.2785650356462797,0.34,0.34,104,0.52,3,8,99,0.495,0,0,105,0.525,2,8,103,0.515,5,9,102,0.51,6,9,75,0.375,25,1,81,0.405,19,1
two_interferers,-60.0,-74.0,2,200,3.702766682188774e-17,1.3013395759766654e-16,1.9925431248917096e-15,1.9924677175759936e-15,-17.308813824106124,-17.583575838108036,1.1821852107304818,1.281103788631505,0.285,0.285,105,0.525,2,3,104,0.52,0,0,106,0.53,4,6,100,0.5,8,4,100,0.5,8,4,89,0.445,16,1,92,0.46,13,1
two_interferers,-62.0,-74.0,0,200,2.3362878317059113e-17,1.2997511050654276e-16,1.993137222989291e-15,1.9924677175759936e-15,-19.310108529115084,-19.58446626206679,1.2006988069062259,1.2799448853641264,0.305,0.305,174,0.87,0,5,169,0.845,0,0,171,0.855,2,4,168,0.84,3,2,168,0.84,3,2,160,0.8,10,1,162,0.81,8,1
two_interferers,-62.0,-74.0,1,200,2.3362878361495943e-17,1.302752608447847e-16,1.992643553908151e-15,1.9924677175759936e-15,-19.30903270775345,-19.58407038237112,1.281729310148769,1.278645467691238,0.23,0.23,180,0.9,1,3,178,0.89,0,0,179,0.895,2,3,178,0.89,4,4,177,0.885,4,3,171,0.855,8,1,172,0.86,7,1
two_interferers,-62.0,-74.0,2,200,2.3362878330235635e-17,1.3013395759766654e-16,1.9925431248917096e-15,1.9924677175759936e-15,-19.308813824106124,-19.58357583810804,1.1844621700285725,1.2811698137707999,0.3,0.3,172,0.86,2,12,162,0.81,0,0,163,0.815,4,5,163,0.815,3,4,163,0.815,3,4,147,0.735,16,1,149,0.745,14,1
