dataset,target_snr_db,packet_count,traditional_fft_symbol_ser,traditional_fft_symbol_accuracy,traditional_fft_crc_valid_rate,multi_offset_argmax_symbol_ser,multi_offset_argmax_symbol_accuracy,multi_offset_argmax_crc_valid_rate,current_selected_symbol_ser,current_selected_symbol_accuracy,current_selected_crc_valid_rate,savaux_paper_symbol_ser,savaux_paper_symbol_accuracy,savaux_paper_crc_valid_rate,savaux_codec_symbol_ser,savaux_codec_symbol_accuracy,savaux_codec_crc_valid_rate,savaux_gain_vs_current,savaux_codec_gain_vs_current,savaux_codec_gain_vs_savaux,savaux_codec_crc_gain_vs_current,savaux_codec_crc_gain_vs_savaux,savaux_codec_success_rate,savaux_codec_argmax_fallback_rate,savaux_codec_mean_topk_recall,savaux_codec_mean_gt_rank,savaux_codec_mean_symbol_change_count,savaux_codec_mean_symbol_fix_count,savaux_codec_mean_symbol_break_count
0_0_0_10_14_8,-22.0,10,0.6228571428571428,0.3771428571428572,0.0,0.21142857142857144,0.7885714285714286,0.2,0.08285714285714287,0.9171428571428571,0.4,0.019999999999999997,0.98,0.6,0.005714285714285714,0.9942857142857143,1.0,0.06285714285714286,0.07714285714285715,0.014285714285714284,0.6,0.4,1.0,0.6,0.4,0.42857142857142855,0.8,0.6,0.1
0_0_0_10_14_8,-23.0,10,0.7485714285714286,0.25142857142857145,0.0,0.33999999999999997,0.66,0.0,0.15999999999999998,0.8400000000000001,0.3,0.05142857142857142,0.9485714285714286,0.5,0.02857142857142857,0.9714285714285714,0.8,0.10857142857142855,0.1314285714285714,0.02285714285714285,0.5,0.30000000000000004,1.0,0.7,0.5,0.7485714285714286,1.2,1.0,0.2
0_0_0_10_14_8,-24.0,10,0.8200000000000001,0.17999999999999994,0.0,0.48285714285714293,0.5171428571428571,0.0,0.2942857142857143,0.7057142857142857,0.0,0.13999999999999999,0.86,0.3,0.13142857142857142,0.8685714285714285,0.5,0.15428571428571433,0.1628571428571429,0.008571428571428563,0.5,0.2,1.0,0.8,0.6942857142857143,1.94,0.3,0.3,0.0
0_0_0_10_14_8,-25.0,10,0.8885714285714286,0.11142857142857143,0.0,0.6199999999999999,0.3800000000000001,0.0,0.4428571428571429,0.5571428571428572,0.0,0.2828571428571428,0.7171428571428572,0.1,0.2571428571428571,0.7428571428571429,0.4,0.1600000000000001,0.18571428571428578,0.02571428571428569,0.4,0.30000000000000004,1.0,0.7,0.8857142857142858,4.797142857142857,0.9,0.9,0.0
0_0_0_10_14_8,-26.0,10,0.917142857142857,0.08285714285714296,0.0,0.7371428571428571,0.2628571428571429,0.0,0.5771428571428572,0.4228571428571428,0.0,0.3857142857142857,0.6142857142857143,0.0,0.3628571428571428,0.6371428571428572,0.2,0.1914285714285715,0.21428571428571436,0.022857142857142854,0.2,0.2,1.0,0.8,0.96,11.108571428571427,0.8,0.8,0.0
0_0_0_10_14_8,-27.0,10,0.9571428571428571,0.04285714285714293,0.0,0.8371428571428572,0.1628571428571428,0.0,0.6685714285714285,0.3314285714285715,0.0,0.5314285714285715,0.4685714285714285,0.0,0.5314285714285715,0.4685714285714285,0.0,0.137142857142857,0.137142857142857,0.0,0.0,0.0,1.0,1.0,0.9171428571428573,23.151428571428575,0.0,0.0,0.0
0_0_0_10_14_16,-12.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_16,-13.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_16,-14.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_16,-15.0,11,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_16,-16.0,11,0.01038961038961039,0.9896103896103896,0.6363636363636364,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_16,-17.0,11,0.05714285714285714,0.9428571428571428,0.36363636363636365,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_16,-18.0,11,0.09610389610389611,0.9038961038961039,0.2727272727272727,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_16,-19.0,11,0.19740259740259739,0.8025974025974026,0.09090909090909091,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_16,-20.0,11,0.3506493506493507,0.6493506493506493,0.0,0.012987012987012986,0.987012987012987,0.7272727272727273,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.0,1.0,1.0,0.0025974025974025974,0.0025974025974025974,0.0,0.09090909090909094,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_16,-21.0,11,0.5376623376623376,0.4623376623376624,0.0,0.07532467532467532,0.9246753246753247,0.36363636363636365,0.02077922077922078,0.9792207792207792,0.5454545454545454,0.0025974025974025974,0.9974025974025974,1.0,0.0025974025974025974,0.9974025974025974,1.0,0.01818181818181818,0.01818181818181818,0.0,0.4545454545454546,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_16,-22.0,11,0.6805194805194805,0.3194805194805195,0.0,0.1688311688311688,0.8311688311688312,0.18181818181818182,0.051948051948051945,0.948051948051948,0.36363636363636365,0.025974025974025972,0.974025974025974,0.6363636363636364,0.0,1.0,1.0,0.025974025974025972,0.051948051948051945,0.025974025974025972,0.6363636363636364,0.36363636363636365,1.0,0.6363636363636364,0.36363636363636365,0.41038961038961036,0.9090909090909091,0.9090909090909091,0.0
0_0_0_10_14_16,-23.0,11,0.8181818181818182,0.18181818181818177,0.0,0.3376623376623376,0.6623376623376624,0.0,0.14025974025974025,0.8597402597402597,0.18181818181818182,0.05974025974025974,0.9402597402597402,0.18181818181818182,0.03636363636363637,0.9636363636363636,0.8181818181818182,0.08051948051948052,0.10389610389610388,0.02337662337662337,0.6363636363636365,0.6363636363636365,1.0,0.36363636363636365,0.8181818181818182,1.064935064935065,1.7272727272727273,1.1818181818181819,0.36363636363636365
0_0_0_10_14_16,-24.0,11,0.890909090909091,0.10909090909090902,0.0,0.509090909090909,0.49090909090909096,0.0,0.2727272727272727,0.7272727272727273,0.09090909090909091,0.11688311688311687,0.8831168831168832,0.18181818181818182,0.0935064935064935,0.9064935064935065,0.5454545454545454,0.15584415584415584,0.17922077922077922,0.02337662337662337,0.4545454545454545,0.3636363636363636,1.0,0.6363636363636364,0.8181818181818182,2.1246753246753247,1.1818181818181819,1.0,0.18181818181818182
0_0_0_10_14_16,-25.0,11,0.9142857142857145,0.08571428571428552,0.0,0.6493506493506493,0.35064935064935066,0.0,0.4597402597402597,0.5402597402597402,0.0,0.24935064935064932,0.7506493506493507,0.0,0.21818181818181814,0.7818181818181819,0.36363636363636365,0.2103896103896104,0.24155844155844158,0.03116883116883118,0.36363636363636365,0.36363636363636365,1.0,0.6363636363636364,0.9714285714285714,6.015584415584416,1.4545454545454546,1.2727272727272727,0.18181818181818182
0_0_0_10_14_16,-26.0,11,0.9454545454545454,0.054545454545454564,0.0,0.7610389610389611,0.23896103896103893,0.0,0.5922077922077922,0.4077922077922078,0.0,0.4,0.6,0.0,0.3922077922077923,0.6077922077922078,0.09090909090909091,0.19220779220779216,0.1999999999999999,0.007792207792207739,0.09090909090909091,0.09090909090909091,1.0,0.9090909090909091,0.9480519480519479,13.799999999999999,0.2727272727272727,0.2727272727272727,0.0
0_0_0_10_14_16,-27.0,11,0.9714285714285714,0.02857142857142858,0.0,0.8701298701298701,0.1298701298701299,0.0,0.7116883116883117,0.2883116883116883,0.0,0.5532467532467533,0.4467532467532467,0.0,0.5532467532467533,0.4467532467532467,0.0,0.15844155844155838,0.15844155844155838,0.0,0.0,0.0,1.0,1.0,0.8987012987012988,27.4935064935065,0.0,0.0,0.0
0_0_0_10_14_32,-12.0,7,0.061224489795918366,0.9387755102040817,0.8571428571428571,0.012244897959183673,0.9877551020408163,0.8571428571428571,0.008163265306122448,0.9918367346938776,0.8571428571428571,0.0,1.0,1.0,0.0,1.0,1.0,0.008163265306122448,0.008163265306122448,0.0,0.1428571428571429,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_32,-13.0,7,0.09795918367346938,0.9020408163265307,0.8571428571428571,0.028571428571428574,0.9714285714285714,0.8571428571428571,0.012244897959183673,0.9877551020408163,0.8571428571428571,0.012244897959183673,0.9877551020408163,0.8571428571428571,0.008163265306122448,0.9918367346938776,1.0,0.0,0.004081632653061225,0.004081632653061225,0.1428571428571429,0.1428571428571429,1.0,0.8571428571428571,0.14285714285714285,0.15918367346938775,0.42857142857142855,0.14285714285714285,0.0
0_0_0_10_14_32,-14.0,7,0.10612244897959185,0.8938775510204081,0.8571428571428571,0.04081632653061224,0.9591836734693877,0.8571428571428571,0.02040816326530612,0.9795918367346939,0.8571428571428571,0.012244897959183673,0.9877551020408163,0.8571428571428571,0.012244897959183673,0.9877551020408163,0.8571428571428571,0.008163265306122448,0.008163265306122448,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.20408163265306123,0.0,0.0,0.0
0_0_0_10_14_32,-15.0,7,0.12244897959183675,0.8775510204081632,0.7142857142857143,0.06938775510204082,0.9306122448979592,0.8571428571428571,0.044897959183673466,0.9551020408163265,0.8571428571428571,0.028571428571428574,0.9714285714285714,0.8571428571428571,0.028571428571428574,0.9714285714285714,0.8571428571428571,0.016326530612244892,0.016326530612244892,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.42040816326530617,0.0,0.0,0.0
0_0_0_10_14_32,-16.0,7,0.12244897959183675,0.8775510204081632,0.7142857142857143,0.10204081632653061,0.8979591836734694,0.8571428571428571,0.06938775510204082,0.9306122448979592,0.8571428571428571,0.044897959183673466,0.9551020408163265,0.8571428571428571,0.044897959183673466,0.9551020408163265,0.8571428571428571,0.02448979591836735,0.02448979591836735,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.8163265306122449,0.0,0.0,0.0
0_0_0_10_14_32,-17.0,7,0.14285714285714285,0.8571428571428572,0.2857142857142857,0.11836734693877551,0.8816326530612245,0.8571428571428571,0.08163265306122448,0.9183673469387755,0.8571428571428571,0.05714285714285715,0.9428571428571428,0.8571428571428571,0.05714285714285715,0.9428571428571428,0.8571428571428571,0.024489795918367335,0.024489795918367335,0.0,0.0,0.0,1.0,1.0,0.13061224489795917,1.542857142857143,0.0,0.0,0.0
0_0_0_10_14_32,-18.0,7,0.19591836734693877,0.8040816326530612,0.0,0.12244897959183673,0.8775510204081632,0.8571428571428571,0.10204081632653061,0.8979591836734694,0.8571428571428571,0.06938775510204082,0.9306122448979592,0.8571428571428571,0.06938775510204082,0.9306122448979592,0.8571428571428571,0.0326530612244898,0.0326530612244898,0.0,0.0,0.0,1.0,1.0,0.12653061224489795,3.1999999999999997,0.0,0.0,0.0
0_0_0_10_14_32,-19.0,7,0.2653061224489796,0.7346938775510203,0.0,0.12244897959183673,0.8775510204081632,0.8571428571428571,0.10612244897959185,0.8938775510204081,0.8571428571428571,0.10204081632653061,0.8979591836734694,0.8571428571428571,0.10204081632653061,0.8979591836734694,0.8571428571428571,0.004081632653061232,0.004081632653061232,0.0,0.0,0.0,1.0,1.0,0.1142857142857143,6.187755102040817,0.0,0.0,0.0
0_0_0_10_14_32,-20.0,7,0.39183673469387753,0.6081632653061224,0.0,0.14285714285714285,0.8571428571428572,0.5714285714285714,0.12244897959183673,0.8775510204081632,0.8571428571428571,0.1142857142857143,0.8857142857142857,0.8571428571428571,0.1142857142857143,0.8857142857142857,0.8571428571428571,0.008163265306122436,0.008163265306122436,0.0,0.0,0.0,1.0,1.0,0.09387755102040816,10.677551020408163,0.0,0.0,0.0
0_0_0_10_14_32,-21.0,7,0.5387755102040817,0.46122448979591835,0.0,0.1714285714285714,0.8285714285714286,0.2857142857142857,0.13061224489795917,0.8693877551020408,0.8571428571428571,0.11836734693877551,0.8816326530612245,0.8571428571428571,0.11836734693877551,0.8816326530612245,0.8571428571428571,0.012244897959183654,0.012244897959183654,0.0,0.0,0.0,1.0,1.0,0.08163265306122448,16.555102040816326,0.0,0.0,0.0
0_0_0_10_14_32,-22.0,7,0.6367346938775509,0.3632653061224491,0.0,0.22040816326530607,0.7795918367346939,0.0,0.17551020408163262,0.8244897959183674,0.2857142857142857,0.14285714285714285,0.8571428571428572,0.7142857142857143,0.14285714285714285,0.8571428571428572,0.8571428571428571,0.03265306122448977,0.03265306122448977,0.0,0.5714285714285714,0.1428571428571428,1.0,0.8571428571428571,0.2122448979591837,23.689795918367345,0.42857142857142855,0.14285714285714285,0.14285714285714285
0_0_0_10_14_32,-23.0,7,0.7714285714285714,0.22857142857142865,0.0,0.3755102040816326,0.6244897959183674,0.0,0.24081632653061222,0.7591836734693878,0.0,0.17959183673469387,0.8204081632653062,0.42857142857142855,0.16326530612244897,0.8367346938775511,0.8571428571428571,0.06122448979591835,0.07755102040816325,0.0163265306122449,0.8571428571428571,0.42857142857142855,1.0,0.5714285714285714,0.4857142857142857,31.951020408163263,1.0,0.7142857142857143,0.14285714285714285
0_0_0_10_14_32,-24.0,7,0.8693877551020408,0.1306122448979592,0.0,0.5306122448979591,0.4693877551020409,0.0,0.3836734693877551,0.616326530612245,0.0,0.21632653061224486,0.7836734693877552,0.2857142857142857,0.19591836734693874,0.8040816326530613,0.5714285714285714,0.16734693877551024,0.18775510204081636,0.020408163265306117,0.5714285714285714,0.2857142857142857,1.0,0.7142857142857143,0.6163265306122448,40.70204081632653,0.8571428571428571,0.7142857142857143,0.0
0_0_0_10_14_32,-25.0,7,0.9061224489795917,0.09387755102040829,0.0,0.6734693877551019,0.3265306122448981,0.0,0.5061224489795918,0.4938775510204082,0.0,0.2979591836734694,0.7020408163265306,0.0,0.2653061224489796,0.7346938775510203,0.42857142857142855,0.2081632653061224,0.2408163265306122,0.0326530612244898,0.42857142857142855,0.42857142857142855,1.0,0.5714285714285714,0.8857142857142858,51.08163265306123,2.2857142857142856,1.4285714285714286,0.2857142857142857
0_0_0_10_14_32,-26.0,7,0.9428571428571428,0.05714285714285716,0.0,0.7510204081632653,0.24897959183673468,0.0,0.6408163265306122,0.35918367346938784,0.0,0.4448979591836735,0.5551020408163265,0.0,0.4448979591836735,0.5551020408163265,0.0,0.19591836734693868,0.19591836734693868,0.0,0.0,0.0,1.0,1.0,0.8571428571428571,62.99183673469388,0.0,0.0,0.0
0_0_0_10_14_32,-27.0,7,0.9632653061224491,0.036734693877550906,0.0,0.8408163265306123,0.15918367346938767,0.0,0.7387755102040817,0.2612244897959183,0.0,0.5795918367346938,0.42040816326530617,0.0,0.5795918367346938,0.42040816326530617,0.0,0.1591836734693879,0.1591836734693879,0.0,0.0,0.0,1.0,1.0,0.8244897959183674,77.71836734693878,0.0,0.0,0.0
mean_of_datasets,-12.0,28,0.02040816326530612,0.979591836734694,0.9523809523809524,0.004081632653061224,0.9959183673469387,0.9523809523809524,0.0027210884353741495,0.9972789115646258,0.9523809523809524,0.0,1.0,1.0,0.0,1.0,1.0,0.0027210884353741495,0.0027210884353741495,0.0,0.04761904761904764,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mean_of_datasets,-13.0,28,0.03265306122448979,0.9673469387755103,0.9523809523809524,0.009523809523809525,0.9904761904761905,0.9523809523809524,0.004081632653061224,0.9959183673469387,0.9523809523809524,0.004081632653061224,0.9959183673469387,0.9523809523809524,0.0027210884353741495,0.9972789115646258,1.0,0.0,0.001360544217687075,0.001360544217687075,0.04761904761904764,0.04761904761904764,1.0,0.9523809523809524,0.047619047619047616,0.053061224489795916,0.14285714285714285,0.047619047619047616,0.0
mean_of_datasets,-14.0,28,0.03537414965986395,0.964625850340136,0.9523809523809524,0.013605442176870748,0.9863945578231292,0.9523809523809524,0.006802721088435374,0.9931972789115647,0.9523809523809524,0.004081632653061224,0.9959183673469387,0.9523809523809524,0.004081632653061224,0.9959183673469387,0.9523809523809524,0.0027210884353741495,0.0027210884353741495,0.0,0.0,0.0,1.0,1.0,0.047619047619047616,0.06802721088435375,0.0,0.0,0.0
mean_of_datasets,-15.0,28,0.042634508348794065,0.9573654916512059,0.8411255411255412,0.02312925170068027,0.9768707482993197,0.9523809523809524,0.014965986394557823,0.9850340136054422,0.9523809523809524,0.009523809523809525,0.9904761904761905,0.9523809523809524,0.009523809523809525,0.9904761904761905,0.9523809523809524,0.005442176870748297,0.005442176870748297,0.0,0.0,0.0,1.0,1.0,0.047619047619047616,0.1401360544217687,0.0,0.0,0.0
mean_of_datasets,-16.0,28,0.049041434755720474,0.9509585652442795,0.716883116883117,0.034013605442176874,0.9659863945578232,0.9523809523809524,0.02312925170068027,0.9768707482993197,0.9523809523809524,0.014965986394557823,0.9850340136054422,0.9523809523809524,0.014965986394557823,0.9850340136054422,0.9523809523809524,0.00816326530612245,0.00816326530612245,0.0,0.0,0.0,1.0,1.0,0.047619047619047616,0.272108843537415,0.0,0.0,0.0
mean_of_datasets,-17.0,28,0.07904761904761905,0.920952380952381,0.41645021645021646,0.039455782312925174,0.9605442176870748,0.9523809523809524,0.027210884353741496,0.9727891156462585,0.9523809523809524,0.01904761904761905,0.980952380952381,0.9523809523809524,0.01904761904761905,0.980952380952381,0.9523809523809524,0.008163265306122445,0.008163265306122445,0.0,0.0,0.0,1.0,1.0,0.04353741496598639,0.5142857142857143,0.0,0.0,0.0
mean_of_datasets,-18.0,28,0.1316264687693259,0.8683735312306741,0.19090909090909092,0.04081632653061224,0.9591836734693877,0.9523809523809524,0.034013605442176874,0.9659863945578232,0.9523809523809524,0.02312925170068027,0.9768707482993197,0.9523809523809524,0.02312925170068027,0.9768707482993197,0.9523809523809524,0.0108843537414966,0.0108843537414966,0.0,0.0,0.0,1.0,1.0,0.04217687074829932,1.0666666666666667,0.0,0.0,0.0
mean_of_datasets,-19.0,28,0.22376004947433517,0.7762399505256647,0.09696969696969697,0.04272108843537415,0.9572789115646257,0.919047619047619,0.03537414965986395,0.964625850340136,0.9523809523809524,0.034013605442176874,0.9659863945578232,0.9523809523809524,0.034013605442176874,0.9659863945578232,0.9523809523809524,0.0013605442176870773,0.0013605442176870773,0.0,0.0,0.0,1.0,1.0,0.0380952380952381,2.0625850340136056,0.0,0.0,0.0
mean_of_datasets,-20.0,28,0.3598763141620285,0.6401236858379715,0.0,0.06623376623376623,0.9337662337662338,0.6329004329004329,0.04358688930117501,0.9564131106988251,0.9220779220779222,0.0380952380952381,0.9619047619047619,0.9523809523809524,0.0380952380952381,0.9619047619047619,0.9523809523809524,0.005491651205936916,0.005491651205936916,0.0,0.030303030303030314,0.0,1.0,1.0,0.031292517006802724,3.559183673469388,0.0,0.0,0.0
mean_of_datasets,-21.0,28,0.5283364254792826,0.4716635745207174,0.0,0.11748917748917749,0.8825108225108225,0.38311688311688313,0.0628447742733457,0.9371552257266543,0.6341991341991342,0.04127396413110699,0.958726035868893,0.919047619047619,0.040321583178726035,0.9596784168212739,0.9523809523809524,0.021570810142238706,0.02252319109461966,0.0009523809523809524,0.3181818181818182,0.033333333333333326,1.0,0.9666666666666667,0.06054421768707483,5.55265306122449,0.03333333333333333,0.03333333333333333,0.0
mean_of_datasets,-22.0,28,0.6467037724180581,0.35329622758194196,0.0,0.20022263450834876,0.7997773654916512,0.1272727272727273,0.10343846629560915,0.896561533704391,0.34978354978354975,0.06294372294372294,0.937056277056277,0.6502164502164502,0.049523809523809526,0.9504761904761905,0.9523809523809524,0.0404947433518862,0.05391465677179962,0.01341991341991342,0.6025974025974026,0.30216450216450214,1.0,0.6978354978354978,0.32529375386518244,8.17625231910946,0.7125541125541125,0.5506493506493506,0.08095238095238096
mean_of_datasets,-23.0,28,0.7793939393939393,0.2206060606060606,0.0,0.3510575139146567,0.6489424860853433,0.0,0.1803586889301175,0.8196413110698826,0.1606060606060606,0.09692022263450835,0.9030797773654916,0.37012987012987014,0.07606679035250463,0.9239332096474954,0.8251082251082251,0.08343846629560914,0.10429189857761284,0.020853432282003707,0.6645021645021645,0.45497835497835504,1.0,0.545021645021645,0.6012987012987013,11.254842300556584,1.309090909090909,0.9653679653679653,0.2354978354978355
mean_of_datasets,-24.0,28,0.8600989486703773,0.13990105132962272,0.0,0.5075200989486703,0.49247990105132966,0.0,0.316895485466914,0.683104514533086,0.030303030303030304,0.15773654916512056,0.8422634508348795,0.2558441558441558,0.14028447742733455,0.8597155225726655,0.538961038961039,0.15915893630179345,0.1766110080395795,0.017452071737786016,0.5086580086580086,0.2831168831168831,1.0,0.716883116883117,0.7095980210265925,14.922238713667284,0.7796536796536797,0.6714285714285714,0.06060606060606061
mean_of_datasets,-25.0,28,0.9029931972789115,0.09700680272108841,0.0,0.6476066790352504,0.3523933209647496,0.0,0.4695732838589981,0.5304267161410019,0.0,0.27672232529375385,0.7232776747062463,0.03333333333333333,0.24687693259121826,0.7531230674087817,0.3974025974025974,0.19285095856524428,0.22269635126777984,0.029845392702535556,0.3974025974025974,0.36406926406926404,1.0,0.6359307359307359,0.9142857142857143,20.631453308596168,1.5467532467532468,1.2004329004329006,0.15584415584415584
mean_of_datasets,-26.0,28,0.9351515151515152,0.06484848484848489,0.0,0.7497340754483611,0.2502659245516388,0.0,0.6033889919604205,0.3966110080395795,0.0,0.41020408163265304,0.589795918367347,0.0,0.3999876314162029,0.6000123685837971,0.09696969696969697,0.19318491032776744,0.20340136054421765,0.010216450216450198,0.09696969696969697,0.09696969696969697,1.0,0.903030303030303,0.9217316017316017,29.300136054421767,0.3575757575757576,0.3575757575757576,0.0
mean_of_datasets,-27.0,28,0.9639455782312925,0.03605442176870747,0.0,0.8493630179344466,0.15063698206555345,0.0,0.7063450834879407,0.2936549165120594,0.0,0.5547557204700061,0.4452442795299938,0.0,0.5547557204700061,0.4452442795299938,0.0,0.15158936301793444,0.15158936301793444,0.0,0.0,0.0,1.0,1.0,0.8801113172541745,42.78776747062462,0.0,0.0,0.0
