packet_index,payload_symbol_index,gt_bin,bank_kind,pattern_count,savaux_selected_bin,savaux_ok,savaux_gt_rank,savaux_gt_power,savaux_gt_margin_db,savaux_gt_floor_db,plain_coherent_selected_bin,plain_coherent_ok,plain_coherent_gt_rank,plain_coherent_gt_power,plain_coherent_gt_margin_db,plain_coherent_gt_floor_db,lora_coherent_selected_bin,lora_coherent_ok,lora_coherent_gt_rank,lora_coherent_gt_power,lora_coherent_gt_margin_db,lora_coherent_gt_floor_db,lora_mean_power_selected_bin,lora_mean_power_ok,lora_mean_power_gt_rank,lora_mean_power_gt_power,lora_mean_power_gt_margin_db,lora_mean_power_gt_floor_db,lora_best_power_selected_bin,lora_best_power_ok,lora_best_power_gt_rank,lora_best_power_gt_power,lora_best_power_gt_margin_db,lora_best_power_gt_floor_db,lora_stable_power_selected_bin,lora_stable_power_ok,lora_stable_power_gt_rank,lora_stable_power_gt_power,lora_stable_power_gt_margin_db,lora_stable_power_gt_floor_db,lora_adaptive_gls_selected_bin,lora_adaptive_gls_ok,lora_adaptive_gls_gt_rank,lora_adaptive_gls_gt_power,lora_adaptive_gls_gt_margin_db,lora_adaptive_gls_gt_floor_db,dataset,snr_db,seed
1,10,765,balanced_random_only_diverse16,16,765,True,1,0.7959252143027449,4.062486029395381,13.55853666692504,258,False,14,0.01441728105313386,-1.4563959895279501,7.819212769307267,765,True,1,0.05671156819061484,3.497580075915881,13.614346949895717,765,True,1,0.06723529440651115,2.7294715367647946,7.342708193895453,765,True,1,0.1691764341732156,0.4123397927967137,6.3615278835372155,765,True,1,0.6713463139262853,4.858436859983364,19.870313959504685,765,True,1,16.497954505496665,3.341734160195262,13.664813556278741,0_0_0_10_14_16,-23.0,42
1,11,1023,balanced_random_only_diverse16,16,1023,True,1,0.9210309319901313,4.600428188660166,14.246854693939477,1023,True,1,0.05894631517851941,4.153245674697881,13.502863501367619,1023,True,1,0.05812203290977466,2.4666576559061637,13.569418340269454,1023,True,1,0.06624513539392905,2.154056425354402,7.393814426888693,1023,True,1,0.1288142497108389,0.33566610931142116,5.293538402759762,1023,True,1,0.8080923953392165,5.836295756261617,20.33427878484381,1023,True,1,16.2809567725847,2.712013742109391,13.610122899721063,0_0_0_10_14_16,-23.0,42
1,12,597,balanced_random_only_diverse16,16,597,True,1,0.622018895730946,2.467992587486305,12.320116050345982,185,False,1017,2.5664137385709468e-05,-30.36925916887306,-20.091311202244665,185,False,3,0.027113006494136383,-0.03967261252212841,10.19355651860205,597,True,1,0.04103874391040947,0.41687046519852233,5.206161278586397,476,False,10,0.09354556877749987,-0.5494938334295947,3.772342221741602,597,True,1,0.4109483076832409,1.8965701791655776,17.26924017693606,125,False,3,7.778236223531122,-0.25289657956433803,10.257399908504034,0_0_0_10_14_16,-23.0,42
1,13,562,balanced_random_only_diverse16,16,562,True,1,0.9293745796639996,3.5396882574228314,13.926426136303963,150,False,61,0.010277669345227855,-3.753592825499164,5.994769178116607,562,True,1,0.057004397123969076,2.8862776905406626,13.523648381308803,562,True,1,0.06802095990614346,2.6129752238388804,7.608788802210723,562,True,1,0.1996870744169774,1.580835576462933,7.274061050434177,562,True,1,0.7788546014226949,4.10497560966831,19.82902154843017,562,True,1,15.717277412226544,2.7154463786005283,13.414588146589452,0_0_0_10_14_16,-23.0,42
1,14,478,balanced_random_only_diverse16,16,478,True,1,0.8570619835751394,3.3559924436806625,13.809646198463792,479,False,188,0.006208697388932634,-6.758377074884536,3.9125640485409074,478,True,1,0.04404482943904107,2.5804887818850473,12.29949087255819,478,True,1,0.05043269639030424,1.6696576081030512,6.382371656530238,933,False,8,0.09292998246106136,-0.6956337383883022,3.9821589892627367,478,True,1,0.7485054654446468,4.388458216699044,20.097453118327827,478,True,1,12.458022817713083,2.765031989318627,12.409870536586814,0_0_0_10_14_16,-23.0,42
1,15,267,balanced_random_only_diverse16,16,267,True,1,0.4291330349261102,0.7649013851968294,11.109105515373358,545,False,22,0.01253327887948973,-2.7459965497627605,7.116184803749082,267,True,1,0.02800140722024393,0.040234130550173074,10.289257799866707,267,True,1,0.039301168214014866,0.4087941685956972,5.202291178057891,102,False,2,0.1174893686938283,-0.18552135486570479,4.998526353704397,267,True,1,0.3057499155544219,0.3311855387844215,16.121411135209204,587,False,2,7.704404439384464,-0.17286486045844007,10.188444840477286,0_0_0_10_14_16,-23.0,42
1,16,917,balanced_random_only_diverse16,16,917,True,1,1.4243911311577904,5.672047531579371,15.810881803731542,917,True,1,0.06968629610251796,4.263638297905609,14.3624016794288,917,True,1,0.08908045083750793,5.234212425611965,15.091091630048378,917,True,1,0.09718042455142414,4.284003878945209,8.942812114191817,917,True,1,0.22785148032859398,2.8154800687258392,7.612709285204664,917,True,1,1.3056683454324793,6.56918749397498,21.970654777279695,917,True,1,23.72084873031727,5.337675145466777,15.261039411216235,0_0_0_10_14_16,-23.0,42
1,17,656,balanced_random_only_diverse16,16,656,True,1,1.1720715382980416,4.475406797510499,15.11587133257795,786,False,58,0.011546983169444273,-4.172891533716575,6.444198581993512,656,True,1,0.06753420152355544,3.035861818653755,14.052963668888413,656,True,1,0.07912207861790067,2.787825610040305,8.101838663113782,656,True,1,0.18836810992313868,1.096697080255852,6.893426474930354,656,True,1,1.0004150150010778,4.723443006123949,21.096044475615287,656,True,1,18.489680790991194,2.847655791087467,14.240575305498709,0_0_0_10_14_16,-23.0,42
1,18,889,balanced_random_only_diverse16,16,889,True,1,0.824437358819651,4.134740573465299,13.903466343817275,889,True,1,0.05145831995710678,3.1008679261234917,13.124673618593931,889,True,1,0.060799071923151836,4.260911638476096,13.843522755076684,889,True,1,0.06974425526500039,2.9971433420141427,7.652307182681169,889,True,1,0.14935785181483074,0.4706748566077113,5.972261675595844,889,True,1,0.7186975627534363,5.203679326104684,19.898349466189305,889,True,1,16.49714756278155,3.676044005024986,13.685297149232976,0_0_0_10_14_16,-23.0,42
1,19,510,balanced_random_only_diverse16,16,510,True,1,0.3971024944070365,0.7332680905645782,10.47232318611404,803,False,149,0.007705792437989108,-5.992899610906342,4.834012395161471,510,True,1,0.028899205344368878,0.15006398530526555,10.527340408726877,510,True,1,0.03630283964348567,0.05028185866133132,4.789631828509716,997,False,18,0.08689505623355828,-2.2857154606488868,3.5647337116386795,510,True,1,0.3161170487303555,1.0216853895118627,16.14525852619954,510,True,1,8.08093712014223,0.3786236280222883,10.72706337942389,0_0_0_10_14_16,-23.0,42
1,20,860,balanced_random_only_diverse16,16,860,True,1,0.7017761577974433,2.9939961908500616,13.144322358048084,318,False,7,0.02200055542149334,-2.5816262824379477,9.473744789109665,860,True,1,0.04018479891780083,2.232665779644968,12.35523571382123,860,True,1,0.048432968274076206,1.3343535602922385,6.207782980188412,160,False,2,0.15328695587518634,-0.06076680803186025,6.106467433429906,860,True,1,0.5822631730273611,3.960116334957614,19.550187791401765,860,True,1,10.583555414417111,1.5831631085725653,12.149545507325705,0_0_0_10_14_16,-23.0,42
