dataset,snr_db,seed,savaux_oversampled_err,loratrimmer_err,symfec_err,unichirp_err,phaseline_one_order_dp_err,phaseline_island_dp_err,symbol_count,packet_count,symfec_crc_valid_count,savaux_oversampled_ser,loratrimmer_ser,symfec_ser,unichirp_ser,phaseline_one_order_dp_ser,phaseline_island_dp_ser
0_0_0_10_14_32,-27.0,43,23,23,33,39,21,22,245,7,6,0.09387755102040816,0.09387755102040816,0.1346938775510204,0.15918367346938775,0.08571428571428572,0.08979591836734693
0_0_0_10_14_32,-27.5,43,25,24,34,43,22,24,245,7,6,0.10204081632653061,0.09795918367346938,0.13877551020408163,0.17551020408163265,0.08979591836734693,0.09795918367346938
0_0_0_10_14_32,-28.0,43,26,26,34,46,26,25,245,7,6,0.10612244897959183,0.10612244897959183,0.13877551020408163,0.18775510204081633,0.10612244897959183,0.10204081632653061
0_0_0_10_14_32,-28.5,43,28,28,34,47,27,26,245,7,6,0.11428571428571428,0.11428571428571428,0.13877551020408163,0.19183673469387755,0.11020408163265306,0.10612244897959183
0_0_0_10_14_32,-29.0,43,28,29,42,48,28,27,245,7,4,0.11428571428571428,0.11836734693877551,0.17142857142857143,0.19591836734693877,0.11428571428571428,0.11020408163265306
0_0_0_10_14_32,-25.0,44,14,15,29,31,14,12,245,7,6,0.05714285714285714,0.061224489795918366,0.11836734693877551,0.12653061224489795,0.05714285714285714,0.04897959183673469
0_0_0_10_14_32,-25.5,44,16,19,30,34,16,16,245,7,6,0.0653061224489796,0.07755102040816327,0.12244897959183673,0.13877551020408163,0.0653061224489796,0.0653061224489796
0_0_0_10_14_32,-26.0,44,19,20,30,37,17,16,245,7,6,0.07755102040816327,0.08163265306122448,0.12244897959183673,0.1510204081632653,0.06938775510204082,0.0653061224489796
0_0_0_10_14_32,-26.5,44,19,22,30,40,20,18,245,7,6,0.07755102040816327,0.08979591836734693,0.12244897959183673,0.16326530612244897,0.08163265306122448,0.07346938775510205
0_0_0_10_14_32,-27.0,44,20,26,31,42,20,20,245,7,6,0.08163265306122448,0.10612244897959183,0.12653061224489795,0.17142857142857143,0.08163265306122448,0.08163265306122448
0_0_0_10_14_32,-27.5,44,22,27,34,51,23,22,245,7,6,0.08979591836734693,0.11020408163265306,0.13877551020408163,0.20816326530612245,0.09387755102040816,0.08979591836734693
0_0_0_10_14_32,-28.0,44,25,28,35,48,26,26,245,7,6,0.10204081632653061,0.11428571428571428,0.14285714285714285,0.19591836734693877,0.10612244897959183,0.10612244897959183
0_0_0_10_14_32,-28.5,44,27,29,35,51,26,27,245,7,6,0.11020408163265306,0.11836734693877551,0.14285714285714285,0.20816326530612245,0.10612244897959183,0.11020408163265306
0_0_0_10_14_32,-29.0,44,29,30,37,56,27,28,245,7,5,0.11836734693877551,0.12244897959183673,0.1510204081632653,0.22857142857142856,0.11020408163265306,0.11428571428571428
0_0_0_10_14_32,-25.0,45,15,19,29,41,15,14,245,7,6,0.061224489795918366,0.07755102040816327,0.11836734693877551,0.1673469387755102,0.061224489795918366,0.05714285714285714
0_0_0_10_14_32,-25.5,45,17,21,29,45,16,15,245,7,6,0.06938775510204082,0.08571428571428572,0.11836734693877551,0.1836734693877551,0.0653061224489796,0.061224489795918366
0_0_0_10_14_32,-26.0,45,19,23,29,49,18,19,245,7,6,0.07755102040816327,0.09387755102040816,0.11836734693877551,0.2,0.07346938775510205,0.07755102040816327
0_0_0_10_14_32,-26.5,45,21,24,30,52,19,21,245,7,6,0.08571428571428572,0.09795918367346938,0.12244897959183673,0.21224489795918366,0.07755102040816327,0.08571428571428572
0_0_0_10_14_32,-27.0,45,22,26,31,55,23,22,245,7,6,0.08979591836734693,0.10612244897959183,0.12653061224489795,0.22448979591836735,0.09387755102040816,0.08979591836734693
0_0_0_10_14_32,-27.5,45,24,28,31,59,25,22,245,7,6,0.09795918367346938,0.11428571428571428,0.12653061224489795,0.24081632653061225,0.10204081632653061,0.08979591836734693
0_0_0_10_14_32,-28.0,45,24,30,33,61,26,23,245,7,6,0.09795918367346938,0.12244897959183673,0.1346938775510204,0.24897959183673468,0.10612244897959183,0.09387755102040816
0_0_0_10_14_32,-28.5,45,27,32,33,64,27,27,245,7,6,0.11020408163265306,0.1306122448979592,0.1346938775510204,0.2612244897959184,0.11020408163265306,0.11020408163265306
0_0_0_10_14_32,-29.0,45,28,35,37,63,28,28,245,7,4,0.11428571428571428,0.14285714285714285,0.1510204081632653,0.2571428571428571,0.11428571428571428,0.11428571428571428
0_0_0_10_14_32,-25.0,46,12,14,27,29,13,13,245,7,6,0.04897959183673469,0.05714285714285714,0.11020408163265306,0.11836734693877551,0.053061224489795916,0.053061224489795916
0_0_0_10_14_32,-25.5,46,14,17,28,30,16,15,245,7,6,0.05714285714285714,0.06938775510204082,0.11428571428571428,0.12244897959183673,0.0653061224489796,0.061224489795918366
0_0_0_10_14_32,-26.0,46,18,18,28,31,17,17,245,7,6,0.07346938775510205,0.07346938775510205,0.11428571428571428,0.12653061224489795,0.06938775510204082,0.06938775510204082
0_0_0_10_14_32,-26.5,46,20,21,29,38,19,18,245,7,6,0.08163265306122448,0.08571428571428572,0.11836734693877551,0.15510204081632653,0.07755102040816327,0.07346938775510205
0_0_0_10_14_32,-27.0,46,22,24,30,39,20,18,245,7,6,0.08979591836734693,0.09795918367346938,0.12244897959183673,0.15918367346938775,0.08163265306122448,0.07346938775510205
0_0_0_10_14_32,-27.5,46,24,24,32,41,20,20,245,7,6,0.09795918367346938,0.09795918367346938,0.1306122448979592,0.1673469387755102,0.08163265306122448,0.08163265306122448
0_0_0_10_14_32,-28.0,46,26,28,34,42,23,23,245,7,6,0.10612244897959183,0.11428571428571428,0.13877551020408163,0.17142857142857143,0.09387755102040816,0.09387755102040816
0_0_0_10_14_32,-28.5,46,28,33,34,42,26,26,245,7,6,0.11428571428571428,0.1346938775510204,0.13877551020408163,0.17142857142857143,0.10612244897959183,0.10612244897959183
0_0_0_10_14_32,-29.0,46,30,34,39,43,30,30,245,7,4,0.12244897959183673,0.13877551020408163,0.15918367346938775,0.17551020408163265,0.12244897959183673,0.12244897959183673
