window_index,start_sample,end_sample,peak_bin,peak_signed_bin,peak_power,second_power,total_power,confidence_db,peak_share,valid
1919,15720448,15753216,869,869,0.005055429530330002,0.004760279480251484,8.00048451134979,0.26125609675907985,0.0006318904215311185,1
1920,15728640,15761408,1777,1777,0.0016230949404416606,0.0016230949404416606,3.5002119303230685,0.0,0.00046371333300719575,1
1921,15736832,15769600,1777,1777,0.0015620561025571078,0.0015620561025571078,3.0001816966819135,0.0,0.0005206538338276919,1
1922,15745024,15777792,5490,-2702,0.005623142671538517,0.004964757215930149,6.000363413806403,0.5408108695908147,0.0009371336840365488,1
1923,15753216,15785984,5490,-2702,0.005623142671538517,0.004964757215930149,6.000363388369655,0.5408108695908147,0.0009371336880092471,1
1924,15761408,15794176,5490,-2702,0.005684181523974985,0.005025796068366617,6.5003936457595355,0.5346307638853307,0.0008744365085771385,1
1925,15769600,15802368,5490,-2702,0.005684181523974985,0.005025796068366617,6.5003936457595355,0.5346307638853307,0.0008744365085771385,1
1926,15777792,15810560,3671,3671,0.01182948233326897,0.011594696843530983,19.001150680758457,0.0870634200028721,0.0006225666293593531,1
1927,15785984,15818752,3671,3671,0.011969452287303284,0.011815421894425526,20.0012113206832,0.05625044247295542,0.0005984363694475696,1
1928,15794176,15826944,3671,3671,0.011908422484033565,0.011798087387433043,20.50124162953574,0.040426254115346484,0.0005808634764285365,1
1929,15802368,15835136,3682,3682,0.01488586619598209,0.014045392741536489,25.00151408201352,0.2524022336559175,0.0005953985885475317,1
1930,15810560,15843328,5923,-2269,0.0039124596914916765,0.003744039211596828,7.000423915219921,0.19109487727304805,0.0005588889671360374,1
1931,15818752,15851520,5923,-2269,0.003666204818728147,0.0035348621786397416,5.5003330187202035,0.15844238219725837,0.0006665423359368131,1
1932,15826944,15859712,5923,-2269,0.003623589873313904,0.003501593368127942,4.500272452477784,0.1487332621383981,0.0008051934436366866,1
1933,15835136,15867904,29,29,6.103886698838323e-05,6.103886698838323e-05,0.500030287890695,0.0,0.0001220703394705685,1
1934,15843328,15876096,1283,1283,0.00012207773397676647,0.00012207773397676647,1.0000605353852734,0.0,0.00012207034440143768,1
1935,15851520,15884288,1873,1873,0.0028138369671069086,0.002613976990687661,4.500272499144845,0.31997170511319034,0.000625259240999651,1
1936,15859712,15892480,7630,-562,0.02430836205894593,0.02174766097527936,24.50148335598203,0.48343142130620664,0.0009921179752984649,1
1937,15867904,15900672,7630,-562,0.024247323206509463,0.02168662212284289,24.001453068091337,0.48471889265465756,0.001010243968884742,1
1938,15876096,15908864,7630,-562,0.025354486977448687,0.02429402177222073,29.50178627151722,0.18555411095126528,0.0008594220954657047,1
1939,15884288,15917056,393,393,0.03668156429193914,0.031241221353411674,55.00333020906528,0.6971984398739162,0.0006668971524544804,1
1940,15892480,15925248,7576,-616,0.039667150384048,0.0351224163241568,64.50390589825315,0.5284661615950055,0.0006149573398953231,1
1941,15900672,15933440,7576,-616,0.04056341524119489,0.03516271067928756,67.50408753218973,0.6205216605622808,0.0006009030967473189,1
1942,15908864,15941632,7576,-616,0.04025297839689301,0.03510396315323305,63.50384522784782,0.5944187015508491,0.0006338667879475305,1
1943,15917056,15949824,4582,-3610,0.03198061297007371,0.028232592765562003,34.50208932654019,0.5413601977765008,0.0009269181546484817,1
