packet_index,event_index,symbol_index,selected_bin,signed_bin,symbol_value,phase_at_bin,phase_predicted,phase_residual_rad,phase_score,margin,confidence,amplitude,energy_ratio,argmax_bin,argmax_is_selected,rank_by_amp,gt_bin,is_correct
1,1,15,615,-409,614,-2.836569,-0.036124,-2.800445,1.000000,0.062208,0.4732,10.423126,0.007318,615,1,0,267,0
1,1,16,917,-107,916,-1.816636,-1.127124,-0.689512,0.771556,-0.142267,0.3195,10.715771,0.007227,917,1,0,917,1
1,1,17,656,-368,655,-2.139993,-0.796704,-1.343289,1.000000,0.204854,0.6202,12.404037,0.010219,656,1,0,656,1
1,1,18,811,-213,810,-2.812458,-2.463351,-0.349107,0.939678,0.233261,0.6206,10.811076,0.007620,811,1,0,889,0
1,1,19,34,34,33,-0.240122,-3.135815,2.895693,1.000000,0.135114,0.5461,10.479436,0.007291,34,1,0,510,0
1,1,20,544,-480,543,2.335682,-0.563479,2.899162,1.000000,0.090267,0.5011,10.544753,0.007217,544,1,0,860,0
1,1,21,594,-430,593,2.715781,4.908018,-2.192237,1.000000,0.008920,0.4177,9.362500,0.005829,594,1,0,553,0
1,1,22,751,-273,750,-0.085126,5.288117,0.909942,0.613791,-0.205726,0.2565,10.632167,0.007310,751,1,0,629,0
1,1,23,949,-75,948,0.974837,0.294973,0.679864,0.777658,-0.111245,0.3224,10.723713,0.007546,949,1,0,759,0
1,1,24,125,125,124,1.710961,1.354936,0.356025,0.937290,0.044020,0.4318,11.625629,0.008601,125,1,0,874,0
1,1,25,243,243,242,0.946946,2.447085,-1.500138,1.000000,0.009134,0.4190,10.260667,0.006547,243,1,0,720,0
1,1,26,314,314,313,2.399613,1.683070,0.716543,0.754081,-0.092720,0.3133,11.091205,0.007802,314,1,0,314,1
1,1,27,879,-145,878,1.484013,3.135736,-1.651723,1.000000,0.119564,0.5308,10.531990,0.007474,879,1,0,602,0
1,1,28,13,13,12,1.708884,0.719999,0.988885,0.549622,-0.343256,0.2314,10.913272,0.007700,13,1,0,7,0
1,1,29,547,-477,546,1.985153,1.933754,0.051399,0.998679,0.166356,0.5786,11.454226,0.008504,547,1,0,610,0
1,1,30,600,-424,599,-1.402682,2.210023,2.670480,1.000000,0.033829,0.4430,9.841249,0.006122,600,1,0,807,0
1,1,31,668,-356,667,-1.759134,-1.126412,-0.632722,0.806421,-0.173065,0.3345,11.219259,0.007981,668,1,0,897,0
1,1,32,568,-456,567,-1.586329,-1.482865,-0.103464,0.994652,0.078169,0.4842,9.259840,0.005428,568,1,0,749,0
1,1,33,584,-440,583,1.012791,-1.413524,2.426315,1.000000,0.147722,0.5616,11.792910,0.009268,584,1,0,584,1
1,1,34,934,-90,933,0.096159,1.185596,-1.089436,0.462985,-0.266697,0.2003,12.051703,0.010070,934,1,0,934,1
2,2,0,961,-63,960,-3.018508,-3.218440,0.199933,0.980080,0.006025,0.4090,10.685830,0.007292,961,1,0,803,0
2,2,1,826,-198,825,3.139071,-3.153675,0.009561,0.999954,0.083373,0.4978,12.278960,0.009657,826,1,0,826,1
2,2,2,142,142,141,2.958565,3.013464,-0.054899,0.901770,0.000696,0.3682,8.307063,0.004537,48,0,10,922,0
2,2,3,334,334,333,2.753313,2.832958,-0.079645,0.994061,0.022754,0.4295,9.682319,0.006109,650,0,1,718,0
