input_file,frame_symbol_index,stage,stage_symbol_index,support_frames,groundtruth_fft_bin,groundtruth_symbol,agreement_count,agreement_ratio,unique_fft_bin_count,unique_fft_bins,min_confidence_db,mean_confidence_db,all_source_labels_reliable,consensus_reliable
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,17,payload,9,10,713,712,10,1.0,1,713,16.88204574584961,22.427124977111816,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,18,payload,10,10,865,864,10,1.0,1,865,16.544723510742188,23.638047981262208,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,19,payload,11,10,92,91,10,1.0,1,92,15.498509407043457,24.79708375930786,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,20,payload,12,10,645,644,10,1.0,1,645,17.92405891418457,22.28081340789795,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,21,payload,13,10,426,425,10,1.0,1,426,15.79564380645752,21.919461727142334,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,22,payload,14,10,765,764,10,1.0,1,765,17.6708984375,23.066074943542482,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,23,payload,15,10,1023,1022,10,1.0,1,1023,17.366518020629883,26.710577964782715,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,24,payload,16,10,597,596,10,1.0,1,597,16.684492111206055,22.056996726989745,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,25,payload,17,10,562,561,10,1.0,1,562,17.151588439941406,21.82231616973877,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,26,payload,18,10,827,826,10,1.0,1,827,17.681703567504883,23.727818870544432,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,27,payload,19,10,890,889,10,1.0,1,890,16.06462860107422,24.16458930969238,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,28,payload,20,10,174,173,10,1.0,1,174,16.29751968383789,23.67116813659668,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,29,payload,21,10,267,266,10,1.0,1,267,17.081951141357422,23.26769027709961,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,30,payload,22,10,917,916,10,1.0,1,917,15.996478080749512,23.8852276802063,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,31,payload,23,10,656,655,10,1.0,1,656,15.931856155395508,23.159165954589845,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,32,payload,24,10,889,888,10,1.0,1,889,15.270294189453125,22.67351722717285,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,33,payload,25,10,66,65,10,1.0,1,66,15.700926780700684,23.00671281814575,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,34,payload,26,10,586,585,10,1.0,1,586,14.868192672729492,21.523841094970702,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,35,payload,27,10,425,424,10,1.0,1,425,15.374846458435059,22.095440006256105,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,36,payload,28,10,860,859,10,1.0,1,860,15.489714622497559,21.59909315109253,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,37,payload,29,10,553,552,10,1.0,1,553,14.292387008666992,20.633716297149657,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,38,payload,30,10,629,628,10,1.0,1,629,14.94216537475586,21.447697257995607,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,39,payload,31,10,759,758,10,1.0,1,759,17.3485164642334,21.19651355743408,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,40,payload,32,10,494,493,10,1.0,1,494,15.454742431640625,20.26051769256592,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,41,payload,33,10,303,302,10,1.0,1,303,17.4655704498291,21.17595844268799,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,42,payload,34,10,1022,1021,10,1.0,1,1022,13.863940238952637,22.177140522003175,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,43,payload,35,10,720,719,10,1.0,1,720,14.989840507507324,20.407621097564697,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,44,payload,36,10,314,313,10,1.0,1,314,15.26544189453125,20.189040851593017,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,45,payload,37,10,602,601,10,1.0,1,602,14.328218460083008,19.254724788665772,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,46,payload,38,10,7,6,10,1.0,1,7,14.107179641723633,22.13191967010498,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,47,payload,39,10,414,413,10,1.0,1,414,15.223134994506836,19.718522453308104,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,48,payload,40,10,807,806,10,1.0,1,807,15.984272003173828,19.43055953979492,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,49,payload,41,10,195,194,10,1.0,1,195,15.547542572021484,19.685156631469727,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,50,payload,42,10,826,825,10,1.0,1,826,16.536548614501953,19.817457580566405,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,51,payload,43,10,928,927,10,1.0,1,928,14.297825813293457,21.521852207183837,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,52,payload,44,10,761,760,10,1.0,1,761,16.75353240966797,19.22597713470459,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,53,payload,45,10,590,589,10,1.0,1,590,14.235857963562012,17.997071743011475,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,54,payload,46,10,383,382,10,1.0,1,383,14.9542236328125,19.18462390899658,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,55,payload,47,10,267,266,10,1.0,1,267,15.933191299438477,19.3754976272583,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,56,payload,48,10,314,313,10,1.0,1,314,15.293221473693848,19.255545330047607,1,1
